company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 16:17:17+00:00,,,12250000000.0,4204000000.0,1808000000.0,-900000000.0,1079000000.0,1803000000.0,-38345000000.0,-9728000000.0,52002000000.0,-38345000000.0,-9728000000.0,52002000000.0,5737000000.0,41615000000.0,41615000000.0,-963000000.0,369000000.0,4995000000.0,-8569000000.0,-3684000000.0,-15387000000.0,-1205000000.0,-31822000000.0,144000000.0,
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2008.0,Q4,2008-10-01,2008-12-31,,-25194000000.0,-488000000.0,3177000000.0,1783000000.0,-1691000000.0,-2032000000.0,264000000.0,818000000.0,-11403000000.0,-2627000000.0,10484000000.0,-11403000000.0,-2627000000.0,10484000000.0,-5237000000.0,8424000000.0,8424000000.0,915000000.0,171000000.0,3081000000.0,-2147000000.0,-4608000000.0,-5325000000.0,-1664000000.0,-8845000000.0,2442000000.0,
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 17:01:32+00:00,,,12379000000.0,5985000000.0,-2743000000.0,-436000000.0,753000000.0,1289000000.0,-44027000000.0,-15499000000.0,59725000000.0,-44027000000.0,-15499000000.0,59725000000.0,-2544000000.0,46867000000.0,46867000000.0,915000000.0,333000000.0,,-8852000000.0,-4608000000.0,-19318000000.0,-1816000000.0,-35734000000.0,2442000000.0,
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2008.0,Q3,2008-07-01,2008-09-30,,9267000000.0,151000000.0,3008000000.0,2630000000.0,-2173000000.0,-3971000000.0,51000000.0,435000000.0,-10420000000.0,-4104000000.0,14403000000.0,-10420000000.0,-4104000000.0,14403000000.0,-2294000000.0,15366000000.0,15366000000.0,,12000000.0,-1592000000.0,-2371000000.0,,-5142000000.0,116000000.0,-8663000000.0,,
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-05 14:18:41+00:00,25194000000.0,488000000.0,9202000000.0,4202000000.0,-1052000000.0,1596000000.0,489000000.0,471000000.0,-32624000000.0,-12872000000.0,49241000000.0,-32624000000.0,-12872000000.0,49241000000.0,2693000000.0,38443000000.0,38443000000.0,,162000000.0,-3081000000.0,-6705000000.0,,-13993000000.0,-152000000.0,-26889000000.0,,
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-05 14:45:57+00:00,15927000000.0,337000000.0,6194000000.0,1572000000.0,1121000000.0,5567000000.0,438000000.0,36000000.0,-22204000000.0,-8768000000.0,34838000000.0,-22204000000.0,-8768000000.0,34838000000.0,4987000000.0,23077000000.0,23077000000.0,,150000000.0,-1489000000.0,-4334000000.0,,-8851000000.0,-268000000.0,-18226000000.0,,
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2009.0,Q4,2009-10-01,2009-12-31,,-12142000000.0,-723000000.0,3193000000.0,1545000000.0,34000000.0,646000000.0,456000000.0,1369000000.0,-3895000000.0,-6422000000.0,8504000000.0,-3895000000.0,-6422000000.0,8504000000.0,-1779000000.0,6139000000.0,6139000000.0,-1474000000.0,158000000.0,1352000000.0,-2021000000.0,-2768000000.0,-6763000000.0,-1485000000.0,-2372000000.0,212000000.0,
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 16:08:32+00:00,,,11917000000.0,1545000000.0,520000000.0,-1663000000.0,752000000.0,1561000000.0,-27283000000.0,-22419000000.0,28438000000.0,-27283000000.0,-22419000000.0,28438000000.0,-20744000000.0,19658000000.0,19658000000.0,-1474000000.0,237000000.0,,-8416000000.0,-2768000000.0,-22491000000.0,-1714000000.0,-19703000000.0,1295000000.0,
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2009.0,Q3YTD,2009-01-01,2009-09-30,2009-11-05 14:18:41+00:00,12142000000.0,723000000.0,8724000000.0,,486000000.0,-2309000000.0,296000000.0,192000000.0,-23388000000.0,-15997000000.0,19934000000.0,-23388000000.0,-15997000000.0,19934000000.0,-18965000000.0,13519000000.0,13519000000.0,,79000000.0,-1352000000.0,-6395000000.0,,-15728000000.0,-229000000.0,-17331000000.0,1083000000.0,
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2009.0,Q3TTM,2008-10-01,2009-09-30,,-13052000000.0,235000000.0,11901000000.0,1783000000.0,-1205000000.0,-4341000000.0,560000000.0,1010000000.0,-34791000000.0,-18624000000.0,30418000000.0,-34791000000.0,-18624000000.0,30418000000.0,-24202000000.0,21943000000.0,21943000000.0,915000000.0,250000000.0,1729000000.0,-8542000000.0,-4608000000.0,-21053000000.0,-1893000000.0,-26176000000.0,3525000000.0,
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2009.0,Q3,2009-07-01,2009-09-30,,3602000000.0,528000000.0,2927000000.0,-911000000.0,381000000.0,1029000000.0,111000000.0,47000000.0,-6028000000.0,-6284000000.0,8827000000.0,-6028000000.0,-6284000000.0,8827000000.0,-3104000000.0,4871000000.0,4871000000.0,,24000000.0,-966000000.0,-2118000000.0,,-5490000000.0,141000000.0,-4233000000.0,1083000000.0,
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2009.0,Q2YTD,2009-01-01,2009-06-30,2009-08-05 14:45:57+00:00,8540000000.0,195000000.0,5797000000.0,911000000.0,105000000.0,-3338000000.0,185000000.0,145000000.0,-17360000000.0,-9713000000.0,11107000000.0,-17360000000.0,-9713000000.0,11107000000.0,-15861000000.0,8648000000.0,8648000000.0,,55000000.0,-386000000.0,-4277000000.0,,-10238000000.0,-370000000.0,-13098000000.0,,
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2009.0,Q2TTM,2008-07-01,2009-06-30,,-7387000000.0,-142000000.0,11982000000.0,5324000000.0,-3759000000.0,-9341000000.0,500000000.0,1398000000.0,-39183000000.0,-16444000000.0,35994000000.0,-39183000000.0,-16444000000.0,35994000000.0,-23392000000.0,32438000000.0,32438000000.0,915000000.0,238000000.0,1103000000.0,-8795000000.0,-4608000000.0,-20705000000.0,-1918000000.0,-30606000000.0,2442000000.0,
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2009.0,Q2,2009-04-01,2009-06-30,,4723000000.0,94000000.0,3004000000.0,770000000.0,635000000.0,-4753000000.0,64000000.0,123000000.0,-7255000000.0,-4973000000.0,2197000000.0,-7255000000.0,-4973000000.0,2197000000.0,-9396000000.0,3946000000.0,3946000000.0,,55000000.0,-178000000.0,-2095000000.0,,-5565000000.0,-156000000.0,-5246000000.0,,
