company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,explorationexpense,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherrevenue,otherspecialcharges,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 16:17:17+00:00,7.31,7.31,,12250000000.0,7.26,1469000000.0,29864000000.0,,41615000000.0,41615000000.0,40610000000.0,1005000000.0,263111000000.0,399229000000.0,,40953000000.0,5323000000.0,,14890000000.0,263111000000.0,141441000000.0,400000000.0,,69562000000.0,71879000000.0,-400000000.0,71479000000.0,404552000000.0,5555400000.0,5555400000.0,5593700000.0
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 17:01:32+00:00,8.7,8.7,1.55,12379000000.0,8.66,1451000000.0,36530000000.0,,46867000000.0,46867000000.0,45220000000.0,1647000000.0,321867000000.0,470660000000.0,,41719000000.0,6699000000.0,,15873000000.0,321867000000.0,155492000000.0,673000000.0,,71422000000.0,84070000000.0,-673000000.0,83397000000.0,477359000000.0,5194000000.0,5194000000.0,5194000000.0
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2008.0,Q3,2008-07-01,2008-09-30,2009-11-05 14:18:41+00:00,2.86,2.86,0.4,3008000000.0,2.85,403000000.0,11327000000.0,,15366000000.0,15366000000.0,14830000000.0,536000000.0,92503000000.0,134909000000.0,,10989000000.0,2828000000.0,,3823000000.0,92503000000.0,45234000000.0,318000000.0,,18223000000.0,27011000000.0,-318000000.0,26693000000.0,137737000000.0,5185300000.0,5185300000.0,5203500000.0
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2008.0,Q2,2008-04-01,2008-06-30,2009-08-05 14:45:57+00:00,2.24,2.24,0.4,3090000000.0,2.22,338000000.0,10526000000.0,,11905000000.0,11905000000.0,11680000000.0,225000000.0,96299000000.0,136759000000.0,,11418000000.0,1313000000.0,,4389000000.0,96299000000.0,41773000000.0,107000000.0,,19235000000.0,22538000000.0,-107000000.0,22431000000.0,138072000000.0,5214300000.0,5214300000.0,5261300000.0
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2009.0,Q4,2009-10-01,2009-12-31,,1.27,1.27,0.42,3193000000.0,1.27,685000000.0,4067000000.0,,6139000000.0,6139000000.0,6050000000.0,89000000.0,62351000000.0,89530000000.0,,9489000000.0,311000000.0,,3881000000.0,62351000000.0,27490000000.0,36000000.0,,17248000000.0,10242000000.0,-36000000.0,10206000000.0,89841000000.0,4832000000.0,4832000000.0,4832000000.0
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 16:08:32+00:00,3.99,3.99,1.66,11917000000.0,3.98,2021000000.0,15119000000.0,,19658000000.0,19658000000.0,19280000000.0,378000000.0,211769000000.0,308643000000.0,,34819000000.0,1943000000.0,,14735000000.0,211769000000.0,98817000000.0,548000000.0,,63492000000.0,35325000000.0,-548000000.0,34777000000.0,310586000000.0,4832000000.0,4832000000.0,4832000000.0
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2009.0,Q3,2009-07-01,2009-09-30,2009-11-05 14:18:41+00:00,0.98,0.98,0.42,2927000000.0,0.98,495000000.0,4333000000.0,,4871000000.0,4871000000.0,4730000000.0,141000000.0,56591000000.0,81765000000.0,,9094000000.0,495000000.0,,3887000000.0,56591000000.0,25669000000.0,62000000.0,,16403000000.0,9266000000.0,-62000000.0,9204000000.0,82260000000.0,4826500000.0,4826500000.0,4826500000.0
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2009.0,Q3YTD,2009-01-01,2009-09-30,,2.72,2.72,1.24,8724000000.0,2.71,1336000000.0,11052000000.0,,13519000000.0,13519000000.0,13230000000.0,289000000.0,149418000000.0,219113000000.0,,25330000000.0,1632000000.0,,10854000000.0,149418000000.0,71327000000.0,512000000.0,,46244000000.0,25083000000.0,-512000000.0,24571000000.0,220745000000.0,4826500000.0,4826500000.0,4826500000.0
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2009.0,Q2,2009-04-01,2009-06-30,2009-08-05 14:45:57+00:00,0.82,0.82,0.42,3004000000.0,0.81,490000000.0,3571000000.0,,3946000000.0,3946000000.0,3950000000.0,-4000000.0,51148000000.0,73750000000.0,,8436000000.0,707000000.0,,3519000000.0,51148000000.0,23309000000.0,343000000.0,,15449000000.0,7860000000.0,-343000000.0,7517000000.0,74457000000.0,4817100000.0,4817100000.0,4876500000.0
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2009.0,Q2YTD,2009-01-01,2009-06-30,,1.74,1.74,0.82,5797000000.0,1.73,841000000.0,6719000000.0,,8648000000.0,8648000000.0,8500000000.0,148000000.0,92827000000.0,137348000000.0,,16236000000.0,1137000000.0,,6967000000.0,92827000000.0,45658000000.0,450000000.0,,29841000000.0,15817000000.0,-450000000.0,15367000000.0,138485000000.0,4817100000.0,4817100000.0,4876500000.0
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2009.0,Q1,2009-01-01,2009-03-31,2010-05-06 13:53:44+00:00,0.92,0.92,0.4,2793000000.0,0.92,351000000.0,3148000000.0,,4702000000.0,4702000000.0,4550000000.0,152000000.0,41679000000.0,63598000000.0,,7800000000.0,430000000.0,,3448000000.0,41679000000.0,22349000000.0,107000000.0,,14392000000.0,7957000000.0,-107000000.0,7850000000.0,64028000000.0,4945700000.0,4945700000.0,4945700000.0
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2010.0,Q4,2010-10-01,2010-12-31,,3.3,3.3,0.88,8114000000.0,3.29,1051000000.0,11108000000.0,-48469000000.0,17077000000.0,17077000000.0,16600000000.0,477000000.0,184941000000.0,200986000000.0,,18936000000.0,1742000000.0,,7562000000.0,184941000000.0,17787000000.0,164000000.0,-2244000000.0,-12806000000.0,30593000000.0,-2408000000.0,28185000000.0,202728000000.0,4885000000.0,4885000000.0,4885000000.0
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2010.0,FY,2010-01-01,2010-12-31,2013-02-27 16:05:06+00:00,6.24,6.24,1.74,14760000000.0,6.22,2144000000.0,21561000000.0,,31398000000.0,31398000000.0,30460000000.0,938000000.0,262298000000.0,380802000000.0,,36118000000.0,2419000000.0,,14683000000.0,262298000000.0,120923000000.0,259000000.0,,67705000000.0,53218000000.0,-259000000.0,52959000000.0,383221000000.0,4885000000.0,4885000000.0,4885000000.0
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2010.0,Q3YTD,2010-01-01,2010-09-30,,4.38,4.38,1.3,10490000000.0,4.37,1593000000.0,15750000000.0,,21882000000.0,21882000000.0,21210000000.0,672000000.0,190855000000.0,276307000000.0,,26488000000.0,1728000000.0,,10828000000.0,190855000000.0,87180000000.0,149000000.0,,49399000000.0,37781000000.0,-149000000.0,37632000000.0,278035000000.0,5076000000.0,5076000000.0,5076000000.0
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2010.0,Q3TTM,2009-10-01,2010-09-30,,5.65,5.65,1.72,13683000000.0,5.64,2278000000.0,19817000000.0,,28021000000.0,28021000000.0,27260000000.0,761000000.0,253206000000.0,365837000000.0,,35977000000.0,2039000000.0,,14709000000.0,253206000000.0,114670000000.0,185000000.0,,66647000000.0,48023000000.0,-185000000.0,47838000000.0,367876000000.0,5076000000.0,5076000000.0,5076000000.0
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2010.0,Q2,2010-04-01,2010-06-30,2010-08-04 15:04:53+00:00,1.61,1.61,0.44,3366000000.0,1.6,407000000.0,4960000000.0,48469000000.0,7746000000.0,7746000000.0,7560000000.0,186000000.0,15322000000.0,90242000000.0,,8569000000.0,,,3607000000.0,15322000000.0,74920000000.0,40000000.0,2244000000.0,64418000000.0,10502000000.0,2204000000.0,12706000000.0,90242000000.0,4716000000.0,4716000000.0,4716000000.0
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2010.0,Q2YTD,2010-01-01,2010-06-30,,2.94,2.94,0.86,6646000000.0,2.93,1093000000.0,10453000000.0,48469000000.0,14321000000.0,14321000000.0,13860000000.0,461000000.0,77357000000.0,179816000000.0,,17182000000.0,677000000.0,,7121000000.0,77357000000.0,103136000000.0,95000000.0,2244000000.0,80511000000.0,22625000000.0,2149000000.0,24774000000.0,180493000000.0,4716000000.0,4716000000.0,4716000000.0
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2010.0,Q2TTM,2009-07-01,2010-06-30,,5.19,5.19,1.7,12766000000.0,5.18,2273000000.0,18853000000.0,48469000000.0,25331000000.0,25331000000.0,24640000000.0,691000000.0,196299000000.0,351111000000.0,,35765000000.0,1483000000.0,,14889000000.0,196299000000.0,156295000000.0,193000000.0,2244000000.0,114162000000.0,42133000000.0,2051000000.0,44184000000.0,352594000000.0,4716000000.0,4716000000.0,4716000000.0
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2010.0,Q1,2010-01-01,2010-03-31,2010-05-06 13:53:44+00:00,1.33,1.33,0.42,3280000000.0,1.33,686000000.0,5493000000.0,,6575000000.0,6575000000.0,6300000000.0,275000000.0,62035000000.0,89574000000.0,,8613000000.0,677000000.0,,3514000000.0,62035000000.0,28216000000.0,55000000.0,,16093000000.0,12123000000.0,-55000000.0,12068000000.0,90251000000.0,4736800000.0,4736800000.0,4736800000.0
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2010.0,Q1TTM,2009-04-01,2010-03-31,,4.4,4.4,1.68,12404000000.0,4.39,2356000000.0,17464000000.0,,21531000000.0,21531000000.0,21030000000.0,501000000.0,232125000000.0,334619000000.0,,35632000000.0,2190000000.0,,14801000000.0,232125000000.0,104684000000.0,496000000.0,,65193000000.0,39491000000.0,-496000000.0,38995000000.0,336809000000.0,4736800000.0,4736800000.0,4736800000.0
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2011.0,Q4,2011-10-01,2011-12-31,,1.97,1.97,0.47,4075000000.0,1.97,427000000.0,7317000000.0,,9724000000.0,9724000000.0,9400000000.0,324000000.0,86018000000.0,119736000000.0,,10062000000.0,1873000000.0,,3911000000.0,86018000000.0,35591000000.0,75000000.0,,18475000000.0,17116000000.0,-75000000.0,17041000000.0,121609000000.0,4870000000.0,4870000000.0,4870000000.0
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2011.0,FY,2011-01-01,2011-12-31,2014-02-26 16:07:02+00:00,8.43,8.43,1.85,15583000000.0,8.42,2081000000.0,31051000000.0,,42206000000.0,42206000000.0,41060000000.0,1146000000.0,340305000000.0,482318000000.0,,39973000000.0,4111000000.0,,14983000000.0,340305000000.0,146124000000.0,247000000.0,,72620000000.0,73504000000.0,-247000000.0,73257000000.0,486429000000.0,4870000000.0,4870000000.0,4870000000.0
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2011.0,Q3,2011-07-01,2011-09-30,2011-11-03 11:41:58+00:00,2.13,2.13,0.47,3866000000.0,2.13,728000000.0,8009000000.0,,10671000000.0,10671000000.0,10330000000.0,341000000.0,87972000000.0,124390000000.0,,10222000000.0,940000000.0,,3764000000.0,87972000000.0,37358000000.0,98000000.0,,18580000000.0,18778000000.0,-98000000.0,18680000000.0,125330000000.0,4839000000.0,4839000000.0,4839000000.0
Exxon Mobil Corp,XOM,J3WHBG0MTS7O8ZVMDC91,34088,2011.0,Q3YTD,2011-01-01,2011-09-30,,6.46,6.46,1.38,11508000000.0,6.45,1654000000.0,23734000000.0,,32482000000.0,32482000000.0,31660000000.0,822000000.0,254287000000.0,362582000000.0,,29911000000.0,2238000000.0,,11072000000.0,254287000000.0,110533000000.0,172000000.0,,54145000000.0,56388000000.0,-172000000.0,56216000000.0,364820000000.0,4839000000.0,4839000000.0,4839000000.0
