company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
Live Nation Entertainment Inc,LYV,5493007B9BM9ZXJINO78,1335258,2009.0,FY,2009-01-01,2009-12-31,2012-02-23 19:41:09+00:00,-38391000.0,77621000.0,34753000.0,51730000.0,98108000.0,,26895000.0,-34170000.0,1566000.0,602741000.0,-124356000.0,77481000.0,57275000.0,-124356000.0,77481000.0,57275000.0,37295000.0,-49734000.0,-49734000.0,-34550000.0,0.0,544000.0,,-14398000.0,-64267000.0,-705795000.0,-8470000.0,0.0,5134000.0,174461000.0
Live Nation Entertainment Inc,LYV,5493007B9BM9ZXJINO78,1335258,2010.0,Q4,2010-10-01,2010-12-31,,-3102000.0,82205000.0,50579000.0,89876000.0,45334000.0,-69201000.0,-4556000.0,127067000.0,415000.0,34724000.0,-18303000.0,-84811000.0,144812000.0,-18303000.0,-84811000.0,144812000.0,37142000.0,-115691000.0,-115691000.0,5897000.0,-2556000.0,909000.0,,-9578000.0,-26413000.0,-41308000.0,,,-156000.0,13152000.0
Live Nation Entertainment Inc,LYV,5493007B9BM9ZXJINO78,1335258,2010.0,FY,2010-01-01,2010-12-31,2013-02-26 16:58:02+00:00,-5248000.0,197530000.0,50579000.0,89876000.0,135573000.0,491531000.0,-4788000.0,-50040000.0,429000.0,1352856000.0,49086000.0,452987000.0,158518000.0,49086000.0,452987000.0,158518000.0,655803000.0,-208036000.0,-208036000.0,83491000.0,1970000.0,663000.0,,-31225000.0,-75578000.0,-1233020000.0,-1924000.0,-40000000.0,5863000.0,35756000.0
Live Nation Entertainment Inc,LYV,5493007B9BM9ZXJINO78,1335258,2010.0,Q3,2010-07-01,2010-09-30,,-783000.0,43730000.0,,,29543000.0,-5412000.0,41591000.0,-304092000.0,1000.0,-505000.0,-11777000.0,-19553000.0,-154573000.0,-11777000.0,-19553000.0,-154573000.0,-144312000.0,61825000.0,61825000.0,14421000.0,272000.0,-543000.0,,-2340000.0,-19083000.0,-9205000.0,,,5055000.0,1213000.0
Live Nation Entertainment Inc,LYV,5493007B9BM9ZXJINO78,1335258,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-03 16:36:30+00:00,-2146000.0,115325000.0,,,90239000.0,560732000.0,-232000.0,-177107000.0,14000.0,1318132000.0,67389000.0,537798000.0,13706000.0,67389000.0,537798000.0,13706000.0,618661000.0,-92345000.0,-92345000.0,77594000.0,4526000.0,-246000.0,,-21647000.0,-49165000.0,-1191712000.0,-1924000.0,-40000000.0,6019000.0,22604000.0
Live Nation Entertainment Inc,LYV,5493007B9BM9ZXJINO78,1335258,2010.0,Q2,2010-04-01,2010-06-30,,5838000.0,37113000.0,,,29725000.0,-10000000.0,-21869000.0,20371000.0,5000.0,1171334000.0,138241000.0,-20419000.0,78778000.0,138241000.0,-20419000.0,78778000.0,174731000.0,-31219000.0,-31219000.0,22788000.0,2091000.0,-115000.0,,-5686000.0,-16999000.0,-989186000.0,-317000.0,-40000000.0,128000.0,729000.0
Live Nation Entertainment Inc,LYV,5493007B9BM9ZXJINO78,1335258,2010.0,Q2YTD,2010-01-01,2010-06-30,2011-08-08 16:24:20+00:00,-1363000.0,71595000.0,,,60696000.0,566144000.0,-41823000.0,126985000.0,13000.0,1318637000.0,79166000.0,557351000.0,168279000.0,79166000.0,557351000.0,168279000.0,762973000.0,-154170000.0,-154170000.0,63173000.0,4254000.0,297000.0,,-19307000.0,-30082000.0,-1182507000.0,-1924000.0,-40000000.0,964000.0,21391000.0
Live Nation Entertainment Inc,LYV,5493007B9BM9ZXJINO78,1335258,2010.0,Q1,2010-01-01,2010-03-31,2011-05-05 16:49:09+00:00,-7201000.0,34482000.0,,,30971000.0,576144000.0,-19954000.0,106614000.0,8000.0,147303000.0,-59075000.0,577770000.0,89501000.0,-59075000.0,577770000.0,89501000.0,588242000.0,-122951000.0,-122951000.0,40385000.0,2163000.0,412000.0,,-13621000.0,-13083000.0,-193321000.0,-1607000.0,,836000.0,20662000.0
Live Nation Entertainment Inc,LYV,5493007B9BM9ZXJINO78,1335258,2011.0,Q4,2011-10-01,2011-12-31,,-25772000.0,73628000.0,37746000.0,101733000.0,34993000.0,,-11773000.0,138114000.0,711000.0,,-25171000.0,-64622000.0,163246000.0,-25171000.0,-64622000.0,163246000.0,61680000.0,-95696000.0,-95696000.0,12207000.0,-556000.0,-1422000.0,,-16614000.0,-37927000.0,-8712000.0,,,469000.0,30000.0
Live Nation Entertainment Inc,LYV,5493007B9BM9ZXJINO78,1335258,2011.0,FY,2011-01-01,2011-12-31,2014-02-24 16:42:56+00:00,-57826000.0,226900000.0,37746000.0,101733000.0,129177000.0,,12186000.0,-193312000.0,77203000.0,,-44379000.0,-152017000.0,135705000.0,-44379000.0,-152017000.0,135705000.0,-48505000.0,-70403000.0,-70403000.0,43343000.0,-44905000.0,-3355000.0,,-44670000.0,-107500000.0,-32007000.0,,,9273000.0,7391000.0
