company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,goodwill,grossppe,intangibleassets,longtermdebt,longterminvestments,netppe,noncontrollinginterests,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,redeemablenoncontrollinginterest,restrictedcash,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
Live Nation Entertainment Inc,LYV,5493007B9BM9ZXJINO78,1335258,2010.0,FY,,2010-12-31,2012-02-23 19:41:09+00:00,539177000.0,329947000.0,498864000.0,524390000.0,-22244000.0,892758000.0,0.0,2054957000.0,335539000.0,1226416000.0,1261454000.0,1372482000.0,1677714000.0,30077000.0,737064000.0,137252000.0,219143000.0,32483000.0,46491000.0,226024000.0,215273000.0,348309000.0,107541000.0,,-662175000.0,54150000.0,5195560000.0,1364416000.0,1603497000.0,1474221000.0,1364416000.0,1501668000.0,3586351000.0,5195560000.0,2854999000.0,2112130000.0,0.0,-6122000.0
Live Nation Entertainment Inc,LYV,5493007B9BM9ZXJINO78,1335258,2011.0,FY,,2011-12-31,2013-02-26 16:58:02+00:00,561583000.0,389346000.0,579566000.0,626053000.0,-36374000.0,844253000.0,0.0,2245455000.0,273536000.0,1257644000.0,1346189000.0,1250872000.0,1652629000.0,55796000.0,720136000.0,155791000.0,186298000.0,26700000.0,25236000.0,216106000.0,120693000.0,316491000.0,8277000.0,,-745191000.0,52632000.0,5077344000.0,1466677000.0,1576790000.0,1492553000.0,1461103000.0,1616894000.0,3452173000.0,5077344000.0,2780418000.0,1959620000.0,0.0,2787000.0
Live Nation Entertainment Inc,LYV,5493007B9BM9ZXJINO78,1335258,2011.0,Q3,,2011-09-30,2011-11-03 16:36:30+00:00,521619000.0,489236000.0,561925000.0,604038000.0,-5072000.0,782573000.0,0.0,2235346000.0,273950000.0,1247752000.0,1319794000.0,1274345000.0,1667939000.0,51187000.0,715756000.0,143482000.0,177419000.0,40736000.0,24007000.0,242860000.0,162502000.0,324256000.0,0.0,,-645666000.0,56563000.0,5168701000.0,1579295000.0,1636801000.0,1438064000.0,1579295000.0,1722777000.0,3445924000.0,5168701000.0,2816144000.0,2007860000.0,,-5313000.0
Live Nation Entertainment Inc,LYV,5493007B9BM9ZXJINO78,1335258,2011.0,Q2,,2011-06-30,2011-08-08 16:24:20+00:00,625014000.0,487843000.0,581154000.0,580901000.0,32240000.0,1003960000.0,0.0,2226728000.0,641322000.0,1260759000.0,1315780000.0,1325629000.0,1675294000.0,45769000.0,734879000.0,132903000.0,187402000.0,49589000.0,32481000.0,249701000.0,162801000.0,494099000.0,0.0,,-697378000.0,57648000.0,5652228000.0,1556209000.0,2035491000.0,1937619000.0,1556209000.0,1689112000.0,3963116000.0,5652228000.0,2881858000.0,2025497000.0,,-5381000.0
Live Nation Entertainment Inc,LYV,5493007B9BM9ZXJINO78,1335258,2011.0,Q1,,2011-03-31,2011-05-05 16:49:09+00:00,629187000.0,385988000.0,458234000.0,556866000.0,23203000.0,987186000.0,,2145830000.0,646110000.0,1244912000.0,1292047000.0,1364852000.0,1676215000.0,36097000.0,735181000.0,145221000.0,187193000.0,41775000.0,36339000.0,246616000.0,162668000.0,432645000.0,23306000.0,,-710635000.0,56007000.0,5475252000.0,1462024000.0,1847594000.0,1825877000.0,1454772000.0,1599993000.0,3851953000.0,5475252000.0,2892477000.0,2026076000.0,,3626000.0
Live Nation Entertainment Inc,LYV,5493007B9BM9ZXJINO78,1335258,2012.0,FY,,2012-12-31,2014-02-24 16:42:56+00:00,660671000.0,415790000.0,626723000.0,726873000.0,-10923000.0,1001055000.0,0.0,2274759000.0,402002000.0,1357827000.0,1448659000.0,1101926000.0,1677955000.0,,721786000.0,153156000.0,199596000.0,36031000.0,16726000.0,296455000.0,94409000.0,359936000.0,42100000.0,,-908418000.0,62050000.0,5290806000.0,1355418000.0,1812812000.0,1768172000.0,1355418000.0,1508574000.0,3740132000.0,5290806000.0,2756208000.0,1971960000.0,,0.0
Live Nation Entertainment Inc,LYV,5493007B9BM9ZXJINO78,1335258,2012.0,Q3,,2012-09-30,2012-11-05 16:40:20+00:00,676657000.0,583322000.0,658061000.0,696720000.0,-16436000.0,783671000.0,0.0,2266893000.0,326730000.0,1338599000.0,1414625000.0,1211976000.0,1685968000.0,57725000.0,717905000.0,161679000.0,190681000.0,30924000.0,16462000.0,263675000.0,106262000.0,444451000.0,48136000.0,,-748701000.0,60070000.0,5432248000.0,1501970000.0,1842368000.0,1737980000.0,1501542000.0,1663221000.0,3720891000.0,5432248000.0,2871975000.0,1982911000.0,,214000.0
Live Nation Entertainment Inc,LYV,5493007B9BM9ZXJINO78,1335258,2012.0,Q2,,2012-06-30,2012-08-07 16:35:27+00:00,666909000.0,492484000.0,598069000.0,670688000.0,-45327000.0,1005039000.0,0.0,2258099000.0,830276000.0,1313800000.0,1383508000.0,1235629000.0,1682356000.0,63482000.0,712820000.0,144777000.0,192028000.0,52968000.0,17679000.0,246831000.0,106225000.0,625372000.0,46530000.0,,-806649000.0,57703000.0,5748425000.0,1406373000.0,2175863000.0,2170636000.0,1405873000.0,1550650000.0,4151245000.0,5748425000.0,2859742000.0,1980609000.0,,250000.0
Live Nation Entertainment Inc,LYV,5493007B9BM9ZXJINO78,1335258,2012.0,Q1,,2012-03-31,2012-05-09 21:42:27+00:00,678195000.0,421919000.0,549815000.0,655732000.0,-11056000.0,1071412000.0,0.0,2249999000.0,713989000.0,1277732000.0,1370607000.0,1223612000.0,1662167000.0,60118000.0,714875000.0,151367000.0,177433000.0,35015000.0,19536000.0,240593000.0,113068000.0,504463000.0,8824000.0,,-814341000.0,51218000.0,5549739000.0,1425077000.0,2032809000.0,2012753000.0,1424127000.0,1575494000.0,3965421000.0,5549739000.0,2802055000.0,1952668000.0,,475000.0
Live Nation Entertainment Inc,LYV,5493007B9BM9ZXJINO78,1335258,2013.0,FY,,2013-12-31,2015-02-26 16:36:16+00:00,767573000.0,439151000.0,668799000.0,795726000.0,-2370000.0,1299184000.0,0.0,2370259000.0,486433000.0,1466983000.0,1502526000.0,1053300000.0,1530484000.0,,706800000.0,180578000.0,161637000.0,43427000.0,54310000.0,296334000.0,85035000.0,378342000.0,61041000.0,,-951796000.0,278403000.0,5683521000.0,1409228000.0,2160104000.0,2255518000.0,1409228000.0,1589806000.0,4032674000.0,5683521000.0,2816617000.0,1777156000.0,,-6865000.0
