company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otherincome,otheroperatingexpenses,otherspecialcharges,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Boston Scientific Corp,BSX,Y6ZDD9FP4P8JSSJMW954,885725,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 19:40:11+00:00,620000000.0,-0.33,-0.33,-0.33,21000000.0,-74000000.0,-495000000.0,-495000000.0,-495000000.0,2342000000.0,8357000000.0,,15000000.0,202000000.0,925000000.0,1176000000.0,176000000.0,2909000000.0,2342000000.0,6015000000.0,570000000.0,6029000000.0,-14000000.0,-555000000.0,-569000000.0,8357000000.0,1500000000.0,1486900000.0,1486900000.0
Boston Scientific Corp,BSX,Y6ZDD9FP4P8JSSJMW954,885725,2008.0,FY,2008-01-01,2008-12-31,2010-02-25 19:40:11+00:00,543000000.0,-1.36,-1.36,-1.36,177000000.0,5000000.0,-2036000000.0,-2036000000.0,-2036000000.0,2469000000.0,8050000000.0,,-58000000.0,2316000000.0,334000000.0,1049000000.0,78000000.0,2589000000.0,2469000000.0,5581000000.0,468000000.0,7086000000.0,-1505000000.0,-526000000.0,-2031000000.0,8050000000.0,1497100000.0,1498500000.0,1498500000.0
Boston Scientific Corp,BSX,Y6ZDD9FP4P8JSSJMW954,885725,2008.0,Q3,2008-07-01,2008-09-30,2009-11-06 08:52:41+00:00,131000000.0,-0.04,-0.04,-0.04,155000000.0,-6000000.0,-62000000.0,-62000000.0,-62000000.0,655000000.0,1978000000.0,,16000000.0,51000000.0,84000000.0,244000000.0,20000000.0,610000000.0,655000000.0,1323000000.0,112000000.0,1295000000.0,28000000.0,-96000000.0,-68000000.0,1978000000.0,1550000000.0,1500900000.0,1500900000.0
Boston Scientific Corp,BSX,Y6ZDD9FP4P8JSSJMW954,885725,2008.0,Q2,2008-04-01,2008-06-30,2009-08-06 16:55:58+00:00,135000000.0,0.07,0.07,0.07,0.0,2000000.0,98000000.0,98000000.0,98000000.0,604000000.0,2024000000.0,,-85000000.0,48000000.0,0.0,269000000.0,10000000.0,655000000.0,604000000.0,1420000000.0,118000000.0,1117000000.0,303000000.0,-203000000.0,100000000.0,2024000000.0,1400000000.0,1497600000.0,1505200000.0
Boston Scientific Corp,BSX,Y6ZDD9FP4P8JSSJMW954,885725,2009.0,Q4,2009-10-01,2009-12-31,,131000000.0,-0.71,-0.71,-0.71,2000000.0,-271000000.0,-1076000000.0,-1076000000.0,-1076000000.0,710000000.0,2079000000.0,,6000000.0,41000000.0,1499000000.0,261000000.0,18000000.0,648000000.0,710000000.0,1369000000.0,122000000.0,2600000000.0,-1231000000.0,-116000000.0,-1347000000.0,2079000000.0,1507400000.0,1507900000.0,1507900000.0
Boston Scientific Corp,BSX,Y6ZDD9FP4P8JSSJMW954,885725,2009.0,FY,2009-01-01,2009-12-31,2012-02-17 16:40:03+00:00,511000000.0,-0.68,-0.68,-0.68,12000000.0,-283000000.0,-1025000000.0,-1025000000.0,-1025000000.0,2576000000.0,8188000000.0,,-7000000.0,191000000.0,2038000000.0,1056000000.0,63000000.0,2635000000.0,2576000000.0,5612000000.0,407000000.0,6506000000.0,-894000000.0,-414000000.0,-1308000000.0,8188000000.0,1507400000.0,1507900000.0,1507900000.0
Boston Scientific Corp,BSX,Y6ZDD9FP4P8JSSJMW954,885725,2009.0,Q3,2009-07-01,2009-09-30,2010-11-05 14:14:49+00:00,126000000.0,-0.06,-0.06,-0.06,,50000000.0,-94000000.0,-94000000.0,-94000000.0,629000000.0,2025000000.0,,-4000000.0,51000000.0,236000000.0,258000000.0,9000000.0,665000000.0,629000000.0,1396000000.0,91000000.0,1345000000.0,51000000.0,-95000000.0,-44000000.0,2025000000.0,1566700000.0,1509300000.0,1509300000.0
Boston Scientific Corp,BSX,Y6ZDD9FP4P8JSSJMW954,885725,2009.0,Q3YTD,2009-01-01,2009-09-30,,380000000.0,0.03,0.03,0.03,10000000.0,-12000000.0,51000000.0,51000000.0,51000000.0,1866000000.0,6109000000.0,,-13000000.0,150000000.0,539000000.0,795000000.0,45000000.0,1987000000.0,1866000000.0,4243000000.0,285000000.0,3906000000.0,337000000.0,-298000000.0,39000000.0,6109000000.0,1566700000.0,1509300000.0,1509300000.0
Boston Scientific Corp,BSX,Y6ZDD9FP4P8JSSJMW954,885725,2009.0,Q2,2009-04-01,2009-06-30,2009-08-06 16:55:58+00:00,126000000.0,0.1,0.1,0.1,10000000.0,22000000.0,158000000.0,158000000.0,158000000.0,630000000.0,2074000000.0,,-3000000.0,53000000.0,16000000.0,280000000.0,13000000.0,671000000.0,630000000.0,1444000000.0,92000000.0,1169000000.0,275000000.0,-95000000.0,180000000.0,2074000000.0,1580000000.0,1506800000.0,1514500000.0
Boston Scientific Corp,BSX,Y6ZDD9FP4P8JSSJMW954,885725,2009.0,Q2YTD,2009-01-01,2009-06-30,,254000000.0,0.09,0.09,0.09,10000000.0,-62000000.0,145000000.0,145000000.0,145000000.0,1237000000.0,4084000000.0,,-9000000.0,99000000.0,303000000.0,537000000.0,36000000.0,1322000000.0,1237000000.0,2847000000.0,194000000.0,2561000000.0,286000000.0,-203000000.0,83000000.0,4084000000.0,1580000000.0,1506800000.0,1514500000.0
