company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Raytheon Co,RTN,YR6K3WJN0KKLUPZSNL57,1047122,2007.0,FY,2007-01-01,2007-12-31,2010-02-24 10:09:09+00:00,-296000000.0,372000000.0,3143000000.0,-896000000.0,241000000.0,0.0,-3510000000.0,2536000000.0,1249000000.0,-29000000.0,-51000000.0,-3510000000.0,2507000000.0,1198000000.0,195000000.0,2604000000.0,1719000000.0,885000000.0,54000000.0,55000000.0,-6000000.0,-440000000.0,,-313000000.0,-1724000000.0,-1642000000.0,,8000000.0
Raytheon Co,RTN,YR6K3WJN0KKLUPZSNL57,1047122,2008.0,FY,2008-01-01,2008-12-31,2011-02-23 09:09:43+00:00,-128000000.0,390000000.0,9000000.0,-121000000.0,113000000.0,,-1994000000.0,-417000000.0,2036000000.0,,-21000000.0,-1994000000.0,-417000000.0,2015000000.0,-396000000.0,1696000000.0,1698000000.0,-2000000.0,69000000.0,53000000.0,-8000000.0,-460000000.0,,-304000000.0,,-1700000000.0,,14000000.0
Raytheon Co,RTN,YR6K3WJN0KKLUPZSNL57,1047122,2008.0,Q4,2008-09-29,2008-12-31,,-16000000.0,102000000.0,,-116000000.0,1000000.0,,-792000000.0,-154000000.0,444000000.0,,,-792000000.0,-154000000.0,444000000.0,-502000000.0,428000000.0,428000000.0,,30000000.0,3000000.0,-8000000.0,-116000000.0,,-137000000.0,,-680000000.0,,7000000.0
Raytheon Co,RTN,YR6K3WJN0KKLUPZSNL57,1047122,2008.0,Q3,2008-06-30,2008-09-28,,-48000000.0,99000000.0,,137000000.0,16000000.0,,-437000000.0,-109000000.0,758000000.0,,-5000000.0,-437000000.0,-109000000.0,753000000.0,207000000.0,437000000.0,437000000.0,,85000000.0,4000000.0,,-117000000.0,,-68000000.0,,-340000000.0,,7000000.0
Raytheon Co,RTN,YR6K3WJN0KKLUPZSNL57,1047122,2008.0,Q3YTD,2008-01-01,2008-09-28,2009-10-22 17:23:10+00:00,-112000000.0,288000000.0,9000000.0,-5000000.0,112000000.0,,-1202000000.0,-263000000.0,1592000000.0,,-21000000.0,-1202000000.0,-263000000.0,1571000000.0,106000000.0,1268000000.0,1270000000.0,-2000000.0,39000000.0,50000000.0,0.0,-344000000.0,,-167000000.0,0.0,-1020000000.0,,7000000.0
Raytheon Co,RTN,YR6K3WJN0KKLUPZSNL57,1047122,2008.0,Q2YTD,2008-01-01,2008-06-29,2009-07-23 11:48:03+00:00,-64000000.0,189000000.0,9000000.0,-142000000.0,96000000.0,,-765000000.0,-154000000.0,834000000.0,,-16000000.0,-765000000.0,-154000000.0,818000000.0,-101000000.0,831000000.0,833000000.0,-2000000.0,-46000000.0,46000000.0,0.0,-227000000.0,,-99000000.0,0.0,-680000000.0,,0.0
Raytheon Co,RTN,YR6K3WJN0KKLUPZSNL57,1047122,2009.0,Q4,2009-09-28,2009-12-31,,-352000000.0,107000000.0,,421000000.0,1000000.0,496000000.0,-373000000.0,-496000000.0,1073000000.0,,-4000000.0,-373000000.0,-496000000.0,1069000000.0,200000000.0,517000000.0,517000000.0,,28000000.0,7000000.0,-2000000.0,-118000000.0,,-142000000.0,-479000000.0,-280000000.0,,
Raytheon Co,RTN,YR6K3WJN0KKLUPZSNL57,1047122,2009.0,FY,2009-01-01,2009-12-31,2012-02-22 16:37:34+00:00,-401000000.0,402000000.0,,252000000.0,1000000.0,496000000.0,-1650000000.0,-692000000.0,2745000000.0,,-20000000.0,-1650000000.0,-692000000.0,2725000000.0,383000000.0,1976000000.0,1977000000.0,-1000000.0,114000000.0,13000000.0,-12000000.0,-473000000.0,,-280000000.0,-487000000.0,-1200000000.0,,1000000.0
Raytheon Co,RTN,YR6K3WJN0KKLUPZSNL57,1047122,2009.0,Q3TTM,2008-09-29,2009-09-27,,-65000000.0,397000000.0,,-285000000.0,1000000.0,,-2069000000.0,-350000000.0,2116000000.0,,-16000000.0,-2069000000.0,-350000000.0,2100000000.0,-319000000.0,1887000000.0,1888000000.0,-1000000.0,116000000.0,9000000.0,-18000000.0,-471000000.0,,-275000000.0,-8000000.0,-1600000000.0,,8000000.0
Raytheon Co,RTN,YR6K3WJN0KKLUPZSNL57,1047122,2009.0,Q3,2009-06-29,2009-09-27,,-15000000.0,101000000.0,,116000000.0,,,-427000000.0,-72000000.0,749000000.0,,-7000000.0,-427000000.0,-72000000.0,742000000.0,243000000.0,498000000.0,499000000.0,-1000000.0,33000000.0,,,-121000000.0,,-57000000.0,-2000000.0,-304000000.0,,
