company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstonetincometocommon,otherincome,otheroperatingexpenses,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Bemis Company Inc,BMS,PTVU09TE3QPJPL7K4E13,11199,2008.0,FY,2008-01-01,2008-12-31,2011-03-01 11:46:36+00:00,1.61,1.61,0.88,1.61,,96300000.0,172225000.0,172225000.0,,166214000.0,6011000.0,3131341000.0,3779373000.0,,13716000.0,,25010000.0,,328800000.0,3131341000.0,648032000.0,39413000.0,353810000.0,294222000.0,-25697000.0,268525000.0,3779373000.0,103200000.0,103200000.0,103200000.0
Bemis Company Inc,BMS,PTVU09TE3QPJPL7K4E13,11199,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 10:52:16+00:00,1.38,1.38,0.9,1.38,,87800000.0,152510000.0,152510000.0,,147221000.0,5289000.0,2814412000.0,3514586000.0,,2139000.0,,24342000.0,,395609000.0,2814412000.0,700174000.0,42052000.0,419951000.0,280223000.0,-39913000.0,240310000.0,3514586000.0,103447000.0,103447000.0,103447000.0
Bemis Company Inc,BMS,PTVU09TE3QPJPL7K4E13,11199,2009.0,Q3,2009-07-01,2009-09-30,2010-11-09 12:56:23+00:00,0.33,0.33,0.225,0.33,,21500000.0,38436000.0,38436000.0,,35840000.0,2596000.0,718814000.0,898930000.0,,4873000.0,,5837000.0,,105821000.0,718814000.0,180116000.0,13395000.0,111658000.0,68458000.0,-8522000.0,59936000.0,898930000.0,108600000.0,108600000.0,108600000.0
Bemis Company Inc,BMS,PTVU09TE3QPJPL7K4E13,11199,2009.0,Q2,2009-04-01,2009-06-30,2010-08-09 10:29:19+00:00,0.47,0.47,0.225,0.47,,28800000.0,49697000.0,49697000.0,,48521000.0,1176000.0,688000000.0,866379000.0,,801000.0,,6533000.0,,88289000.0,688000000.0,178379000.0,5861000.0,94822000.0,83557000.0,-5060000.0,78497000.0,866379000.0,103200000.0,103200000.0,103200000.0
Bemis Company Inc,BMS,PTVU09TE3QPJPL7K4E13,11199,2010.0,Q4,2010-10-01,2010-12-31,,0.48,0.48,0.23,0.48,,30400000.0,54706000.0,54688000.0,18000.0,53259000.0,1447000.0,1017580000.0,1248715000.0,,-684000.0,,9454000.0,,117431000.0,1017580000.0,231135000.0,18478000.0,126885000.0,104250000.0,-19162000.0,85088000.0,1248715000.0,108700000.0,108700000.0,108700000.0
Bemis Company Inc,BMS,PTVU09TE3QPJPL7K4E13,11199,2010.0,FY,2010-01-01,2010-12-31,2013-02-28 11:35:02+00:00,1.85,1.85,0.92,1.85,,117600000.0,211500000.0,209700000.0,1800000.0,205100000.0,6400000.0,3941800000.0,4835000000.0,,0.0,,34300000.0,0.0,458100000.0,3941800000.0,893200000.0,73500000.0,492400000.0,400800000.0,-73500000.0,327300000.0,4835000000.0,108700000.0,108700000.0,108700000.0
Bemis Company Inc,BMS,PTVU09TE3QPJPL7K4E13,11199,2010.0,Q3YTD,2010-01-01,2010-09-30,,1.37,1.37,0.69,1.37,,87200000.0,156794000.0,155012000.0,1782000.0,151841000.0,4953000.0,2924220000.0,3586285000.0,,684000.0,,24846000.0,,340669000.0,2924220000.0,662065000.0,55022000.0,365515000.0,296550000.0,-54338000.0,242212000.0,3586285000.0,108617000.0,108617000.0,108617000.0
Bemis Company Inc,BMS,PTVU09TE3QPJPL7K4E13,11199,2010.0,Q3,2010-07-01,2010-09-30,2011-11-07 12:13:47+00:00,0.55,0.55,0.23,0.55,,35800000.0,62768000.0,63601000.0,-833000.0,61419000.0,1349000.0,1052084000.0,1294341000.0,,-1523000.0,,10496000.0,,112492000.0,1052084000.0,242257000.0,18345000.0,122988000.0,119269000.0,-19868000.0,99401000.0,1294341000.0,108617000.0,108617000.0,108617000.0
Bemis Company Inc,BMS,PTVU09TE3QPJPL7K4E13,11199,2010.0,Q2YTD,2010-01-01,2010-06-30,,0.82,0.82,0.46,0.82,,51400000.0,94026000.0,91411000.0,2615000.0,90422000.0,3604000.0,1872136000.0,2291944000.0,,2207000.0,,14350000.0,,228177000.0,1872136000.0,419808000.0,36677000.0,242527000.0,177281000.0,-34470000.0,142811000.0,2291944000.0,109103000.0,109103000.0,109103000.0
Bemis Company Inc,BMS,PTVU09TE3QPJPL7K4E13,11199,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 10:29:53+00:00,0.54,0.54,0.23,0.54,,33500000.0,61577000.0,59616000.0,1961000.0,59639000.0,1938000.0,1036248000.0,1270215000.0,,-832000.0,,8725000.0,,112754000.0,1036248000.0,233967000.0,18540000.0,121479000.0,112488000.0,-19372000.0,93116000.0,1270215000.0,109103000.0,109103000.0,109103000.0
