company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofplantpropertyandequipment
Bemis Company Inc,BMS,PTVU09TE3QPJPL7K4E13,11199,2008.0,FY,2008-01-01,2008-12-31,2011-03-01 11:46:36+00:00,,76905000.0,39909000.0,162004000.0,,-15314000.0,-58576000.0,,185629000.0,-264107000.0,-118084000.0,293550000.0,-264107000.0,-118084000.0,293550000.0,-103955000.0,172225000.0,172225000.0,17897000.0,-1987000.0,-90695000.0,-120513000.0,-330283000.0,-26771000.0,2429000.0
Bemis Company Inc,BMS,PTVU09TE3QPJPL7K4E13,11199,2009.0,Q4,2009-10-01,2009-12-31,,294000.0,21072000.0,8671000.0,40898000.0,,-2821000.0,5804000.0,1000.0,12340000.0,-89393000.0,-26039000.0,79928000.0,-89393000.0,-26039000.0,79928000.0,-38325000.0,27029000.0,27029000.0,6197000.0,-219000.0,-25083000.0,-26633000.0,-76432000.0,,300000.0
Bemis Company Inc,BMS,PTVU09TE3QPJPL7K4E13,11199,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 10:52:16+00:00,-30343000.0,65286000.0,19990000.0,159274000.0,,3714000.0,148830000.0,202809000.0,823088000.0,651282000.0,-108576000.0,475813000.0,651282000.0,-108576000.0,475813000.0,1022233000.0,152510000.0,152510000.0,15199000.0,-2677000.0,-96595000.0,-89154000.0,-275343000.0,,10921000.0
Bemis Company Inc,BMS,PTVU09TE3QPJPL7K4E13,11199,2009.0,Q3,2009-07-01,2009-09-30,,57000.0,16747000.0,1523000.0,40236000.0,,987000.0,50128000.0,202808000.0,809355000.0,901275000.0,-6944000.0,128632000.0,901275000.0,-6944000.0,128632000.0,1023950000.0,38436000.0,38436000.0,-168000.0,115000.0,-25050000.0,-17201000.0,-85953000.0,,10200000.0
Bemis Company Inc,BMS,PTVU09TE3QPJPL7K4E13,11199,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-09 12:56:23+00:00,-30637000.0,44214000.0,11319000.0,118376000.0,,6535000.0,143026000.0,202808000.0,810748000.0,740675000.0,-82537000.0,395885000.0,740675000.0,-82537000.0,395885000.0,1060558000.0,125481000.0,125481000.0,9002000.0,-2458000.0,-71512000.0,-62521000.0,-198911000.0,,10621000.0
Bemis Company Inc,BMS,PTVU09TE3QPJPL7K4E13,11199,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-09 10:29:19+00:00,-30694000.0,27467000.0,9796000.0,78140000.0,,5548000.0,92898000.0,,1393000.0,-160600000.0,-75593000.0,267253000.0,-160600000.0,-75593000.0,267253000.0,36608000.0,87045000.0,87045000.0,9170000.0,-2573000.0,-46462000.0,-45320000.0,-112958000.0,,421000.0
Bemis Company Inc,BMS,PTVU09TE3QPJPL7K4E13,11199,2010.0,Q4,2010-10-01,2010-12-31,,26532000.0,29001000.0,8439000.0,53523000.0,-2000.0,8829000.0,2153000.0,,-90534000.0,-133879000.0,-21398000.0,114337000.0,-133879000.0,-21398000.0,114337000.0,-32111000.0,54706000.0,54706000.0,3955000.0,93000.0,-25271000.0,-48530000.0,-1692000.0,-16475000.0,602000.0
Bemis Company Inc,BMS,PTVU09TE3QPJPL7K4E13,11199,2010.0,FY,2010-01-01,2010-12-31,2013-02-28 11:35:02+00:00,-1179700000.0,107700000.0,72400000.0,209700000.0,75200000.0,-4500000.0,-66300000.0,,81500000.0,-153400000.0,-1215400000.0,368000000.0,-153400000.0,-1215400000.0,368000000.0,-1005300000.0,211500000.0,211500000.0,13100000.0,-11000000.0,-117800000.0,-113200000.0,-60400000.0,-45700000.0,2300000.0
Bemis Company Inc,BMS,PTVU09TE3QPJPL7K4E13,11199,2010.0,Q3TTM,2009-10-01,2010-09-30,,-1205938000.0,99771000.0,72632000.0,197075000.0,75202000.0,-16150000.0,-62649000.0,1000.0,184374000.0,-108914000.0,-1220041000.0,333591000.0,-108914000.0,-1220041000.0,333591000.0,-1011514000.0,183823000.0,183823000.0,15342000.0,-11312000.0,-117612000.0,-91303000.0,-135140000.0,-29225000.0,1998000.0
Bemis Company Inc,BMS,PTVU09TE3QPJPL7K4E13,11199,2010.0,Q3,2010-07-01,2010-09-30,,15879000.0,38047000.0,26357000.0,54393000.0,75202000.0,-8245000.0,3561000.0,,-79192000.0,-171040000.0,66546000.0,124951000.0,-171040000.0,66546000.0,124951000.0,12212000.0,62768000.0,62768000.0,4229000.0,-641000.0,-41424000.0,-25380000.0,-20558000.0,-29225000.0,845000.0
