company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,othercostofrevenue,othergains,otherincome,otheroperatingexpenses,otherspecialcharges,preferreddividends,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Sempra Energy,SRE,PBBKGKLRK5S5C0Y4T545,1032208,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 16:04:40+00:00,4.5,4.5,1.37,687000000.0,4.43,,438000000.0,1068000000.0,1068000000.0,,1113000000.0,-55000000.0,5997000000.0,10758000000.0,,312000000.0,63000000.0,-109000000.0,,3000000.0,10000000.0,,2419000000.0,6309000000.0,4449000000.0,253000000.0,465000000.0,3109000000.0,1340000000.0,103000000.0,1443000000.0,10758000000.0,247300000.0,247387000.0,251159000.0
Sempra Energy,SRE,PBBKGKLRK5S5C0Y4T545,1032208,2009.0,FY,2009-01-01,2009-12-31,2012-02-28 17:06:33+00:00,4.6,4.6,1.56,775000000.0,4.52,132000000.0,422000000.0,1122000000.0,1122000000.0,,1119000000.0,-7000000.0,3258000000.0,8106000000.0,,296000000.0,68000000.0,149000000.0,,4000000.0,10000000.0,,2467000000.0,3554000000.0,4552000000.0,367000000.0,520000000.0,3378000000.0,1174000000.0,302000000.0,1476000000.0,8106000000.0,243300000.0,243339000.0,247384000.0
Sempra Energy,SRE,PBBKGKLRK5S5C0Y4T545,1032208,2010.0,Q4,2010-10-01,2010-12-31,,1.04,1.04,0.39,223000000.0,1.02,,48000000.0,271000000.0,271000000.0,,250000000.0,18000000.0,946000000.0,2345000000.0,,84000000.0,7000000.0,58000000.0,,-15000000.0,3000000.0,,717000000.0,1030000000.0,1315000000.0,113000000.0,-23000000.0,925000000.0,390000000.0,-78000000.0,312000000.0,2345000000.0,244500000.0,244736000.0,247942000.0
Sempra Energy,SRE,PBBKGKLRK5S5C0Y4T545,1032208,2010.0,FY,2010-01-01,2010-12-31,2013-02-26 17:20:02+00:00,2.9,2.9,1.56,866000000.0,2.86,,133000000.0,703000000.0,703000000.0,,709000000.0,-16000000.0,3783000000.0,9003000000.0,,327000000.0,49000000.0,140000000.0,,169000000.0,10000000.0,,2499000000.0,4110000000.0,4893000000.0,436000000.0,-276000000.0,3534000000.0,1359000000.0,-572000000.0,787000000.0,9003000000.0,244500000.0,244736000.0,247942000.0
Sempra Energy,SRE,PBBKGKLRK5S5C0Y4T545,1032208,2010.0,Q3YTD,2010-01-01,2010-09-30,,1.86,1.86,1.17,643000000.0,1.84,,85000000.0,432000000.0,432000000.0,,459000000.0,-34000000.0,2837000000.0,6658000000.0,,243000000.0,42000000.0,82000000.0,,184000000.0,7000000.0,,1782000000.0,3080000000.0,3578000000.0,323000000.0,-253000000.0,2609000000.0,969000000.0,-494000000.0,475000000.0,6658000000.0,247200000.0,246668000.0,249811000.0
Sempra Energy,SRE,PBBKGKLRK5S5C0Y4T545,1032208,2010.0,Q3,2010-07-01,2010-09-30,2011-11-03 15:28:57+00:00,0.53,0.53,0.39,218000000.0,0.53,,-32000000.0,127000000.0,127000000.0,,131000000.0,-6000000.0,803000000.0,2116000000.0,,76000000.0,-4000000.0,66000000.0,,17000000.0,2000000.0,,590000000.0,879000000.0,1237000000.0,111000000.0,-268000000.0,825000000.0,412000000.0,-313000000.0,99000000.0,2116000000.0,247200000.0,246668000.0,249811000.0
Sempra Energy,SRE,PBBKGKLRK5S5C0Y4T545,1032208,2010.0,Q2YTD,2010-01-01,2010-06-30,,1.33,1.33,0.78,425000000.0,1.31,,117000000.0,305000000.0,305000000.0,,328000000.0,-28000000.0,2034000000.0,4542000000.0,,167000000.0,46000000.0,16000000.0,,167000000.0,5000000.0,,1192000000.0,2201000000.0,2341000000.0,212000000.0,15000000.0,1784000000.0,557000000.0,-181000000.0,376000000.0,4542000000.0,246700000.0,246784000.0,249727000.0
Sempra Energy,SRE,PBBKGKLRK5S5C0Y4T545,1032208,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 14:59:22+00:00,0.9,0.9,0.39,215000000.0,0.89,,59000000.0,205000000.0,205000000.0,,222000000.0,-20000000.0,765000000.0,2008000000.0,,77000000.0,27000000.0,8000000.0,,-1000000.0,3000000.0,,616000000.0,842000000.0,1166000000.0,103000000.0,-4000000.0,830000000.0,336000000.0,-99000000.0,237000000.0,2008000000.0,246700000.0,246784000.0,249727000.0
Sempra Energy,SRE,PBBKGKLRK5S5C0Y4T545,1032208,2010.0,Q1,2010-01-01,2010-03-31,2011-05-09 15:27:11+00:00,0.43,0.43,0.39,210000000.0,0.42,,58000000.0,100000000.0,100000000.0,,106000000.0,-8000000.0,1269000000.0,2534000000.0,,90000000.0,19000000.0,8000000.0,,168000000.0,2000000.0,,576000000.0,1359000000.0,1175000000.0,109000000.0,19000000.0,954000000.0,221000000.0,-82000000.0,139000000.0,2534000000.0,246500000.0,246083000.0,250373000.0
Sempra Energy,SRE,PBBKGKLRK5S5C0Y4T545,1032208,2011.0,Q4,2011-10-01,2011-12-31,,1.18,1.18,0.48,247000000.0,1.17,,105000000.0,308000000.0,308000000.0,,285000000.0,21000000.0,986000000.0,2604000000.0,,84000000.0,7000000.0,44000000.0,,,2000000.0,,822000000.0,1070000000.0,1534000000.0,121000000.0,18000000.0,1069000000.0,465000000.0,-59000000.0,406000000.0,2604000000.0,239800000.0,239720000.0,241523000.0
