company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,aoci,cashandequivalents,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,goodwill,grossppe,intangibleassets,longtermdebt,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,redeemablenoncontrollinginterest,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
General Mills Inc,GIS,2TGYMUGI08PO8X8L6150,40704,2009.0,FY,,2009-05-31,2010-07-09 11:05:00+00:00,803400000.0,953400000.0,-877800000.0,749800000.0,1287600000.0,15600000.0,,6663000000.0,,3747000000.0,5754800000.0,1346800000.0,3034900000.0,244200000.0,1165300000.0,469300000.0,1481900000.0,895000000.0,1932200000.0,,,7235600000.0,1320700000.0,17874800000.0,5172300000.0,3534900000.0,3606000000.0,5172300000.0,5416500000.0,12458300000.0,17874800000.0,11305000000.0,8852300000.0,-2473100000.0
General Mills Inc,GIS,2TGYMUGI08PO8X8L6150,40704,2010.0,FY,,2010-05-30,2011-07-08 14:40:01+00:00,849500000.0,1041600000.0,-1486900000.0,673200000.0,1382600000.0,42700000.0,0.0,6592800000.0,,3715000000.0,5268500000.0,1344000000.0,3127700000.0,245100000.0,874600000.0,378500000.0,1762200000.0,763400000.0,2118700000.0,,,8122400000.0,1157400000.0,17678900000.0,5402900000.0,3480000000.0,3769100000.0,5402900000.0,5648000000.0,12030900000.0,17678900000.0,11071200000.0,8261800000.0,-2615200000.0
General Mills Inc,GIS,2TGYMUGI08PO8X8L6150,40704,2010.0,Q3,,2010-02-28,2010-03-24 16:46:36+00:00,690500000.0,1180200000.0,-859700000.0,691300000.0,1352200000.0,8100000.0,,6645700000.0,,3740900000.0,5671600000.0,1474600000.0,3004400000.0,245000000.0,1141400000.0,322900000.0,1607400000.0,1148100000.0,1939700000.0,,,8075900000.0,688500000.0,18216200000.0,6232100000.0,3677100000.0,2986400000.0,6232100000.0,6477100000.0,11739100000.0,18216200000.0,11534700000.0,8752700000.0,-2336300000.0
General Mills Inc,GIS,2TGYMUGI08PO8X8L6150,40704,2010.0,Q2,,2009-11-29,2009-12-18 15:37:29+00:00,717600000.0,1211600000.0,-722800000.0,858400000.0,1322200000.0,0.0,1700000.0,6697900000.0,,3766400000.0,5648000000.0,1628700000.0,2987500000.0,244800000.0,1163300000.0,429100000.0,1688500000.0,981700000.0,1956800000.0,,,7908800000.0,1051700000.0,18561300000.0,6088900000.0,4127800000.0,3459500000.0,6088900000.0,6333700000.0,12227600000.0,18561300000.0,11446000000.0,8768100000.0,-2419300000.0
General Mills Inc,GIS,2TGYMUGI08PO8X8L6150,40704,2010.0,Q1,,2009-08-30,2009-09-23 21:28:51+00:00,792100000.0,1139000000.0,-837700000.0,711600000.0,1308200000.0,1400000.0,,6668900000.0,,3749900000.0,5753900000.0,1645700000.0,2992100000.0,244900000.0,1157000000.0,375800000.0,1496900000.0,905700000.0,1928300000.0,,,7500000000.0,1423300000.0,18190100000.0,5393700000.0,3873500000.0,3712300000.0,5393700000.0,5638600000.0,12551500000.0,18190100000.0,11324500000.0,8839200000.0,-2576800000.0
General Mills Inc,GIS,2TGYMUGI08PO8X8L6150,40704,2011.0,FY,,2011-05-29,2012-07-03 15:26:19+00:00,995100000.0,1162300000.0,-1010800000.0,619600000.0,1395300000.0,27300000.0,,6750800000.0,,3813300000.0,5542500000.0,1609300000.0,3345900000.0,246700000.0,1127400000.0,,1321500000.0,862500000.0,1733200000.0,483500000.0,0.0,9191300000.0,1342600000.0,18674500000.0,6365500000.0,3902000000.0,3659200000.0,6365500000.0,6612200000.0,12062300000.0,18674500000.0,11426600000.0,8403100000.0,-3210300000.0
General Mills Inc,GIS,2TGYMUGI08PO8X8L6150,40704,2011.0,Q3,,2011-02-27,2011-03-23 15:22:34+00:00,830100000.0,1185900000.0,-1162200000.0,540300000.0,1376200000.0,30900000.0,,6702900000.0,,3802800000.0,4843100000.0,1668100000.0,3180400000.0,246000000.0,988600000.0,417700000.0,1675500000.0,752500000.0,1826300000.0,,,9053000000.0,2005700000.0,18281500000.0,5866200000.0,3842900000.0,4511300000.0,5866200000.0,6112200000.0,12169300000.0,18281500000.0,11258200000.0,7658000000.0,-3400800000.0
General Mills Inc,GIS,2TGYMUGI08PO8X8L6150,40704,2011.0,Q2,,2010-11-28,2010-12-17 14:24:28+00:00,826700000.0,1299100000.0,-1273400000.0,566300000.0,1370400000.0,28500000.0,,6634700000.0,,3740500000.0,5864100000.0,1706000000.0,3146100000.0,245200000.0,965200000.0,416700000.0,1725300000.0,840600000.0,1930800000.0,,,8842100000.0,1181600000.0,18378500000.0,5639600000.0,4016600000.0,3733600000.0,5639600000.0,5884800000.0,12493700000.0,18378500000.0,11215800000.0,8760100000.0,-3299500000.0
General Mills Inc,GIS,2TGYMUGI08PO8X8L6150,40704,2011.0,Q1,,2010-08-29,2010-09-22 16:06:14+00:00,888000000.0,1173100000.0,-1390900000.0,697000000.0,1358000000.0,35600000.0,,6613500000.0,,3727700000.0,5771600000.0,1665200000.0,3111700000.0,246600000.0,885100000.0,382900000.0,1746400000.0,803800000.0,2090900000.0,,,8410400000.0,1457100000.0,18210500000.0,5124800000.0,3953800000.0,4091500000.0,5124800000.0,5371400000.0,12839100000.0,18210500000.0,11145000000.0,8747600000.0,-3252700000.0
General Mills Inc,GIS,2TGYMUGI08PO8X8L6150,40704,2012.0,FY,,2012-05-27,2013-07-03 13:18:48+00:00,1148900000.0,1323600000.0,-1743700000.0,471200000.0,1383900000.0,59700000.0,,8182500000.0,,4704900000.0,6161900000.0,1478800000.0,3652700000.0,461000000.0,1171400000.0,,1426600000.0,865300000.0,2189800000.0,358100000.0,847800000.0,9958500000.0,1267700000.0,21096800000.0,6421700000.0,3691400000.0,3843200000.0,6421700000.0,6882700000.0,13366300000.0,21096800000.0,13752700000.0,9523100000.0,-3177000000.0
