company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,goodwill,intangibleassets,longtermdebt,netinventory,netppe,noncurrentdeferredrevenue,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,redeemablenoncontrollinginterest,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
Covidien plc,COV,,1385187,2008.0,FY,,2008-09-26,2009-11-20 16:01:26+00:00,558000000.0,1758000000.0,,707000000.0,1208000000.0,,6354000000.0,444000000.0,92000000.0,362000000.0,5846000000.0,1273000000.0,2986000000.0,1347000000.0,2584000000.0,1397000000.0,191000000.0,361000000.0,334000000.0,1013000000.0,,,1018000000.0,1468000000.0,,,686000000.0,19000000.0,16003000000.0,7747000000.0,5091000000.0,2044000000.0,7747000000.0,7747000000.0,8256000000.0,16003000000.0,8328000000.0,6212000000.0,0.0,
Covidien plc,COV,,1385187,2009.0,FY,,2009-09-25,2010-11-22 16:02:33+00:00,471000000.0,1669000000.0,1275000000.0,529000000.0,1467000000.0,,6445000000.0,454000000.0,35000000.0,374000000.0,6020000000.0,1513000000.0,2961000000.0,1272000000.0,2542000000.0,1768000000.0,,459000000.0,357000000.0,,,103000000.0,1401000000.0,1662000000.0,444000000.0,,1182000000.0,30000000.0,17139000000.0,8001000000.0,5663000000.0,2288000000.0,8001000000.0,8001000000.0,9138000000.0,17139000000.0,8934000000.0,6850000000.0,0.0,-155000000.0
Covidien plc,COV,,1385187,2009.0,Q3,,2009-06-26,2009-07-30 16:35:37+00:00,467000000.0,1633000000.0,,417000000.0,1221000000.0,0.0,6409000000.0,,,,5976000000.0,1519000000.0,3004000000.0,1343000000.0,2502000000.0,1531000000.0,,,811000000.0,1504000000.0,351000000.0,90000000.0,1318000000.0,1939000000.0,,,1308000000.0,5000000.0,16674000000.0,8134000000.0,5359000000.0,2066000000.0,8134000000.0,8134000000.0,8540000000.0,16674000000.0,8813000000.0,6474000000.0,0.0,
Covidien plc,COV,,1385187,2010.0,FY,,2010-09-24,2011-11-22 21:15:13+00:00,586000000.0,1708000000.0,,350000000.0,1565000000.0,0.0,6664000000.0,529000000.0,547000000.0,435000000.0,7675000000.0,2949000000.0,4451000000.0,1381000000.0,2608000000.0,1565000000.0,,673000000.0,245000000.0,1303000000.0,,,1415000000.0,1598000000.0,312000000.0,,2444000000.0,255000000.0,20387000000.0,8974000000.0,5740000000.0,3126000000.0,8974000000.0,8974000000.0,11413000000.0,20387000000.0,12039000000.0,8287000000.0,0.0,-484000000.0
Covidien plc,COV,,1385187,2010.0,Q3,,2010-06-25,2010-07-30 16:02:06+00:00,500000000.0,1572000000.0,1312000000.0,168000000.0,2123000000.0,,6397000000.0,,,,6063000000.0,1612000000.0,2706000000.0,1293000000.0,2531000000.0,1909000000.0,,,397000000.0,104000000.0,,112000000.0,1350000000.0,2152000000.0,858000000.0,,2184000000.0,255000000.0,17799000000.0,8749000000.0,6243000000.0,2283000000.0,8749000000.0,8749000000.0,9050000000.0,17799000000.0,9025000000.0,6767000000.0,0.0,
Covidien plc,COV,,1385187,2010.0,Q2,,2010-03-26,2010-04-30 16:36:51+00:00,509000000.0,1690000000.0,1361000000.0,317000000.0,1720000000.0,,6386000000.0,,,,6112000000.0,1699000000.0,2707000000.0,1358000000.0,2651000000.0,1852000000.0,,,61000000.0,104000000.0,,,1396000000.0,2219000000.0,842000000.0,,1819000000.0,255000000.0,17529000000.0,8522000000.0,5671000000.0,2229000000.0,8522000000.0,8522000000.0,9007000000.0,17529000000.0,9207000000.0,6778000000.0,0.0,
Covidien plc,COV,,1385187,2010.0,Q1,,2009-12-25,2010-01-26 07:02:45+00:00,519000000.0,1745000000.0,,474000000.0,1513000000.0,0.0,6337000000.0,,,,6118000000.0,1700000000.0,2709000000.0,1324000000.0,2661000000.0,1808000000.0,,,846000000.0,1433000000.0,,,1443000000.0,2228000000.0,,,1587000000.0,255000000.0,17350000000.0,8398000000.0,5428000000.0,2207000000.0,8398000000.0,8398000000.0,8952000000.0,17350000000.0,9261000000.0,6745000000.0,0.0,
Covidien plc,COV,,1385187,2011.0,FY,,2011-09-30,2012-11-15 16:45:35+00:00,576000000.0,1744000000.0,,398000000.0,1503000000.0,0.0,6947000000.0,525000000.0,,,7683000000.0,2764000000.0,4197000000.0,1513000000.0,2705000000.0,1629000000.0,,745000000.0,,1813000000.0,,,1449000000.0,1586000000.0,488000000.0,,3908000000.0,11000000.0,20374000000.0,9817000000.0,5773000000.0,2400000000.0,9817000000.0,9817000000.0,10557000000.0,20374000000.0,11896000000.0,8157000000.0,0.0,-1436000000.0
Covidien plc,COV,,1385187,2011.0,Q3,,2011-06-24,2011-07-29 16:06:54+00:00,603000000.0,1880000000.0,,524000000.0,1755000000.0,0.0,6915000000.0,,288000000.0,,7700000000.0,2823000000.0,4070000000.0,1528000000.0,2685000000.0,1622000000.0,,,149000000.0,1543000000.0,,,1375000000.0,2268000000.0,838000000.0,,3663000000.0,96000000.0,20733000000.0,10243000000.0,6150000000.0,2530000000.0,10243000000.0,10243000000.0,10490000000.0,20733000000.0,11898000000.0,7960000000.0,0.0,-859000000.0
Covidien plc,COV,,1385187,2011.0,Q2,,2011-03-25,2011-05-03 16:06:07+00:00,564000000.0,1844000000.0,1488000000.0,471000000.0,1629000000.0,,6789000000.0,,372000000.0,,7692000000.0,2856000000.0,4241000000.0,1475000000.0,2631000000.0,1613000000.0,,,147000000.0,152000000.0,,,1377000000.0,2259000000.0,848000000.0,,3128000000.0,5000000.0,20499000000.0,9805000000.0,5943000000.0,2581000000.0,9805000000.0,9805000000.0,10694000000.0,20499000000.0,11925000000.0,8113000000.0,0.0,-583000000.0
Covidien plc,COV,,1385187,2011.0,Q1,,2010-12-24,2011-02-01 16:48:41+00:00,583000000.0,1730000000.0,1273000000.0,318000000.0,1150000000.0,,6711000000.0,,424000000.0,,7667000000.0,2891000000.0,4356000000.0,1410000000.0,2611000000.0,1606000000.0,,,201000000.0,108000000.0,,,1469000000.0,2305000000.0,844000000.0,,2870000000.0,4000000.0,19973000000.0,9314000000.0,5335000000.0,2392000000.0,9314000000.0,9314000000.0,10659000000.0,19973000000.0,12027000000.0,8267000000.0,0.0,-585000000.0
Covidien plc,COV,,1385187,2012.0,FY,,2012-09-28,2013-11-21 06:03:48+00:00,589000000.0,1702000000.0,,285000000.0,1866000000.0,0.0,7283000000.0,590000000.0,53000000.0,,8542000000.0,3085000000.0,4531000000.0,1772000000.0,2872000000.0,1696000000.0,,828000000.0,5000000.0,1761000000.0,,,1486000000.0,1725000000.0,337000000.0,,5365000000.0,509000000.0,22257000000.0,10565000000.0,6272000000.0,2912000000.0,10565000000.0,10565000000.0,11692000000.0,22257000000.0,13113000000.0,8780000000.0,0.0,-2368000000.0
Covidien plc,COV,,1385187,2012.0,Q3,,2012-06-29,2012-08-06 18:01:57+00:00,596000000.0,1662000000.0,,231000000.0,1935000000.0,0.0,7167000000.0,,51000000.0,,8486000000.0,3080000000.0,4574000000.0,1723000000.0,2806000000.0,1675000000.0,,,,1438000000.0,,,1484000000.0,2557000000.0,938000000.0,,5135000000.0,511000000.0,22114000000.0,10712000000.0,6258000000.0,2596000000.0,10712000000.0,10712000000.0,11402000000.0,22114000000.0,13050000000.0,8806000000.0,0.0,-1821000000.0
Covidien plc,COV,,1385187,2012.0,Q2,,2012-03-30,2012-05-04 16:07:27+00:00,591000000.0,1874000000.0,,362000000.0,1663000000.0,0.0,7081000000.0,,50000000.0,,7961000000.0,2836000000.0,3824000000.0,1640000000.0,2769000000.0,1660000000.0,,,,1491000000.0,,,1506000000.0,2496000000.0,905000000.0,,4682000000.0,511000000.0,21154000000.0,10531000000.0,6082000000.0,2643000000.0,10531000000.0,10531000000.0,10623000000.0,21154000000.0,12303000000.0,7980000000.0,0.0,-1594000000.0
Covidien plc,COV,,1385187,2012.0,Q1,,2011-12-30,2012-02-03 16:05:52+00:00,539000000.0,1782000000.0,,302000000.0,1767000000.0,,6979000000.0,,63000000.0,,7667000000.0,2707000000.0,3925000000.0,1552000000.0,2734000000.0,1635000000.0,,,6000000.0,1300000000.0,,,1447000000.0,2372000000.0,923000000.0,,4401000000.0,510000000.0,20585000000.0,10241000000.0,6030000000.0,2412000000.0,10241000000.0,10241000000.0,10344000000.0,20585000000.0,11821000000.0,7932000000.0,0.0,-1441000000.0
Covidien plc,COV,,1385187,2013.0,FY,,2013-09-27,2014-11-24 16:04:41+00:00,501000000.0,1526000000.0,,292000000.0,1868000000.0,0.0,7646000000.0,456000000.0,541000000.0,,8172000000.0,2687000000.0,5018000000.0,1352000000.0,2012000000.0,1147000000.0,,605000000.0,293000000.0,1586000000.0,,,1180000000.0,1267000000.0,372000000.0,0.0,3514000000.0,11000000.0,19918000000.0,9242000000.0,5867000000.0,2639000000.0,9242000000.0,9242000000.0,10676000000.0,19918000000.0,12039000000.0,8037000000.0,0.0,-2210000000.0
Covidien plc,COV,,1385187,2013.0,Q3,,2013-06-28,2013-08-05 20:56:57+00:00,469000000.0,1562000000.0,,229000000.0,2119000000.0,0.0,7587000000.0,,687000000.0,,8156000000.0,2728000000.0,5063000000.0,1346000000.0,1967000000.0,1106000000.0,,,288000000.0,1290000000.0,,,1152000000.0,1916000000.0,897000000.0,,3437000000.0,13000000.0,20215000000.0,9671000000.0,6212000000.0,2459000000.0,9671000000.0,9671000000.0,10544000000.0,20215000000.0,12036000000.0,8085000000.0,0.0,-1582000000.0
