company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,othergains,otherincome,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2007.0,FY,2007-01-01,2007-12-31,2010-02-19 11:25:11+00:00,5.12,5.12,,5.08,,967000000.0,2072000000.0,2080000000.0,-8000000.0,2072000000.0,22484000000.0,27240000000.0,,4000000.0,1643000000.0,22484000000.0,4756000000.0,70000000.0,1643000000.0,3113000000.0,-66000000.0,3047000000.0,27240000000.0,404700000.0,404700000.0,407900000.0
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2008.0,FY,2008-01-01,2008-12-31,2011-02-18 08:19:26+00:00,6.21,6.21,,6.17,,1126000000.0,2459000000.0,2478000000.0,-19000000.0,2459000000.0,23928000000.0,29300000000.0,,17000000.0,1719000000.0,23928000000.0,5372000000.0,66000000.0,1719000000.0,3653000000.0,-49000000.0,3604000000.0,29300000000.0,396238000.0,396238000.0,396238000.0
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2008.0,Q3,2008-06-30,2008-09-28,2009-11-03 16:00:25+00:00,1.6,1.6,0.35,1.59,,288000000.0,634000000.0,634000000.0,0.0,634000000.0,6207000000.0,7140000000.0,,0.0,,6207000000.0,933000000.0,11000000.0,,933000000.0,-11000000.0,922000000.0,7140000000.0,396300000.0,396300000.0,398700000.0
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2008.0,Q2,2008-03-31,2008-06-29,2009-08-04 16:12:52+00:00,1.61,1.61,0.35,1.6,,268000000.0,641000000.0,641000000.0,0.0,641000000.0,6382000000.0,7303000000.0,,0.0,,6382000000.0,921000000.0,12000000.0,,921000000.0,-12000000.0,909000000.0,7303000000.0,398100000.0,398100000.0,400600000.0
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2009.0,Q4,2009-10-05,2009-12-31,,1.6,1.6,-0.76,1.57,,291000000.0,614000000.0,618000000.0,-4000000.0,614000000.0,6464000000.0,7898000000.0,,1000000.0,483000000.0,6464000000.0,1434000000.0,43000000.0,483000000.0,951000000.0,-42000000.0,909000000.0,7898000000.0,385475000.0,385475000.0,385475000.0
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2009.0,FY,2009-01-01,2009-12-31,2012-02-17 08:32:43+00:00,6.21,6.21,,6.17,,1106000000.0,2394000000.0,2407000000.0,-13000000.0,2394000000.0,26352000000.0,31981000000.0,,-2000000.0,1954000000.0,26352000000.0,5629000000.0,160000000.0,1954000000.0,3675000000.0,-162000000.0,3513000000.0,31981000000.0,385475000.0,385475000.0,385475000.0
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2009.0,Q3YTD,2009-01-01,2009-10-04,,4.61,4.61,0.76,4.6,,815000000.0,1780000000.0,1789000000.0,-9000000.0,1780000000.0,19888000000.0,24083000000.0,,-3000000.0,1471000000.0,19888000000.0,4195000000.0,117000000.0,1471000000.0,2724000000.0,-120000000.0,2604000000.0,24083000000.0,385243000.0,385243000.0,385243000.0
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2009.0,Q3,2009-07-06,2009-10-04,2010-11-02 15:31:10+00:00,1.48,1.48,0.38,1.47,,253000000.0,572000000.0,575000000.0,-3000000.0,572000000.0,6393000000.0,7719000000.0,,-6000000.0,452000000.0,6393000000.0,1326000000.0,40000000.0,452000000.0,874000000.0,-46000000.0,828000000.0,7719000000.0,385243000.0,385243000.0,385243000.0
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2009.0,Q2YTD,2009-01-01,2009-07-05,,3.13,3.13,0.38,3.13,,562000000.0,1208000000.0,1214000000.0,-6000000.0,1208000000.0,13495000000.0,16364000000.0,,3000000.0,1019000000.0,13495000000.0,2869000000.0,77000000.0,1019000000.0,1850000000.0,-74000000.0,1776000000.0,16364000000.0,385035000.0,385035000.0,385035000.0
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2009.0,Q2,2009-04-06,2009-07-05,2010-08-03 16:20:22+00:00,1.6,1.6,0.38,1.6,,286000000.0,618000000.0,621000000.0,-3000000.0,618000000.0,6646000000.0,8100000000.0,,,509000000.0,6646000000.0,1454000000.0,38000000.0,509000000.0,945000000.0,-38000000.0,907000000.0,8100000000.0,385035000.0,385035000.0,385035000.0
