company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,goodwill,grossppe,intangibleassets,longtermdebt,netinventory,netppe,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2008.0,FY,,2008-12-31,2010-02-19 11:25:11+00:00,2443000000.0,3469000000.0,-1713000000.0,1621000000.0,,1828000000.0,4154000000.0,11413000000.0,,1617000000.0,3113000000.0,2029000000.0,2872000000.0,4831000000.0,2852000000.0,521000000.0,4847000000.0,13287000000.0,911000000.0,28373000000.0,10053000000.0,11950000000.0,10360000000.0,10053000000.0,10053000000.0,18320000000.0,28373000000.0,13551000000.0,7960000000.0,-3349000000.0
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2009.0,FY,,2009-12-31,2011-02-18 08:19:26+00:00,2365000000.0,3678000000.0,-1207000000.0,2263000000.0,,2000000000.0,4313000000.0,12269000000.0,,2098000000.0,3159000000.0,2126000000.0,2912000000.0,5182000000.0,2988000000.0,549000000.0,5124000000.0,15093000000.0,705000000.0,31077000000.0,12423000000.0,13249000000.0,10371000000.0,12423000000.0,12423000000.0,18654000000.0,31077000000.0,14916000000.0,8283000000.0,-3463000000.0
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2009.0,Q3,,2009-10-04,2009-11-03 16:00:25+00:00,2316000000.0,3851000000.0,-1435000000.0,1409000000.0,,1939000000.0,4078000000.0,12410000000.0,,1846000000.0,3159000000.0,2112000000.0,2874000000.0,4856000000.0,2728000000.0,417000000.0,5071000000.0,14626000000.0,705000000.0,29775000000.0,11718000000.0,12228000000.0,9827000000.0,11718000000.0,11718000000.0,18057000000.0,29775000000.0,14673000000.0,8230000000.0,-3412000000.0
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2009.0,Q2,,2009-07-05,2009-08-04 16:12:52+00:00,2427000000.0,3649000000.0,-1659000000.0,1614000000.0,0.0,1896000000.0,3862000000.0,11739000000.0,,1566000000.0,3860000000.0,2138000000.0,2857000000.0,4897000000.0,2916000000.0,398000000.0,4737000000.0,14201000000.0,55000000.0,28858000000.0,11001000000.0,12298000000.0,9260000000.0,11001000000.0,11001000000.0,17857000000.0,28858000000.0,13703000000.0,8597000000.0,-3437000000.0
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2010.0,FY,,2010-12-31,2012-02-17 08:32:43+00:00,2736000000.0,3848000000.0,-1436000000.0,2613000000.0,0.0,2211000000.0,4465000000.0,12649000000.0,,1992000000.0,2430000000.0,2158000000.0,2971000000.0,5567000000.0,3203000000.0,747000000.0,5622000000.0,17076000000.0,773000000.0,32545000000.0,13316000000.0,14186000000.0,11177000000.0,13316000000.0,13316000000.0,19229000000.0,32545000000.0,15388000000.0,8052000000.0,-4535000000.0
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2010.0,Q3,,2010-10-03,2010-11-02 15:31:10+00:00,2571000000.0,3874000000.0,-989000000.0,1843000000.0,,2144000000.0,4080000000.0,12544000000.0,,2011000000.0,2430000000.0,1986000000.0,2918000000.0,5687000000.0,2886000000.0,620000000.0,5160000000.0,16504000000.0,774000000.0,31483000000.0,13582000000.0,13390000000.0,10311000000.0,13582000000.0,13582000000.0,17901000000.0,31483000000.0,15175000000.0,7590000000.0,-4077000000.0
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2010.0,Q2,,2010-07-04,2010-08-03 16:20:22+00:00,2396000000.0,3545000000.0,-1371000000.0,1853000000.0,,2113000000.0,3740000000.0,12316000000.0,,2018000000.0,3159000000.0,1967000000.0,2850000000.0,5801000000.0,2956000000.0,522000000.0,5079000000.0,16014000000.0,703000000.0,30872000000.0,12839000000.0,13166000000.0,9795000000.0,12839000000.0,12839000000.0,18033000000.0,30872000000.0,14856000000.0,8238000000.0,-3917000000.0
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2010.0,Q1,,2010-04-04,2010-05-04 16:29:27+00:00,2250000000.0,3738000000.0,-1269000000.0,2025000000.0,,2081000000.0,4102000000.0,12288000000.0,,2032000000.0,3159000000.0,1985000000.0,2850000000.0,5605000000.0,2881000000.0,536000000.0,5184000000.0,15527000000.0,704000000.0,31059000000.0,12779000000.0,13353000000.0,9937000000.0,12779000000.0,12779000000.0,18280000000.0,31059000000.0,14856000000.0,8343000000.0,-3560000000.0
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2011.0,FY,,2011-12-31,2013-02-08 09:16:17+00:00,2895000000.0,4429000000.0,-2312000000.0,2649000000.0,0.0,2370000000.0,5011000000.0,13576000000.0,,1813000000.0,3907000000.0,2310000000.0,3284000000.0,5980000000.0,3239000000.0,842000000.0,6599000000.0,18917000000.0,,34883000000.0,13232000000.0,15368000000.0,11145000000.0,13232000000.0,13232000000.0,21651000000.0,34883000000.0,16231000000.0,10506000000.0,-5743000000.0
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2011.0,Q3,,2011-10-02,2011-11-01 15:37:48+00:00,2584000000.0,4119000000.0,-1441000000.0,1540000000.0,0.0,2335000000.0,4690000000.0,13454000000.0,,2044000000.0,3907000000.0,2506000000.0,3063000000.0,5875000000.0,2986000000.0,807000000.0,5400000000.0,18483000000.0,222000000.0,33408000000.0,13619000000.0,14040000000.0,10482000000.0,13619000000.0,13619000000.0,19789000000.0,33408000000.0,16305000000.0,9307000000.0,-5758000000.0
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2011.0,Q2,,2011-07-03,2011-08-03 11:19:47+00:00,2630000000.0,4229000000.0,-960000000.0,2157000000.0,0.0,2302000000.0,4865000000.0,12888000000.0,,1945000000.0,2409000000.0,2382000000.0,3048000000.0,5905000000.0,3226000000.0,807000000.0,5534000000.0,18000000000.0,772000000.0,33361000000.0,13925000000.0,14673000000.0,11493000000.0,13925000000.0,13925000000.0,19436000000.0,33361000000.0,15640000000.0,7943000000.0,-5417000000.0
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2011.0,Q1,,2011-04-03,2011-05-03 16:57:09+00:00,2510000000.0,4237000000.0,-1257000000.0,2484000000.0,,2263000000.0,4731000000.0,12723000000.0,,1943000000.0,2411000000.0,2273000000.0,2993000000.0,5801000000.0,3219000000.0,650000000.0,5564000000.0,17518000000.0,792000000.0,33104000000.0,13877000000.0,14795000000.0,11252000000.0,13877000000.0,13877000000.0,19227000000.0,33104000000.0,15316000000.0,7975000000.0,-4647000000.0
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2012.0,FY,,2012-12-31,2014-02-07 09:05:33+00:00,2469000000.0,4204000000.0,-2775000000.0,3296000000.0,0.0,2470000000.0,6042000000.0,12048000000.0,,1383000000.0,3908000000.0,2776000000.0,3403000000.0,5468000000.0,3109000000.0,1731000000.0,7391000000.0,17860000000.0,,34309000000.0,11390000000.0,15744000000.0,11620000000.0,11390000000.0,11390000000.0,22919000000.0,34309000000.0,15162000000.0,11299000000.0,-6165000000.0
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2012.0,Q3,,2012-09-30,2012-10-30 15:16:16+00:00,2540000000.0,4339000000.0,-2157000000.0,2874000000.0,0.0,2453000000.0,5523000000.0,13986000000.0,,1734000000.0,2924000000.0,2661000000.0,3345000000.0,5719000000.0,3129000000.0,845000000.0,6114000000.0,20170000000.0,1001000000.0,35503000000.0,14272000000.0,15593000000.0,12193000000.0,14272000000.0,14272000000.0,21231000000.0,35503000000.0,16565000000.0,9038000000.0,-6194000000.0
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2012.0,Q2,,2012-07-01,2012-08-01 10:54:59+00:00,2559000000.0,4571000000.0,-2302000000.0,2540000000.0,0.0,2421000000.0,5398000000.0,13762000000.0,,1738000000.0,2905000000.0,2648000000.0,3248000000.0,5768000000.0,3194000000.0,928000000.0,6457000000.0,19751000000.0,1028000000.0,35203000000.0,13662000000.0,15527000000.0,12179000000.0,13662000000.0,13662000000.0,21541000000.0,35203000000.0,16428000000.0,9362000000.0,-6208000000.0
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2012.0,Q1,,2012-04-01,2012-05-01 17:19:15+00:00,2509000000.0,4686000000.0,-2112000000.0,2632000000.0,0.0,2379000000.0,5299000000.0,13759000000.0,,1783000000.0,3905000000.0,2444000000.0,3290000000.0,5748000000.0,3142000000.0,967000000.0,6597000000.0,19297000000.0,3000000.0,35309000000.0,13854000000.0,15510000000.0,10953000000.0,13854000000.0,13854000000.0,21455000000.0,35309000000.0,16509000000.0,10502000000.0,-5710000000.0
