company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2007.0,FY,2007-01-01,2007-12-31,2010-02-19 11:25:11+00:00,-330000000.0,145000000.0,,,278000000.0,,430000000.0,0.0,-786000000.0,-875000000.0,2952000000.0,,-786000000.0,-875000000.0,2952000000.0,1287000000.0,2072000000.0,2080000000.0,-8000000.0,19000000.0,207000000.0,0.0,-4000000.0,-445000000.0,-2798000000.0,-474000000.0,-43000000.0,-505000000.0,2619000000.0,108000000.0
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2008.0,FY,2008-01-01,2008-12-31,2011-02-18 08:19:26+00:00,-3224000000.0,146000000.0,,,301000000.0,,125000000.0,1899000000.0,-718000000.0,-3663000000.0,3124000000.0,,-718000000.0,-3663000000.0,3124000000.0,-1270000000.0,2459000000.0,2478000000.0,-19000000.0,74000000.0,144000000.0,165000000.0,-13000000.0,-533000000.0,-1406000000.0,-490000000.0,-706000000.0,-1522000000.0,1292000000.0,
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2008.0,Q4,2008-09-29,2008-12-31,,-2921000000.0,43000000.0,-728000000.0,-100000000.0,78000000.0,,58000000.0,1899000000.0,1260000000.0,-3053000000.0,805000000.0,5000000.0,1260000000.0,-3053000000.0,810000000.0,-996000000.0,612000000.0,632000000.0,-20000000.0,-4000000.0,-4000000.0,134000000.0,-13000000.0,-136000000.0,-41000000.0,-176000000.0,-24000000.0,-475000000.0,-49000000.0,
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2008.0,Q3,2008-06-30,2008-09-28,,-237000000.0,36000000.0,212000000.0,34000000.0,77000000.0,,64000000.0,-22000000.0,-672000000.0,-314000000.0,863000000.0,,-672000000.0,-314000000.0,863000000.0,-123000000.0,634000000.0,634000000.0,,52000000.0,59000000.0,,,-140000000.0,-118000000.0,-114000000.0,-182000000.0,-387000000.0,155000000.0,
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2008.0,Q3YTD,2008-01-01,2008-09-28,2009-11-03 16:00:25+00:00,-303000000.0,103000000.0,728000000.0,100000000.0,223000000.0,,67000000.0,0.0,-1978000000.0,-610000000.0,2319000000.0,-5000000.0,-1978000000.0,-610000000.0,2314000000.0,-274000000.0,1847000000.0,1846000000.0,1000000.0,78000000.0,148000000.0,31000000.0,,-397000000.0,-1365000000.0,-314000000.0,-682000000.0,-1047000000.0,1341000000.0,
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2008.0,Q2YTD,2008-01-01,2008-06-29,2009-08-04 16:12:52+00:00,-66000000.0,67000000.0,516000000.0,66000000.0,146000000.0,,3000000.0,22000000.0,-1306000000.0,-296000000.0,1456000000.0,-5000000.0,-1306000000.0,-296000000.0,1451000000.0,-151000000.0,1213000000.0,1212000000.0,1000000.0,26000000.0,89000000.0,31000000.0,,-257000000.0,-1247000000.0,-200000000.0,-500000000.0,-660000000.0,1186000000.0,
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2009.0,FY,2009-01-01,2009-12-31,2012-02-17 08:32:43+00:00,-811000000.0,218000000.0,,,344000000.0,,-226000000.0,747000000.0,-806000000.0,-1392000000.0,2855000000.0,,-806000000.0,-1392000000.0,2855000000.0,642000000.0,2394000000.0,2407000000.0,-13000000.0,112000000.0,142000000.0,114000000.0,-15000000.0,-577000000.0,-489000000.0,-385000000.0,-909000000.0,-209000000.0,179000000.0,
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2009.0,Q4,2009-10-05,2009-12-31,,-6000000.0,57000000.0,-614000000.0,-114000000.0,87000000.0,,711000000.0,,-170000000.0,-471000000.0,1498000000.0,,-170000000.0,-471000000.0,1498000000.0,854000000.0,614000000.0,618000000.0,-4000000.0,25000000.0,74000000.0,24000000.0,-3000000.0,-147000000.0,-360000000.0,-134000000.0,3000000.0,-100000000.0,5000000.0,
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2009.0,Q3TTM,2008-09-29,2009-10-04,,-3726000000.0,204000000.0,-114000000.0,14000000.0,335000000.0,,-879000000.0,2646000000.0,624000000.0,-3974000000.0,2162000000.0,5000000.0,624000000.0,-3974000000.0,2167000000.0,-1208000000.0,2392000000.0,2421000000.0,-29000000.0,83000000.0,64000000.0,224000000.0,-25000000.0,-566000000.0,-170000000.0,-427000000.0,-936000000.0,-584000000.0,125000000.0,
General Dynamics Corp,GD,9C1X8XOOTYY2FNYTVH06,40533,2009.0,Q3,2009-07-06,2009-10-04,,-640000000.0,53000000.0,144000000.0,63000000.0,86000000.0,,-150000000.0,,-162000000.0,-634000000.0,594000000.0,,-162000000.0,-634000000.0,594000000.0,-205000000.0,572000000.0,575000000.0,-3000000.0,30000000.0,38000000.0,-65000000.0,-3000000.0,-147000000.0,-22000000.0,-81000000.0,-53000000.0,,174000000.0,
