company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Cabot Oil & Gas Corp,COG,FCNMH6O7VWU7LHXMK351,858470,2008.0,Q4,2008-10-01,2008-12-31,,-289709000.0,634000.0,94022000.0,-1150000.0,69919000.0,1000.0,157000000.0,41344000.0,-270336000.0,209719000.0,41344000.0,-270336000.0,209719000.0,-19273000.0,43700000.0,43700000.0,1444000.0,-320000.0,,-3100000.0,18424000.0,-112237000.0,,,2099000.0
Cabot Oil & Gas Corp,COG,FCNMH6O7VWU7LHXMK351,858470,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 15:21:48+00:00,-848640000.0,634000.0,226915000.0,,157259000.0,316230000.0,892000000.0,827445000.0,-1452289000.0,634447000.0,827445000.0,-1452289000.0,634447000.0,9603000.0,211290000.0,211290000.0,38349000.0,10691000.0,,-12073000.0,-605748000.0,-379403000.0,,,2099000.0
Cabot Oil & Gas Corp,COG,FCNMH6O7VWU7LHXMK351,858470,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-10-29 16:15:32+00:00,-558931000.0,,132893000.0,1150000.0,87340000.0,316229000.0,735000000.0,786101000.0,-1181953000.0,424728000.0,786101000.0,-1181953000.0,424728000.0,28876000.0,167590000.0,167590000.0,36905000.0,11011000.0,,-8973000.0,-624172000.0,-267166000.0,,,
Cabot Oil & Gas Corp,COG,FCNMH6O7VWU7LHXMK351,858470,2008.0,Q3,2008-07-01,2008-09-30,,-246486000.0,,48895000.0,,37977000.0,122000.0,555000000.0,560867000.0,-798141000.0,148317000.0,560867000.0,-798141000.0,148317000.0,-88957000.0,66990000.0,66990000.0,-5545000.0,11011000.0,,-3100000.0,-551655000.0,-2166000.0,,,
Cabot Oil & Gas Corp,COG,FCNMH6O7VWU7LHXMK351,858470,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-07-30 15:41:49+00:00,-312445000.0,,83998000.0,1150000.0,49363000.0,316107000.0,180000000.0,225234000.0,-383812000.0,276411000.0,225234000.0,-383812000.0,276411000.0,117833000.0,100600000.0,100600000.0,42450000.0,,,-5873000.0,-72517000.0,-265000000.0,,,
Cabot Oil & Gas Corp,COG,FCNMH6O7VWU7LHXMK351,858470,2009.0,FY,2009-01-01,2009-12-31,2012-02-28 15:23:32+00:00,0.0,3635000.0,251260000.0,,121769000.0,,105083000.0,-70968000.0,-531027000.0,614052000.0,-70968000.0,-531027000.0,614052000.0,12057000.0,148343000.0,148343000.0,89045000.0,13790000.0,,-12432000.0,-611207000.0,-177409000.0,,,80180000.0
Cabot Oil & Gas Corp,COG,FCNMH6O7VWU7LHXMK351,858470,2009.0,Q4,2009-10-01,2009-12-31,,394525000.0,3635000.0,85481000.0,-80180000.0,46935000.0,-83000.0,15083000.0,-7404000.0,-185030000.0,196922000.0,-7404000.0,-185030000.0,196922000.0,4488000.0,36364000.0,36364000.0,24507000.0,705000.0,,-3109000.0,-579555000.0,-20000000.0,,,80180000.0
Cabot Oil & Gas Corp,COG,FCNMH6O7VWU7LHXMK351,858470,2009.0,Q3YTD,2009-01-01,2009-09-30,2009-10-29 16:15:32+00:00,-394525000.0,,165779000.0,80180000.0,74834000.0,83000.0,90000000.0,-63564000.0,-345997000.0,417130000.0,-63564000.0,-345997000.0,417130000.0,7569000.0,111979000.0,111979000.0,64538000.0,13085000.0,,-9323000.0,-31652000.0,-157409000.0,,,
Cabot Oil & Gas Corp,COG,FCNMH6O7VWU7LHXMK351,858470,2009.0,Q3TTM,2008-10-01,2009-09-30,,-684234000.0,634000.0,259801000.0,79030000.0,144753000.0,84000.0,247000000.0,-22220000.0,-616333000.0,626849000.0,-22220000.0,-616333000.0,626849000.0,-11704000.0,155679000.0,155679000.0,65982000.0,12765000.0,,-12423000.0,-13228000.0,-269646000.0,,,2099000.0
Cabot Oil & Gas Corp,COG,FCNMH6O7VWU7LHXMK351,858470,2009.0,Q3,2009-07-01,2009-09-30,,-101784000.0,,54886000.0,513000.0,8692000.0,-67000.0,20000000.0,4908000.0,-115831000.0,116745000.0,4908000.0,-115831000.0,116745000.0,5822000.0,38897000.0,38897000.0,14270000.0,13085000.0,,-3110000.0,-14560000.0,-25000000.0,,,
