company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,explorationexpense,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,othergains,otherincome,otheroperatingexpenses,otherrevenue,otherspecialcharges,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Cabot Oil & Gas Corp,COG,FCNMH6O7VWU7LHXMK351,858470,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 12:45:54+00:00,1.73,1.73,,143951000.0,1.71,39772000.0,23656000.0,90109000.0,167423000.0,167423000.0,167423000.0,158989000.0,743546000.0,,,,53782000.0,2072000.0,0.0,50775000.0,158989000.0,586629000.0,17161000.0,,311936000.0,274693000.0,-17161000.0,257532000.0,745618000.0,96800000.0,96978000.0,98130000.0
Cabot Oil & Gas Corp,COG,FCNMH6O7VWU7LHXMK351,858470,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 15:21:48+00:00,2.1,2.1,0.12,226915000.0,2.08,31200000.0,35700000.0,124333000.0,211290000.0,211290000.0,211290000.0,192288000.0,942686000.0,,,,66540000.0,3105000.0,-53049000.0,74185000.0,192288000.0,753503000.0,36389000.0,,381491000.0,372012000.0,-36389000.0,335623000.0,945791000.0,100600000.0,100737000.0,101726000.0
Cabot Oil & Gas Corp,COG,FCNMH6O7VWU7LHXMK351,858470,2008.0,Q3,2008-07-01,2008-09-30,2009-10-29 16:15:32+00:00,0.65,0.65,,48895000.0,0.64,6413000.0,8512000.0,37241000.0,66990000.0,66990000.0,66990000.0,45865000.0,244136000.0,,,,20627000.0,684000.0,0.0,-209000.0,45865000.0,198955000.0,10486000.0,,84238000.0,114717000.0,-10486000.0,104231000.0,244820000.0,103100000.0,103351000.0,104495000.0
Cabot Oil & Gas Corp,COG,FCNMH6O7VWU7LHXMK351,858470,2008.0,Q2,2008-04-01,2008-06-30,2009-07-30 15:41:49+00:00,0.55,0.55,,42482000.0,0.55,7290000.0,5919000.0,33254000.0,54625000.0,54625000.0,54625000.0,46776000.0,248878000.0,,,,19225000.0,377000.0,,33477000.0,46776000.0,202479000.0,6207000.0,,108393000.0,94086000.0,-6207000.0,87879000.0,249255000.0,99300000.0,98467000.0,99481000.0
Cabot Oil & Gas Corp,COG,FCNMH6O7VWU7LHXMK351,858470,2009.0,FY,2009-01-01,2009-12-31,2012-02-28 15:23:32+00:00,0.72,0.72,0.06,251260000.0,0.71,50784000.0,17622000.0,74947000.0,148343000.0,148343000.0,148343000.0,174824000.0,888762000.0,,,,44649000.0,4323000.0,3303000.0,68374000.0,174824000.0,718261000.0,58979000.0,,435992000.0,282269000.0,-58979000.0,223290000.0,893085000.0,206000000.0,207231942.0,209365494.0
Cabot Oil & Gas Corp,COG,FCNMH6O7VWU7LHXMK351,858470,2009.0,Q4,2009-10-01,2009-12-31,,0.18,0.18,0.02,85481000.0,0.18,19526000.0,-5566000.0,12196000.0,36364000.0,36364000.0,36364000.0,55041000.0,249360000.0,,,,10118000.0,1224000.0,3303000.0,19271000.0,55041000.0,195543000.0,14850000.0,,132133000.0,63410000.0,-14850000.0,48560000.0,250584000.0,206000000.0,207231942.0,209365494.0
Cabot Oil & Gas Corp,COG,FCNMH6O7VWU7LHXMK351,858470,2009.0,Q3,2009-07-01,2009-09-30,2009-10-29 16:15:32+00:00,0.38,0.38,,54886000.0,0.37,14395000.0,7151000.0,20969000.0,38897000.0,38897000.0,38897000.0,30798000.0,206985000.0,,,,10719000.0,608000.0,,14921000.0,30798000.0,176795000.0,14857000.0,,102072000.0,74723000.0,-14857000.0,59866000.0,207593000.0,102400000.0,103647000.0,104917000.0
Cabot Oil & Gas Corp,COG,FCNMH6O7VWU7LHXMK351,858470,2009.0,Q3YTD,2009-01-01,2009-09-30,,1.08,1.08,0.09,165779000.0,1.08,31258000.0,23188000.0,62751000.0,111979000.0,111979000.0,111979000.0,119783000.0,639402000.0,,,,34531000.0,3099000.0,,49103000.0,119783000.0,522718000.0,44129000.0,,303859000.0,218859000.0,-44129000.0,174730000.0,642501000.0,102400000.0,103647000.0,104917000.0
Cabot Oil & Gas Corp,COG,FCNMH6O7VWU7LHXMK351,858470,2009.0,Q2,2009-04-01,2009-06-30,2009-07-30 15:41:49+00:00,0.25,0.25,,55108000.0,0.24,10397000.0,6730000.0,13691000.0,25502000.0,25502000.0,25502000.0,33757000.0,187565000.0,,,,10914000.0,697000.0,,17117000.0,33757000.0,154505000.0,15046000.0,,100266000.0,54239000.0,-15046000.0,39193000.0,188262000.0,102000000.0,103640000.0,104815000.0
Cabot Oil & Gas Corp,COG,FCNMH6O7VWU7LHXMK351,858470,2009.0,Q2YTD,2009-01-01,2009-06-30,,0.71,0.71,0.06,110893000.0,0.71,16863000.0,16037000.0,41782000.0,73082000.0,73082000.0,73082000.0,88985000.0,432417000.0,,,,23812000.0,2491000.0,,34182000.0,88985000.0,345923000.0,29272000.0,,201787000.0,144136000.0,-29272000.0,114864000.0,434908000.0,102000000.0,103640000.0,104815000.0
