company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,cashincometaxespaid,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Carmax Inc,KMX,,1170010,2009.0,FY,2008-03-01,2009-02-28,2011-04-28 15:18:03+00:00,64023000.0,10171000.0,54741000.0,104473000.0,10162000.0,789800000.0,18387000.0,-155346000.0,264591000.0,18387000.0,-155346000.0,264591000.0,127632000.0,59213000.0,59213000.0,46164000.0,391000.0,,-3987000.0,-185700000.0,-781966000.0,,,34341000.0
Carmax Inc,KMX,,1170010,2010.0,Q4,2009-12-01,2010-02-28,,163324000.0,40344000.0,31281000.0,-109001000.0,7989000.0,165505000.0,3500000.0,-3479000.0,3045000.0,3500000.0,-3479000.0,3045000.0,3066000.0,71536000.0,71536000.0,9229000.0,1096000.0,,,-4062000.0,-171090000.0,,,583000.0
Carmax Inc,KMX,,1170010,2010.0,FY,2009-03-01,2010-02-28,2012-04-25 17:31:18+00:00,163324000.0,40344000.0,75228000.0,-333835000.0,31307000.0,606505000.0,-160520000.0,-21321000.0,59522000.0,-160520000.0,-21321000.0,59522000.0,-122319000.0,277844000.0,277844000.0,40285000.0,3881000.0,447000.0,-2196000.0,-22434000.0,-802213000.0,,2200000.0,662000.0
Carmax Inc,KMX,,1170010,2010.0,Q3,2009-09-01,2009-11-30,,,,14368000.0,10683000.0,19499000.0,53941000.0,-210886000.0,-4015000.0,107766000.0,-210886000.0,-4015000.0,107766000.0,-107135000.0,74589000.0,74589000.0,8126000.0,2199000.0,,,-4044000.0,-286525000.0,,,29000.0
Carmax Inc,KMX,,1170010,2010.0,Q3YTD,2009-03-01,2009-11-30,2011-01-07 15:33:27+00:00,,,43947000.0,-224834000.0,23318000.0,441000000.0,-164020000.0,-17842000.0,56477000.0,-164020000.0,-17842000.0,56477000.0,-125385000.0,206308000.0,206308000.0,31056000.0,2785000.0,447000.0,-2196000.0,-18372000.0,-631123000.0,,2200000.0,79000.0
Carmax Inc,KMX,,1170010,2010.0,Q2YTD,2009-03-01,2009-08-31,2010-10-08 17:55:42+00:00,,,29579000.0,-235517000.0,3819000.0,387059000.0,46866000.0,-13827000.0,-51289000.0,46866000.0,-13827000.0,-51289000.0,-18250000.0,131719000.0,131719000.0,22930000.0,586000.0,447000.0,-2196000.0,-14328000.0,-344598000.0,,2200000.0,50000.0
Carmax Inc,KMX,,1170010,2011.0,Q4,2010-12-01,2011-02-28,,242510000.0,35351000.0,32664000.0,-123066000.0,6332000.0,401119000.0,-14381000.0,-34619000.0,15730000.0,-14381000.0,-34619000.0,15730000.0,-33270000.0,86127000.0,86127000.0,20005000.0,1595000.0,3425000.0,,-38036000.0,-423427000.0,,,-8000.0
Carmax Inc,KMX,,1170010,2011.0,FY,2010-03-01,2011-02-28,2013-04-26 17:20:01+00:00,242510000.0,35351000.0,76321000.0,-533072000.0,38277000.0,3591419000.0,101813000.0,-72212000.0,-6758000.0,101813000.0,-72212000.0,-6758000.0,22843000.0,377495000.0,377495000.0,72498000.0,8911000.0,359000.0,0.0,-76572000.0,-3536794000.0,0.0,4001000.0,
Carmax Inc,KMX,,1170010,2011.0,Q3TTM,2009-12-01,2010-11-30,,163324000.0,40344000.0,74938000.0,-519007000.0,39934000.0,3355805000.0,119694000.0,-41072000.0,-19443000.0,119694000.0,-41072000.0,-19443000.0,59179000.0,362904000.0,362904000.0,61722000.0,8412000.0,-3066000.0,,-42598000.0,-3284457000.0,,4001000.0,591000.0
Carmax Inc,KMX,,1170010,2011.0,Q3,2010-09-01,2010-11-30,,,,14609000.0,-130332000.0,25558000.0,1074000000.0,48994000.0,-16744000.0,-13022000.0,48994000.0,-16744000.0,-13022000.0,19228000.0,82364000.0,82364000.0,20337000.0,4773000.0,2552000.0,,-23304000.0,-1055337000.0,,4000000.0,8000.0
