company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherspecialcharges,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Big Lots Inc,BIG,,768835,2008.0,FY,2008-02-03,2009-01-31,2011-03-30 16:01:46+00:00,1.87,1.87,,78624000.0,1.85,94908000.0,151547000.0,154798000.0,-3251000.0,151547000.0,2787854000.0,4645283000.0,,,0.0,1523882000.0,2787854000.0,1857429000.0,5282000.0,65000.0,1602506000.0,254923000.0,-5217000.0,249706000.0,4645283000.0,81000000.0,81000000.0,81900000.0
Big Lots Inc,BIG,,768835,2009.0,FY,2009-02-01,2010-01-30,2012-03-26 16:49:56+00:00,2.45,2.45,,74904000.0,2.42,121975000.0,200369000.0,201370000.0,-1001000.0,200369000.0,2807466000.0,4726772000.0,175000.0,,-12964000.0,1532356000.0,2807466000.0,1919306000.0,1840000.0,,1594296000.0,325010000.0,-1665000.0,323345000.0,4726772000.0,81619000.0,81619000.0,81619000.0
Big Lots Inc,BIG,,768835,2009.0,Q3,2009-08-02,2009-10-31,2010-12-08 16:18:23+00:00,0.37,0.37,,18184000.0,0.37,16828000.0,30329000.0,30256000.0,73000.0,30329000.0,617278000.0,1035269000.0,,,-12964000.0,365194000.0,617278000.0,417991000.0,507000.0,14000.0,370414000.0,47577000.0,-493000.0,47084000.0,1035269000.0,82000000.0,81674000.0,82733000.0
Big Lots Inc,BIG,,768835,2009.0,Q2,2009-05-03,2009-08-01,2010-09-08 16:01:57+00:00,0.35,0.35,,18949000.0,0.34,18550000.0,28443000.0,28616000.0,-173000.0,28443000.0,652184000.0,1086567000.0,,,,367781000.0,652184000.0,434383000.0,506000.0,19000.0,386730000.0,47653000.0,-487000.0,47166000.0,1086567000.0,81300000.0,81623000.0,82516000.0
Big Lots Inc,BIG,,768835,2010.0,Q4,2010-10-31,2011-01-29,,1.46,1.46,,21074000.0,1.44,66372000.0,110055000.0,110025000.0,30000.0,110055000.0,898979000.0,1518943000.0,384000.0,,,421726000.0,898979000.0,619964000.0,808000.0,-343000.0,442800000.0,177164000.0,-767000.0,176397000.0,1518943000.0,77596000.0,77596000.0,77596000.0
Big Lots Inc,BIG,,768835,2010.0,FY,2010-01-31,2011-01-29,2013-04-02 16:21:01+00:00,2.87,2.87,,78606000.0,2.83,132837000.0,222524000.0,222547000.0,-23000.0,222524000.0,2939793000.0,4952244000.0,612000.0,,,1576500000.0,2939793000.0,2012451000.0,2573000.0,,1655106000.0,357345000.0,-1961000.0,355384000.0,4952244000.0,77596000.0,77596000.0,77596000.0
Big Lots Inc,BIG,,768835,2010.0,Q3YTD,2010-01-31,2010-10-30,,1.41,1.41,,57532000.0,1.39,66465000.0,112469000.0,112522000.0,-53000.0,112469000.0,2040814000.0,3433301000.0,228000.0,,,1154774000.0,2040814000.0,1392487000.0,1765000.0,343000.0,1212306000.0,180181000.0,-1194000.0,178987000.0,3433301000.0,76900000.0,75481000.0,76369000.0
Big Lots Inc,BIG,,768835,2010.0,Q3,2010-08-01,2010-10-30,2011-12-07 16:26:44+00:00,0.23,0.23,,19584000.0,0.23,8453000.0,17694000.0,17745000.0,-51000.0,17694000.0,627723000.0,1055830000.0,51000.0,,,381620000.0,627723000.0,428107000.0,756000.0,,401204000.0,26903000.0,-705000.0,26198000.0,1055830000.0,76900000.0,75481000.0,76369000.0
Big Lots Inc,BIG,,768835,2010.0,Q2YTD,2010-01-31,2010-07-31,,1.18,1.18,,37948000.0,1.16,58012000.0,94775000.0,94777000.0,-2000.0,94775000.0,1413091000.0,2377471000.0,177000.0,,,773154000.0,1413091000.0,964380000.0,1009000.0,343000.0,811102000.0,153278000.0,-489000.0,152789000.0,2377471000.0,79300000.0,79467000.0,80333000.0
Big Lots Inc,BIG,,768835,2010.0,Q2,2010-05-02,2010-07-31,2011-09-07 16:24:26+00:00,0.49,0.49,,18848000.0,0.48,24098000.0,38877000.0,38779000.0,98000.0,38877000.0,679884000.0,1142309000.0,177000.0,,,380374000.0,679884000.0,462425000.0,503000.0,,399222000.0,63203000.0,-326000.0,62877000.0,1142309000.0,79300000.0,79467000.0,80333000.0
Big Lots Inc,BIG,,768835,2010.0,Q1,2010-01-31,2010-05-01,2011-06-07 16:03:23+00:00,0.69,0.69,,19100000.0,0.68,33914000.0,55898000.0,55998000.0,-100000.0,55898000.0,733207000.0,1235162000.0,,,,392780000.0,733207000.0,501955000.0,506000.0,343000.0,411880000.0,90075000.0,-163000.0,89912000.0,1235162000.0,81000000.0,80932000.0,82385000.0
Big Lots Inc,BIG,,768835,2011.0,Q4,2011-10-30,2012-01-28,,1.75,1.75,,25170000.0,1.72,74166000.0,114720000.0,113672000.0,1048000.0,114720000.0,962530000.0,1626554000.0,-120000.0,,,450123000.0,962530000.0,664024000.0,773000.0,,475293000.0,188731000.0,-893000.0,187838000.0,1626554000.0,68316000.0,68316000.0,68316000.0
Big Lots Inc,BIG,,768835,2011.0,FY,2011-01-30,2012-01-28,2014-04-01 16:02:19+00:00,3.03,3.03,,90135000.0,2.98,133835000.0,207064000.0,206158000.0,906000.0,207064000.0,3096200000.0,5159249000.0,-173000.0,,,1629218000.0,3096200000.0,2063049000.0,3530000.0,,1719353000.0,343696000.0,-3703000.0,339993000.0,5159249000.0,68316000.0,68316000.0,68316000.0
Big Lots Inc,BIG,,768835,2011.0,Q3TTM,2010-10-31,2011-10-29,,2.74,2.74,,86039000.0,2.7,126041000.0,202399000.0,202511000.0,-112000.0,202399000.0,3032649000.0,5051638000.0,331000.0,,,1600821000.0,3032649000.0,2018989000.0,3565000.0,-343000.0,1686860000.0,332129000.0,-3577000.0,328552000.0,5051638000.0,69800000.0,64949000.0,65931000.0
Big Lots Inc,BIG,,768835,2011.0,Q3YTD,2011-01-30,2011-10-29,,1.28,1.28,,64965000.0,1.26,59669000.0,92344000.0,92486000.0,-142000.0,92344000.0,2133670000.0,3532695000.0,-53000.0,,,1179095000.0,2133670000.0,1399025000.0,2757000.0,,1244060000.0,154965000.0,-2810000.0,152155000.0,3532695000.0,69800000.0,64949000.0,65931000.0
Big Lots Inc,BIG,,768835,2011.0,Q3,2011-07-31,2011-10-29,2012-12-05 17:20:45+00:00,0.06,0.06,,22873000.0,0.06,3524000.0,4190000.0,4241000.0,-51000.0,4190000.0,693926000.0,1138286000.0,-219000.0,,,412581000.0,693926000.0,444360000.0,922000.0,,435454000.0,8906000.0,-1141000.0,7765000.0,1138286000.0,69800000.0,64949000.0,65931000.0
