company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otheradjustmentstonetincometocommon,otherincome,otheroperatingexpenses,otherrevenue,preferreddividends,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
NiSource Inc,NI,,1111711,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 14:19:33+00:00,0.29,0.29,0.92,567000000.0,0.29,7600000.0,186000000.0,79000000.0,370600000.0,-291700000.0,79000000.0,7091400000.0,7660700000.0,,,17600000.0,307500000.0,1219500000.0,,7091400000.0,1788800000.0,380000000.0,12300000.0,882100000.0,906700000.0,-350100000.0,556600000.0,8880200000.0,272400000.0,274000000.0,275400000.0
NiSource Inc,NI,,1111711,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 14:26:10+00:00,0.79,0.79,0.92,589900000.0,0.78,19700000.0,165000000.0,217000000.0,229800000.0,-12800000.0,217000000.0,4974100000.0,5749900000.0,,,-1400000.0,283900000.0,901700000.0,,4974100000.0,1677500000.0,403800000.0,16000000.0,893500000.0,784000000.0,-389200000.0,394800000.0,6651600000.0,274700000.0,275100000.0,275800000.0
NiSource Inc,NI,,1111711,2009.0,Q2,2009-04-01,2009-06-30,2010-08-03 13:32:06+00:00,-0.01,-0.01,0.23,148200000.0,-0.01,800000.0,9200000.0,-4800000.0,-4000000.0,-800000.0,-4800000.0,952000000.0,990300000.0,,,-500000.0,53300000.0,278300000.0,,952000000.0,316600000.0,106000000.0,-2600000.0,202300000.0,114300000.0,-109100000.0,5200000.0,1268600000.0,480000000.0,274700000.0,274700000.0
NiSource Inc,NI,,1111711,2010.0,FY,2010-01-01,2010-12-31,2013-02-19 11:56:41+00:00,1.02,1.02,0.92,594800000.0,1.01,2000000.0,129800000.0,282600000.0,276800000.0,5800000.0,282600000.0,4610400000.0,5734700000.0,,,3800000.0,287200000.0,636500000.0,,4610400000.0,1760800000.0,489000000.0,15000000.0,884000000.0,876800000.0,-470200000.0,406600000.0,6371200000.0,277797000.0,277797000.0,277797000.0
NiSource Inc,NI,,1111711,2010.0,Q4,2010-10-01,2010-12-31,,0.09,0.09,,140300000.0,0.08,800000.0,10200000.0,24000000.0,18000000.0,6000000.0,24000000.0,1266200000.0,1650800000.0,,,-3500000.0,73800000.0,52500000.0,,1266200000.0,437100000.0,194200000.0,3700000.0,214900000.0,222200000.0,-194000000.0,28200000.0,1703300000.0,277797000.0,277797000.0,277797000.0
NiSource Inc,NI,,1111711,2010.0,Q3YTD,2010-01-01,2010-09-30,,0.93,0.93,0.92,454500000.0,0.93,1200000.0,119600000.0,258600000.0,258800000.0,-200000.0,258600000.0,3344200000.0,4083900000.0,,,7300000.0,213400000.0,584000000.0,,3344200000.0,1323700000.0,294800000.0,11300000.0,669100000.0,654600000.0,-276200000.0,378400000.0,4667900000.0,276700000.0,278088000.0,279870000.0
NiSource Inc,NI,,1111711,2010.0,Q3,2010-07-01,2010-09-30,2011-10-28 12:07:59+00:00,0.12,0.12,0.23,153100000.0,0.12,1100000.0,-5600000.0,33200000.0,33400000.0,-200000.0,33200000.0,802100000.0,995400000.0,,,2100000.0,62000000.0,142700000.0,,802100000.0,336000000.0,97600000.0,3500000.0,216200000.0,119800000.0,-92000000.0,27800000.0,1138100000.0,276700000.0,278088000.0,279870000.0
NiSource Inc,NI,,1111711,2010.0,Q2YTD,2010-01-01,2010-06-30,,0.81,0.81,0.69,301400000.0,0.81,100000.0,125200000.0,225400000.0,225400000.0,,225400000.0,2542100000.0,3088500000.0,,,5200000.0,151400000.0,441300000.0,,2542100000.0,987700000.0,197200000.0,7800000.0,452900000.0,534800000.0,-184200000.0,350600000.0,3529800000.0,281000000.0,277600000.0,278400000.0
NiSource Inc,NI,,1111711,2010.0,Q2,2010-04-01,2010-06-30,2011-08-02 11:01:36+00:00,0.1,0.1,0.23,151600000.0,0.1,,15400000.0,28100000.0,28000000.0,100000.0,28100000.0,816200000.0,1059100000.0,,,2600000.0,64500000.0,112000000.0,,816200000.0,354900000.0,98400000.0,400000.0,216100000.0,138800000.0,-95400000.0,43400000.0,1171100000.0,281000000.0,277600000.0,278400000.0
NiSource Inc,NI,,1111711,2010.0,Q1,2010-01-01,2010-03-31,2011-05-03 12:21:50+00:00,0.71,0.71,0.46,149800000.0,0.71,100000.0,109800000.0,197300000.0,197400000.0,-100000.0,197300000.0,1725900000.0,2029400000.0,,,2600000.0,86900000.0,329300000.0,,1725900000.0,632800000.0,98800000.0,7400000.0,236800000.0,396000000.0,-88800000.0,307200000.0,2358700000.0,277900000.0,276900000.0,277500000.0
