company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,cashandequivalents,commonequity,currentdeferredtaxliabilities,goodwill,grossppe,intangibleassets,longtermdebt,netinventory,netppe,noncontrollinginterests,othercurrentassets,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,othernoncurrentnonoperatingliabilities,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
Emerson Electric Co,EMR,FGLT0EWZSUIRRITFOA30,32604,2008.0,FY,,2008-09-30,2009-11-23 16:52:34+00:00,2699000000.0,4618000000.0,2480000000.0,5184000000.0,141000000.0,1777000000.0,623000000.0,173000000.0,6562000000.0,8691000000.0,,3297000000.0,2348000000.0,3507000000.0,,588000000.0,,,1640000000.0,2057000000.0,,,14002000000.0,1221000000.0,21040000000.0,9113000000.0,9331000000.0,6573000000.0,9113000000.0,9113000000.0,11927000000.0,21040000000.0,8202000000.0,5354000000.0,0.0,-5653000000.0
Emerson Electric Co,EMR,FGLT0EWZSUIRRITFOA30,32604,2009.0,FY,,2009-09-30,2010-11-23 17:12:24+00:00,1949000000.0,3623000000.0,2378000000.0,5394000000.0,-496000000.0,1560000000.0,634000000.0,52000000.0,7078000000.0,8894000000.0,1144000000.0,3998000000.0,1855000000.0,3500000000.0,151000000.0,615000000.0,,,388000000.0,2103000000.0,,,14714000000.0,577000000.0,19763000000.0,8555000000.0,7653000000.0,4956000000.0,8555000000.0,8706000000.0,11057000000.0,19763000000.0,8610000000.0,6101000000.0,0.0,-6297000000.0
Emerson Electric Co,EMR,FGLT0EWZSUIRRITFOA30,32604,2009.0,Q3,,2009-06-30,2009-08-05 13:26:47+00:00,1824000000.0,3720000000.0,2308000000.0,,-133000000.0,1382000000.0,629000000.0,24000000.0,6976000000.0,,,4464000000.0,2062000000.0,3475000000.0,,554000000.0,,,2155000000.0,2207000000.0,,,14471000000.0,837000000.0,20324000000.0,8660000000.0,7718000000.0,4993000000.0,8660000000.0,8660000000.0,11664000000.0,20324000000.0,9131000000.0,6671000000.0,0.0,-6307000000.0
Emerson Electric Co,EMR,FGLT0EWZSUIRRITFOA30,32604,2010.0,FY,,2010-09-30,2011-11-21 21:41:04+00:00,2409000000.0,3989000000.0,2864000000.0,5020000000.0,-426000000.0,1592000000.0,669000000.0,96000000.0,8656000000.0,8307000000.0,2150000000.0,4586000000.0,2105000000.0,3287000000.0,160000000.0,677000000.0,,,387000000.0,2456000000.0,,,15869000000.0,480000000.0,22843000000.0,9792000000.0,8363000000.0,5849000000.0,9792000000.0,9952000000.0,12891000000.0,22843000000.0,11193000000.0,7042000000.0,0.0,-6320000000.0
Emerson Electric Co,EMR,FGLT0EWZSUIRRITFOA30,32604,2010.0,Q3,,2010-06-30,2010-08-04 11:34:39+00:00,2228000000.0,3793000000.0,2616000000.0,,-792000000.0,3424000000.0,651000000.0,123000000.0,7596000000.0,,,4586000000.0,2114000000.0,3289000000.0,164000000.0,627000000.0,,,2115000000.0,2026000000.0,,,15373000000.0,2290000000.0,22958000000.0,8925000000.0,9958000000.0,7257000000.0,8925000000.0,9089000000.0,13869000000.0,22958000000.0,9711000000.0,6612000000.0,0.0,-6307000000.0
Emerson Electric Co,EMR,FGLT0EWZSUIRRITFOA30,32604,2010.0,Q2,,2010-03-31,2010-05-05 15:56:37+00:00,2122000000.0,3654000000.0,2556000000.0,,-558000000.0,2159000000.0,642000000.0,52000000.0,7630000000.0,,,4581000000.0,2075000000.0,3367000000.0,150000000.0,620000000.0,,,2215000000.0,2135000000.0,,,15040000000.0,1269000000.0,21720000000.0,8855000000.0,8508000000.0,5999000000.0,8855000000.0,9005000000.0,12715000000.0,21720000000.0,9845000000.0,6716000000.0,0.0,-6269000000.0
Emerson Electric Co,EMR,FGLT0EWZSUIRRITFOA30,32604,2010.0,Q1,,2009-12-31,2010-02-03 16:50:21+00:00,1991000000.0,3650000000.0,2474000000.0,,-466000000.0,1840000000.0,650000000.0,100000000.0,7647000000.0,,,4558000000.0,1956000000.0,3475000000.0,147000000.0,617000000.0,,,2304000000.0,2188000000.0,,,14888000000.0,1240000000.0,21489000000.0,8791000000.0,8063000000.0,5805000000.0,8791000000.0,8938000000.0,12551000000.0,21489000000.0,9951000000.0,6746000000.0,0.0,-6281000000.0
Emerson Electric Co,EMR,FGLT0EWZSUIRRITFOA30,32604,2011.0,FY,,2011-09-30,2012-11-20 11:55:46+00:00,2677000000.0,4502000000.0,2772000000.0,5294000000.0,-562000000.0,2052000000.0,794000000.0,139000000.0,8771000000.0,8731000000.0,1969000000.0,4324000000.0,2100000000.0,3437000000.0,152000000.0,691000000.0,,,339000000.0,2521000000.0,,,17310000000.0,877000000.0,23861000000.0,10399000000.0,9345000000.0,6465000000.0,10399000000.0,10551000000.0,13310000000.0,23861000000.0,11079000000.0,6845000000.0,0.0,-7143000000.0
Emerson Electric Co,EMR,FGLT0EWZSUIRRITFOA30,32604,2011.0,Q3,,2011-06-30,2011-08-04 10:11:20+00:00,2633000000.0,4443000000.0,2657000000.0,,-74000000.0,1781000000.0,852000000.0,156000000.0,8974000000.0,,2074000000.0,4353000000.0,2422000000.0,3382000000.0,155000000.0,637000000.0,,,391000000.0,2444000000.0,,,16807000000.0,862000000.0,24104000000.0,10844000000.0,9283000000.0,6308000000.0,10844000000.0,10999000000.0,13105000000.0,24104000000.0,11439000000.0,6797000000.0,0.0,-6741000000.0
Emerson Electric Co,EMR,FGLT0EWZSUIRRITFOA30,32604,2011.0,Q2,,2011-03-31,2011-05-04 17:26:51+00:00,2463000000.0,4231000000.0,2582000000.0,,-150000000.0,1593000000.0,833000000.0,118000000.0,8905000000.0,,2146000000.0,4353000000.0,2324000000.0,3303000000.0,160000000.0,650000000.0,,,383000000.0,2443000000.0,,,16383000000.0,771000000.0,23535000000.0,10645000000.0,8798000000.0,5934000000.0,10645000000.0,10805000000.0,12730000000.0,23535000000.0,11434000000.0,6796000000.0,0.0,-6421000000.0
