company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,paymentofdividends,provisionforloanlosses,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Total System Services Inc,TSS,,721683,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 19:50:19+00:00,-91473000.0,154000.0,-151165000.0,11299000.0,164643000.0,,-10188000.0,-77810000.0,18575000.0,-140086000.0,-193061000.0,352835000.0,-140086000.0,-193061000.0,352835000.0,9500000.0,251676000.0,251676000.0,10382000.0,358000.0,-55690000.0,3790000.0,-343000.0,-101245000.0,-67631000.0,-35698000.0,
Total System Services Inc,TSS,,721683,2009.0,Q4,2009-10-01,2009-12-31,,-11885000.0,39000.0,163146000.0,887000.0,38957000.0,-12000.0,-2777000.0,25891000.0,,-19492000.0,-37997000.0,90081000.0,-19492000.0,-37997000.0,90081000.0,29815000.0,62891000.0,62891000.0,-41786000.0,,-13802000.0,4089000.0,,-26100000.0,-5691000.0,1000.0,
Total System Services Inc,TSS,,721683,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 12:10:12+00:00,-35596000.0,154000.0,104004000.0,3368000.0,156471000.0,1979000.0,-4470000.0,20431000.0,5334000.0,-69298000.0,-119432000.0,423137000.0,-69298000.0,-119432000.0,423137000.0,229937000.0,219176000.0,219176000.0,13968000.0,8000.0,-55443000.0,12937000.0,-294000.0,-85521000.0,-18869000.0,-328000.0,
Total System Services Inc,TSS,,721683,2009.0,Q3,2009-07-01,2009-09-30,,-6606000.0,38000.0,-94653000.0,728000.0,39547000.0,1991000.0,1729000.0,-4782000.0,,-17203000.0,-24626000.0,113961000.0,-17203000.0,-24626000.0,113961000.0,73861000.0,55326000.0,55326000.0,19644000.0,,-13811000.0,4188000.0,-1000.0,-20010000.0,-3392000.0,,
Total System Services Inc,TSS,,721683,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-04 12:33:48+00:00,-23711000.0,115000.0,-59142000.0,2481000.0,117514000.0,1991000.0,-1693000.0,-5460000.0,5334000.0,-49806000.0,-81435000.0,333056000.0,-49806000.0,-81435000.0,333056000.0,200122000.0,156285000.0,156285000.0,55754000.0,8000.0,-41641000.0,8848000.0,-294000.0,-59421000.0,-13178000.0,-329000.0,
Total System Services Inc,TSS,,721683,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-09 15:06:18+00:00,-17105000.0,77000.0,35511000.0,1753000.0,77967000.0,,-3422000.0,-678000.0,5334000.0,-32603000.0,-56809000.0,219095000.0,-32603000.0,-56809000.0,219095000.0,126261000.0,100959000.0,100959000.0,36110000.0,8000.0,-27830000.0,4660000.0,-293000.0,-39411000.0,-9786000.0,-329000.0,
Total System Services Inc,TSS,,721683,2010.0,Q4,2010-10-01,2010-12-31,,-32895000.0,39000.0,19251000.0,324000.0,44004000.0,41000.0,-2248000.0,29287000.0,39757000.0,17518000.0,-102333000.0,109258000.0,17518000.0,-102333000.0,109258000.0,22195000.0,51618000.0,51618000.0,-16085000.0,,-22436000.0,395000.0,,-69547000.0,197000.0,,68000.0
Total System Services Inc,TSS,,721683,2010.0,FY,2010-01-01,2010-12-31,2013-02-26 14:10:43+00:00,-75669000.0,154000.0,122173000.0,2191000.0,163111000.0,4265000.0,-938000.0,11092000.0,39757000.0,-81676000.0,-361706000.0,389160000.0,-81676000.0,-361706000.0,389160000.0,-55160000.0,205621000.0,205621000.0,6089000.0,654000.0,-64118000.0,3093000.0,-148531000.0,-141839000.0,-11741000.0,-46228000.0,68000.0
Total System Services Inc,TSS,,721683,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-04 11:57:28+00:00,-42774000.0,115000.0,102922000.0,1867000.0,119107000.0,4224000.0,1310000.0,-18195000.0,,-99194000.0,-259373000.0,279902000.0,-99194000.0,-259373000.0,279902000.0,-77355000.0,154003000.0,154003000.0,22174000.0,654000.0,-41682000.0,2698000.0,-148531000.0,-72292000.0,-11938000.0,-46228000.0,
Total System Services Inc,TSS,,721683,2010.0,Q3TTM,2009-10-01,2010-09-30,,-54659000.0,154000.0,266068000.0,2754000.0,158064000.0,4212000.0,-1467000.0,7696000.0,,-118686000.0,-297370000.0,369983000.0,-118686000.0,-297370000.0,369983000.0,-47540000.0,216894000.0,216894000.0,-19612000.0,654000.0,-55484000.0,6787000.0,-148531000.0,-98392000.0,-17629000.0,-46227000.0,
