company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,netrealizedcapitalgains,nonoperatingincome,othergains,othernoninterestincome,otheroperatingexpenses,otherspecialcharges,restructuringcharge,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Total System Services Inc,TSS,,721683,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 19:50:19+00:00,1.26,1.26,0.28,1.26,131206000.0,251676000.0,253085000.0,-1409000.0,250100000.0,1576000.0,1711534000.0,5772000.0,7397000.0,,1329272000.0,11140000.0,,1340412000.0,1711534000.0,376894000.0,1711534000.0,198500000.0,198500000.0,198500000.0
Total System Services Inc,TSS,,721683,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 12:10:12+00:00,1.09,1.09,0.28,1.09,121850000.0,219176000.0,225720000.0,-6544000.0,215213000.0,3963000.0,,-3441000.0,6985000.0,1677483000.0,1333457000.0,,,1333457000.0,1677483000.0,340585000.0,1677483000.0,197400000.0,197400000.0,197400000.0
Total System Services Inc,TSS,,721683,2009.0,Q3,2009-07-01,2009-09-30,2010-11-04 12:33:48+00:00,0.28,0.28,,0.28,31911000.0,55326000.0,58581000.0,-3255000.0,55026000.0,300000.0,,575000.0,1623000.0,428917000.0,340623000.0,,,340623000.0,428917000.0,88869000.0,428917000.0,196500000.0,196500000.0,196500000.0
Total System Services Inc,TSS,,721683,2009.0,Q2,2009-04-01,2009-06-30,2010-08-09 15:06:18+00:00,0.27,0.27,,0.27,29229000.0,54018000.0,52898000.0,1120000.0,53447000.0,571000.0,,-2278000.0,1626000.0,411993000.0,329214000.0,,,329214000.0,411993000.0,80501000.0,411993000.0,198000000.0,198000000.0,198000000.0
Total System Services Inc,TSS,,721683,2010.0,Q4,2010-10-01,2010-12-31,,0.24,0.25,0.28,0.25,14698000.0,51618000.0,51699000.0,-81000.0,47173000.0,4445000.0,-413464000.0,-215000.0,-4362000.0,853454000.0,369016000.0,,,369016000.0,439990000.0,70759000.0,439990000.0,197900000.0,195900000.0,195900000.0
Total System Services Inc,TSS,,721683,2010.0,FY,2010-01-01,2010-12-31,2013-02-26 14:10:43+00:00,0.98,0.99,0.28,0.99,98946000.0,205621000.0,208866000.0,-3245000.0,193947000.0,11674000.0,,-1617000.0,,1717577000.0,1408148000.0,,,1408148000.0,1717577000.0,307812000.0,1717577000.0,197900000.0,195900000.0,195900000.0
Total System Services Inc,TSS,,721683,2010.0,Q3,2010-07-01,2010-09-30,2011-11-04 11:57:28+00:00,0.23,0.23,,0.23,27879000.0,49706000.0,52169000.0,-2463000.0,45743000.0,3963000.0,,31000.0,1103000.0,433236000.0,354322000.0,,,354322000.0,433236000.0,78945000.0,433236000.0,198900000.0,198900000.0,198900000.0
Total System Services Inc,TSS,,721683,2010.0,Q3YTD,2010-01-01,2010-09-30,,0.74,0.74,,0.74,84248000.0,154003000.0,157167000.0,-3164000.0,146774000.0,7229000.0,413464000.0,-1402000.0,4362000.0,864123000.0,1039132000.0,,,1039132000.0,1277587000.0,237053000.0,1277587000.0,198900000.0,198900000.0,198900000.0
Total System Services Inc,TSS,,721683,2010.0,Q2,2010-04-01,2010-06-30,2011-08-05 13:35:17+00:00,0.25,0.25,,0.25,28272000.0,52478000.0,52751000.0,-273000.0,49704000.0,2774000.0,,-1172000.0,2366000.0,430887000.0,351058000.0,,,351058000.0,430887000.0,78657000.0,430887000.0,198800000.0,198800000.0,198800000.0
Total System Services Inc,TSS,,721683,2010.0,Q2YTD,2010-01-01,2010-06-30,,0.51,0.51,,0.51,56369000.0,104297000.0,104998000.0,-701000.0,101031000.0,3266000.0,413464000.0,-1433000.0,3259000.0,430887000.0,684810000.0,,,684810000.0,844351000.0,158108000.0,844351000.0,198800000.0,198800000.0,198800000.0
