company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otherincome,otheroperatingexpenses,otherspecialcharges,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Constellation Brands Inc,STZ,,16918,2009.0,FY,2008-03-01,2009-02-28,2011-04-29 15:07:59+00:00,-1.4,-1.4,,-1.27,300400000.0,194600000.0,-301400000.0,-301400000.0,-301400000.0,,3493000000.0,4723000000.0,,,,,68000000.0,832000000.0,3493000000.0,1230000000.0,323000000.0,186600000.0,1200400000.0,29600000.0,-136400000.0,-106800000.0,4723000000.0,215300000.0,215300000.0,237300000.0
Constellation Brands Inc,STZ,,16918,2010.0,FY,2009-03-01,2010-02-28,2012-04-30 14:27:40+00:00,0.41,0.41,,0.41,103200000.0,160000000.0,99300000.0,99300000.0,99300000.0,,3068200000.0,4213000000.0,,,,,47600000.0,682500000.0,3068200000.0,1144800000.0,265800000.0,213600000.0,833300000.0,311500000.0,-52200000.0,259300000.0,4213000000.0,242200000.0,242200000.0,242200000.0
Constellation Brands Inc,STZ,,16918,2010.0,Q3,2009-09-01,2009-11-30,2011-01-10 16:51:19+00:00,0.18,0.18,,0.2,,61100000.0,44100000.0,44100000.0,44100000.0,,881400000.0,1225500000.0,,,,,5100000.0,202900000.0,881400000.0,344100000.0,65500000.0,34600000.0,208000000.0,136100000.0,-30900000.0,105200000.0,1225500000.0,245000000.0,245000000.0,220500000.0
Constellation Brands Inc,STZ,,16918,2010.0,Q2,2009-06-01,2009-08-31,2010-10-12 12:30:53+00:00,0.42,0.42,,0.45,,45500000.0,99700000.0,99700000.0,99700000.0,,781100000.0,1090700000.0,,,,,3200000.0,166300000.0,781100000.0,309600000.0,68100000.0,73200000.0,169500000.0,140100000.0,5100000.0,145200000.0,1090700000.0,237400000.0,237400000.0,221600000.0
Constellation Brands Inc,STZ,,16918,2011.0,Q4,2010-12-01,2011-02-28,,1.44,1.44,,1.41,16700000.0,-172800000.0,279800000.0,279800000.0,279800000.0,,618200000.0,872200000.0,,,,,5700000.0,128700000.0,618200000.0,254000000.0,-147900000.0,-143800000.0,151100000.0,102900000.0,4100000.0,107000000.0,872200000.0,208800000.0,208800000.0,213500000.0
Constellation Brands Inc,STZ,,16918,2011.0,FY,2010-03-01,2011-02-28,2013-04-29 10:37:44+00:00,2.68,2.68,,2.62,23600000.0,-8500000.0,559500000.0,559500000.0,559500000.0,,2906600000.0,4096700000.0,,0.0,,,23100000.0,640900000.0,2906600000.0,1190100000.0,,48500000.0,687600000.0,502500000.0,48500000.0,551000000.0,4096700000.0,208800000.0,208800000.0,213500000.0
Constellation Brands Inc,STZ,,16918,2011.0,Q3YTD,2010-03-01,2010-11-30,,1.24,1.24,,1.21,6900000.0,164300000.0,279700000.0,279700000.0,279700000.0,,2288400000.0,3224500000.0,,,,,17400000.0,512200000.0,2288400000.0,936100000.0,147900000.0,192300000.0,536500000.0,399600000.0,44400000.0,444000000.0,3224500000.0,228400000.0,228400000.0,232200000.0
Constellation Brands Inc,STZ,,16918,2011.0,Q3,2010-09-01,2010-11-30,2012-01-09 15:40:07+00:00,0.61,0.61,,0.6,6900000.0,53100000.0,139300000.0,139300000.0,139300000.0,,839500000.0,1191400000.0,,,,,-1200000.0,176100000.0,839500000.0,351900000.0,49100000.0,71400000.0,181800000.0,170100000.0,22300000.0,192400000.0,1191400000.0,228400000.0,228400000.0,232200000.0
Constellation Brands Inc,STZ,,16918,2011.0,Q2YTD,2010-03-01,2010-08-31,,0.63,0.63,,0.61,,111200000.0,140400000.0,140400000.0,140400000.0,,1448900000.0,2033100000.0,,,,,18600000.0,336100000.0,1448900000.0,584200000.0,98800000.0,120900000.0,354700000.0,229500000.0,22100000.0,251600000.0,2033100000.0,228300000.0,228300000.0,228300000.0
Constellation Brands Inc,STZ,,16918,2011.0,Q2,2010-06-01,2010-08-31,2011-10-11 13:51:32+00:00,0.4,0.4,,0.4,,58000000.0,91300000.0,91300000.0,91300000.0,,742700000.0,1056900000.0,,,,,13700000.0,167300000.0,742700000.0,314200000.0,50300000.0,66400000.0,181000000.0,133200000.0,16100000.0,149300000.0,1056900000.0,228300000.0,228300000.0,228300000.0
