company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Whole Foods Market Inc,WFM,,865436,2008.0,FY,2007-10-01,2008-09-28,2010-11-24 10:10:03+00:00,-5480000.0,,118366000.0,36155000.0,249213000.0,163913000.0,-1567000.0,-59131000.0,18019000.0,317000000.0,,69830000.0,-372721000.0,334992000.0,69830000.0,-372721000.0,334992000.0,30534000.0,114524000.0,114524000.0,30386000.0,5686000.0,-359202000.0,-109072000.0,-194316000.0,-171952000.0,-161803000.0,,194316000.0
Whole Foods Market Inc,WFM,,865436,2009.0,Q4,2009-07-06,2009-09-27,,-1604000.0,,42054000.0,1626000.0,62404000.0,,1455000.0,12806000.0,1581000.0,,,1511000.0,-62871000.0,113000000.0,1511000.0,-62871000.0,113000000.0,53095000.0,36410000.0,36410000.0,1380000.0,42000.0,-49833000.0,,,-11434000.0,-112000.0,,
Whole Foods Market Inc,WFM,,865436,2009.0,FY,2008-09-29,2009-09-27,2011-11-23 10:30:49+00:00,-1604000.0,,69701000.0,43685000.0,266695000.0,,-1297000.0,136747000.0,4286000.0,123000000.0,413052000.0,199455000.0,-386283000.0,587721000.0,199455000.0,-386283000.0,587721000.0,399596000.0,146804000.0,146804000.0,37475000.0,42000.0,-318063000.0,-19833000.0,,-66616000.0,-321092000.0,,
Whole Foods Market Inc,WFM,,865436,2009.0,Q3YTD,2008-09-29,2009-07-05,2010-08-13 11:53:59+00:00,,,27647000.0,42059000.0,204291000.0,,-2752000.0,123941000.0,2705000.0,123000000.0,413052000.0,197944000.0,-323412000.0,474721000.0,197944000.0,-323412000.0,474721000.0,346501000.0,110394000.0,110394000.0,36095000.0,,-268230000.0,-19833000.0,,-55182000.0,-320980000.0,,
Whole Foods Market Inc,WFM,,865436,2010.0,Q4,2010-07-05,2010-09-26,,-20000.0,1521000.0,56849000.0,662000.0,64516000.0,,558000.0,-3977000.0,3066000.0,,,3109000.0,-132170000.0,124355000.0,3109000.0,-132170000.0,124355000.0,-4148000.0,57498000.0,57498000.0,4797000.0,165000.0,-29628000.0,,-183296000.0,-29026000.0,-122000.0,,109800000.0
Whole Foods Market Inc,WFM,,865436,2010.0,FY,2009-09-28,2010-09-26,2012-11-21 10:32:38+00:00,-14470000.0,1521000.0,193044000.0,39156000.0,275589000.0,,893000.0,51925000.0,46962000.0,,,-168906000.0,-715406000.0,585285000.0,-168906000.0,-715406000.0,585285000.0,-298134000.0,245833000.0,245833000.0,10417000.0,2982000.0,-189873000.0,-8500000.0,-1072243000.0,-85414000.0,-210350000.0,0.0,646594000.0
Whole Foods Market Inc,WFM,,865436,2010.0,Q3TTM,2009-07-06,2010-07-04,,-16054000.0,,178249000.0,40120000.0,273477000.0,,1790000.0,68708000.0,45477000.0,,,-170504000.0,-646107000.0,573930000.0,-170504000.0,-646107000.0,573930000.0,-240891000.0,224745000.0,224745000.0,7000000.0,2859000.0,-210078000.0,-8500000.0,-888947000.0,-67822000.0,-210340000.0,,536794000.0
Whole Foods Market Inc,WFM,,865436,2010.0,Q3,2010-04-12,2010-07-04,,-14450000.0,,57579000.0,9841000.0,64278000.0,,-1266000.0,-17348000.0,9575000.0,,,-199570000.0,3824000.0,117947000.0,-199570000.0,3824000.0,117947000.0,-79065000.0,65729000.0,65729000.0,5288000.0,973000.0,-32047000.0,,-273455000.0,-20333000.0,-210118000.0,,344109000.0
Whole Foods Market Inc,WFM,,865436,2010.0,Q3YTD,2009-09-28,2010-07-04,2011-08-12 09:41:41+00:00,-14450000.0,,136195000.0,38494000.0,211073000.0,,335000.0,55902000.0,43896000.0,,,-172015000.0,-583236000.0,460930000.0,-172015000.0,-583236000.0,460930000.0,-293986000.0,188335000.0,188335000.0,5620000.0,2817000.0,-160245000.0,-8500000.0,-888947000.0,-56388000.0,-210228000.0,,536794000.0
Whole Foods Market Inc,WFM,,865436,2010.0,Q2,2010-01-18,2010-04-11,,,,37133000.0,9278000.0,63094000.0,,569000.0,55143000.0,30359000.0,-3000.0,,32009000.0,-240287000.0,181506000.0,32009000.0,-240287000.0,181506000.0,-26203000.0,67451000.0,67451000.0,-4182000.0,1763000.0,-52259000.0,,-350710000.0,-12798000.0,-110000.0,,175480000.0
Whole Foods Market Inc,WFM,,865436,2010.0,Q2YTD,2009-09-28,2010-04-11,2011-05-20 10:25:06+00:00,,,78616000.0,28653000.0,146795000.0,,1601000.0,73250000.0,34321000.0,,,27555000.0,-587060000.0,342983000.0,27555000.0,-587060000.0,342983000.0,-214921000.0,122606000.0,122606000.0,332000.0,1844000.0,-128198000.0,-8500000.0,-615492000.0,-36055000.0,-110000.0,,192685000.0
Whole Foods Market Inc,WFM,,865436,2010.0,Q1,2009-09-28,2010-01-17,2011-02-25 09:44:45+00:00,,,41483000.0,19375000.0,83701000.0,,1032000.0,18107000.0,3962000.0,3000.0,,-4454000.0,-346773000.0,161477000.0,-4454000.0,-346773000.0,161477000.0,-188718000.0,55155000.0,55155000.0,4514000.0,81000.0,-75939000.0,-8500000.0,-264782000.0,-23257000.0,,,17205000.0
Whole Foods Market Inc,WFM,,865436,2011.0,Q4,2011-07-04,2011-09-25,,-2000000.0,1387000.0,47653000.0,940000.0,67918000.0,,-3136000.0,7890000.0,86073000.0,,,74317000.0,-308432000.0,160140000.0,74317000.0,-308432000.0,160140000.0,-77111000.0,75863000.0,75863000.0,7082000.0,6066000.0,-53611000.0,-18080000.0,-304713000.0,-46470000.0,258000.0,,98362000.0
Whole Foods Market Inc,WFM,,865436,2011.0,FY,2010-09-27,2011-09-25,2013-11-22 13:27:52+00:00,-2000000.0,6000000.0,192000000.0,16000000.0,287000000.0,,-1000000.0,102000000.0,297000000.0,,,-223000000.0,-451000000.0,755000000.0,-223000000.0,-451000000.0,755000000.0,80000000.0,343000000.0,343000000.0,17000000.0,23000000.0,-214000000.0,-53000000.0,-1229000000.0,-162000000.0,-490000000.0,0.0,1156000000.0
