company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,otherspecialcharges,preferreddividends,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Whole Foods Market Inc,WFM,,865436,2008.0,FY,2007-10-01,2008-09-28,2010-11-24 10:10:03+00:00,0.82,0.82,0.6,0.82,91995000.0,114524000.0,114524000.0,114524000.0,5247207000.0,7953912000.0,6697000.0,55554000.0,,36545000.0,2378368000.0,5247207000.0,2706705000.0,36416000.0,2470467000.0,236238000.0,-29719000.0,206519000.0,7953912000.0,139700000.0,139886000.0,140011000.0
Whole Foods Market Inc,WFM,,865436,2009.0,FY,2008-09-29,2009-09-27,2011-11-23 10:30:49+00:00,0.85,0.85,,0.85,104138000.0,146804000.0,146804000.0,118754000.0,5276493000.0,8031620000.0,3449000.0,49218000.0,28050000.0,31185000.0,2390375000.0,5276493000.0,2755127000.0,36856000.0,2470778000.0,284349000.0,-33407000.0,250942000.0,8031620000.0,139700000.0,140414000.0,140414000.0
Whole Foods Market Inc,WFM,,865436,2009.0,Q3,2009-04-13,2009-07-05,2010-08-13 11:53:59+00:00,0.25,0.25,,0.25,29746000.0,42807000.0,42807000.0,34968000.0,1218029000.0,1878338000.0,1326000.0,10763000.0,7839000.0,18209000.0,552422000.0,1218029000.0,660309000.0,7688000.0,581394000.0,78915000.0,-6362000.0,72553000.0,1878338000.0,139900000.0,140439000.0,140439000.0
Whole Foods Market Inc,WFM,,865436,2010.0,Q4,2010-07-05,2010-09-26,,0.35,0.35,,0.35,37745000.0,57498000.0,57498000.0,57498000.0,1370098000.0,2097394000.0,1618000.0,4907000.0,,765000.0,620708000.0,1370098000.0,727296000.0,7291000.0,626380000.0,100916000.0,-5673000.0,95243000.0,2097394000.0,165800000.0,166244000.0,171710000.0
Whole Foods Market Inc,WFM,,865436,2010.0,FY,2009-09-28,2010-09-26,2012-11-21 10:32:38+00:00,1.45,1.45,0.0,1.43,165948000.0,245833000.0,245833000.0,240355000.0,5869519000.0,9005794000.0,6854000.0,38044000.0,5478000.0,11217000.0,2649039000.0,5869519000.0,3136275000.0,33048000.0,2698300000.0,437975000.0,-26194000.0,411781000.0,9005794000.0,165800000.0,166244000.0,171710000.0
Whole Foods Market Inc,WFM,,865436,2010.0,Q3YTD,2009-09-28,2010-07-04,,1.07,1.07,0.05,1.07,128203000.0,188335000.0,188335000.0,182857000.0,4499421000.0,6908400000.0,5236000.0,33137000.0,5478000.0,10452000.0,2028331000.0,4499421000.0,2408979000.0,25757000.0,2071920000.0,337059000.0,-20521000.0,316538000.0,6908400000.0,173000000.0,171653000.0,172601000.0
Whole Foods Market Inc,WFM,,865436,2010.0,Q3,2010-04-12,2010-07-04,2011-08-12 09:41:41+00:00,0.38,0.38,,0.38,43963000.0,65729000.0,65729000.0,65729000.0,1402847000.0,2163181000.0,1543000.0,8692000.0,,728000.0,635344000.0,1402847000.0,760334000.0,7421000.0,644764000.0,115570000.0,-5878000.0,109692000.0,2163181000.0,173000000.0,171653000.0,172601000.0
Whole Foods Market Inc,WFM,,865436,2010.0,Q2YTD,2009-09-28,2010-04-11,,0.71,0.71,,0.71,84240000.0,122606000.0,122606000.0,117128000.0,3096574000.0,4745219000.0,3693000.0,24445000.0,5478000.0,9724000.0,1392987000.0,3096574000.0,1648645000.0,18336000.0,1427156000.0,221489000.0,-14643000.0,206846000.0,4745219000.0,173000000.0,170893000.0,171826000.0
Whole Foods Market Inc,WFM,,865436,2010.0,Q2,2010-01-18,2010-04-11,2011-05-20 10:25:06+00:00,0.39,0.39,,0.39,45912000.0,67451000.0,67451000.0,67451000.0,1363632000.0,2106061000.0,1910000.0,11636000.0,,-2688000.0,614245000.0,1363632000.0,742429000.0,7783000.0,623193000.0,119236000.0,-5873000.0,113363000.0,2106061000.0,173000000.0,170893000.0,171826000.0
Whole Foods Market Inc,WFM,,865436,2010.0,Q1,2009-09-28,2010-01-17,2011-02-25 09:44:45+00:00,0.32,0.32,,0.32,38328000.0,55155000.0,55155000.0,49677000.0,1732942000.0,2639158000.0,1783000.0,12809000.0,5478000.0,12412000.0,778742000.0,1732942000.0,906216000.0,10553000.0,803963000.0,102253000.0,-8770000.0,93483000.0,2639158000.0,155200000.0,154413000.0,154858000.0
Whole Foods Market Inc,WFM,,865436,2011.0,Q4,2011-07-04,2011-09-25,,0.22,0.22,0.05,0.22,43176000.0,75863000.0,75863000.0,75863000.0,1541283000.0,2354046000.0,5351000.0,11033000.0,,1480000.0,682562000.0,1541283000.0,812763000.0,4000000.0,695075000.0,117688000.0,1351000.0,119039000.0,2354046000.0,350000000.0,350500000.0,354600000.0
