company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofplantpropertyandequipment
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2008.0,FY,2007-03-31,2008-03-28,2010-05-21 08:39:14+00:00,-1928000000.0,,1286000000.0,0.0,27000000.0,-565000000.0,86000000.0,3671000000.0,998000000.0,-2719000000.0,1343000000.0,998000000.0,-2719000000.0,1343000000.0,-351000000.0,559000000.0,559000000.0,63000000.0,11000000.0,86000000.0,,-877000000.0,-1757000000.0,-1013000000.0,
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2009.0,Q1TTM,2008-07-05,2009-07-03,,-1866000000.0,,1228000000.0,,116000000.0,-667000000.0,81000000.0,3025000000.0,685000000.0,-2548000000.0,1102000000.0,685000000.0,-2548000000.0,1102000000.0,-645000000.0,566000000.0,566000000.0,-25000000.0,10000000.0,100000000.0,,-782000000.0,-1419000000.0,-1012000000.0,
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2009.0,FY,2008-03-29,2009-04-03,2011-06-15 12:56:26+00:00,-428000000.0,,1270000000.0,0.0,-92000000.0,-638000000.0,13000000.0,1848000000.0,742000000.0,-1038000000.0,1986000000.0,742000000.0,-1038000000.0,1986000000.0,1598000000.0,1123000000.0,1123000000.0,231000000.0,1000000.0,12000000.0,0.0,-699000000.0,-1116000000.0,-4000000.0,77000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2009.0,Q4,2009-01-03,2009-04-03,,-85000000.0,,283000000.0,,-23000000.0,319000000.0,1000000.0,198000000.0,-211000000.0,-200000000.0,1058000000.0,-211000000.0,-200000000.0,1058000000.0,624000000.0,383000000.0,383000000.0,73000000.0,,-50000000.0,,-142000000.0,-410000000.0,,77000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2009.0,Q3,2008-10-04,2009-01-02,,-108000000.0,,306000000.0,,-36000000.0,-16000000.0,,896000000.0,666000000.0,-281000000.0,582000000.0,666000000.0,-281000000.0,582000000.0,931000000.0,163000000.0,163000000.0,129000000.0,,22000000.0,,-195000000.0,-229000000.0,-1000000.0,
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2009.0,Q3YTD,2008-03-29,2009-01-02,2010-02-10 12:11:26+00:00,-343000000.0,,987000000.0,,-69000000.0,-957000000.0,12000000.0,1650000000.0,953000000.0,-838000000.0,928000000.0,953000000.0,-838000000.0,928000000.0,974000000.0,740000000.0,740000000.0,158000000.0,1000000.0,62000000.0,,-557000000.0,-706000000.0,-4000000.0,
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2009.0,Q2,2008-07-05,2008-10-03,,-162000000.0,,398000000.0,,-125000000.0,-286000000.0,11000000.0,745000000.0,301000000.0,-399000000.0,643000000.0,301000000.0,-399000000.0,643000000.0,420000000.0,444000000.0,444000000.0,87000000.0,1000000.0,25000000.0,,-262000000.0,-455000000.0,-1000000.0,
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2009.0,Q2YTD,2008-03-29,2008-10-03,2009-11-12 12:36:15+00:00,-235000000.0,,681000000.0,,-33000000.0,-941000000.0,12000000.0,754000000.0,287000000.0,-557000000.0,346000000.0,287000000.0,-557000000.0,346000000.0,43000000.0,577000000.0,577000000.0,29000000.0,1000000.0,40000000.0,,-362000000.0,-477000000.0,-3000000.0,
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2010.0,FY,2009-04-04,2010-04-02,2011-06-15 12:56:26+00:00,-354000000.0,,1156000000.0,14000000.0,121000000.0,-410000000.0,100000000.0,130000000.0,-487000000.0,-790000000.0,1643000000.0,-487000000.0,-790000000.0,1643000000.0,487000000.0,834000000.0,834000000.0,63000000.0,9000000.0,46000000.0,0.0,-578000000.0,-723000000.0,-3000000.0,82000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2010.0,Q4,2010-01-02,2010-04-02,,-137000000.0,,278000000.0,,-2000000.0,646000000.0,100000000.0,29000000.0,-601000000.0,-276000000.0,1236000000.0,-601000000.0,-276000000.0,1236000000.0,357000000.0,264000000.0,264000000.0,48000000.0,-77000000.0,-80000000.0,,-141000000.0,-652000000.0,-1000000.0,82000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2010.0,Q3TTM,2009-01-03,2010-01-01,,-302000000.0,,1161000000.0,14000000.0,100000000.0,-737000000.0,1000000.0,299000000.0,-97000000.0,-714000000.0,1465000000.0,-97000000.0,-714000000.0,1465000000.0,754000000.0,953000000.0,953000000.0,88000000.0,86000000.0,76000000.0,,-579000000.0,-481000000.0,-2000000.0,77000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2010.0,Q3,2009-10-03,2010-01-01,,-67000000.0,,301000000.0,2000000.0,11000000.0,-421000000.0,,73000000.0,105000000.0,-228000000.0,132000000.0,105000000.0,-228000000.0,132000000.0,20000000.0,217000000.0,217000000.0,35000000.0,53000000.0,65000000.0,,-228000000.0,-22000000.0,1000000.0,
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2010.0,Q3YTD,2009-04-04,2010-01-01,2011-02-09 12:30:36+00:00,-217000000.0,,878000000.0,14000000.0,123000000.0,-1056000000.0,,101000000.0,114000000.0,-514000000.0,407000000.0,114000000.0,-514000000.0,407000000.0,130000000.0,570000000.0,570000000.0,15000000.0,86000000.0,126000000.0,0.0,-437000000.0,-71000000.0,-2000000.0,
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2010.0,Q2TTM,2008-10-04,2009-10-02,,-343000000.0,,1166000000.0,12000000.0,53000000.0,-332000000.0,1000000.0,1122000000.0,464000000.0,-767000000.0,1915000000.0,464000000.0,-767000000.0,1915000000.0,1665000000.0,899000000.0,899000000.0,182000000.0,33000000.0,33000000.0,,-546000000.0,-688000000.0,-4000000.0,77000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2010.0,Q2,2009-07-04,2009-10-02,,-77000000.0,,294000000.0,12000000.0,20000000.0,22000000.0,,19000000.0,23000000.0,-128000000.0,572000000.0,23000000.0,-128000000.0,572000000.0,487000000.0,220000000.0,220000000.0,36000000.0,32000000.0,46000000.0,,-109000000.0,-27000000.0,-1000000.0,
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2010.0,Q2YTD,2009-04-04,2009-10-02,2010-11-10 12:07:23+00:00,-150000000.0,,577000000.0,12000000.0,112000000.0,-635000000.0,,28000000.0,9000000.0,-286000000.0,275000000.0,9000000.0,-286000000.0,275000000.0,110000000.0,353000000.0,353000000.0,-20000000.0,33000000.0,61000000.0,0.0,-209000000.0,-49000000.0,-3000000.0,
