company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accruedinvestmentincome,aoci,cashandequivalents,claimsandclaimexpenses,commitmentsandcontingencies,commonequity,deferredacquisitioncost,futurepolicybenefits,goodwill,interestbearingdeposits,loansandleases,loansheldforsale,longtermdebt,mortgageservicingrights,netloansandleases,netpremisesandequipment,noncontrollinginterests,noninterestbearingdeposits,otherassets,otherlongtermliabilities,othershorttermpayables,participatingpolicyholderequity,redeemablenoncontrollinginterest,retainedearnings,separateaccountbusinessassets,separateaccountbusinessliabilities,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,treasurystock,unearnedpremiumscredit,unearnedpremiumsdebit
American International Group Inc,AIG,ODVCVCQG2BP6VHV36M30,5272,2008.0,FY,,2008-12-31,2010-02-26 07:20:28+00:00,5999000000.0,-6328000000.0,8642000000.0,89258000000.0,,39856000000.0,45782000000.0,142334000000.0,6952000000.0,,,30949000000.0,137054000000.0,34687000000.0,,48961000000.0,8095000000.0,4498000000.0,168867000000.0,34646000000.0,5436000000.0,239940000000.0,1921000000.0,-12368000000.0,51142000000.0,51142000000.0,67649000000.0,860418000000.0,12710000000.0,52710000000.0,60805000000.0,797692000000.0,860418000000.0,40000000000.0,437349000000.0,-8450000000.0,25735000000.0,21088000000.0
American International Group Inc,AIG,ODVCVCQG2BP6VHV36M30,5272,2009.0,FY,,2009-12-31,2011-02-24 16:36:24+00:00,5152000000.0,5693000000.0,4400000000.0,85386000000.0,,6712000000.0,40814000000.0,116001000000.0,6195000000.0,48599000000.0,,20327000000.0,113298000000.0,27461000000.0,,48233000000.0,28252000000.0,1641000000.0,138007000000.0,28700000000.0,4950000000.0,233380000000.0,959000000.0,-11491000000.0,58150000000.0,58150000000.0,37082000000.0,847585000000.0,40000000.0,69824000000.0,98076000000.0,748550000000.0,847585000000.0,69784000000.0,482297000000.0,-874000000.0,21363000000.0,16549000000.0
American International Group Inc,AIG,ODVCVCQG2BP6VHV36M30,5272,2009.0,Q3,,2009-09-30,2009-11-06 07:02:04+00:00,6020000000.0,925000000.0,4957000000.0,81599000000.0,,15032000000.0,44007000000.0,148090000000.0,5847000000.0,,,23861000000.0,122197000000.0,31985000000.0,,48926000000.0,3825000000.0,3181000000.0,153699000000.0,29929000000.0,4730000000.0,234390000000.0,1158000000.0,-2618000000.0,59553000000.0,59553000000.0,59854000000.0,844344000000.0,5066000000.0,72712000000.0,76537000000.0,766649000000.0,844344000000.0,67646000000.0,450008000000.0,-8273000000.0,23126000000.0,15481000000.0
American International Group Inc,AIG,ODVCVCQG2BP6VHV36M30,5272,2009.0,Q2,,2009-06-30,2009-09-03 16:01:05+00:00,5530000000.0,-11286000000.0,5802000000.0,82088000000.0,,80627000000.0,44176000000.0,145715000000.0,6439000000.0,,,25342000000.0,123528000000.0,32380000000.0,,49676000000.0,4175000000.0,2687000000.0,165819000000.0,34079000000.0,5203000000.0,232056000000.0,1072000000.0,-3073000000.0,53468000000.0,53468000000.0,65012000000.0,830412000000.0,57954000000.0,57958000000.0,62133000000.0,767207000000.0,830412000000.0,,424398000000.0,-8314000000.0,23371000000.0,17382000000.0
American International Group Inc,AIG,ODVCVCQG2BP6VHV36M30,5272,2010.0,FY,,2010-12-31,2012-02-23 16:07:46+00:00,2960000000.0,7624000000.0,1558000000.0,91151000000.0,0.0,10051000000.0,14668000000.0,31268000000.0,,97312000000.0,,,85476000000.0,,,38510000000.0,27920000000.0,,176515000000.0,31477000000.0,,128131000000.0,434000000.0,-3466000000.0,54432000000.0,54432000000.0,26720000000.0,683443000000.0,13336000000.0,85319000000.0,113239000000.0,569770000000.0,683443000000.0,71983000000.0,379087000000.0,-873000000.0,23803000000.0,15713000000.0
American International Group Inc,AIG,ODVCVCQG2BP6VHV36M30,5272,2010.0,Q3,,2010-09-30,2010-11-05 07:10:16+00:00,4161000000.0,18000000000.0,1668000000.0,86297000000.0,,6218000000.0,25300000000.0,78655000000.0,1447000000.0,209323000000.0,,1262000000.0,93419000000.0,22943000000.0,,43112000000.0,27871000000.0,936000000.0,111643000000.0,26552000000.0,3455000000.0,148920000000.0,2027000000.0,-14486000000.0,58209000000.0,58209000000.0,30826000000.0,871965000000.0,8859000000.0,80842000000.0,108713000000.0,761225000000.0,871965000000.0,71983000000.0,585185000000.0,-873000000.0,24633000000.0,17035000000.0
American International Group Inc,AIG,ODVCVCQG2BP6VHV36M30,5272,2010.0,Q2,,2010-06-30,2010-08-06 07:10:46+00:00,4223000000.0,9829000000.0,2840000000.0,85604000000.0,,6651000000.0,28970000000.0,92949000000.0,2640000000.0,142104000000.0,,17862000000.0,108286000000.0,24817000000.0,,44581000000.0,27254000000.0,950000000.0,122840000000.0,26691000000.0,3704000000.0,170733000000.0,1923000000.0,-12120000000.0,53803000000.0,53803000000.0,36229000000.0,850531000000.0,3487000000.0,75470000000.0,102724000000.0,745884000000.0,850531000000.0,71983000000.0,529626000000.0,-873000000.0,24831000000.0,18329000000.0
American International Group Inc,AIG,ODVCVCQG2BP6VHV36M30,5272,2010.0,Q1,,2010-03-31,2010-05-07 07:14:08+00:00,3467000000.0,7053000000.0,2133000000.0,86489000000.0,,6710000000.0,19064000000.0,47752000000.0,2565000000.0,217837000000.0,,18912000000.0,109744000000.0,22533000000.0,,46517000000.0,26718000000.0,1030000000.0,121718000000.0,26185000000.0,2874000000.0,150425000000.0,1940000000.0,-9871000000.0,51953000000.0,51953000000.0,39399000000.0,863697000000.0,3018000000.0,75001000000.0,101719000000.0,760038000000.0,863697000000.0,71983000000.0,556117000000.0,-874000000.0,26350000000.0,18718000000.0
American International Group Inc,AIG,ODVCVCQG2BP6VHV36M30,5272,2011.0,FY,,2011-12-31,2013-02-21 16:08:46+00:00,3108000000.0,6481000000.0,1474000000.0,91145000000.0,0.0,85225000000.0,8937000000.0,34317000000.0,,,,,75253000000.0,,,35539000000.0,855000000.0,,141294000000.0,28248000000.0,,133589000000.0,8523000000.0,10774000000.0,51388000000.0,51388000000.0,4733000000.0,553054000000.0,101538000000.0,101538000000.0,102393000000.0,442138000000.0,553054000000.0,,296593000000.0,-942000000.0,23465000000.0,14721000000.0
American International Group Inc,AIG,ODVCVCQG2BP6VHV36M30,5272,2011.0,Q3,,2011-09-30,2011-11-03 16:24:52+00:00,3206000000.0,5829000000.0,1542000000.0,93782000000.0,0.0,86540000000.0,14192000000.0,33600000000.0,,,,,77389000000.0,,,35758000000.0,771000000.0,,133271000000.0,31642000000.0,,132610000000.0,9408000000.0,-5466000000.0,48112000000.0,48112000000.0,5066000000.0,544257000000.0,86031000000.0,86031000000.0,86802000000.0,448047000000.0,544257000000.0,,292586000000.0,-872000000.0,25951000000.0,15590000000.0
