company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,extraordinaryincome,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Reynolds American Inc,RAI,02S2RPPVO9RP4NEU2740,1275283,2007.0,FY,2007-01-01,2007-12-31,2010-02-19 11:21:54+00:00,23000000.0,4.43,4.43,3.2,4.43,1000000.0,65000000.0,766000000.0,1308000000.0,1307000000.0,,1308000000.0,4960000000.0,9023000000.0,-11000000.0,0.0,1687000000.0,4960000000.0,4063000000.0,338000000.0,134000000.0,1775000000.0,2288000000.0,-215000000.0,2073000000.0,9023000000.0,295300000.0,295300000.0,295300000.0
Reynolds American Inc,RAI,02S2RPPVO9RP4NEU2740,1275283,2008.0,FY,2008-01-01,2008-12-31,2011-02-23 12:09:59+00:00,22000000.0,2.28,2.28,1.7,2.28,,318000000.0,790000000.0,1338000000.0,1338000000.0,,1338000000.0,4863000000.0,8845000000.0,291000000.0,90000000.0,1500000000.0,4863000000.0,3982000000.0,275000000.0,60000000.0,1930000000.0,2052000000.0,76000000.0,2128000000.0,8845000000.0,586802000.0,586802000.0,586802000.0
Reynolds American Inc,RAI,02S2RPPVO9RP4NEU2740,1275283,2008.0,Q3,2008-07-01,2008-09-30,2009-10-27 11:24:13+00:00,5000000.0,0.72,0.72,0.85,0.72,,173000000.0,123000000.0,211000000.0,211000000.0,,211000000.0,1229000000.0,2272000000.0,-13000000.0,91000000.0,375000000.0,1229000000.0,1043000000.0,68000000.0,16000000.0,644000000.0,399000000.0,-65000000.0,334000000.0,2272000000.0,293100000.0,293100000.0,293100000.0
Reynolds American Inc,RAI,02S2RPPVO9RP4NEU2740,1275283,2008.0,Q2,2008-04-01,2008-06-30,2009-07-31 08:53:33+00:00,6000000.0,1.24,1.24,0.85,1.23,,0.0,216000000.0,364000000.0,364000000.0,,364000000.0,1305000000.0,2339000000.0,-2000000.0,,391000000.0,1305000000.0,1034000000.0,68000000.0,13000000.0,397000000.0,637000000.0,-57000000.0,580000000.0,2339000000.0,293500000.0,293500000.0,295900000.0
Reynolds American Inc,RAI,02S2RPPVO9RP4NEU2740,1275283,2009.0,FY,2009-01-01,2009-12-31,2012-02-15 13:07:52+00:00,-28000000.0,1.64,1.64,1.73,1.64,,623000000.0,567000000.0,955000000.0,955000000.0,,955000000.0,4488000000.0,8419000000.0,-9000000.0,56000000.0,1517000000.0,4488000000.0,3931000000.0,251000000.0,19000000.0,2168000000.0,1763000000.0,-241000000.0,1522000000.0,8419000000.0,582761000.0,582761000.0,582761000.0
Reynolds American Inc,RAI,02S2RPPVO9RP4NEU2740,1275283,2009.0,Q4,2009-10-01,2009-12-31,,-50000000.0,0.36,0.36,0.43,0.36,,170000000.0,116000000.0,208000000.0,208000000.0,,208000000.0,1151000000.0,2096000000.0,,56000000.0,388000000.0,1151000000.0,945000000.0,61000000.0,4000000.0,564000000.0,381000000.0,-57000000.0,324000000.0,2096000000.0,582761000.0,582761000.0,582761000.0
Reynolds American Inc,RAI,02S2RPPVO9RP4NEU2740,1275283,2009.0,Q3YTD,2009-01-01,2009-09-30,,22000000.0,2.56,2.56,2.55,2.56,,453000000.0,451000000.0,747000000.0,747000000.0,,747000000.0,3337000000.0,6323000000.0,-9000000.0,,1129000000.0,3337000000.0,2986000000.0,190000000.0,15000000.0,1604000000.0,1382000000.0,-184000000.0,1198000000.0,6323000000.0,291371000.0,291371000.0,291371000.0
Reynolds American Inc,RAI,02S2RPPVO9RP4NEU2740,1275283,2009.0,Q3,2009-07-01,2009-09-30,2010-10-28 10:15:15+00:00,7000000.0,1.24,1.24,0.85,1.24,,,217000000.0,362000000.0,362000000.0,,362000000.0,1138000000.0,2152000000.0,-2000000.0,,371000000.0,1138000000.0,1014000000.0,60000000.0,5000000.0,378000000.0,636000000.0,-57000000.0,579000000.0,2152000000.0,291371000.0,291371000.0,291371000.0
Reynolds American Inc,RAI,02S2RPPVO9RP4NEU2740,1275283,2009.0,Q2YTD,2009-01-01,2009-06-30,,15000000.0,1.32,1.32,1.7,1.32,,453000000.0,234000000.0,385000000.0,385000000.0,,385000000.0,2199000000.0,4171000000.0,-7000000.0,,758000000.0,2199000000.0,1972000000.0,130000000.0,10000000.0,1226000000.0,746000000.0,-127000000.0,619000000.0,4171000000.0,291344000.0,291344000.0,291344000.0
Reynolds American Inc,RAI,02S2RPPVO9RP4NEU2740,1275283,2009.0,Q2,2009-04-01,2009-06-30,2010-07-30 10:23:26+00:00,7000000.0,1.29,1.29,0.85,1.29,,,225000000.0,377000000.0,377000000.0,,377000000.0,1201000000.0,2250000000.0,12000000.0,,393000000.0,1201000000.0,1049000000.0,64000000.0,5000000.0,400000000.0,649000000.0,-47000000.0,602000000.0,2250000000.0,291344000.0,291344000.0,291344000.0
