company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Reynolds American Inc,RAI,02S2RPPVO9RP4NEU2740,1275283,2007.0,FY,2007-01-01,2007-12-31,2010-02-19 11:21:54+00:00,-3000000.0,655000000.0,334000000.0,143000000.0,0.0,0.0,-140000000.0,,1550000000.0,-1312000000.0,763000000.0,1331000000.0,-1312000000.0,763000000.0,1331000000.0,782000000.0,1308000000.0,1308000000.0,,20000000.0,,-1000000.0,,-916000000.0,-3764000000.0,-142000000.0,-1886000000.0,-60000000.0,4670000000.0,3000000.0
Reynolds American Inc,RAI,02S2RPPVO9RP4NEU2740,1275283,2008.0,FY,2008-01-01,2008-12-31,2011-02-23 12:09:59+00:00,,846000000.0,268000000.0,142000000.0,164000000.0,-24000000.0,-110000000.0,,3000000.0,-1206000000.0,278000000.0,1315000000.0,-1206000000.0,278000000.0,1315000000.0,363000000.0,1338000000.0,1338000000.0,,-55000000.0,,2000000.0,,-999000000.0,-56000000.0,-113000000.0,,-210000000.0,273000000.0,8000000.0
Reynolds American Inc,RAI,02S2RPPVO9RP4NEU2740,1275283,2008.0,Q4,2008-10-01,2008-12-31,,,222000000.0,107000000.0,36000000.0,,-1000000.0,-148000000.0,,1000000.0,-251000000.0,14000000.0,487000000.0,-251000000.0,14000000.0,487000000.0,249000000.0,258000000.0,258000000.0,,341000000.0,-2000000.0,15000000.0,,-247000000.0,-56000000.0,-18000000.0,,-3000000.0,65000000.0,8000000.0
Reynolds American Inc,RAI,02S2RPPVO9RP4NEU2740,1275283,2008.0,Q3,2008-07-01,2008-09-30,,,207000000.0,23000000.0,36000000.0,,-23000000.0,-102000000.0,,1000000.0,-338000000.0,-75000000.0,1129000000.0,-338000000.0,-75000000.0,1129000000.0,693000000.0,211000000.0,211000000.0,,984000000.0,,-47000000.0,,-250000000.0,,-25000000.0,,-89000000.0,-3000000.0,
Reynolds American Inc,RAI,02S2RPPVO9RP4NEU2740,1275283,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-10-27 11:24:13+00:00,,624000000.0,161000000.0,106000000.0,164000000.0,-23000000.0,38000000.0,,2000000.0,-955000000.0,264000000.0,828000000.0,-955000000.0,264000000.0,828000000.0,114000000.0,1080000000.0,1080000000.0,,-396000000.0,2000000.0,-13000000.0,,-752000000.0,,-95000000.0,0.0,-207000000.0,208000000.0,
Reynolds American Inc,RAI,02S2RPPVO9RP4NEU2740,1275283,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-07-31 08:53:33+00:00,,417000000.0,138000000.0,70000000.0,164000000.0,0.0,140000000.0,,1000000.0,-617000000.0,339000000.0,-301000000.0,-617000000.0,339000000.0,-301000000.0,-579000000.0,869000000.0,869000000.0,,-1380000000.0,2000000.0,34000000.0,,-502000000.0,,-70000000.0,0.0,-118000000.0,211000000.0,
Reynolds American Inc,RAI,02S2RPPVO9RP4NEU2740,1275283,2009.0,FY,2009-01-01,2009-12-31,2012-02-15 13:07:52+00:00,-43000000.0,709000000.0,245000000.0,144000000.0,24000000.0,6000000.0,-487000000.0,,4000000.0,-1192000000.0,-123000000.0,1454000000.0,-1192000000.0,-123000000.0,1454000000.0,145000000.0,955000000.0,955000000.0,,842000000.0,,12000000.0,,-991000000.0,,-141000000.0,-200000000.0,-5000000.0,25000000.0,
Reynolds American Inc,RAI,02S2RPPVO9RP4NEU2740,1275283,2009.0,Q4,2009-10-01,2009-12-31,,-43000000.0,125000000.0,96000000.0,35000000.0,,-3000000.0,-18000000.0,,4000000.0,-246000000.0,-106000000.0,565000000.0,-246000000.0,-106000000.0,565000000.0,210000000.0,208000000.0,208000000.0,,340000000.0,,-18000000.0,,-248000000.0,,-66000000.0,3000000.0,-5000000.0,21000000.0,
Reynolds American Inc,RAI,02S2RPPVO9RP4NEU2740,1275283,2009.0,Q3TTM,2008-10-01,2009-09-30,,,806000000.0,256000000.0,145000000.0,24000000.0,8000000.0,-617000000.0,,1000000.0,-1197000000.0,-3000000.0,1376000000.0,-1197000000.0,-3000000.0,1376000000.0,184000000.0,1005000000.0,1005000000.0,,843000000.0,-2000000.0,45000000.0,,-990000000.0,-56000000.0,-93000000.0,-203000000.0,-3000000.0,69000000.0,8000000.0
Reynolds American Inc,RAI,02S2RPPVO9RP4NEU2740,1275283,2009.0,Q3,2009-07-01,2009-09-30,,,147000000.0,22000000.0,35000000.0,,7000000.0,-375000000.0,,,-248000000.0,-24000000.0,598000000.0,-248000000.0,-24000000.0,598000000.0,333000000.0,362000000.0,362000000.0,,576000000.0,,2000000.0,,-248000000.0,,-27000000.0,,,1000000.0,
