company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accruedinterestpayable,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,customerandotherreceivables,fedfundspurchased,goodwill,intangibleassets,interestbearingdeposits,longtermdebt,netpremisesandequipment,noncontrollinginterests,otherassets,otherlongtermliabilities,othershorttermpayables,redeemablenoncontrollinginterest,restrictedcash,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,treasurystock
Nasdaq Inc,NDAQ,549300L8X1Q78ERXFD06,1120193,2009.0,FY,,2009-12-31,2011-02-24 16:16:05+00:00,,-406000000.0,594000000.0,,3738000000.0,,,4800000000.0,1631000000.0,,1867000000.0,164000000.0,12000000.0,3115000000.0,1042000000.0,2492000000.0,15000000.0,110000000.0,1610000000.0,362000000.0,10722000000.0,4932000000.0,4932000000.0,4944000000.0,5763000000.0,10722000000.0,0.0,308000000.0,-10000000.0
Nasdaq Inc,NDAQ,549300L8X1Q78ERXFD06,1120193,2010.0,FY,,2010-12-31,2012-02-24 13:15:31+00:00,,-272000000.0,315000000.0,0.0,3782000000.0,,3441000000.0,5127000000.0,1719000000.0,,2181000000.0,164000000.0,11000000.0,5023000000.0,1066000000.0,4568000000.0,,165000000.0,2004000000.0,222000000.0,16207000000.0,4718000000.0,4718000000.0,4729000000.0,11478000000.0,16207000000.0,0.0,3694000000.0,-796000000.0
Nasdaq Inc,NDAQ,549300L8X1Q78ERXFD06,1120193,2010.0,Q3,,2010-09-30,2010-11-03 10:19:05+00:00,,-268000000.0,336000000.0,,3778000000.0,,,5041000000.0,1680000000.0,,1846000000.0,160000000.0,11000000.0,2636000000.0,1064000000.0,2208000000.0,,159000000.0,1867000000.0,159000000.0,10355000000.0,5067000000.0,5067000000.0,5078000000.0,5277000000.0,10355000000.0,0.0,343000000.0,-310000000.0
Nasdaq Inc,NDAQ,549300L8X1Q78ERXFD06,1120193,2010.0,Q2,,2010-06-30,2010-08-04 11:25:53+00:00,90000000.0,-647000000.0,526000000.0,,3776000000.0,,,4526000000.0,1513000000.0,,1912000000.0,154000000.0,10000000.0,2745000000.0,971000000.0,1967000000.0,,136000000.0,1766000000.0,277000000.0,9910000000.0,4683000000.0,4683000000.0,4693000000.0,5217000000.0,9910000000.0,0.0,310000000.0,-212000000.0
Nasdaq Inc,NDAQ,549300L8X1Q78ERXFD06,1120193,2011.0,FY,,2011-12-31,2013-02-21 16:24:51+00:00,,-350000000.0,506000000.0,0.0,3795000000.0,17000000.0,3745000000.0,5061000000.0,1648000000.0,17000000.0,2072000000.0,193000000.0,10000000.0,2511000000.0,995000000.0,2125000000.0,,131000000.0,2391000000.0,151000000.0,14091000000.0,4976000000.0,4976000000.0,4986000000.0,9105000000.0,14091000000.0,0.0,4024000000.0,-860000000.0
Nasdaq Inc,NDAQ,549300L8X1Q78ERXFD06,1120193,2011.0,Q3,,2011-09-30,2011-11-04 13:25:49+00:00,,-346000000.0,543000000.0,0.0,3792000000.0,,2873000000.0,5046000000.0,1657000000.0,,2168000000.0,168000000.0,9000000.0,2420000000.0,1013000000.0,2032000000.0,,156000000.0,2310000000.0,75000000.0,13157000000.0,4987000000.0,4987000000.0,4996000000.0,8161000000.0,13157000000.0,0.0,3167000000.0,-769000000.0
Nasdaq Inc,NDAQ,549300L8X1Q78ERXFD06,1120193,2011.0,Q2,,2011-06-30,2011-08-04 09:37:28+00:00,,-62000000.0,578000000.0,,3782000000.0,,3560000000.0,5345000000.0,1767000000.0,,2069000000.0,165000000.0,10000000.0,2318000000.0,1069000000.0,2072000000.0,,164000000.0,2200000000.0,287000000.0,14217000000.0,5150000000.0,5150000000.0,5160000000.0,9057000000.0,14217000000.0,0.0,3880000000.0,-770000000.0
Nasdaq Inc,NDAQ,549300L8X1Q78ERXFD06,1120193,2011.0,Q1,,2011-03-31,2011-05-05 13:39:35+00:00,,-82000000.0,439000000.0,,3786000000.0,,6655000000.0,5339000000.0,1773000000.0,,2150000000.0,166000000.0,11000000.0,3245000000.0,1083000000.0,2930000000.0,,165000000.0,2108000000.0,210000000.0,18065000000.0,5026000000.0,5026000000.0,5037000000.0,13028000000.0,18065000000.0,0.0,6938000000.0,-786000000.0
Nasdaq Inc,NDAQ,549300L8X1Q78ERXFD06,1120193,2012.0,FY,,2012-12-31,2014-02-24 10:57:50+00:00,,-185000000.0,497000000.0,0.0,3773000000.0,209000000.0,,5335000000.0,1650000000.0,209000000.0,1840000000.0,211000000.0,1000000.0,897000000.0,1065000000.0,576000000.0,,110000000.0,2678000000.0,233000000.0,9132000000.0,5208000000.0,5208000000.0,5209000000.0,3923000000.0,9132000000.0,0.0,223000000.0,-1058000000.0
Nasdaq Inc,NDAQ,549300L8X1Q78ERXFD06,1120193,2012.0,Q3,,2012-09-30,2012-11-07 16:20:04+00:00,,-222000000.0,438000000.0,0.0,3806000000.0,194000000.0,,5286000000.0,1645000000.0,194000000.0,1941000000.0,203000000.0,1000000.0,891000000.0,1038000000.0,542000000.0,,106000000.0,2614000000.0,69000000.0,8920000000.0,5135000000.0,5135000000.0,5136000000.0,3784000000.0,8920000000.0,0.0,157000000.0,-1063000000.0
