company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,investmentbankingincome,investmentsecuritiesinterestincome,longtermdebtinterestexpense,marketingexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,netinterestincome,netoccupancyequipmentexpense,netrealizedcapitalgains,nonoperatingincome,othergains,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,restructuringcharge,salariesandemployeebenefitsexpense,servicechargesondepositsincome,totalinterestexpense,totalinterestincome,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Nasdaq Inc,NDAQ,549300L8X1Q78ERXFD06,1120193,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 16:16:05+00:00,1.65,1.65,,93000000.0,1.55,42000000.0,198000000.0,,43000000.0,97000000.0,19000000.0,315000000.0,315000000.0,314000000.0,1000000.0,-54000000.0,119000000.0,-31000000.0,,,,2353000000.0,12000000.0,25000000.0,401000000.0,3638000000.0,97000000.0,43000000.0,3052000000.0,3619000000.0,513000000.0,3565000000.0,190300000.0,190300000.0,202600000.0
Nasdaq Inc,NDAQ,549300L8X1Q78ERXFD06,1120193,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 13:15:31+00:00,1.3,1.3,,104000000.0,1.25,,128000000.0,,15000000.0,127000000.0,15000000.0,263000000.0,263000000.0,266000000.0,-3000000.0,-112000000.0,139000000.0,7000000.0,-107000000.0,,,-1286000000.0,,17000000.0,408000000.0,,127000000.0,15000000.0,-603000000.0,7000000.0,391000000.0,-105000000.0,204600000.0,204600000.0,212800000.0
Nasdaq Inc,NDAQ,549300L8X1Q78ERXFD06,1120193,2009.0,Q3,2009-07-01,2009-09-30,2010-11-03 10:19:05+00:00,0.3,0.3,,27000000.0,0.28,,25000000.0,,4000000.0,51000000.0,3000000.0,59000000.0,59000000.0,60000000.0,-1000000.0,-47000000.0,33000000.0,,,,,511000000.0,,5000000.0,100000000.0,810000000.0,51000000.0,4000000.0,679000000.0,810000000.0,84000000.0,763000000.0,200000000.0,200000000.0,214300000.0
Nasdaq Inc,NDAQ,549300L8X1Q78ERXFD06,1120193,2009.0,Q2,2009-04-01,2009-06-30,2010-08-04 11:25:53+00:00,0.34,0.34,,27000000.0,0.33,,46000000.0,,3000000.0,25000000.0,3000000.0,68000000.0,68000000.0,69000000.0,-1000000.0,-22000000.0,32000000.0,-5000000.0,-18000000.0,,,560000000.0,,3000000.0,105000000.0,889000000.0,25000000.0,3000000.0,730000000.0,884000000.0,114000000.0,862000000.0,202900000.0,202900000.0,209100000.0
Nasdaq Inc,NDAQ,549300L8X1Q78ERXFD06,1120193,2010.0,FY,2010-01-01,2010-12-31,2013-02-21 16:24:51+00:00,1.94,1.94,,103000000.0,1.91,,137000000.0,,6000000.0,102000000.0,20000000.0,389000000.0,389000000.0,395000000.0,-6000000.0,-96000000.0,146000000.0,-11000000.0,,,,1875000000.0,1000000.0,4000000.0,412000000.0,3190000000.0,102000000.0,6000000.0,2560000000.0,3180000000.0,526000000.0,3084000000.0,203600000.0,203600000.0,206800000.0
Nasdaq Inc,NDAQ,549300L8X1Q78ERXFD06,1120193,2010.0,Q3YTD,2010-01-01,2010-09-30,,1.26,1.26,,75000000.0,1.24,,123000000.0,,7000000.0,76000000.0,14000000.0,255000000.0,255000000.0,258000000.0,-3000000.0,-69000000.0,109000000.0,-11000000.0,2000000.0,,,1456000000.0,1000000.0,2000000.0,302000000.0,2413000000.0,76000000.0,7000000.0,1958000000.0,2403000000.0,378000000.0,2334000000.0,198000000.0,198000000.0,202000000.0
Nasdaq Inc,NDAQ,549300L8X1Q78ERXFD06,1120193,2010.0,Q3,2010-07-01,2010-09-30,2011-11-04 13:25:49+00:00,0.51,0.51,,25000000.0,0.5,,43000000.0,,2000000.0,25000000.0,5000000.0,100000000.0,100000000.0,101000000.0,-1000000.0,-23000000.0,36000000.0,,1000000.0,,,424000000.0,,1000000.0,101000000.0,757000000.0,25000000.0,2000000.0,592000000.0,757000000.0,143000000.0,734000000.0,198000000.0,198000000.0,202000000.0
Nasdaq Inc,NDAQ,549300L8X1Q78ERXFD06,1120193,2010.0,Q2YTD,2010-01-01,2010-06-30,,0.75,0.75,,50000000.0,0.74,,80000000.0,,5000000.0,51000000.0,9000000.0,155000000.0,155000000.0,157000000.0,-2000000.0,-46000000.0,73000000.0,-11000000.0,1000000.0,,,1032000000.0,1000000.0,1000000.0,201000000.0,1656000000.0,51000000.0,5000000.0,1366000000.0,1646000000.0,235000000.0,1600000000.0,208700000.0,208700000.0,208700000.0
Nasdaq Inc,NDAQ,549300L8X1Q78ERXFD06,1120193,2010.0,Q2,2010-04-01,2010-06-30,2011-08-04 09:37:28+00:00,0.46,0.46,,25000000.0,0.46,,51000000.0,,3000000.0,26000000.0,5000000.0,95000000.0,95000000.0,96000000.0,-1000000.0,-23000000.0,35000000.0,-11000000.0,1000000.0,,,538000000.0,,1000000.0,103000000.0,886000000.0,26000000.0,3000000.0,707000000.0,875000000.0,146000000.0,852000000.0,208700000.0,208700000.0,208700000.0
Nasdaq Inc,NDAQ,549300L8X1Q78ERXFD06,1120193,2010.0,Q1,2010-01-01,2010-03-31,2011-05-05 13:39:35+00:00,0.29,0.29,,25000000.0,0.28,,29000000.0,,2000000.0,25000000.0,4000000.0,60000000.0,60000000.0,61000000.0,-1000000.0,-23000000.0,38000000.0,,,,,494000000.0,1000000.0,,98000000.0,770000000.0,25000000.0,2000000.0,659000000.0,771000000.0,89000000.0,748000000.0,210300000.0,210300000.0,217900000.0
