company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,dilutedeps,impairmentexpense,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othergains,otherincome,otherspecialcharges,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Monster Worldwide Inc,MWW,549300SUJ0LW6NYJFG31,1020416,2008.0,FY,2008-01-01,2008-12-31,2011-02-02 13:19:15+00:00,1.04,1.04,1.03,,64910000.0,291198000.0,124793000.0,114489000.0,10304000.0,124793000.0,,543268000.0,1343627000.0,-7839000.0,2968000.0,40100000.0,16407000.0,282699000.0,543268000.0,800359000.0,-14315000.0,,630404000.0,169955000.0,17283000.0,187238000.0,1343627000.0,120000000.0,120557000.0,121167000.0
Monster Worldwide Inc,MWW,549300SUJ0LW6NYJFG31,1020416,2009.0,Q3,2009-07-01,2009-09-30,2010-10-29 13:36:28+00:00,0.27,0.27,0.27,,-30891000.0,45757000.0,32751000.0,32751000.0,,32751000.0,,112833000.0,214533000.0,-1044000.0,-48000.0,-6850000.0,,59841000.0,112833000.0,101700000.0,,,98748000.0,2952000.0,-48000.0,2904000.0,214533000.0,121300000.0,119473000.0,121676000.0
Monster Worldwide Inc,MWW,549300SUJ0LW6NYJFG31,1020416,2009.0,Q2,2009-04-01,2009-06-30,2010-07-30 07:38:46+00:00,-0.01,-0.01,-0.01,,-83000.0,44953000.0,-1370000.0,-1370000.0,,-1370000.0,,113484000.0,223057000.0,-1190000.0,76000.0,,5097000.0,59862000.0,113484000.0,109573000.0,,,109912000.0,-339000.0,76000.0,-263000.0,223057000.0,137000000.0,119274000.0,119274000.0
Monster Worldwide Inc,MWW,549300SUJ0LW6NYJFG31,1020416,2010.0,Q4,2010-10-01,2010-12-31,,,,,,6538000.0,45107000.0,501000.0,18073000.0,-17572000.0,501000.0,,101493000.0,215859000.0,-359000.0,-662000.0,,,43627000.0,101493000.0,114366000.0,,,88734000.0,25632000.0,-662000.0,24970000.0,215859000.0,119800000.0,120608000.0,120608000.0
Monster Worldwide Inc,MWW,549300SUJ0LW6NYJFG31,1020416,2010.0,FY,2010-01-01,2010-12-31,2013-02-13 10:29:15+00:00,-0.27,-0.27,-0.27,,-8293000.0,203274000.0,-32359000.0,-14787000.0,-17572000.0,-32359000.0,,464206000.0,874923000.0,-2870000.0,-1700000.0,,,225953000.0,464206000.0,410717000.0,,,429227000.0,-18510000.0,-1700000.0,-20210000.0,874923000.0,119800000.0,120608000.0,120608000.0
Monster Worldwide Inc,MWW,549300SUJ0LW6NYJFG31,1020416,2010.0,Q3YTD,2010-01-01,2010-09-30,,-0.27,-0.27,-0.27,,-14831000.0,158167000.0,-32860000.0,-32860000.0,,-32860000.0,,362713000.0,659064000.0,-2511000.0,-1038000.0,,,182326000.0,362713000.0,296351000.0,,,340493000.0,-44142000.0,-1038000.0,-45180000.0,659064000.0,114500000.0,120796000.0,120796000.0
Monster Worldwide Inc,MWW,549300SUJ0LW6NYJFG31,1020416,2010.0,Q3,2010-07-01,2010-09-30,2011-10-27 17:15:26+00:00,-0.05,-0.05,-0.05,,-1823000.0,51661000.0,-5724000.0,-5724000.0,,-5724000.0,,119297000.0,228842000.0,-873000.0,-1286000.0,,,63272000.0,119297000.0,109545000.0,,,114933000.0,-5388000.0,-1286000.0,-6674000.0,228842000.0,114500000.0,120796000.0,120796000.0
Monster Worldwide Inc,MWW,549300SUJ0LW6NYJFG31,1020416,2010.0,Q2YTD,2010-01-01,2010-06-30,,-0.22,-0.22,-0.22,,-13008000.0,106506000.0,-27136000.0,-27136000.0,,-27136000.0,,243416000.0,430222000.0,-1638000.0,248000.0,,,119054000.0,243416000.0,186806000.0,,,225560000.0,-38754000.0,248000.0,-38506000.0,430222000.0,147900000.0,120701000.0,120701000.0
Monster Worldwide Inc,MWW,549300SUJ0LW6NYJFG31,1020416,2010.0,Q2,2010-04-01,2010-06-30,2011-07-28 13:42:48+00:00,-0.02,-0.02,-0.02,,-829000.0,46925000.0,-2957000.0,-2957000.0,,-2957000.0,,114966000.0,214917000.0,-807000.0,901000.0,,,56906000.0,114966000.0,99951000.0,,,103831000.0,-3880000.0,901000.0,-2979000.0,214917000.0,147900000.0,120701000.0,120701000.0
Monster Worldwide Inc,MWW,549300SUJ0LW6NYJFG31,1020416,2010.0,Q1,2010-01-01,2010-03-31,2011-04-29 14:22:51+00:00,-0.2,-0.2,-0.2,,-12179000.0,59581000.0,-24179000.0,-24179000.0,,-24179000.0,,128450000.0,215305000.0,-831000.0,-653000.0,,,62148000.0,128450000.0,86855000.0,,,121729000.0,-34874000.0,-653000.0,-35527000.0,215305000.0,120900000.0,120032000.0,120032000.0
