company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,cashandequivalents,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,goodwill,grossppe,intangibleassets,longtermdebt,netinventory,netppe,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
Sigma-Aldrich Corp ,SIAL,5493003MO7QE8VJUEP94,90185,2008.0,FY,,2008-12-31,2010-02-10 16:55:51+00:00,114600000.0,269800000.0,50800000.0,862100000.0,25300000.0,251800000.0,334800000.0,45900000.0,41100000.0,58600000.0,388300000.0,1522500000.0,120600000.0,200100000.0,661800000.0,660400000.0,18600000.0,92600000.0,79900000.0,,78000000.0,72100000.0,2954400000.0,528800000.0,2556500000.0,1379200000.0,1309200000.0,793900000.0,1379200000.0,1379200000.0,1177300000.0,2556500000.0,586900000.0,383400000.0,,-1935300000.0
Sigma-Aldrich Corp ,SIAL,5493003MO7QE8VJUEP94,90185,2009.0,FY,,2009-12-31,2011-02-09 12:40:59+00:00,112000000.0,285000000.0,60000000.0,943000000.0,84000000.0,373000000.0,355000000.0,54000000.0,42000000.0,51000000.0,401000000.0,1652000000.0,129000000.0,100000000.0,609000000.0,709000000.0,23000000.0,94000000.0,63000000.0,,91000000.0,69000000.0,3230000000.0,477000000.0,2714000000.0,1686000000.0,1384000000.0,742000000.0,1686000000.0,1686000000.0,1028000000.0,2714000000.0,621000000.0,286000000.0,,-1983000000.0
Sigma-Aldrich Corp ,SIAL,5493003MO7QE8VJUEP94,90185,2009.0,Q3,,2009-09-30,2009-10-30 17:08:34+00:00,110200000.0,298600000.0,,,99300000.0,292200000.0,344700000.0,58800000.0,31500000.0,53700000.0,403700000.0,,117600000.0,100000000.0,646100000.0,700900000.0,26300000.0,41100000.0,65000000.0,70100000.0,83500000.0,134400000.0,3155500000.0,469000000.0,2666400000.0,1630100000.0,1360700000.0,734500000.0,1630100000.0,1630100000.0,1036300000.0,2666400000.0,604800000.0,301800000.0,,-1969400000.0
Sigma-Aldrich Corp ,SIAL,5493003MO7QE8VJUEP94,90185,2009.0,Q2,,2009-06-30,2009-08-03 15:52:07+00:00,114500000.0,296500000.0,,,55300000.0,258500000.0,339600000.0,56200000.0,40400000.0,54900000.0,400000000.0,,118500000.0,200000000.0,663000000.0,680200000.0,25200000.0,40400000.0,58600000.0,67700000.0,81100000.0,129700000.0,3087000000.0,411400000.0,2612600000.0,1528400000.0,1332800000.0,688900000.0,1528400000.0,1528400000.0,1084200000.0,2612600000.0,599600000.0,395300000.0,,-1953500000.0
Sigma-Aldrich Corp ,SIAL,5493003MO7QE8VJUEP94,90185,2010.0,FY,,2010-12-31,2012-02-13 16:26:52+00:00,121000000.0,287000000.0,69000000.0,1006000000.0,95000000.0,569000000.0,396000000.0,62000000.0,31000000.0,71000000.0,438000000.0,1739000000.0,157000000.0,300000000.0,606000000.0,733000000.0,41000000.0,110000000.0,77000000.0,,98000000.0,69000000.0,3536000000.0,239000000.0,3027000000.0,1976000000.0,1601000000.0,531000000.0,1976000000.0,1976000000.0,1051000000.0,3027000000.0,693000000.0,520000000.0,,-2051000000.0
Sigma-Aldrich Corp ,SIAL,5493003MO7QE8VJUEP94,90185,2010.0,Q3,,2010-09-30,2010-10-21 12:38:04+00:00,117000000.0,315000000.0,192000000.0,,91000000.0,500000000.0,377000000.0,,,,399000000.0,,124000000.0,100000000.0,605000000.0,712000000.0,27000000.0,96000000.0,125000000.0,,89000000.0,71000000.0,3462000000.0,378000000.0,2869000000.0,1888000000.0,1545000000.0,687000000.0,1888000000.0,1888000000.0,981000000.0,2869000000.0,612000000.0,294000000.0,,-2042000000.0
Sigma-Aldrich Corp ,SIAL,5493003MO7QE8VJUEP94,90185,2010.0,Q2,,2010-06-30,2010-07-28 12:36:48+00:00,115000000.0,296000000.0,172000000.0,,-28000000.0,453000000.0,368000000.0,,,,388000000.0,,125000000.0,100000000.0,570000000.0,685000000.0,26000000.0,96000000.0,118000000.0,,87000000.0,69000000.0,3388000000.0,442000000.0,2722000000.0,1702000000.0,1437000000.0,729000000.0,1702000000.0,1702000000.0,1020000000.0,2722000000.0,600000000.0,291000000.0,,-2026000000.0
Sigma-Aldrich Corp ,SIAL,5493003MO7QE8VJUEP94,90185,2010.0,Q1,,2010-03-31,2010-04-22 12:38:10+00:00,120000000.0,317000000.0,196000000.0,,40000000.0,421000000.0,363000000.0,,,,394000000.0,,129000000.0,100000000.0,585000000.0,699000000.0,30000000.0,95000000.0,131000000.0,,93000000.0,67000000.0,3310000000.0,461000000.0,2769000000.0,1700000000.0,1454000000.0,777000000.0,1700000000.0,1700000000.0,1069000000.0,2769000000.0,616000000.0,292000000.0,,-2013000000.0
Sigma-Aldrich Corp ,SIAL,5493003MO7QE8VJUEP94,90185,2011.0,FY,,2011-12-31,2013-02-07 12:20:18+00:00,143000000.0,319000000.0,73000000.0,1060000000.0,30000000.0,665000000.0,427000000.0,55000000.0,34000000.0,67000000.0,466000000.0,1823000000.0,159000000.0,300000000.0,668000000.0,763000000.0,22000000.0,143000000.0,86000000.0,,100000000.0,79000000.0,3907000000.0,221000000.0,3281000000.0,2199000000.0,1793000000.0,538000000.0,2199000000.0,2199000000.0,1082000000.0,3281000000.0,725000000.0,544000000.0,,-2165000000.0
Sigma-Aldrich Corp ,SIAL,5493003MO7QE8VJUEP94,90185,2011.0,Q3,,2011-09-30,2011-10-25 13:41:56+00:00,128000000.0,335000000.0,83000000.0,,84000000.0,643000000.0,419000000.0,59000000.0,31000000.0,79000000.0,470000000.0,,159000000.0,300000000.0,658000000.0,750000000.0,32000000.0,108000000.0,84000000.0,,92000000.0,65000000.0,3820000000.0,269000000.0,3250000000.0,2155000000.0,1779000000.0,590000000.0,2155000000.0,2155000000.0,1095000000.0,3250000000.0,721000000.0,505000000.0,,-2168000000.0
Sigma-Aldrich Corp ,SIAL,5493003MO7QE8VJUEP94,90185,2011.0,Q2,,2011-06-30,2011-07-26 12:12:59+00:00,148000000.0,356000000.0,78000000.0,,193000000.0,663000000.0,412000000.0,60000000.0,33000000.0,71000000.0,484000000.0,,165000000.0,300000000.0,670000000.0,760000000.0,39000000.0,117000000.0,84000000.0,,97000000.0,66000000.0,3725000000.0,216000000.0,3339000000.0,2271000000.0,1833000000.0,546000000.0,2271000000.0,2271000000.0,1068000000.0,3339000000.0,746000000.0,522000000.0,,-2059000000.0
