company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otherspecialcharges,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Sigma-Aldrich Corp ,SIAL,5493003MO7QE8VJUEP94,90185,2007.0,FY,2007-01-01,2007-12-31,2010-02-10 16:55:51+00:00,2.38,2.38,0.46,2.34,,126500000.0,311100000.0,311100000.0,311100000.0,1002700000.0,2038700000.0,,59300000.0,0.0,517100000.0,1002700000.0,1036000000.0,22000000.0,,576400000.0,459600000.0,-22000000.0,437600000.0,2038700000.0,130700000.0,130600000.0,133100000.0
Sigma-Aldrich Corp ,SIAL,5493003MO7QE8VJUEP94,90185,2008.0,FY,2008-01-01,2008-12-31,2011-02-09 12:40:59+00:00,2.7,2.7,,2.65,,148000000.0,342000000.0,342000000.0,342000000.0,1071000000.0,2201000000.0,,64000000.0,,562000000.0,1071000000.0,1130000000.0,14000000.0,,626000000.0,504000000.0,-14000000.0,490000000.0,2201000000.0,126700000.0,126000000.0,129000000.0
Sigma-Aldrich Corp ,SIAL,5493003MO7QE8VJUEP94,90185,2008.0,Q3,2008-07-01,2008-09-30,2009-10-30 17:08:34+00:00,0.65,0.65,0.13,0.64,,40800000.0,81900000.0,81900000.0,81900000.0,262700000.0,540600000.0,,16500000.0,,135200000.0,262700000.0,277900000.0,3500000.0,,151700000.0,126200000.0,-3500000.0,122700000.0,540600000.0,126000000.0,125500000.0,128100000.0
Sigma-Aldrich Corp ,SIAL,5493003MO7QE8VJUEP94,90185,2008.0,Q2,2008-04-01,2008-06-30,2009-08-03 15:52:07+00:00,0.71,0.71,0.13,0.7,,40400000.0,90800000.0,90800000.0,90800000.0,285800000.0,580700000.0,,16000000.0,,144500000.0,285800000.0,294900000.0,3200000.0,,160500000.0,134400000.0,-3200000.0,131200000.0,580700000.0,127900000.0,127500000.0,130200000.0
Sigma-Aldrich Corp ,SIAL,5493003MO7QE8VJUEP94,90185,2009.0,Q4,2009-10-01,2009-12-31,,1.44,0.75,-0.43,0.74,,33000000.0,93000000.0,93000000.0,93000000.0,286000000.0,573000000.0,,16000000.0,9000000.0,134000000.0,286000000.0,287000000.0,2000000.0,,159000000.0,128000000.0,-2000000.0,126000000.0,573000000.0,122200000.0,122000000.0,124000000.0
Sigma-Aldrich Corp ,SIAL,5493003MO7QE8VJUEP94,90185,2009.0,FY,2009-01-01,2009-12-31,2012-02-13 16:26:52+00:00,2.84,2.84,,2.8,,143000000.0,347000000.0,347000000.0,347000000.0,1058000000.0,2148000000.0,,63000000.0,9000000.0,518000000.0,1058000000.0,1090000000.0,10000000.0,,590000000.0,500000000.0,-10000000.0,490000000.0,2148000000.0,122200000.0,122000000.0,124000000.0
Sigma-Aldrich Corp ,SIAL,5493003MO7QE8VJUEP94,90185,2009.0,Q3YTD,2009-01-01,2009-09-30,,2.08,2.08,0.43,2.08,,110000000.0,254000000.0,254000000.0,254000000.0,772000000.0,1575000000.0,,47000000.0,,384000000.0,772000000.0,803000000.0,8000000.0,,431000000.0,372000000.0,-8000000.0,364000000.0,1575000000.0,121100000.0,122000000.0,124000000.0
Sigma-Aldrich Corp ,SIAL,5493003MO7QE8VJUEP94,90185,2009.0,Q3,2009-07-01,2009-09-30,2010-10-21 12:38:04+00:00,0.71,0.71,0.145,0.7,,34000000.0,86000000.0,86000000.0,86000000.0,269000000.0,534000000.0,,16000000.0,0.0,127000000.0,269000000.0,265000000.0,2000000.0,0.0,143000000.0,122000000.0,-2000000.0,120000000.0,534000000.0,121100000.0,122000000.0,124000000.0
Sigma-Aldrich Corp ,SIAL,5493003MO7QE8VJUEP94,90185,2009.0,Q2YTD,2009-01-01,2009-06-30,,1.38,1.38,0.29,1.38,,76000000.0,168000000.0,168000000.0,168000000.0,503000000.0,1041000000.0,,31000000.0,,257000000.0,503000000.0,538000000.0,6000000.0,,288000000.0,250000000.0,-6000000.0,244000000.0,1041000000.0,121700000.0,122000000.0,124000000.0
Sigma-Aldrich Corp ,SIAL,5493003MO7QE8VJUEP94,90185,2009.0,Q2,2009-04-01,2009-06-30,2010-07-28 12:36:48+00:00,0.69,0.69,0.145,0.68,,38000000.0,84000000.0,84000000.0,84000000.0,252000000.0,522000000.0,,15000000.0,,130000000.0,252000000.0,270000000.0,3000000.0,,145000000.0,125000000.0,-3000000.0,122000000.0,522000000.0,121700000.0,122000000.0,124000000.0
