company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,saleofinvestments
Incyte Corp,INCY,549300Z4WN6JVZ3T4680,879169,2009.0,FY,2009-01-01,2009-12-31,2012-02-22 16:29:04+00:00,,0.0,15141000.0,16690000.0,-7000.0,154181000.0,134397000.0,387369000.0,242254000.0,16452000.0,12358000.0,242254000.0,16452000.0,12358000.0,271057000.0,-211870000.0,-211870000.0,53357000.0,-56223000.0,0.0,-387000.0,-223289000.0,16839000.0
Incyte Corp,INCY,549300Z4WN6JVZ3T4680,879169,2010.0,FY,2010-01-01,2010-12-31,2013-02-21 16:17:27+00:00,,0.0,22175000.0,24485000.0,0.0,87017000.0,13590000.0,0.0,-145054000.0,15204000.0,97938000.0,-145054000.0,15204000.0,97938000.0,-31912000.0,-31846000.0,-31846000.0,18282000.0,0.0,0.0,-4109000.0,-158644000.0,19313000.0
Incyte Corp,INCY,549300Z4WN6JVZ3T4680,879169,2010.0,Q4,2010-10-01,2010-12-31,,,,22175000.0,6826000.0,,-15788000.0,3546000.0,,3546000.0,-1841000.0,27403000.0,3546000.0,-1841000.0,27403000.0,29108000.0,32541000.0,32541000.0,3824000.0,,,-2739000.0,,898000.0
Incyte Corp,INCY,549300Z4WN6JVZ3T4680,879169,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-10-27 16:25:59+00:00,,,,17659000.0,,102805000.0,10044000.0,,-148600000.0,17045000.0,70535000.0,-148600000.0,17045000.0,70535000.0,-61020000.0,-64387000.0,-64387000.0,14458000.0,,0.0,-1370000.0,-158644000.0,18415000.0
Incyte Corp,INCY,549300Z4WN6JVZ3T4680,879169,2010.0,Q3,2010-07-01,2010-09-30,,,,,5378000.0,,-7252000.0,3383000.0,,3383000.0,855000.0,-29522000.0,3383000.0,855000.0,-29522000.0,-25284000.0,-31702000.0,-31702000.0,4054000.0,,,-466000.0,,1321000.0
Incyte Corp,INCY,549300Z4WN6JVZ3T4680,879169,2010.0,Q2YTD,2010-01-01,2010-06-30,2011-07-28 16:13:32+00:00,,,,12281000.0,,110057000.0,6661000.0,,-151983000.0,16190000.0,100057000.0,-151983000.0,16190000.0,100057000.0,-35736000.0,-32685000.0,-32685000.0,10404000.0,,0.0,-904000.0,-158644000.0,17094000.0
Incyte Corp,INCY,549300Z4WN6JVZ3T4680,879169,2010.0,Q2,2010-04-01,2010-06-30,,,,,5885000.0,,-15105000.0,2434000.0,,2434000.0,9674000.0,-2766000.0,2434000.0,9674000.0,-2766000.0,9342000.0,3044000.0,3044000.0,3410000.0,,,-598000.0,,10272000.0
Incyte Corp,INCY,549300Z4WN6JVZ3T4680,879169,2010.0,Q1,2010-01-01,2010-03-31,2011-05-03 16:24:07+00:00,,,,6396000.0,,125162000.0,4227000.0,,-154417000.0,6516000.0,102823000.0,-154417000.0,6516000.0,102823000.0,-45078000.0,-35729000.0,-35729000.0,6994000.0,,0.0,-306000.0,-158644000.0,6822000.0
Incyte Corp,INCY,549300Z4WN6JVZ3T4680,879169,2011.0,FY,2011-01-01,2011-12-31,2014-02-21 17:11:16+00:00,,0.0,19000000.0,26990000.0,0.0,-31245000.0,19468000.0,0.0,19468000.0,-2501000.0,-161715000.0,19468000.0,-2501000.0,-161715000.0,-144748000.0,-186540000.0,-186540000.0,29080000.0,0.0,,-3799000.0,0.0,1298000.0
Incyte Corp,INCY,549300Z4WN6JVZ3T4680,879169,2011.0,Q4,2011-10-01,2011-12-31,,,,19000000.0,7042000.0,,734000.0,1754000.0,,1754000.0,-1139000.0,-39779000.0,1754000.0,-1139000.0,-39779000.0,-39164000.0,-55079000.0,-55079000.0,7524000.0,,,-992000.0,,-147000.0
Incyte Corp,INCY,549300Z4WN6JVZ3T4680,879169,2011.0,Q3YTD,2011-01-01,2011-09-30,2012-11-01 16:20:43+00:00,,0.0,0.0,19948000.0,0.0,-31979000.0,17714000.0,0.0,17714000.0,-1362000.0,-121936000.0,17714000.0,-1362000.0,-121936000.0,-105584000.0,-131461000.0,-131461000.0,21556000.0,,0.0,-2807000.0,0.0,1445000.0
Incyte Corp,INCY,549300Z4WN6JVZ3T4680,879169,2011.0,Q3TTM,2010-10-01,2011-09-30,,,,22175000.0,26774000.0,,-47767000.0,21260000.0,,21260000.0,-3203000.0,-94533000.0,21260000.0,-3203000.0,-94533000.0,-76476000.0,-98920000.0,-98920000.0,25380000.0,,,-5546000.0,,2343000.0
Incyte Corp,INCY,549300Z4WN6JVZ3T4680,879169,2011.0,Q3,2011-07-01,2011-09-30,,,,,6871000.0,,-8170000.0,1073000.0,,1073000.0,-841000.0,-46978000.0,1073000.0,-841000.0,-46978000.0,-46746000.0,-53078000.0,-53078000.0,7399000.0,,,-1180000.0,,339000.0
Incyte Corp,INCY,549300Z4WN6JVZ3T4680,879169,2011.0,Q2YTD,2011-01-01,2011-06-30,2012-08-03 16:12:20+00:00,,0.0,0.0,13077000.0,0.0,-23809000.0,16641000.0,0.0,16641000.0,-521000.0,-74958000.0,16641000.0,-521000.0,-74958000.0,-58838000.0,-78383000.0,-78383000.0,14157000.0,,0.0,-1627000.0,0.0,1106000.0
Incyte Corp,INCY,549300Z4WN6JVZ3T4680,879169,2011.0,Q2TTM,2010-07-01,2011-06-30,,,,22175000.0,25281000.0,,-46849000.0,23570000.0,,23570000.0,-1507000.0,-77077000.0,23570000.0,-1507000.0,-77077000.0,-55014000.0,-77544000.0,-77544000.0,22035000.0,,,-4832000.0,,3325000.0
Incyte Corp,INCY,549300Z4WN6JVZ3T4680,879169,2011.0,Q2,2011-04-01,2011-06-30,,,,,6647000.0,,7168000.0,12512000.0,,12512000.0,-545000.0,-30736000.0,12512000.0,-545000.0,-30736000.0,-18769000.0,-51871000.0,-51871000.0,7320000.0,,,-1075000.0,,530000.0
Incyte Corp,INCY,549300Z4WN6JVZ3T4680,879169,2011.0,Q1,2011-01-01,2011-03-31,2011-05-03 16:24:07+00:00,,,,6430000.0,,-30977000.0,4129000.0,,4129000.0,24000.0,-44222000.0,4129000.0,24000.0,-44222000.0,-40069000.0,-26512000.0,-26512000.0,6837000.0,,0.0,-552000.0,0.0,576000.0
Incyte Corp,INCY,549300Z4WN6JVZ3T4680,879169,2011.0,Q1TTM,2010-04-01,2011-03-31,,,,22175000.0,24519000.0,,-69122000.0,13492000.0,,13492000.0,8712000.0,-49107000.0,13492000.0,8712000.0,-49107000.0,-26903000.0,-22629000.0,-22629000.0,18125000.0,,,-4355000.0,,13067000.0
Incyte Corp,INCY,549300Z4WN6JVZ3T4680,879169,2012.0,FY,2012-01-01,2012-12-31,2015-02-17 16:11:01+00:00,,1000.0,19000000.0,29979000.0,,-118430000.0,47711000.0,,47711000.0,-1988000.0,-94830000.0,47711000.0,-1988000.0,-94830000.0,-49107000.0,-44320000.0,-44320000.0,37941000.0,,-9000.0,-2839000.0,,860000.0
Incyte Corp,INCY,549300Z4WN6JVZ3T4680,879169,2012.0,Q4,2012-10-01,2012-12-31,,,,9500000.0,7765000.0,,-57067000.0,7482000.0,,7482000.0,-500000.0,-22008000.0,7482000.0,-500000.0,-22008000.0,-15026000.0,18779000.0,18779000.0,8515000.0,,-9000.0,-930000.0,,439000.0
Incyte Corp,INCY,549300Z4WN6JVZ3T4680,879169,2012.0,Q3TTM,2011-10-01,2012-09-30,,,1000.0,28500000.0,29256000.0,,-60629000.0,41983000.0,,41983000.0,-2627000.0,-112601000.0,41983000.0,-2627000.0,-112601000.0,-73245000.0,-118178000.0,-118178000.0,36950000.0,,,-2901000.0,,274000.0
Incyte Corp,INCY,549300Z4WN6JVZ3T4680,879169,2012.0,Q3,2012-07-01,2012-09-30,,,,,7576000.0,,-22594000.0,8914000.0,,8914000.0,-249000.0,-27145000.0,8914000.0,-249000.0,-27145000.0,-18480000.0,-21710000.0,-21710000.0,9583000.0,,,-406000.0,,157000.0
