company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,otherspecialcharges,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Xilinx Inc,XLNX,6EY4K7ZMF9UX1CU6KC79,743988,2009.0,FY,2008-03-30,2009-03-28,2011-05-31 17:18:40+00:00,5332000.0,1.31,1.31,0.56,,1.31,96307000.0,361719000.0,361719000.0,361719000.0,669151000.0,1825184000.0,7602000.0,,355392000.0,22023000.0,343768000.0,669151000.0,1156033000.0,-75035000.0,-54129000.0,726515000.0,429518000.0,28508000.0,458026000.0,1825184000.0,276100000.0,276113000.0,276854000.0
Xilinx Inc,XLNX,6EY4K7ZMF9UX1CU6KC79,743988,2010.0,FY,2009-03-29,2010-04-03,2011-05-31 17:18:40+00:00,2493000.0,1.3,1.3,0.6,,1.29,64281000.0,357484000.0,357484000.0,357484000.0,671803000.0,1833554000.0,-6579000.0,,369485000.0,30064000.0,327560000.0,671803000.0,1161751000.0,,-3805000.0,729602000.0,432149000.0,-10384000.0,421765000.0,1833554000.0,275000000.0,276012000.0,276953000.0
Xilinx Inc,XLNX,6EY4K7ZMF9UX1CU6KC79,743988,2010.0,Q4,2010-01-03,2010-04-03,,,0.93,0.54,0.16,,0.54,13462000.0,148532000.0,148532000.0,148532000.0,185484000.0,529020000.0,6655000.0,,94240000.0,2847000.0,90346000.0,185484000.0,343536000.0,,-764000.0,187433000.0,156103000.0,5891000.0,161994000.0,529020000.0,275000000.0,276012000.0,276953000.0
Xilinx Inc,XLNX,6EY4K7ZMF9UX1CU6KC79,743988,2010.0,Q3YTD,2009-03-29,2010-01-02,,2493000.0,0.37,0.76,0.44,,0.75,50819000.0,208952000.0,208952000.0,208952000.0,486319000.0,1304534000.0,-13234000.0,,275245000.0,27217000.0,237214000.0,486319000.0,818215000.0,,-3041000.0,542169000.0,276046000.0,-16275000.0,259771000.0,1304534000.0,,276832000.0,278566000.0
Xilinx Inc,XLNX,6EY4K7ZMF9UX1CU6KC79,743988,2010.0,Q3,2009-09-27,2010-01-02,2011-02-07 21:45:41+00:00,,,0.39,0.16,,0.38,26103000.0,106908000.0,106908000.0,106908000.0,184320000.0,513349000.0,-542000.0,,101867000.0,5531000.0,85037000.0,184320000.0,329029000.0,,-3041000.0,192435000.0,136594000.0,-3583000.0,133011000.0,513349000.0,,276832000.0,278566000.0
Xilinx Inc,XLNX,6EY4K7ZMF9UX1CU6KC79,743988,2010.0,Q2YTD,2009-03-29,2009-09-26,,2493000.0,0.37,0.37,0.28,,0.37,24716000.0,102044000.0,102044000.0,102044000.0,301999000.0,791185000.0,-12692000.0,,173378000.0,21686000.0,152177000.0,301999000.0,489186000.0,,,349734000.0,139452000.0,-12692000.0,126760000.0,791185000.0,278400000.0,276353000.0,276988000.0
Xilinx Inc,XLNX,6EY4K7ZMF9UX1CU6KC79,743988,2010.0,Q2,2009-06-28,2009-09-26,2010-11-08 16:28:48+00:00,,0.23,0.23,0.14,,0.23,16272000.0,64038000.0,64038000.0,64038000.0,158177000.0,414950000.0,-1782000.0,,90145000.0,5915000.0,78621000.0,158177000.0,256773000.0,,,174681000.0,82092000.0,-1782000.0,80310000.0,414950000.0,278400000.0,276353000.0,276988000.0
Xilinx Inc,XLNX,6EY4K7ZMF9UX1CU6KC79,743988,2010.0,Q1,2009-03-29,2009-06-27,2010-08-09 17:24:08+00:00,2493000.0,0.14,0.14,0.14,,0.14,8444000.0,38006000.0,38006000.0,38006000.0,143822000.0,376235000.0,-10910000.0,,83233000.0,15771000.0,73556000.0,143822000.0,232413000.0,,,175053000.0,57360000.0,-10910000.0,46450000.0,376235000.0,271500000.0,275523000.0,276258000.0
Xilinx Inc,XLNX,6EY4K7ZMF9UX1CU6KC79,743988,2011.0,Q4,2011-01-02,2011-04-02,,1034000.0,1.19,0.6,0.16,,0.58,8760000.0,160052000.0,160052000.0,160052000.0,203703000.0,587852000.0,-12403000.0,,102967000.0,6070000.0,92863000.0,203703000.0,384149000.0,,,202934000.0,181215000.0,-12403000.0,168812000.0,587852000.0,264100000.0,264094000.0,268061000.0
Xilinx Inc,XLNX,6EY4K7ZMF9UX1CU6KC79,743988,2011.0,FY,2010-04-04,2011-04-02,2013-05-23 17:09:33+00:00,1034000.0,2.43,2.43,0.64,,2.39,129205000.0,641875000.0,641875000.0,641875000.0,819558000.0,2369445000.0,-24319000.0,0.0,392482000.0,10346000.0,350626000.0,819558000.0,1549887000.0,,,754488000.0,795399000.0,-24319000.0,771080000.0,2369445000.0,264100000.0,264094000.0,268061000.0
