company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otherincome,otheroperatingexpenses,otherspecialcharges,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Vertex Pharmaceuticals Inc,VRTX,54930015RAQRRZ5ZGJ91,875320,2008.0,FY,2008-01-01,2008-12-31,2011-02-17 16:37:47+00:00,-3.27,-3.27,-3.27,,,-459851000.0,-459851000.0,,-459851000.0,,15686000.0,175504000.0,,,,,516912000.0,4324000.0,101290000.0,15686000.0,159818000.0,13471000.0,16328000.0,622526000.0,-462708000.0,2857000.0,-459851000.0,175504000.0,140600000.0,140556000.0,140556000.0
Vertex Pharmaceuticals Inc,VRTX,54930015RAQRRZ5ZGJ91,875320,2009.0,Q4,2009-10-01,2009-12-31,,-0.84,-0.84,-0.84,7200000.0,,-158644000.0,-158644000.0,,-158644000.0,,3647000.0,33889000.0,,-1847000.0,,,135230000.0,1957000.0,32574000.0,3647000.0,30242000.0,10405000.0,327000.0,176961000.0,-146719000.0,-11925000.0,-158644000.0,33889000.0,173100000.0,173259000.0,173259000.0
Vertex Pharmaceuticals Inc,VRTX,54930015RAQRRZ5ZGJ91,875320,2009.0,FY,2009-01-01,2009-12-31,2012-02-22 17:08:51+00:00,-3.71,-3.71,-3.71,7200000.0,,-642178000.0,-642178000.0,,-642178000.0,,14202000.0,101889000.0,,-1847000.0,,,550274000.0,14033000.0,130192000.0,14202000.0,87687000.0,31329000.0,5010000.0,701699000.0,-614012000.0,-28166000.0,-642178000.0,101889000.0,173100000.0,173259000.0,173259000.0
Vertex Pharmaceuticals Inc,VRTX,54930015RAQRRZ5ZGJ91,875320,2009.0,Q3YTD,2009-01-01,2009-09-30,,-2.87,-2.87,-2.87,,,-483534000.0,-483534000.0,,-483534000.0,,10555000.0,68000000.0,,,,,415044000.0,12076000.0,97618000.0,10555000.0,57445000.0,20924000.0,4683000.0,524738000.0,-467293000.0,-16241000.0,-483534000.0,68000000.0,178100000.0,178735000.0,178735000.0
Vertex Pharmaceuticals Inc,VRTX,54930015RAQRRZ5ZGJ91,875320,2009.0,Q3,2009-07-01,2009-09-30,2010-10-28 16:53:45+00:00,-0.84,-0.84,-0.84,,,-149565000.0,-149565000.0,,-149565000.0,,3712000.0,24957000.0,,,,,132132000.0,774000.0,36572000.0,3712000.0,21245000.0,1927000.0,595000.0,169478000.0,-148233000.0,-1332000.0,-149565000.0,24957000.0,178100000.0,178735000.0,178735000.0
Vertex Pharmaceuticals Inc,VRTX,54930015RAQRRZ5ZGJ91,875320,2009.0,Q2YTD,2009-01-01,2009-06-30,,-2.03,-2.03,-2.03,,,-333969000.0,-333969000.0,,-333969000.0,,6843000.0,43043000.0,,,,,282912000.0,11302000.0,61046000.0,6843000.0,36200000.0,18997000.0,4088000.0,355260000.0,-319060000.0,-14909000.0,-333969000.0,43043000.0,173000000.0,172563000.0,172563000.0
Vertex Pharmaceuticals Inc,VRTX,54930015RAQRRZ5ZGJ91,875320,2009.0,Q2,2009-04-01,2009-06-30,2010-08-03 16:41:27+00:00,-0.99,-0.99,-0.99,,,-171297000.0,-171297000.0,,-171297000.0,,3267000.0,19064000.0,,,,,139331000.0,1107000.0,32526000.0,3267000.0,15797000.0,15619000.0,1489000.0,172964000.0,-157167000.0,-14130000.0,-171297000.0,19064000.0,173000000.0,172563000.0,172563000.0
Vertex Pharmaceuticals Inc,VRTX,54930015RAQRRZ5ZGJ91,875320,2009.0,Q1,2009-01-01,2009-03-31,2010-05-03 16:33:34+00:00,-1.04,-1.04,-1.04,,,-162672000.0,-162672000.0,,-162672000.0,,3576000.0,23979000.0,,,,,143581000.0,10195000.0,28520000.0,3576000.0,20403000.0,3378000.0,2599000.0,182296000.0,-161893000.0,-779000.0,-162672000.0,23979000.0,156400000.0,155860000.0,155860000.0
Vertex Pharmaceuticals Inc,VRTX,54930015RAQRRZ5ZGJ91,875320,2010.0,Q4,2010-10-01,2010-12-31,,-0.9,-0.9,-0.9,,,-180392000.0,-180392000.0,,-180392000.0,,3049000.0,65524000.0,,-6595000.0,,,168888000.0,-2257000.0,62478000.0,3049000.0,62475000.0,7686000.0,523000.0,229109000.0,-166634000.0,-13758000.0,-180392000.0,65524000.0,200200000.0,200402000.0,200402000.0
Vertex Pharmaceuticals Inc,VRTX,54930015RAQRRZ5ZGJ91,875320,2010.0,FY,2010-01-01,2010-12-31,2013-03-01 16:01:47+00:00,-3.77,-3.77,-3.77,0.0,0.0,-754626000.0,-754626000.0,,-754626000.0,0.0,12730000.0,143370000.0,,-41229000.0,,,637416000.0,1501000.0,187800000.0,12730000.0,130640000.0,19275000.0,1955000.0,826717000.0,-696077000.0,-58549000.0,-754626000.0,143370000.0,200200000.0,200402000.0,200402000.0
Vertex Pharmaceuticals Inc,VRTX,54930015RAQRRZ5ZGJ91,875320,2010.0,Q3YTD,2010-01-01,2010-09-30,,-2.87,-2.87,-2.87,,,-574234000.0,-574234000.0,,-574234000.0,,9681000.0,77846000.0,,-34634000.0,,,468528000.0,3758000.0,125322000.0,9681000.0,68165000.0,11589000.0,1432000.0,597608000.0,-529443000.0,-44791000.0,-574234000.0,77846000.0,200900000.0,200887000.0,200887000.0
