company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,othergains,otherincome,otheroperatingexpenses,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Humana Inc,HUM,,49071,2007.0,FY,2007-01-01,2007-12-31,2010-02-19 13:17:27+00:00,5.0,5.0,,184812000.0,4.91,455616000.0,833684000.0,833684000.0,833684000.0,20270531000.0,25289989000.0,,,,,3476468000.0,20270531000.0,5019458000.0,68878000.0,3661280000.0,1358178000.0,-68878000.0,1289300000.0,25289989000.0,166700000.0,166700000.0,169800000.0
Humana Inc,HUM,,49071,2008.0,FY,2008-01-01,2008-12-31,2011-02-17 17:46:43+00:00,3.87,3.87,,220350000.0,3.83,345694000.0,647154000.0,647154000.0,647154000.0,23708233000.0,28946372000.0,,,,,3944652000.0,23708233000.0,5238139000.0,80289000.0,4165002000.0,1073137000.0,-80289000.0,992848000.0,28946372000.0,167172000.0,167172000.0,167172000.0
Humana Inc,HUM,,49071,2008.0,Q3,2008-07-01,2008-09-30,2009-11-03 10:12:33+00:00,1.1,1.1,,56126000.0,1.09,99852000.0,183008000.0,183008000.0,183008000.0,5810613000.0,7148170000.0,,,,,979223000.0,5810613000.0,1337557000.0,19348000.0,1035349000.0,302208000.0,-19348000.0,282860000.0,7148170000.0,166400000.0,166400000.0,167900000.0
Humana Inc,HUM,,49071,2008.0,Q2,2008-04-01,2008-06-30,2009-08-03 17:03:39+00:00,1.26,1.26,,53458000.0,1.24,115118000.0,209896000.0,209896000.0,209896000.0,6038482000.0,7350862000.0,,,,,916041000.0,6038482000.0,1312380000.0,17867000.0,969499000.0,342881000.0,-17867000.0,325014000.0,7350862000.0,166600000.0,166600000.0,169300000.0
Humana Inc,HUM,,49071,2009.0,Q4,2009-10-01,2009-12-31,,2.73,1.5,,56420000.0,1.48,147956000.0,250984000.0,250984000.0,250984000.0,6035794000.0,7415631000.0,,,,,898082000.0,6035794000.0,1379837000.0,26395000.0,954502000.0,425335000.0,-26395000.0,398940000.0,7415631000.0,167364000.0,167364000.0,167364000.0
Humana Inc,HUM,,49071,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 08:44:31+00:00,6.21,6.21,,237000000.0,6.15,562000000.0,1040000000.0,1040000000.0,1040000000.0,24784000000.0,30743000000.0,,,,,4014000000.0,24784000000.0,5959000000.0,106000000.0,4251000000.0,1708000000.0,-106000000.0,1602000000.0,30743000000.0,167364000.0,167364000.0,167364000.0
Humana Inc,HUM,,49071,2009.0,Q3YTD,2009-01-01,2009-09-30,,3.48,4.71,,180580000.0,4.67,414044000.0,789016000.0,789016000.0,789016000.0,18748206000.0,23327369000.0,,,,,3115918000.0,18748206000.0,4579163000.0,79605000.0,3296498000.0,1282665000.0,-79605000.0,1203060000.0,23327369000.0,167500000.0,167500000.0,169400000.0
Humana Inc,HUM,,49071,2009.0,Q3,2009-07-01,2009-09-30,2010-11-01 16:36:59+00:00,1.8,1.8,,62088000.0,1.78,167829000.0,301519000.0,301519000.0,301519000.0,6111351000.0,7716819000.0,,,,,1047773000.0,6111351000.0,1605468000.0,26259000.0,1109861000.0,495607000.0,-26259000.0,469348000.0,7716819000.0,167404000.0,167404000.0,167404000.0
Humana Inc,HUM,,49071,2009.0,Q2YTD,2009-01-01,2009-06-30,,1.68,2.91,,118492000.0,2.89,246215000.0,487497000.0,487497000.0,487497000.0,12636855000.0,15610550000.0,,,,,2068145000.0,12636855000.0,2973695000.0,53346000.0,2186637000.0,787058000.0,-53346000.0,733712000.0,15610550000.0,167700000.0,167700000.0,168700000.0
Humana Inc,HUM,,49071,2009.0,Q2,2009-04-01,2009-06-30,2010-08-02 16:31:26+00:00,1.68,1.68,,60478000.0,1.67,158170000.0,281780000.0,281780000.0,281780000.0,6367545000.0,7898889000.0,,,,,1004342000.0,6367545000.0,1531344000.0,26574000.0,1064820000.0,466524000.0,-26574000.0,439950000.0,7898889000.0,167301000.0,167301000.0,167301000.0
