company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,goodwill,longtermdebt,longterminvestments,netppe,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
Humana Inc,HUM,,49071,2008.0,FY,,2008-12-31,2010-02-19 13:17:27+00:00,1077027000.0,12010000.0,-175243000.0,1970423000.0,,1605554000.0,238098000.0,1963111000.0,1937032000.0,1011904000.0,711492000.0,2210071000.0,3868820000.0,,,959211000.0,1463593000.0,3389936000.0,,4203538000.0,13041760000.0,4457190000.0,8396042000.0,5183945000.0,4457190000.0,4457190000.0,8584570000.0,13041760000.0,3934226000.0,3400625000.0,0.0,-363057000.0
Humana Inc,HUM,,49071,2009.0,FY,,2009-12-31,2011-02-17 17:46:43+00:00,1307710000.0,823620000.0,42135000.0,1613588000.0,,1690155000.0,228817000.0,1992924000.0,1678166000.0,,679142000.0,625546000.0,3723465000.0,,,2228612000.0,1439333000.0,4429611000.0,,6190062000.0,14153494000.0,5776003000.0,9252816000.0,5259992000.0,5776003000.0,5776003000.0,8377491000.0,14153494000.0,4221536000.0,3117499000.0,0.0,-385898000.0
Humana Inc,HUM,,49071,2009.0,Q3,,2009-09-30,2009-11-03 10:12:33+00:00,1532810000.0,11489000.0,83536000.0,1452006000.0,,1657042000.0,219789000.0,1992924000.0,1680424000.0,1319319000.0,679010000.0,1877948000.0,3754639000.0,,,969706000.0,1465922000.0,4178952000.0,,5899385000.0,14201787000.0,5548203000.0,9240828000.0,5507238000.0,5548203000.0,5548203000.0,8653584000.0,14201787000.0,4281949000.0,3146346000.0,0.0,-371327000.0
Humana Inc,HUM,,49071,2009.0,Q2,,2009-06-30,2009-08-03 17:03:39+00:00,1351689000.0,,-86556000.0,1585109000.0,0.0,1636457000.0,244855000.0,1992924000.0,1682654000.0,1240197000.0,691414000.0,2603832000.0,3870058000.0,,,987490000.0,1476855000.0,3877433000.0,,4583423000.0,13684389000.0,5058278000.0,8772364000.0,5466602000.0,5058278000.0,5058278000.0,8626111000.0,13684389000.0,4220611000.0,3159509000.0,0.0,-369056000.0
Humana Inc,HUM,,49071,2010.0,FY,,2010-12-31,2012-02-24 08:44:31+00:00,1681000000.0,959000000.0,120000000.0,1673000000.0,0.0,1769000000.0,185000000.0,2568000000.0,1669000000.0,1500000000.0,815000000.0,632000000.0,3469000000.0,,,1083000000.0,1766000000.0,5529000000.0,409000000.0,6873000000.0,16103000000.0,6924000000.0,10137000000.0,5744000000.0,6924000000.0,6924000000.0,9179000000.0,16103000000.0,5151000000.0,3435000000.0,0.0,-494000000.0
Humana Inc,HUM,,49071,2010.0,Q3,,2010-09-30,2010-11-01 16:36:59+00:00,2041101000.0,13831000.0,259025000.0,2922852000.0,,1752336000.0,213778000.0,1997277000.0,1671222000.0,1477147000.0,670277000.0,1305535000.0,4006246000.0,,,861038000.0,1519036000.0,5421676000.0,,7142395000.0,16390352000.0,6938969000.0,11384613000.0,6261125000.0,6938969000.0,6938969000.0,9451383000.0,16390352000.0,4335462000.0,3190258000.0,0.0,-494068000.0
Humana Inc,HUM,,49071,2010.0,Q2,,2010-06-30,2010-08-02 16:31:26+00:00,1666386000.0,14833000.0,158428000.0,1998982000.0,,1735709000.0,209346000.0,1994593000.0,1673565000.0,1405734000.0,660223000.0,1891211000.0,4121257000.0,,,842931000.0,1541191000.0,5028455000.0,,6882063000.0,15690570000.0,6478825000.0,10787089000.0,5996989000.0,6478825000.0,6478825000.0,9211745000.0,15690570000.0,4243258000.0,3214756000.0,0.0,-443767000.0
Humana Inc,HUM,,49071,2010.0,Q1,,2010-03-31,2010-04-27 14:31:05+00:00,1658985000.0,13226000.0,69994000.0,1813993000.0,,1720432000.0,235584000.0,1992924000.0,1675880000.0,1333659000.0,665909000.0,1667934000.0,4011292000.0,,,956658000.0,1542158000.0,4688379000.0,,6764833000.0,15209136000.0,6085237000.0,10259986000.0,5905861000.0,6085237000.0,6085237000.0,9123899000.0,15209136000.0,4283241000.0,3218038000.0,0.0,-393568000.0
Humana Inc,HUM,,49071,2011.0,FY,,2011-12-31,2013-02-21 20:52:34+00:00,1783000000.0,1034000000.0,303000000.0,1377000000.0,0.0,1970000000.0,213000000.0,2740000000.0,1659000000.0,1710000000.0,912000000.0,1027000000.0,3754000000.0,,,1165000000.0,1930000000.0,6825000000.0,306000000.0,7743000000.0,17708000000.0,8063000000.0,11181000000.0,6056000000.0,8063000000.0,8063000000.0,9645000000.0,17708000000.0,5615000000.0,3589000000.0,0.0,-1035000000.0
Humana Inc,HUM,,49071,2011.0,Q3,,2011-09-30,2011-10-31 16:33:02+00:00,2332638000.0,1036317000.0,279844000.0,4019405000.0,0.0,1945798000.0,2005366000.0,2579916000.0,1661552000.0,1695943000.0,850888000.0,711979000.0,3879910000.0,,,1140644000.0,1863706000.0,6667005000.0,298587000.0,7864637000.0,19899729000.0,7857970000.0,13632338000.0,8516501000.0,7857970000.0,7857970000.0,12041759000.0,19899729000.0,5416503000.0,3525258000.0,0.0,-1034677000.0
