company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxliabilities,goodwill,intangibleassets,longtermdebt,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentemployeebenefitliabilities,othercurrentassets,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,otherequity,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,othernoncurrentnonoperatingliabilities,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
Harman International Industries Inc,HAR,1VWDHRIRERCQ5D5M5681,800459,2009.0,FY,,2009-06-30,2010-08-06 16:37:39+00:00,240984000.0,410703000.0,460975000.0,57198000.0,586359000.0,,870558000.0,16973000.0,42199000.0,,576691000.0,333595000.0,513826000.0,786000.0,274312000.0,,149412000.0,26253000.0,23993000.0,,91115000.0,144202000.0,45723000.0,1156000.0,1126946000.0,605000.0,,2473497000.0,1007132000.0,1506322000.0,743530000.0,1007132000.0,1007918000.0,1465579000.0,2473497000.0,453349000.0,722049000.0,0.0,-1047570000.0
Harman International Industries Inc,HAR,1VWDHRIRERCQ5D5M5681,800459,2010.0,FY,,2010-06-30,2011-08-11 16:16:13+00:00,382985000.0,517092000.0,462590000.0,3666000.0,645570000.0,,893081000.0,3941000.0,105922000.0,,363902000.0,353123000.0,421949000.0,,247602000.0,,158194000.0,,,,106763000.0,193970000.0,,,1285715000.0,13935000.0,0.0,2556215000.0,1134892000.0,1673979000.0,863451000.0,1134892000.0,1134892000.0,1421323000.0,2556215000.0,460287000.0,557872000.0,0.0,-1047570000.0
Harman International Industries Inc,HAR,1VWDHRIRERCQ5D5M5681,800459,2010.0,Q3,,2010-03-31,2010-04-29 08:36:07+00:00,333595000.0,569183000.0,475102000.0,56849000.0,300589000.0,,888041000.0,6670000.0,88110000.0,,360007000.0,361517000.0,436409000.0,,269355000.0,,151283000.0,,,,99940000.0,175024000.0,,,1151832000.0,605000.0,123769000.0,2400155000.0,1049152000.0,1506341000.0,815972000.0,1049152000.0,1049152000.0,1351003000.0,2400155000.0,457405000.0,535031000.0,0.0,-1047570000.0
Harman International Industries Inc,HAR,1VWDHRIRERCQ5D5M5681,800459,2011.0,FY,,2011-06-30,2012-08-10 12:38:51+00:00,473486000.0,579272000.0,558933000.0,136733000.0,603892000.0,,916389000.0,12991000.0,119357000.0,,378401000.0,423137000.0,470300000.0,,229941000.0,142114000.0,184532000.0,,,0.0,130742000.0,66741000.0,,,1418106000.0,2171000.0,317322000.0,3058495000.0,1423658000.0,2108155000.0,1047581000.0,1423658000.0,1423658000.0,1634837000.0,3058495000.0,480040000.0,587256000.0,0.0,-1047570000.0
Harman International Industries Inc,HAR,1VWDHRIRERCQ5D5M5681,800459,2011.0,Q3,,2011-03-31,2011-04-29 15:03:40+00:00,428395000.0,599969000.0,536500000.0,89186000.0,426696000.0,,910525000.0,14821000.0,116366000.0,,374971000.0,455070000.0,446579000.0,,242750000.0,,183539000.0,,,,129504000.0,230381000.0,,,1401008000.0,3033000.0,340777000.0,2941250000.0,1353149000.0,2006051000.0,982749000.0,1353149000.0,1353149000.0,1588101000.0,2941250000.0,488620000.0,605352000.0,0.0,-1047570000.0
Harman International Industries Inc,HAR,1VWDHRIRERCQ5D5M5681,800459,2011.0,Q2,,2010-12-31,2011-02-08 16:45:33+00:00,373127000.0,508278000.0,485912000.0,54128000.0,484280000.0,,904557000.0,9917000.0,113941000.0,,371536000.0,429303000.0,426749000.0,,223906000.0,,164373000.0,,,,120876000.0,199651000.0,,,1366155000.0,1445000.0,247152000.0,2718858000.0,1277270000.0,1833386000.0,870401000.0,1277270000.0,1277270000.0,1441588000.0,2718858000.0,458723000.0,571187000.0,0.0,-1047570000.0
Harman International Industries Inc,HAR,1VWDHRIRERCQ5D5M5681,800459,2011.0,Q1,,2010-09-30,2010-11-03 10:53:17+00:00,391941000.0,551402000.0,507007000.0,57012000.0,567676000.0,,897724000.0,7057000.0,114650000.0,,367605000.0,439206000.0,436821000.0,,229979000.0,,155473000.0,,,,116510000.0,194799000.0,,,1313103000.0,4843000.0,81804000.0,2693521000.0,1220269000.0,1795561000.0,910848000.0,1220269000.0,1220269000.0,1473252000.0,2693521000.0,461139000.0,562404000.0,0.0,-1047570000.0
Harman International Industries Inc,HAR,1VWDHRIRERCQ5D5M5681,800459,2012.0,FY,,2012-06-30,2013-08-09 16:27:43+00:00,505694000.0,582835000.0,465291000.0,29709000.0,617356000.0,,944932000.0,15279000.0,180811000.0,,0.0,427597000.0,430234000.0,,308768000.0,168099000.0,285443000.0,,,0.0,133406000.0,89854000.0,,,1726486000.0,395636000.0,203014000.0,3169464000.0,1529611000.0,2116245000.0,1381900000.0,1529611000.0,1529611000.0,1639853000.0,3169464000.0,622985000.0,257953000.0,0.0,-1171516000.0
Harman International Industries Inc,HAR,1VWDHRIRERCQ5D5M5681,800459,2012.0,Q3,,2012-03-31,2012-04-30 16:38:03+00:00,461566000.0,689018000.0,512740000.0,82449000.0,640558000.0,,938312000.0,12308000.0,186445000.0,,0.0,501071000.0,437918000.0,,316964000.0,146542000.0,237366000.0,,,0.0,145443000.0,101597000.0,,,1682526000.0,391514000.0,127201000.0,3281984000.0,1655717000.0,2195214000.0,1378128000.0,1655717000.0,1655717000.0,1626267000.0,3281984000.0,648852000.0,248139000.0,0.0,-1047570000.0
Harman International Industries Inc,HAR,1VWDHRIRERCQ5D5M5681,800459,2012.0,Q2,,2011-12-31,2012-02-07 10:57:52+00:00,485612000.0,634354000.0,491028000.0,77517000.0,544803000.0,,923994000.0,11155000.0,184928000.0,,0.0,493690000.0,432915000.0,,205456000.0,140620000.0,221838000.0,,,0.0,145181000.0,102042000.0,,,1515224000.0,387379000.0,223836000.0,3087001000.0,1469165000.0,2118521000.0,1375174000.0,1469165000.0,1469165000.0,1617836000.0,3087001000.0,535565000.0,242662000.0,0.0,-1047570000.0
