company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othergains,otherincome,otherspecialcharges,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Harman International Industries Inc,HAR,1VWDHRIRERCQ5D5M5681,800459,2008.0,FY,2007-07-01,2008-06-30,2010-08-06 16:37:39+00:00,1.65,1.65,0.05,1.64,,13664000.0,101302000.0,95545000.0,5757000.0,101723000.0,-421000.0,2994709000.0,4072359000.0,,-5233000.0,,945483000.0,2994709000.0,1077650000.0,17725000.0,,945483000.0,132167000.0,-22958000.0,109209000.0,4072359000.0,61700000.0,61472000.0,62182000.0
Harman International Industries Inc,HAR,1VWDHRIRERCQ5D5M5681,800459,2009.0,FY,2008-07-01,2009-06-30,2011-08-11 16:16:13+00:00,-7.34,-7.34,0.05,-7.34,317743000.0,-107017000.0,-430752000.0,-421593000.0,-9159000.0,-431504000.0,752000.0,2209545000.0,2854895000.0,,-4224000.0,0.0,831419000.0,2209545000.0,645350000.0,20574000.0,,1149162000.0,-503812000.0,-24798000.0,-528610000.0,2854895000.0,58800000.0,58766000.0,58766000.0
Harman International Industries Inc,HAR,1VWDHRIRERCQ5D5M5681,800459,2009.0,Q3,2009-01-01,2009-03-31,2010-04-29 08:36:07+00:00,-1.17,-1.17,,-1.17,2341000.0,-29437000.0,-68765000.0,-68765000.0,,-68765000.0,,484987000.0,598282000.0,,-723000.0,,203434000.0,484987000.0,113295000.0,4999000.0,,205775000.0,-92480000.0,-5722000.0,-98202000.0,598282000.0,58800000.0,58568000.0,58568000.0
Harman International Industries Inc,HAR,1VWDHRIRERCQ5D5M5681,800459,2010.0,Q4,2010-04-01,2010-06-30,,1.91,1.91,,1.9,3016000.0,-1716000.0,133883000.0,18437000.0,115446000.0,133883000.0,,627052000.0,850716000.0,,-2544000.0,,195118000.0,627052000.0,223664000.0,6265000.0,,198134000.0,25530000.0,-8809000.0,16721000.0,850716000.0,70300000.0,70350000.0,70595000.0
Harman International Industries Inc,HAR,1VWDHRIRERCQ5D5M5681,800459,2010.0,FY,2009-07-01,2010-06-30,2012-08-10 12:38:51+00:00,2.26,2.26,,2.25,12292000.0,8610000.0,164058000.0,40467000.0,123591000.0,158769000.0,5289000.0,2479270000.0,3364428000.0,,-6263000.0,13122000.0,774189000.0,2479270000.0,885158000.0,30215000.0,,799603000.0,85555000.0,-36478000.0,49077000.0,3364428000.0,70300000.0,70350000.0,70595000.0
Harman International Industries Inc,HAR,1VWDHRIRERCQ5D5M5681,800459,2010.0,Q3YTD,2009-07-01,2010-03-31,,0.35,0.35,,0.35,9276000.0,10326000.0,30175000.0,22030000.0,8145000.0,24886000.0,5289000.0,1852218000.0,2513712000.0,,-3719000.0,13122000.0,579071000.0,1852218000.0,661494000.0,23950000.0,,601469000.0,60025000.0,-27669000.0,32356000.0,2513712000.0,70200000.0,70531000.0,70905000.0
Harman International Industries Inc,HAR,1VWDHRIRERCQ5D5M5681,800459,2010.0,Q3,2010-01-01,2010-03-31,2011-04-29 15:03:40+00:00,0.26,0.26,,0.26,0.0,4629000.0,18260000.0,14921000.0,3339000.0,18260000.0,0.0,619379000.0,837011000.0,,-1572000.0,0.0,190748000.0,619379000.0,217632000.0,5762000.0,,190748000.0,26884000.0,-7334000.0,19550000.0,837011000.0,70200000.0,70531000.0,70905000.0
Harman International Industries Inc,HAR,1VWDHRIRERCQ5D5M5681,800459,2010.0,Q2YTD,2009-07-01,2009-12-31,,0.09,0.09,,0.09,9276000.0,5697000.0,11915000.0,7109000.0,4806000.0,6626000.0,5289000.0,1232839000.0,1676701000.0,,-2147000.0,13122000.0,388323000.0,1232839000.0,443862000.0,18188000.0,,410721000.0,33141000.0,-20335000.0,12806000.0,1676701000.0,70000000.0,70474000.0,71027000.0
Harman International Industries Inc,HAR,1VWDHRIRERCQ5D5M5681,800459,2010.0,Q2,2009-10-01,2009-12-31,2011-02-08 16:45:33+00:00,0.23,0.23,,0.23,9276000.0,10700000.0,19713000.0,17010000.0,2703000.0,16099000.0,3614000.0,676639000.0,928273000.0,,-903000.0,13122000.0,191998000.0,676639000.0,251634000.0,8625000.0,,214396000.0,37238000.0,-9528000.0,27710000.0,928273000.0,70000000.0,70474000.0,71027000.0
Harman International Industries Inc,HAR,1VWDHRIRERCQ5D5M5681,800459,2010.0,Q1,2009-07-01,2009-09-30,2010-11-03 10:53:17+00:00,-0.14,-0.14,,-0.14,,-5003000.0,-7798000.0,-9901000.0,2103000.0,-9473000.0,1675000.0,556200000.0,748428000.0,,-1244000.0,,196325000.0,556200000.0,192228000.0,9563000.0,,196325000.0,-4097000.0,-10807000.0,-14904000.0,748428000.0,67700000.0,69254000.0,69254000.0
Harman International Industries Inc,HAR,1VWDHRIRERCQ5D5M5681,800459,2011.0,FY,2010-07-01,2011-06-30,2013-08-09 16:27:43+00:00,1.9,1.91,0.0,1.9,,24304000.0,135916000.0,135916000.0,,135916000.0,,2784995000.0,3772345000.0,,-7255000.0,-16510000.0,813809000.0,2784995000.0,987350000.0,22576000.0,0.0,797299000.0,190051000.0,-29831000.0,160220000.0,3772345000.0,71500000.0,70992000.0,71635000.0
