company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
L Brands Inc,LB,GR3KVMWVCR54YWQNXU90,701985,2007.0,FY,2007-02-04,2008-02-02,2010-03-26 16:06:05+00:00,,-33000000.0,385000000.0,649000000.0,2000000.0,55000000.0,1247000000.0,-279000000.0,30000000.0,765000000.0,-279000000.0,30000000.0,765000000.0,518000000.0,696000000.0,696000000.0,-338000000.0,110000000.0,33000000.0,,-227000000.0,,-749000000.0,-7000000.0,-1402000000.0,,97000000.0
L Brands Inc,LB,GR3KVMWVCR54YWQNXU90,701985,2008.0,Q4,2008-11-02,2009-01-31,,,-9000000.0,102000000.0,15000000.0,3000000.0,618000000.0,,-95000000.0,-63000000.0,951000000.0,-95000000.0,-63000000.0,951000000.0,796000000.0,16000000.0,16000000.0,224000000.0,-1000000.0,-5000000.0,,-48000000.0,,-73000000.0,,-46000000.0,,
L Brands Inc,LB,GR3KVMWVCR54YWQNXU90,701985,2008.0,FY,2008-02-03,2009-01-31,2011-03-18 16:09:12+00:00,,-34000000.0,377000000.0,159000000.0,3000000.0,269000000.0,0.0,-562000000.0,-240000000.0,954000000.0,-562000000.0,-240000000.0,954000000.0,155000000.0,216000000.0,216000000.0,126000000.0,33000000.0,80000000.0,,-201000000.0,,-479000000.0,-15000000.0,-379000000.0,,0.0
L Brands Inc,LB,GR3KVMWVCR54YWQNXU90,701985,2008.0,Q3,2008-08-03,2008-11-01,,,-9000000.0,91000000.0,,2000000.0,-340000000.0,,-218000000.0,-141000000.0,-244000000.0,-218000000.0,-141000000.0,-244000000.0,-601000000.0,4000000.0,4000000.0,10000000.0,15000000.0,-7000000.0,,-50000000.0,,-134000000.0,-11000000.0,-172000000.0,,
L Brands Inc,LB,GR3KVMWVCR54YWQNXU90,701985,2008.0,Q3YTD,2008-02-03,2008-11-01,2009-12-04 16:04:38+00:00,,-25000000.0,275000000.0,144000000.0,0.0,-349000000.0,0.0,-467000000.0,-177000000.0,3000000.0,-467000000.0,-177000000.0,3000000.0,-641000000.0,200000000.0,200000000.0,-98000000.0,34000000.0,85000000.0,,-153000000.0,,-406000000.0,-15000000.0,-333000000.0,,
L Brands Inc,LB,GR3KVMWVCR54YWQNXU90,701985,2008.0,Q2YTD,2008-02-03,2008-08-02,2009-09-04 16:31:16+00:00,,-16000000.0,184000000.0,144000000.0,-2000000.0,-9000000.0,0.0,-249000000.0,-36000000.0,247000000.0,-249000000.0,-36000000.0,247000000.0,-40000000.0,196000000.0,196000000.0,-108000000.0,19000000.0,92000000.0,,-103000000.0,,-272000000.0,-4000000.0,-161000000.0,,
L Brands Inc,LB,GR3KVMWVCR54YWQNXU90,701985,2009.0,Q4,2009-11-01,2010-01-30,,,-10000000.0,105000000.0,-9000000.0,2000000.0,584000000.0,,-201000000.0,-9000000.0,1044000000.0,-201000000.0,-9000000.0,1044000000.0,836000000.0,356000000.0,356000000.0,9000000.0,5000000.0,10000000.0,,-48000000.0,-32000000.0,-42000000.0,-158000000.0,,64000000.0,
L Brands Inc,LB,GR3KVMWVCR54YWQNXU90,701985,2009.0,FY,2009-02-01,2010-01-30,2012-03-23 16:22:49+00:00,,-36000000.0,393000000.0,9000000.0,6000000.0,337000000.0,473000000.0,-387000000.0,-162000000.0,1174000000.0,-387000000.0,-162000000.0,1174000000.0,631000000.0,448000000.0,448000000.0,32000000.0,8000000.0,-1000000.0,,-193000000.0,-32000000.0,-202000000.0,-675000000.0,0.0,64000000.0,0.0
L Brands Inc,LB,GR3KVMWVCR54YWQNXU90,701985,2009.0,Q3TTM,2008-11-02,2009-10-31,,,-35000000.0,390000000.0,33000000.0,7000000.0,371000000.0,473000000.0,-281000000.0,-216000000.0,1081000000.0,-281000000.0,-216000000.0,1081000000.0,591000000.0,108000000.0,108000000.0,247000000.0,2000000.0,-16000000.0,,-193000000.0,,-233000000.0,-517000000.0,-46000000.0,,
L Brands Inc,LB,GR3KVMWVCR54YWQNXU90,701985,2009.0,Q3,2009-08-02,2009-10-31,,,-8000000.0,97000000.0,18000000.0,2000000.0,-228000000.0,,-414000000.0,-56000000.0,-114000000.0,-414000000.0,-56000000.0,-114000000.0,-582000000.0,15000000.0,15000000.0,10000000.0,3000000.0,-11000000.0,,-49000000.0,,-63000000.0,-368000000.0,,,
