company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,cashandequivalents,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,goodwill,intangibleassets,longtermdebt,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
L Brands Inc,LB,GR3KVMWVCR54YWQNXU90,701985,2008.0,FY,,2009-01-31,2010-03-26 16:06:05+00:00,494000000.0,236000000.0,669000000.0,-28000000.0,1173000000.0,1806000000.0,77000000.0,92000000.0,1426000000.0,580000000.0,2897000000.0,1182000000.0,1929000000.0,1000000.0,,213000000.0,199000000.0,,170000000.0,732000000.0,4777000000.0,,,6972000000.0,1874000000.0,2867000000.0,1255000000.0,1874000000.0,1875000000.0,5097000000.0,6972000000.0,2176000000.0,3842000000.0,0.0,-4681000000.0
L Brands Inc,LB,GR3KVMWVCR54YWQNXU90,701985,2008.0,Q3,,2008-11-01,2009-12-04 16:04:38+00:00,695000000.0,352000000.0,616000000.0,-14000000.0,377000000.0,1798000000.0,,39000000.0,1618000000.0,610000000.0,2897000000.0,1648000000.0,1957000000.0,1000000.0,,178000000.0,362000000.0,,157000000.0,702000000.0,4809000000.0,,,7081000000.0,1953000000.0,2739000000.0,1350000000.0,1953000000.0,1954000000.0,5127000000.0,7081000000.0,2385000000.0,3777000000.0,0.0,-4640000000.0
L Brands Inc,LB,GR3KVMWVCR54YWQNXU90,701985,2008.0,Q2,,2008-08-02,2009-09-04 16:31:16+00:00,536000000.0,331000000.0,628000000.0,34000000.0,978000000.0,1799000000.0,,81000000.0,1673000000.0,644000000.0,2901000000.0,1220000000.0,1933000000.0,0.0,,175000000.0,292000000.0,,165000000.0,716000000.0,4855000000.0,,,7236000000.0,2199000000.0,2821000000.0,1245000000.0,2199000000.0,2199000000.0,5037000000.0,7236000000.0,2482000000.0,3792000000.0,0.0,-4489000000.0
L Brands Inc,LB,GR3KVMWVCR54YWQNXU90,701985,2009.0,FY,,2010-01-30,2011-03-18 16:09:12+00:00,488000000.0,219000000.0,693000000.0,-15000000.0,1804000000.0,161000000.0,30000000.0,141000000.0,1442000000.0,594000000.0,2723000000.0,1037000000.0,1723000000.0,1000000.0,,213000000.0,160000000.0,,164000000.0,731000000.0,2037000000.0,,,7173000000.0,2183000000.0,3250000000.0,1322000000.0,2183000000.0,2184000000.0,4989000000.0,7173000000.0,2200000000.0,3667000000.0,0.0,0.0
L Brands Inc,LB,GR3KVMWVCR54YWQNXU90,701985,2009.0,Q3,,2009-10-31,2010-12-03 16:07:26+00:00,620000000.0,252000000.0,602000000.0,-15000000.0,968000000.0,1805000000.0,54000000.0,15000000.0,1440000000.0,596000000.0,2880000000.0,1426000000.0,1814000000.0,1000000.0,,236000000.0,214000000.0,,171000000.0,717000000.0,4724000000.0,,,6935000000.0,1864000000.0,2914000000.0,1237000000.0,1864000000.0,1865000000.0,5070000000.0,6935000000.0,2207000000.0,3833000000.0,,-4650000000.0
L Brands Inc,LB,GR3KVMWVCR54YWQNXU90,701985,2009.0,Q2,,2009-08-01,2010-09-07 16:03:52+00:00,508000000.0,230000000.0,557000000.0,-22000000.0,1550000000.0,1803000000.0,74000000.0,33000000.0,1441000000.0,599000000.0,3251000000.0,1091000000.0,1850000000.0,0.0,,220000000.0,188000000.0,,162000000.0,740000000.0,4757000000.0,,,7185000000.0,1876000000.0,3133000000.0,1098000000.0,1876000000.0,1876000000.0,5309000000.0,7185000000.0,2202000000.0,4211000000.0,,-4662000000.0
L Brands Inc,LB,GR3KVMWVCR54YWQNXU90,701985,2009.0,Q1,,2009-05-02,2010-06-03 16:05:46+00:00,410000000.0,198000000.0,591000000.0,-22000000.0,936000000.0,1796000000.0,75000000.0,15000000.0,1430000000.0,585000000.0,2897000000.0,1213000000.0,1891000000.0,0.0,,209000000.0,194000000.0,,158000000.0,719000000.0,4731000000.0,,,6680000000.0,1839000000.0,2616000000.0,1016000000.0,1839000000.0,1839000000.0,4841000000.0,6680000000.0,2173000000.0,3825000000.0,0.0,-4666000000.0
L Brands Inc,LB,GR3KVMWVCR54YWQNXU90,701985,2010.0,FY,,2011-01-29,2012-03-23 16:22:49+00:00,545000000.0,232000000.0,765000000.0,1000000.0,1130000000.0,328000000.0,35000000.0,194000000.0,1451000000.0,592000000.0,2507000000.0,1032000000.0,1610000000.0,1000000.0,,202000000.0,163000000.0,,206000000.0,761000000.0,1354000000.0,0.0,,6451000000.0,1476000000.0,2592000000.0,1504000000.0,1476000000.0,1477000000.0,4974000000.0,6451000000.0,2249000000.0,3470000000.0,0.0,-207000000.0
L Brands Inc,LB,GR3KVMWVCR54YWQNXU90,701985,2010.0,Q3,,2010-10-30,2011-12-02 16:31:10+00:00,687000000.0,247000000.0,677000000.0,5000000.0,988000000.0,266000000.0,35000000.0,8000000.0,1448000000.0,597000000.0,2519000000.0,1456000000.0,1633000000.0,1000000.0,,219000000.0,255000000.0,,232000000.0,737000000.0,1919000000.0,,,6891000000.0,2043000000.0,2981000000.0,1372000000.0,2043000000.0,2044000000.0,4847000000.0,6891000000.0,2277000000.0,3475000000.0,0.0,-147000000.0
L Brands Inc,LB,GR3KVMWVCR54YWQNXU90,701985,2010.0,Q2,,2010-07-31,2011-08-31 16:00:44+00:00,559000000.0,209000000.0,615000000.0,9000000.0,1300000000.0,226000000.0,32000000.0,6000000.0,1447000000.0,596000000.0,2532000000.0,1083000000.0,1641000000.0,0.0,,224000000.0,181000000.0,,233000000.0,713000000.0,1906000000.0,,,6722000000.0,2073000000.0,2805000000.0,1180000000.0,2073000000.0,2073000000.0,4649000000.0,6722000000.0,2276000000.0,3469000000.0,0.0,-68000000.0
