company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otherspecialcharges,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
L Brands Inc,LB,GR3KVMWVCR54YWQNXU90,701985,2007.0,FY,2007-02-04,2008-02-02,2010-03-26 16:06:05+00:00,1.91,1.91,0.6,1.89,13000000.0,411000000.0,696000000.0,696000000.0,718000000.0,-22000000.0,6625000000.0,10134000000.0,128000000.0,-230000000.0,2616000000.0,6625000000.0,3509000000.0,149000000.0,18000000.0,2399000000.0,1110000000.0,-3000000.0,1107000000.0,10134000000.0,375900000.0,375900000.0,379900000.0
L Brands Inc,LB,GR3KVMWVCR54YWQNXU90,701985,2008.0,FY,2008-02-03,2009-01-31,2011-03-18 16:09:12+00:00,0.66,0.66,4.6,0.65,215000000.0,233000000.0,216000000.0,216000000.0,220000000.0,-4000000.0,6037000000.0,9043000000.0,23000000.0,-109000000.0,2311000000.0,6037000000.0,3006000000.0,181000000.0,18000000.0,2417000000.0,589000000.0,-140000000.0,449000000.0,9043000000.0,335000000.0,335000000.0,335000000.0
L Brands Inc,LB,GR3KVMWVCR54YWQNXU90,701985,2008.0,Q3,2008-08-03,2008-11-01,2009-12-04 16:04:38+00:00,0.01,0.01,0.15,0.01,,-1000000.0,4000000.0,4000000.0,4000000.0,0.0,1263000000.0,1843000000.0,1000000.0,0.0,539000000.0,1263000000.0,580000000.0,44000000.0,5000000.0,539000000.0,41000000.0,-38000000.0,3000000.0,1843000000.0,400000000.0,400000000.0,400000000.0
L Brands Inc,LB,GR3KVMWVCR54YWQNXU90,701985,2008.0,Q2,2008-05-04,2008-08-02,2009-09-04 16:31:16+00:00,0.3,0.3,0.15,0.3,,62000000.0,99000000.0,99000000.0,102000000.0,-3000000.0,1523000000.0,2284000000.0,17000000.0,0.0,575000000.0,1523000000.0,761000000.0,47000000.0,5000000.0,575000000.0,186000000.0,-25000000.0,161000000.0,2284000000.0,340000000.0,340000000.0,340000000.0
L Brands Inc,LB,GR3KVMWVCR54YWQNXU90,701985,2009.0,FY,2009-02-01,2010-01-30,2012-03-23 16:22:49+00:00,1.39,1.39,0.6,1.37,3000000.0,202000000.0,448000000.0,448000000.0,448000000.0,,5604000000.0,8632000000.0,19000000.0,-9000000.0,2166000000.0,5604000000.0,3028000000.0,237000000.0,,2160000000.0,868000000.0,-218000000.0,650000000.0,8632000000.0,322000000.0,322000000.0,322000000.0
L Brands Inc,LB,GR3KVMWVCR54YWQNXU90,701985,2009.0,Q4,2009-11-01,2010-01-30,,1.11,1.1,0.15,1.08,3000000.0,180000000.0,356000000.0,356000000.0,356000000.0,,1814000000.0,3063000000.0,13000000.0,,660000000.0,1814000000.0,1249000000.0,61000000.0,-2000000.0,663000000.0,586000000.0,-50000000.0,536000000.0,3063000000.0,322000000.0,322000000.0,322000000.0
L Brands Inc,LB,GR3KVMWVCR54YWQNXU90,701985,2009.0,Q3,2009-08-02,2009-10-31,2010-12-03 16:07:26+00:00,0.05,0.05,0.15,0.05,,-3000000.0,15000000.0,15000000.0,15000000.0,,1214000000.0,1777000000.0,9000000.0,0.0,504000000.0,1214000000.0,563000000.0,56000000.0,0.0,504000000.0,59000000.0,-47000000.0,12000000.0,1777000000.0,300000000.0,300000000.0,300000000.0
L Brands Inc,LB,GR3KVMWVCR54YWQNXU90,701985,2009.0,Q3YTD,2009-02-01,2009-10-31,,0.28,0.29,0.45,0.29,,22000000.0,92000000.0,92000000.0,92000000.0,,3790000000.0,5569000000.0,6000000.0,-9000000.0,1506000000.0,3790000000.0,1779000000.0,176000000.0,2000000.0,1497000000.0,282000000.0,-168000000.0,114000000.0,5569000000.0,300000000.0,300000000.0,300000000.0
L Brands Inc,LB,GR3KVMWVCR54YWQNXU90,701985,2009.0,Q2,2009-05-03,2009-08-01,2010-09-07 16:03:52+00:00,0.23,0.23,0.15,0.23,,25000000.0,74000000.0,74000000.0,74000000.0,,1399000000.0,2067000000.0,-2000000.0,-9000000.0,519000000.0,1399000000.0,668000000.0,58000000.0,1000000.0,510000000.0,158000000.0,-59000000.0,99000000.0,2067000000.0,322000000.0,322000000.0,322000000.0
L Brands Inc,LB,GR3KVMWVCR54YWQNXU90,701985,2009.0,Q2YTD,2009-02-01,2009-08-01,,0.23,0.24,0.3,0.24,,25000000.0,77000000.0,77000000.0,77000000.0,,2576000000.0,3792000000.0,-3000000.0,-9000000.0,1002000000.0,2576000000.0,1216000000.0,120000000.0,2000000.0,993000000.0,223000000.0,-121000000.0,102000000.0,3792000000.0,322000000.0,322000000.0,322000000.0
