company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Take-Two Interactive Software Inc,TTWO,BOMSTHHJK882EWYX3334,946581,2008.0,FY,2007-11-01,2008-10-31,2011-05-24 19:55:19+00:00,-7503000.0,149014000.0,-16484000.0,3018000.0,21322000.0,,-9126000.0,-26895000.0,,52000000.0,77000000.0,-19626000.0,151426000.0,2846000.0,77000000.0,-16780000.0,151426000.0,202520000.0,97097000.0,94484000.0,2613000.0,-86499000.0,25962000.0,,,,-12123000.0,-962000.0,,
Take-Two Interactive Software Inc,TTWO,BOMSTHHJK882EWYX3334,946581,2009.0,Q4,2009-08-01,2009-10-31,,-5313000.0,46311000.0,-5423000.0,4371000.0,4077000.0,,-428000.0,-26130000.0,,,-133000.0,-8701000.0,-63444000.0,,-133000.0,-8701000.0,-63444000.0,-72706000.0,-23522000.0,-7862000.0,-15660000.0,-79840000.0,18000.0,,,,-3388000.0,-151000.0,,
Take-Two Interactive Software Inc,TTWO,BOMSTHHJK882EWYX3334,946581,2009.0,FY,2008-11-01,2009-10-31,2012-05-22 19:30:20+00:00,-5813000.0,109506000.0,-5423000.0,4371000.0,17574000.0,,3211000.0,-78461000.0,26342000.0,138000000.0,45788000.0,-16989000.0,-210204000.0,,45788000.0,-16989000.0,-210204000.0,-178194000.0,-140454000.0,-130437000.0,-10017000.0,-128386000.0,-43570000.0,,,,-11176000.0,-74984000.0,,
Take-Two Interactive Software Inc,TTWO,BOMSTHHJK882EWYX3334,946581,2009.0,Q3YTD,2008-11-01,2009-07-31,2010-09-03 07:05:45+00:00,-500000.0,63195000.0,,,13497000.0,,3639000.0,-52331000.0,26342000.0,138000000.0,45921000.0,-8288000.0,-146760000.0,,45921000.0,-8288000.0,-146760000.0,-105488000.0,-116932000.0,-122575000.0,5643000.0,-48546000.0,-43588000.0,,,,-7788000.0,-74833000.0,,
Take-Two Interactive Software Inc,TTWO,BOMSTHHJK882EWYX3334,946581,2010.0,Q4,2010-01-01,2010-03-31,,-991000.0,46451000.0,1673000.0,5196000.0,3812000.0,2512000.0,2290000.0,-19616000.0,,,,1166000.0,27189000.0,37250000.0,,38416000.0,27189000.0,67895000.0,-9844000.0,-9684000.0,-160000.0,6226000.0,,,,,-355000.0,,,
Take-Two Interactive Software Inc,TTWO,BOMSTHHJK882EWYX3334,946581,2010.0,FY,2009-04-01,2010-03-31,2012-05-22 19:30:20+00:00,-6804000.0,119444000.0,1673000.0,5196000.0,16403000.0,2512000.0,8593000.0,-24977000.0,26342000.0,138000000.0,45784000.0,-14225000.0,-135702000.0,37250000.0,45784000.0,23025000.0,-135702000.0,-58300000.0,-122995000.0,-108060000.0,-14935000.0,-138512000.0,-43574000.0,,,,-9933000.0,-74984000.0,,
Take-Two Interactive Software Inc,TTWO,BOMSTHHJK882EWYX3334,946581,2010.0,Q3TTM,2009-08-01,2009-12-31,,-11126000.0,119304000.0,-5423000.0,4371000.0,16668000.0,,5875000.0,-31491000.0,26342000.0,138000000.0,45651000.0,-24092000.0,-226335000.0,,45651000.0,-24092000.0,-226335000.0,-198901000.0,-136673000.0,-106238000.0,-30435000.0,-224578000.0,-43556000.0,,,,-12966000.0,-75135000.0,,
Take-Two Interactive Software Inc,TTWO,BOMSTHHJK882EWYX3334,946581,2010.0,Q3YTD,2009-04-01,2009-12-31,2011-02-09 06:15:04+00:00,-5813000.0,72993000.0,,,12591000.0,,6303000.0,-5361000.0,26342000.0,138000000.0,45784000.0,-15391000.0,-162891000.0,,45784000.0,-15391000.0,-162891000.0,-126195000.0,-113151000.0,-98376000.0,-14775000.0,-144738000.0,-43574000.0,,,,-9578000.0,-74984000.0,,
Take-Two Interactive Software Inc,TTWO,BOMSTHHJK882EWYX3334,946581,2011.0,Q4,2011-01-01,2011-03-31,,,23843000.0,6336000.0,7361000.0,3728000.0,,4391000.0,8188000.0,,,630000.0,-1407000.0,-20373000.0,,630000.0,-1407000.0,-20373000.0,-16759000.0,-22054000.0,-22416000.0,362000.0,-33716000.0,630000.0,,,,-1407000.0,,,
Take-Two Interactive Software Inc,TTWO,BOMSTHHJK882EWYX3334,946581,2011.0,FY,2010-04-01,2011-03-31,2013-05-13 19:49:41+00:00,-1000000.0,156363000.0,6336000.0,7361000.0,14999000.0,3075000.0,6567000.0,48374000.0,,,734000.0,-7578000.0,134798000.0,,734000.0,-7578000.0,134798000.0,134521000.0,48458000.0,53804000.0,-5346000.0,-138742000.0,734000.0,,,,-9653000.0,,,
