company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,deferredacquisitioncost,intangibleassets,longtermdebt,netpremisesandequipment,noncontrollinginterests,noninterestbearingdeposits,otherassets,otherequity,otherlongtermliabilities,othershorttermpayables,restrictedcash,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,treasurystock
Regency Centers Corp,REG,,910606,2009.0,FY,,2009-12-31,2011-03-01 14:41:24+00:00,-49973000.0,99477000.0,0.0,2023485000.0,58376000.0,10007000.0,1886380000.0,3291968000.0,68227000.0,10628000.0,513978000.0,-373345000.0,5896000.0,99145000.0,,28363000.0,3973806000.0,1600167000.0,1875167000.0,1943394000.0,2030412000.0,3973806000.0,275000000.0,,
Regency Centers Corp,REG,,910606,2010.0,FY,,2010-12-31,2012-02-29 13:25:02+00:00,-80885000.0,17061000.0,0.0,2040431000.0,63165000.0,18219000.0,2084469000.0,3288276000.0,59225000.0,10790000.0,581528000.0,-533194000.0,6682000.0,138196000.0,5399000.0,10000000.0,3994539000.0,1410177000.0,1685177000.0,1744402000.0,2250137000.0,3994539000.0,275000000.0,20891000.0,-16175000.0
Regency Centers Corp,REG,,910606,2010.0,Q3,,2010-09-30,2010-11-05 12:13:16+00:00,-83243000.0,38838000.0,0.0,2036191000.0,58243000.0,9722000.0,2002919000.0,3263713000.0,59691000.0,10604000.0,623158000.0,-457372000.0,5403000.0,144481000.0,,,3993674000.0,1495576000.0,1770576000.0,1830267000.0,2163407000.0,3993674000.0,275000000.0,,
Regency Centers Corp,REG,,910606,2010.0,Q2,,2010-06-30,2010-08-09 13:51:52+00:00,-73950000.0,106433000.0,,2034132000.0,58115000.0,8784000.0,2015247000.0,3261375000.0,59782000.0,10565000.0,588419000.0,-429798000.0,5059000.0,98810000.0,,28279000.0,4023126000.0,1530384000.0,1805384000.0,1865166000.0,2157960000.0,4023126000.0,275000000.0,,
Regency Centers Corp,REG,,910606,2011.0,FY,,2011-12-31,2013-03-01 14:41:51+00:00,-71429000.0,11402000.0,,2282716000.0,70204000.0,27054000.0,1982440000.0,3310293000.0,12141000.0,20416000.0,562068000.0,-662735000.0,12662000.0,101899000.0,6000000.0,,3987021000.0,1533355000.0,1857513000.0,1869654000.0,2117417000.0,3987071000.0,324158000.0,,-15197000.0
Regency Centers Corp,REG,,910606,2011.0,Q3,,2011-09-30,2011-11-09 14:28:01+00:00,-73800000.0,21195000.0,0.0,2279652000.0,70006000.0,26855000.0,1965340000.0,3381502000.0,61276000.0,19240000.0,575380000.0,-629626000.0,13694000.0,114873000.0,,85000000.0,4095621000.0,1561198000.0,1836198000.0,1897474000.0,2198147000.0,4095621000.0,275000000.0,20683000.0,-15028000.0
Regency Centers Corp,REG,,910606,2011.0,Q2,,2011-06-30,2011-08-29 16:27:32+00:00,-76162000.0,18408000.0,0.0,2260644000.0,62912000.0,18320000.0,1940145000.0,3321332000.0,61095000.0,11152000.0,576033000.0,-596898000.0,8682000.0,121617000.0,,30000000.0,4020290000.0,1572599000.0,1847599000.0,1908694000.0,2111596000.0,4020290000.0,275000000.0,23285000.0,-14985000.0
Regency Centers Corp,REG,,910606,2011.0,Q1,,2011-03-31,2011-05-12 06:12:16+00:00,-78523000.0,65764000.0,0.0,2257573000.0,62635000.0,17401000.0,1922471000.0,3271809000.0,61240000.0,10876000.0,551902000.0,-568526000.0,6404000.0,120949000.0,,,3991172000.0,1594232000.0,1869232000.0,1930472000.0,2060700000.0,3991172000.0,275000000.0,21661000.0,-16292000.0
Regency Centers Corp,REG,,910606,2012.0,FY,,2012-12-31,2014-02-19 16:51:14+00:00,-57715000.0,22349000.0,0.0,2313214000.0,69506000.0,42459000.0,1941891000.0,3127163000.0,15146000.0,18146000.0,562080000.0,-834810000.0,20325000.0,127185000.0,6472000.0,,3853458000.0,1405765000.0,1730765000.0,1745911000.0,2107547000.0,3853458000.0,325000000.0,23429000.0,-14924000.0
Regency Centers Corp,REG,,910606,2012.0,Q3,,2012-09-30,2012-11-09 12:17:52+00:00,-64378000.0,21350000.0,0.0,2309585000.0,68141000.0,35581000.0,1821412000.0,3062874000.0,15097000.0,14053000.0,603895000.0,-756114000.0,18506000.0,129483000.0,6133000.0,86000.0,3797974000.0,1474337000.0,1799337000.0,1814434000.0,1983540000.0,3797974000.0,325000000.0,,-14756000.0
