company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,provisionforloanlosses,purchaseofinvestments,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments
Regency Centers Corp,REG,,910606,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 13:25:02+00:00,,,,225460000.0,,,-36608000.0,,10428000.0,,6676000.0,97920000.0,188783000.0,6676000.0,97920000.0,188783000.0,293379000.0,-58072000.0,-58072000.0,265307000.0,,-5126000.0,,872000.0,18156000.0,-494000.0,-4624000.0,,,103540000.0
Regency Centers Corp,REG,,910606,2010.0,FY,2010-01-01,2010-12-31,2013-03-01 14:41:51+00:00,,,-1720000.0,255182000.0,,,1778000.0,0.0,10048000.0,0.0,3475000.0,183134000.0,304173000.0,3475000.0,183134000.0,304173000.0,490782000.0,26002000.0,26002000.0,276393000.0,,1778000.0,,1427000.0,,-594000.0,-8000000.0,,0.0,181950000.0
Regency Centers Corp,REG,,910606,2010.0,Q4,2010-10-01,2010-12-31,,,,-1720000.0,62702000.0,,,10866000.0,,10048000.0,,3475000.0,183134000.0,304173000.0,3475000.0,183134000.0,304173000.0,490782000.0,-64032000.0,-64032000.0,362359000.0,-142556000.0,1778000.0,,136625000.0,-5020000.0,-432000.0,-642000.0,,,181788000.0
Regency Centers Corp,REG,,910606,2011.0,Q3YTD,2011-01-01,2011-09-30,2012-11-09 12:17:52+00:00,,,,184206000.0,,,8379000.0,,7800000.0,0.0,8351000.0,300577000.0,108262000.0,8351000.0,300577000.0,108262000.0,417190000.0,83216000.0,83216000.0,16667000.0,,1865000.0,,551000.0,,-268000.0,,,,298980000.0
Regency Centers Corp,REG,,910606,2011.0,Q3TTM,2010-10-01,2011-09-30,,,,-1720000.0,246908000.0,,,19245000.0,,17848000.0,,11826000.0,483711000.0,412435000.0,11826000.0,483711000.0,412435000.0,907972000.0,19184000.0,19184000.0,379026000.0,-142556000.0,3643000.0,,137176000.0,-5020000.0,-700000.0,-642000.0,,,480768000.0
Regency Centers Corp,REG,,910606,2011.0,Q3,2011-07-01,2011-09-30,,,,,50102000.0,,,2112000.0,,2860000.0,,2778000.0,844000.0,46958000.0,2778000.0,844000.0,46958000.0,50580000.0,29082000.0,29082000.0,15764000.0,,650000.0,,-82000.0,,-72000.0,,,,266000.0
Regency Centers Corp,REG,,910606,2011.0,Q2YTD,2011-01-01,2011-06-30,2012-08-09 15:17:18+00:00,,,,134104000.0,,,6267000.0,,4940000.0,0.0,5573000.0,299733000.0,61304000.0,5573000.0,299733000.0,61304000.0,366610000.0,54134000.0,54134000.0,903000.0,,1215000.0,,633000.0,,-196000.0,,,,298714000.0
Regency Centers Corp,REG,,910606,2011.0,Q2,2011-04-01,2011-06-30,,,-6114000.0,,72120000.0,-70380000.0,,49273000.0,-430738000.0,-346718000.0,,4729000.0,312943000.0,-37310000.0,4729000.0,312943000.0,-37310000.0,280362000.0,37874000.0,37874000.0,-47963000.0,372527000.0,10597000.0,,86236000.0,,39032000.0,323422000.0,,,263314000.0
Regency Centers Corp,REG,,910606,2012.0,FY,2012-01-01,2012-12-31,2015-02-20 14:02:14+00:00,,,27454000.0,231758000.0,,,423000.0,8000.0,14518000.0,627800000.0,932338000.0,428242000.0,381841000.0,932338000.0,428242000.0,381841000.0,1742421000.0,52418000.0,52418000.0,329000000.0,290012000.0,423000.0,,,,-1594000.0,,,,429413000.0
Regency Centers Corp,REG,,910606,2012.0,Q4,2012-10-01,2012-12-31,,,,27454000.0,70274000.0,,,340000.0,8000.0,1550000.0,-645460000.0,-351326000.0,369493000.0,188019000.0,-351326000.0,369493000.0,188019000.0,206186000.0,-63388000.0,-63388000.0,251067000.0,292576000.0,340000.0,,,,-1334000.0,,,,370487000.0
