company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accumulateddepreciation,aoci,cashandequivalents,commonequity,currentdeferredtaxliabilities,goodwill,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
Coca-Cola Co,KO,UWJKFUJFZ02DKWI3RY53,21344,2008.0,FY,,2008-12-31,2010-02-26 09:39:34+00:00,6205000000.0,3090000000.0,,-2674000000.0,4701000000.0,8846000000.0,252000000.0,4029000000.0,8476000000.0,2781000000.0,5779000000.0,2187000000.0,8326000000.0,390000000.0,,877000000.0,,,,1733000000.0,3011000000.0,1920000000.0,38513000000.0,6531000000.0,278000000.0,40519000000.0,20472000000.0,12176000000.0,12988000000.0,20472000000.0,20862000000.0,19657000000.0,40519000000.0,20017000000.0,6669000000.0,-24213000000.0
Coca-Cola Co,KO,UWJKFUJFZ02DKWI3RY53,21344,2009.0,FY,,2009-12-31,2011-02-28 11:29:34+00:00,6657000000.0,3758000000.0,,-757000000.0,7021000000.0,9417000000.0,264000000.0,4224000000.0,8604000000.0,5059000000.0,6755000000.0,2354000000.0,9561000000.0,547000000.0,,1580000000.0,,,,1976000000.0,2965000000.0,2226000000.0,41537000000.0,6800000000.0,2192000000.0,48671000000.0,24799000000.0,17551000000.0,13721000000.0,24799000000.0,25346000000.0,23325000000.0,48671000000.0,21559000000.0,9604000000.0,-25398000000.0
Coca-Cola Co,KO,UWJKFUJFZ02DKWI3RY53,21344,2009.0,Q3,,2009-10-02,2009-10-29 17:25:18+00:00,6755000000.0,3465000000.0,,-1753000000.0,8846000000.0,9107000000.0,469000000.0,4100000000.0,8525000000.0,5028000000.0,6481000000.0,2341000000.0,9099000000.0,467000000.0,,1123000000.0,,,,1910000000.0,3124000000.0,2061000000.0,40944000000.0,6186000000.0,279000000.0,47107000000.0,23955000000.0,16992000000.0,13410000000.0,23955000000.0,24422000000.0,22685000000.0,47107000000.0,21016000000.0,9275000000.0,-24343000000.0
Coca-Cola Co,KO,UWJKFUJFZ02DKWI3RY53,21344,2009.0,Q2,,2009-07-03,2009-07-30 10:33:15+00:00,6356000000.0,3746000000.0,,-1740000000.0,7647000000.0,8991000000.0,780000000.0,4092000000.0,8535000000.0,5017000000.0,6292000000.0,2483000000.0,8904000000.0,441000000.0,,902000000.0,,,,1859000000.0,3051000000.0,2198000000.0,39999000000.0,6431000000.0,298000000.0,46054000000.0,23076000000.0,16372000000.0,13567000000.0,23076000000.0,23517000000.0,22537000000.0,46054000000.0,20778000000.0,8970000000.0,-24174000000.0
Coca-Cola Co,KO,UWJKFUJFZ02DKWI3RY53,21344,2010.0,FY,,2010-12-31,2012-02-23 14:07:28+00:00,8859000000.0,4430000000.0,,-1450000000.0,8517000000.0,10937000000.0,273000000.0,11665000000.0,15244000000.0,14041000000.0,7585000000.0,2650000000.0,14727000000.0,314000000.0,,4261000000.0,,,,2121000000.0,4794000000.0,3162000000.0,49278000000.0,9376000000.0,2820000000.0,72921000000.0,31003000000.0,21579000000.0,18508000000.0,31003000000.0,31317000000.0,41604000000.0,72921000000.0,36615000000.0,23096000000.0,-27762000000.0
Coca-Cola Co,KO,UWJKFUJFZ02DKWI3RY53,21344,2010.0,Q3,,2010-10-01,2010-10-29 11:03:33+00:00,7691000000.0,3720000000.0,,-1381000000.0,10509000000.0,9893000000.0,429000000.0,3882000000.0,8377000000.0,4456000000.0,7480000000.0,2259000000.0,9145000000.0,295000000.0,,1384000000.0,,613000000.0,214000000.0,2100000000.0,2777000000.0,3248000000.0,44541000000.0,8937000000.0,2756000000.0,54089000000.0,27906000000.0,23105000000.0,17271000000.0,27906000000.0,28201000000.0,25888000000.0,54089000000.0,21839000000.0,8617000000.0,-25147000000.0
Coca-Cola Co,KO,UWJKFUJFZ02DKWI3RY53,21344,2010.0,Q2,,2010-07-02,2010-08-02 10:06:55+00:00,6202000000.0,4001000000.0,,-2298000000.0,7735000000.0,9631000000.0,450000000.0,3810000000.0,8299000000.0,4427000000.0,6738000000.0,2363000000.0,8931000000.0,290000000.0,,1556000000.0,,,,2092000000.0,2719000000.0,2044000000.0,43490000000.0,7282000000.0,2431000000.0,48444000000.0,25518000000.0,18574000000.0,13934000000.0,25518000000.0,25808000000.0,22636000000.0,48444000000.0,20939000000.0,8702000000.0,-25305000000.0
Coca-Cola Co,KO,UWJKFUJFZ02DKWI3RY53,21344,2010.0,Q1,,2010-04-02,2010-04-29 15:12:46+00:00,5963000000.0,3705000000.0,,-1445000000.0,5684000000.0,9526000000.0,404000000.0,3905000000.0,8410000000.0,4419000000.0,6749000000.0,2327000000.0,9036000000.0,285000000.0,,1481000000.0,,,,2095000000.0,2763000000.0,2382000000.0,42136000000.0,7216000000.0,3110000000.0,47403000000.0,24872000000.0,17208000000.0,13583000000.0,24872000000.0,25157000000.0,22246000000.0,47403000000.0,21159000000.0,8663000000.0,-25345000000.0
Coca-Cola Co,KO,UWJKFUJFZ02DKWI3RY53,21344,2011.0,FY,,2011-12-31,2013-02-27 12:22:03+00:00,9009000000.0,4920000000.0,,-2774000000.0,12803000000.0,12092000000.0,362000000.0,12219000000.0,15450000000.0,13656000000.0,8374000000.0,3092000000.0,14939000000.0,286000000.0,,4694000000.0,,0.0,0.0,3495000000.0,5420000000.0,3450000000.0,53621000000.0,14912000000.0,1232000000.0,79974000000.0,31635000000.0,25497000000.0,24283000000.0,31635000000.0,31921000000.0,48053000000.0,79974000000.0,39538000000.0,23770000000.0,-31304000000.0
Coca-Cola Co,KO,UWJKFUJFZ02DKWI3RY53,21344,2011.0,Q3,,2011-09-30,2011-10-27 12:01:11+00:00,9837000000.0,5131000000.0,,-1174000000.0,12682000000.0,11936000000.0,264000000.0,12073000000.0,15411000000.0,13708000000.0,8337000000.0,3172000000.0,14522000000.0,290000000.0,,4561000000.0,,,,3219000000.0,4404000000.0,3391000000.0,52965000000.0,15480000000.0,3815000000.0,81753000000.0,33209000000.0,28191000000.0,25581000000.0,33209000000.0,33499000000.0,48254000000.0,81753000000.0,39040000000.0,22673000000.0,-30518000000.0
