company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2007.0,FY,2006-10-29,2007-10-26,2009-12-22 16:17:34+00:00,2.54,2.54,0.6,2.51,,169275000.0,279784000.0,279784000.0,0.0,279784000.0,,1720634000.0,2547322000.0,728000.0,-5125000.0,358538000.0,,,1720634000.0,826688000.0,31909000.0,6965000.0,353413000.0,473275000.0,-24216000.0,449059000.0,2547322000.0,110200000.0,110354000.0,111630000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2008.0,FY,2007-10-27,2008-10-31,2010-12-20 13:38:47+00:00,3.48,3.48,0.625,3.45,,153950000.0,374278000.0,373137000.0,1141000.0,374278000.0,,2428929000.0,3418934000.0,-2419000.0,-2726000.0,441527000.0,,,2428929000.0,990005000.0,34237000.0,12539000.0,438801000.0,551204000.0,-24117000.0,527087000.0,3418934000.0,107600000.0,107472000.0,108425000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2008.0,Q3,2008-05-03,2008-08-01,2009-09-09 14:42:33+00:00,1.04,1.04,0.15,1.03,,15524000.0,113079000.0,113079000.0,0.0,113079000.0,,657798000.0,903769000.0,-135000.0,-1136000.0,113488000.0,,,657798000.0,245971000.0,8581000.0,3700000.0,112352000.0,133619000.0,-5016000.0,128603000.0,903769000.0,108700000.0,108495000.0,109446000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2009.0,Q4,2009-08-01,2009-10-30,,1.21,1.21,0.17,1.2,,60340000.0,124025000.0,124025000.0,,124025000.0,,651547000.0,963528000.0,5585000.0,-1766000.0,129645000.0,,,651547000.0,311981000.0,7826000.0,2504000.0,127879000.0,184102000.0,263000.0,184365000.0,963528000.0,102400000.0,102450000.0,103104000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2009.0,FY,2008-11-02,2009-10-30,2011-12-22 14:34:44+00:00,4.44,4.44,0.7,4.41,,227990000.0,454650000.0,454650000.0,0.0,454650000.0,,2445514000.0,3598314000.0,5060000.0,-4034000.0,454522000.0,,,2445514000.0,1152800000.0,32217000.0,7485000.0,450488000.0,702312000.0,-19672000.0,682640000.0,3598314000.0,102400000.0,102450000.0,103104000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2009.0,Q3,2009-05-02,2009-07-31,2010-09-03 12:19:24+00:00,1.21,1.21,0.175,1.21,,64675000.0,124344000.0,124344000.0,,124344000.0,,651969000.0,956390000.0,-125000.0,-646000.0,110162000.0,,,651969000.0,304421000.0,7601000.0,1840000.0,109516000.0,194905000.0,-5886000.0,189019000.0,956390000.0,102800000.0,102452000.0,103157000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2009.0,Q3YTD,2008-11-01,2009-07-31,,3.23,3.23,0.52,3.21,,167650000.0,330625000.0,330625000.0,,330625000.0,,1793967000.0,2634786000.0,-525000.0,-2268000.0,324877000.0,,,1793967000.0,840819000.0,24391000.0,4981000.0,322609000.0,518210000.0,-19935000.0,498275000.0,2634786000.0,102800000.0,102452000.0,103157000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2009.0,Q2YTD,2008-11-01,2009-05-01,,2.02,2.02,0.35,2.0,,102975000.0,206281000.0,206281000.0,,206281000.0,,1141998000.0,1678396000.0,-400000.0,-1622000.0,214715000.0,,,1141998000.0,536398000.0,16790000.0,3141000.0,213093000.0,323305000.0,-14049000.0,309256000.0,1678396000.0,102200000.0,102394000.0,102877000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2009.0,Q2,2009-02-01,2009-05-01,2010-06-08 13:53:46+00:00,1.18,1.18,0.175,1.17,,60725000.0,120541000.0,120541000.0,,120541000.0,,628207000.0,923500000.0,-265000.0,-657000.0,107885000.0,,,628207000.0,295293000.0,8149000.0,1615000.0,107228000.0,188065000.0,-6799000.0,181266000.0,923500000.0,102200000.0,102394000.0,102877000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2009.0,Q1,2008-11-01,2009-01-30,2010-03-05 12:18:43+00:00,0.84,0.84,0.175,0.83,,42250000.0,85740000.0,85740000.0,,85740000.0,,513791000.0,754896000.0,-135000.0,-965000.0,106830000.0,,,513791000.0,241105000.0,8641000.0,1526000.0,105865000.0,135240000.0,-7250000.0,127990000.0,754896000.0,102100000.0,102454000.0,102949000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2010.0,Q4,2010-07-31,2010-10-29,,1.41,1.41,0.17,1.39,,75765000.0,146338000.0,146338000.0,,146338000.0,,697281000.0,1048888000.0,-570000.0,-1059000.0,126089000.0,,,697281000.0,351607000.0,7827000.0,3923000.0,125030000.0,226577000.0,-4474000.0,222103000.0,1048888000.0,103200000.0,103196000.0,104905000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2010.0,FY,2009-10-31,2010-10-29,2012-12-17 18:44:01+00:00,4.47,4.47,0.7,4.4,,217525000.0,461499000.0,461499000.0,,461499000.0,,2350708000.0,3524334000.0,-1310000.0,-4113000.0,480636000.0,,,2350708000.0,1173626000.0,29964000.0,13195000.0,476523000.0,697103000.0,-18079000.0,679024000.0,3524334000.0,103200000.0,103196000.0,104905000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2010.0,Q3YTD,2009-10-31,2010-07-30,,3.06,3.06,0.52,3.01,,141760000.0,315161000.0,315161000.0,,315161000.0,,1653427000.0,2475446000.0,-740000.0,-3054000.0,354547000.0,,,1653427000.0,822019000.0,22137000.0,9272000.0,351493000.0,470526000.0,-13605000.0,456921000.0,2475446000.0,103000000.0,103333000.0,104964000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2010.0,Q3TTM,2009-08-01,2010-07-30,,4.27,4.27,0.7,4.21,,202100000.0,439186000.0,439186000.0,,439186000.0,,2304974000.0,3438974000.0,4845000.0,-4820000.0,484192000.0,,,2304974000.0,1134000000.0,29963000.0,11776000.0,479372000.0,654628000.0,-13342000.0,641286000.0,3438974000.0,103000000.0,103333000.0,104964000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2010.0,Q3,2010-05-01,2010-07-30,2011-09-07 12:30:00+00:00,1.15,1.15,0.175,1.13,,49839000.0,118503000.0,118503000.0,0.0,118503000.0,,560217000.0,850002000.0,-145000.0,-903000.0,118262000.0,,,560217000.0,289785000.0,7447000.0,3508000.0,117359000.0,172426000.0,-4084000.0,168342000.0,850002000.0,103000000.0,103333000.0,104964000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2010.0,Q2YTD,2009-10-31,2010-04-30,,1.91,1.91,0.35,1.88,,91921000.0,196658000.0,196658000.0,,196658000.0,,1093210000.0,1625444000.0,-595000.0,-2151000.0,236285000.0,,,1093210000.0,532234000.0,14690000.0,5764000.0,234134000.0,298100000.0,-9521000.0,288579000.0,1625444000.0,102900000.0,103160000.0,104850000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2010.0,Q2TTM,2009-05-02,2010-04-30,,4.33,4.33,0.7,4.29,,216936000.0,445027000.0,445027000.0,,445027000.0,,2396726000.0,3545362000.0,4865000.0,-4563000.0,476092000.0,,,2396726000.0,1148636000.0,30117000.0,10108000.0,471529000.0,677107000.0,-15144000.0,661963000.0,3545362000.0,102900000.0,103160000.0,104850000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2010.0,Q2,2010-01-30,2010-04-30,2011-06-06 14:26:02+00:00,1.17,1.17,0.175,1.15,,55224000.0,120441000.0,120441000.0,,120441000.0,,590772000.0,896224000.0,-545000.0,-1358000.0,126270000.0,,,590772000.0,305452000.0,7230000.0,2900000.0,124912000.0,180540000.0,-4875000.0,175665000.0,896224000.0,102900000.0,103160000.0,104850000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2010.0,Q1TTM,2009-01-31,2010-01-29,,4.34,4.34,0.7,4.31,,222437000.0,445127000.0,445127000.0,,445127000.0,,2434161000.0,3572638000.0,5145000.0,-3862000.0,457707000.0,,,2434161000.0,1138477000.0,31036000.0,8823000.0,453845000.0,684632000.0,-17068000.0,667564000.0,3572638000.0,103000000.0,102759000.0,104383000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2010.0,Q1,2009-10-31,2010-01-29,2011-03-04 16:01:35+00:00,0.74,0.74,0.175,0.73,,36697000.0,76217000.0,76217000.0,,76217000.0,,502438000.0,729220000.0,-50000.0,-793000.0,110015000.0,,,502438000.0,226782000.0,7460000.0,2864000.0,109222000.0,117560000.0,-4646000.0,112914000.0,729220000.0,103000000.0,102759000.0,104383000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2011.0,Q4,2011-07-30,2011-10-28,,1.65,1.65,0.17,1.62,,90623000.0,172347000.0,194993000.0,-22646000.0,172347000.0,,883990000.0,1335293000.0,,-8049000.0,163025000.0,,,883990000.0,451303000.0,12984000.0,2273000.0,154976000.0,296327000.0,-10711000.0,285616000.0,1335293000.0,104900000.0,104916000.0,106537000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2011.0,FY,2010-10-30,2011-10-28,2013-12-13 16:59:51+00:00,5.81,5.81,0.7,5.72,0.0,264831000.0,609656000.0,631002000.0,-21346000.0,609656000.0,0.0,2897605000.0,4403906000.0,-35000.0,-15888000.0,602010000.0,,,2897605000.0,1506301000.0,38180000.0,13869000.0,586122000.0,920179000.0,-24346000.0,895833000.0,4403906000.0,104900000.0,104916000.0,106537000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2011.0,Q3TTM,2010-07-31,2011-07-29,,5.57,5.57,0.7,5.49,,249973000.0,583647000.0,582347000.0,1300000.0,583647000.0,,2710896000.0,4117501000.0,-605000.0,-8898000.0,565074000.0,,,2710896000.0,1406605000.0,33023000.0,15519000.0,556176000.0,850429000.0,-18109000.0,832320000.0,4117501000.0,105600000.0,105204000.0,106735000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2011.0,Q3YTD,2010-10-30,2011-07-29,,4.16,4.16,0.52,4.1,,174208000.0,437309000.0,436009000.0,1300000.0,437309000.0,,2013615000.0,3068613000.0,-35000.0,-7839000.0,438985000.0,,,2013615000.0,1054998000.0,25196000.0,11596000.0,431146000.0,623852000.0,-13635000.0,610217000.0,3068613000.0,105600000.0,105204000.0,106735000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2011.0,Q3,2011-04-30,2011-07-29,2012-08-30 16:19:06+00:00,1.64,1.64,0.175,1.62,,58155000.0,173105000.0,171805000.0,1300000.0,173105000.0,,739626000.0,1136352000.0,,-4591000.0,165325000.0,,,739626000.0,396726000.0,9470000.0,3438000.0,160734000.0,235992000.0,-6032000.0,229960000.0,1136352000.0,105600000.0,105204000.0,106735000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2011.0,Q2TTM,2010-05-01,2011-04-29,,5.08,5.08,0.7,5.0,,241657000.0,529045000.0,529045000.0,,529045000.0,,2531487000.0,3831151000.0,-750000.0,-5210000.0,518011000.0,,,2531487000.0,1299664000.0,31000000.0,15589000.0,512801000.0,786863000.0,-16161000.0,770702000.0,3831151000.0,105200000.0,105048000.0,106646000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2011.0,Q2YTD,2010-10-30,2011-04-29,,2.52,2.52,0.35,2.48,,116053000.0,264204000.0,264204000.0,,264204000.0,,1273989000.0,1932261000.0,-35000.0,-3248000.0,273660000.0,,,1273989000.0,658272000.0,15726000.0,8158000.0,270412000.0,387860000.0,-7603000.0,380257000.0,1932261000.0,105200000.0,105048000.0,106646000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2011.0,Q2,2011-01-29,2011-04-29,2012-06-04 17:00:09+00:00,1.54,1.54,0.175,1.52,,68908000.0,161972000.0,161972000.0,,161972000.0,,689858000.0,1062729000.0,,-2721000.0,141530000.0,,,689858000.0,372871000.0,7895000.0,4713000.0,138809000.0,234062000.0,-3182000.0,230880000.0,1062729000.0,105200000.0,105048000.0,106646000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2011.0,Q1TTM,2010-01-30,2011-01-28,,4.71,4.71,0.7,4.63,,227973000.0,487514000.0,487514000.0,,487514000.0,,2432401000.0,3664646000.0,-1295000.0,-3847000.0,502751000.0,,,2432401000.0,1232245000.0,30335000.0,13776000.0,498904000.0,733341000.0,-17854000.0,715487000.0,3664646000.0,104300000.0,104158000.0,106043000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2011.0,Q1,2010-10-30,2011-01-28,2012-03-02 12:33:38+00:00,0.98,0.98,0.175,0.96,,47145000.0,102232000.0,102232000.0,0.0,102232000.0,0.0,584131000.0,869532000.0,-35000.0,-527000.0,132130000.0,,,584131000.0,285401000.0,7831000.0,3445000.0,131603000.0,153798000.0,-4421000.0,149377000.0,869532000.0,104300000.0,104158000.0,106043000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2012.0,Q4,2012-07-28,2012-10-26,,2.01,2.01,0.17,1.99,,96064000.0,212563000.0,212408000.0,155000.0,212563000.0,-109000.0,1067398000.0,1594905000.0,,-2345000.0,-532825000.0,,736776000.0,1067398000.0,527507000.0,19198000.0,1769000.0,201606000.0,325901000.0,-17429000.0,308472000.0,1594905000.0,105800000.0,105862000.0,106889000.0
