company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofplantpropertyandequipment
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2007.0,FY,2006-10-29,2007-10-26,2009-12-22 16:17:34+00:00,-13186000.0,69948000.0,20461000.0,48806000.0,,7446000.0,47968000.0,,394874000.0,-255125000.0,-62321000.0,381994000.0,,,,-255125000.0,-62321000.0,381994000.0,71994000.0,279784000.0,279784000.0,0.0,5436000.0,19038000.0,299000.0,-66158000.0,,-51194000.0,-103206000.0,-499673000.0,1760000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2008.0,FY,2007-10-27,2008-10-31,2010-12-20 13:38:47+00:00,-255574000.0,110050000.0,31564000.0,71423000.0,,-39650000.0,178960000.0,,,-180643000.0,-328665000.0,579567000.0,,,,-180643000.0,-328665000.0,577285000.0,28327000.0,374278000.0,375419000.0,-1141000.0,-46235000.0,195984000.0,8930000.0,-67426000.0,,-84205000.0,-1495000.0,-307706000.0,2184000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2008.0,Q3YTD,2007-10-27,2008-08-01,2009-09-09 14:42:33+00:00,-255244000.0,,,55252000.0,9868000.0,13000.0,66260000.0,,165571000.0,100561000.0,-301404000.0,334467000.0,,,,100561000.0,-301404000.0,334467000.0,133637000.0,256239000.0,255098000.0,1141000.0,-42143000.0,30314000.0,289000.0,-48572000.0,,-56317000.0,-5281000.0,-41471000.0,
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2009.0,Q4,2009-08-01,2009-10-30,,,194341000.0,31233000.0,17353000.0,,14512000.0,98552000.0,,,-20306000.0,-27667000.0,238577000.0,,,,-20306000.0,-27667000.0,238577000.0,205116000.0,124025000.0,124025000.0,,-1353000.0,-24142000.0,-1420000.0,-17906000.0,,-28026000.0,21742000.0,,1779000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2009.0,FY,2008-11-02,2009-10-30,2011-12-22 14:34:44+00:00,-11184000.0,194341000.0,31233000.0,58570000.0,0.0,29724000.0,-53753000.0,,0.0,-107561000.0,-104014000.0,451961000.0,0.0,0.0,0.0,-107561000.0,-104014000.0,451961000.0,270110000.0,454650000.0,454650000.0,0.0,-7506000.0,-22259000.0,-481000.0,-71596000.0,,-94128000.0,0.0,-13706000.0,1779000.0
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2009.0,Q3,2009-05-02,2009-07-31,,,,,13232000.0,,14034000.0,53498000.0,,-60917000.0,-97529000.0,-17678000.0,186532000.0,,,,-97529000.0,-17678000.0,186532000.0,85359000.0,124344000.0,124344000.0,,-4542000.0,1762000.0,-235000.0,-17905000.0,,-17443000.0,-20469000.0,,
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2009.0,Q3YTD,2008-11-01,2009-07-31,2010-09-03 12:19:24+00:00,-11184000.0,,,41217000.0,,15212000.0,-152305000.0,,,-87255000.0,-76347000.0,213384000.0,,,,-87255000.0,-76347000.0,213384000.0,64994000.0,330625000.0,330625000.0,,-6153000.0,1883000.0,939000.0,-53690000.0,,-66102000.0,-21742000.0,-13706000.0,
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2009.0,Q2,2009-02-01,2009-05-01,,-114000.0,,,13475000.0,,6437000.0,-68493000.0,,-9949000.0,-27096000.0,-24805000.0,62667000.0,,,,-27096000.0,-24805000.0,62667000.0,17203000.0,120541000.0,120541000.0,,-2856000.0,121000.0,1176000.0,-17889000.0,,-25867000.0,621000.0,,
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2009.0,Q2YTD,2008-11-01,2009-05-01,2010-06-08 13:53:46+00:00,-11184000.0,,,27985000.0,,1178000.0,-205803000.0,,60917000.0,10274000.0,-58669000.0,26852000.0,,,,10274000.0,-58669000.0,26852000.0,-20365000.0,206281000.0,206281000.0,,-1611000.0,121000.0,1174000.0,-35785000.0,,-48659000.0,-1273000.0,-13706000.0,
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2009.0,Q1,2008-11-01,2009-01-30,2010-03-05 12:18:43+00:00,-11070000.0,,,14510000.0,,-5259000.0,-137310000.0,,70866000.0,37370000.0,-33864000.0,-35815000.0,,,,37370000.0,-33864000.0,-35815000.0,-37568000.0,85740000.0,85740000.0,,1245000.0,,-2000.0,-17896000.0,,-22792000.0,-1894000.0,-13706000.0,
Joy Global Inc,JOY,549300CLFIA7IY3DU273,801898,2010.0,FY,2009-10-31,2010-10-29,2012-12-17 18:44:01+00:00,-1859000.0,147954000.0,28732000.0,59749000.0,,20378000.0,125045000.0,,,-185056000.0,-74915000.0,583489000.0,0.0,0.0,,-185056000.0,-74915000.0,583489000.0,343896000.0,461499000.0,461499000.0,,-62804000.0,-109757000.0,,-72088000.0,,-73474000.0,-3211000.0,,418000.0
