company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,investmentbankingincome,longtermdebtinterestexpense,marketingexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,netinterestincome,netoccupancyequipmentexpense,netrealizedcapitalgains,nonoperatingincome,othergains,otheroperatingexpenses,otherservicechargeincome,otherspecialcharges,salariesandemployeebenefitsexpense,totalinterestexpense,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Janus Capital Group Inc,JNS,8T2ZO87FU1KVPZIG9I59,1065865,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 17:07:18+00:00,0.86,0.86,0.04,40200000.0,0.85,,68800000.0,826700000.0,75500000.0,33100000.0,145500000.0,147000000.0,-1500000.0,136900000.0,8600000.0,-75500000.0,135200000.0,-60400000.0,9600000.0,9000000.0,134900000.0,211200000.0,,361400000.0,75500000.0,704800000.0,977500000.0,206800000.0,902000000.0,159200000.0,159200000.0,161100000.0
Janus Capital Group Inc,JNS,8T2ZO87FU1KVPZIG9I59,1065865,2009.0,FY,2009-01-01,2009-12-31,2012-02-27 17:23:22+00:00,-4.55,-4.55,0.04,35900000.0,-4.55,856700000.0,-6300000.0,684000000.0,74000000.0,27800000.0,-744100000.0,-744100000.0,,-757100000.0,13000000.0,-74000000.0,140600000.0,200000.0,900000.0,,107600000.0,164700000.0,,357600000.0,74000000.0,1526200000.0,848900000.0,-750400000.0,774900000.0,166500000.0,166500000.0,166500000.0
Janus Capital Group Inc,JNS,8T2ZO87FU1KVPZIG9I59,1065865,2009.0,Q3,2009-07-01,2009-09-30,2010-10-21 17:01:10+00:00,0.05,0.05,,8700000.0,0.05,,6000000.0,185400000.0,18600000.0,6500000.0,11800000.0,11800000.0,,8200000.0,3600000.0,-18600000.0,48400000.0,6700000.0,100000.0,,29200000.0,42200000.0,,105200000.0,18600000.0,198000000.0,234300000.0,17800000.0,215700000.0,164000000.0,164000000.0,164000000.0
Janus Capital Group Inc,JNS,8T2ZO87FU1KVPZIG9I59,1065865,2009.0,Q2,2009-04-01,2009-06-30,2010-07-26 17:11:00+00:00,0.1,0.1,,8000000.0,0.1,,8800000.0,159800000.0,19700000.0,8200000.0,19200000.0,19200000.0,,15800000.0,3400000.0,-19700000.0,31400000.0,300000.0,400000.0,,25400000.0,40400000.0,,80200000.0,19700000.0,153200000.0,200500000.0,28000000.0,180800000.0,158000000.0,158000000.0,158000000.0
Janus Capital Group Inc,JNS,8T2ZO87FU1KVPZIG9I59,1065865,2010.0,Q4,2010-10-01,2010-12-31,,0.37,0.37,0.04,9500000.0,0.36,,31900000.0,218700000.0,15900000.0,7800000.0,68400000.0,68400000.0,,65900000.0,2500000.0,-15900000.0,23200000.0,19900000.0,700000.0,,36900000.0,57000000.0,,102500000.0,15900000.0,179900000.0,295600000.0,100300000.0,279700000.0,179800000.0,179800000.0,179800000.0
Janus Capital Group Inc,JNS,8T2ZO87FU1KVPZIG9I59,1065865,2010.0,FY,2010-01-01,2010-12-31,2013-02-25 16:58:06+00:00,0.89,0.89,0.04,39100000.0,0.88,,76400000.0,834600000.0,63200000.0,35800000.0,168600000.0,168600000.0,,159900000.0,8700000.0,-63200000.0,121500000.0,24700000.0,1900000.0,,140100000.0,181100000.0,,397600000.0,63200000.0,734100000.0,1040400000.0,245000000.0,977200000.0,179800000.0,179800000.0,179800000.0
Janus Capital Group Inc,JNS,8T2ZO87FU1KVPZIG9I59,1065865,2010.0,Q3YTD,2010-01-01,2010-09-30,,0.52,0.52,,29600000.0,0.52,,44500000.0,615900000.0,47300000.0,28000000.0,100200000.0,100200000.0,,94000000.0,6200000.0,-47300000.0,98300000.0,4800000.0,1200000.0,,103200000.0,124100000.0,,295100000.0,47300000.0,554200000.0,744800000.0,144700000.0,697500000.0,180000000.0,180000000.0,180000000.0
Janus Capital Group Inc,JNS,8T2ZO87FU1KVPZIG9I59,1065865,2010.0,Q3,2010-07-01,2010-09-30,2011-10-26 16:36:40+00:00,0.18,0.18,,9800000.0,0.18,,7200000.0,202300000.0,15900000.0,6000000.0,35400000.0,35400000.0,,32500000.0,2900000.0,-15900000.0,41400000.0,900000.0,500000.0,,32500000.0,41500000.0,,97000000.0,15900000.0,186700000.0,244700000.0,42600000.0,228800000.0,180000000.0,180000000.0,180000000.0
Janus Capital Group Inc,JNS,8T2ZO87FU1KVPZIG9I59,1065865,2010.0,Q2YTD,2010-01-01,2010-06-30,,0.34,0.34,,19800000.0,0.34,,37300000.0,413600000.0,31400000.0,22000000.0,64800000.0,64800000.0,,61500000.0,3300000.0,-31400000.0,56900000.0,3900000.0,700000.0,,70700000.0,82600000.0,,198100000.0,31400000.0,367500000.0,500100000.0,102100000.0,468700000.0,179800000.0,179800000.0,179800000.0
Janus Capital Group Inc,JNS,8T2ZO87FU1KVPZIG9I59,1065865,2010.0,Q2,2010-04-01,2010-06-30,2011-07-28 17:01:26+00:00,0.17,0.17,,9900000.0,0.17,,18100000.0,207800000.0,15800000.0,15200000.0,31400000.0,31400000.0,,30200000.0,1200000.0,-15800000.0,27300000.0,3200000.0,700000.0,,35600000.0,41500000.0,,99900000.0,15800000.0,187900000.0,252500000.0,49500000.0,236700000.0,179800000.0,179800000.0,179800000.0
Janus Capital Group Inc,JNS,8T2ZO87FU1KVPZIG9I59,1065865,2010.0,Q1,2010-01-01,2010-03-31,2011-04-27 17:00:39+00:00,0.17,0.17,,9900000.0,0.17,,19200000.0,205800000.0,15600000.0,6800000.0,33400000.0,33400000.0,,31300000.0,2100000.0,-15600000.0,29600000.0,700000.0,,,35100000.0,41100000.0,,98200000.0,15600000.0,179600000.0,247600000.0,52600000.0,232000000.0,184100000.0,184100000.0,184100000.0
