company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Janus Capital Group Inc,JNS,8T2ZO87FU1KVPZIG9I59,1065865,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 17:07:18+00:00,-400000.0,-99900000.0,-71800000.0,40200000.0,,-16400000.0,,,-287500000.0,-148800000.0,238200000.0,-287500000.0,-148800000.0,238200000.0,-198100000.0,147000000.0,147000000.0,67800000.0,26000000.0,13500000.0,-21800000.0,-233700000.0,-20100000.0,,-291700000.0,91500000.0
Janus Capital Group Inc,JNS,8T2ZO87FU1KVPZIG9I59,1065865,2009.0,Q4,2009-10-01,2009-12-31,,600000.0,-1300000.0,-19400000.0,10300000.0,,33600000.0,,,-1000000.0,-6300000.0,95600000.0,-1000000.0,-6300000.0,95600000.0,88300000.0,40500000.0,40500000.0,10600000.0,-700000.0,,-200000.0,-17000000.0,-900000.0,-100000.0,,11600000.0
Janus Capital Group Inc,JNS,8T2ZO87FU1KVPZIG9I59,1065865,2009.0,FY,2009-01-01,2009-12-31,2012-02-27 17:23:22+00:00,-1100000.0,-700000.0,-66900000.0,35900000.0,,-400000.0,218100000.0,170000000.0,-124800000.0,-9600000.0,176500000.0,-124800000.0,-9600000.0,176500000.0,42100000.0,-744100000.0,-744100000.0,886200000.0,-26900000.0,,-20900000.0,-67500000.0,-9000000.0,-465100000.0,,66900000.0
Janus Capital Group Inc,JNS,8T2ZO87FU1KVPZIG9I59,1065865,2009.0,Q3,2009-07-01,2009-09-30,,100000.0,13800000.0,-10200000.0,8700000.0,,11700000.0,218100000.0,170000000.0,-57600000.0,14400000.0,60900000.0,-57600000.0,14400000.0,60900000.0,17700000.0,11800000.0,11800000.0,28600000.0,800000.0,,-6300000.0,-5100000.0,-1400000.0,-440200000.0,,20900000.0
Janus Capital Group Inc,JNS,8T2ZO87FU1KVPZIG9I59,1065865,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-10-21 17:01:10+00:00,-1700000.0,600000.0,-47500000.0,25600000.0,,-34000000.0,218100000.0,170000000.0,-123800000.0,-3300000.0,80900000.0,-123800000.0,-3300000.0,80900000.0,-46200000.0,-784600000.0,-784600000.0,875600000.0,-26200000.0,,-20700000.0,-50500000.0,-8100000.0,-465000000.0,,55300000.0
Janus Capital Group Inc,JNS,8T2ZO87FU1KVPZIG9I59,1065865,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-07-26 17:11:00+00:00,-1800000.0,-13200000.0,-37300000.0,16900000.0,,-45700000.0,,,-66200000.0,-17700000.0,20000000.0,-66200000.0,-17700000.0,20000000.0,-63900000.0,-796400000.0,-796400000.0,847000000.0,-27000000.0,,-14400000.0,-45400000.0,-6700000.0,-24800000.0,,34400000.0
Janus Capital Group Inc,JNS,8T2ZO87FU1KVPZIG9I59,1065865,2010.0,Q4,2010-10-01,2010-12-31,,1600000.0,-8900000.0,-19400000.0,9500000.0,,14300000.0,,,1800000.0,-18300000.0,101700000.0,1800000.0,-18300000.0,101700000.0,85200000.0,68400000.0,68400000.0,7900000.0,3000000.0,,-300000.0,-40400000.0,-2200000.0,-900000.0,,24300000.0
Janus Capital Group Inc,JNS,8T2ZO87FU1KVPZIG9I59,1065865,2010.0,FY,2010-01-01,2010-12-31,2013-02-25 16:58:06+00:00,3800000.0,-80300000.0,-49800000.0,39100000.0,,-26400000.0,,,-50100000.0,-148000000.0,246600000.0,-50100000.0,-148000000.0,246600000.0,48500000.0,168600000.0,168600000.0,61500000.0,-28500000.0,,-19900000.0,-219000000.0,-10200000.0,-1700000.0,,81200000.0
Janus Capital Group Inc,JNS,8T2ZO87FU1KVPZIG9I59,1065865,2010.0,Q3TTM,2009-10-01,2010-09-30,,2800000.0,-72700000.0,-49800000.0,39900000.0,,-7100000.0,,,-52900000.0,-136000000.0,240500000.0,-52900000.0,-136000000.0,240500000.0,51600000.0,140700000.0,140700000.0,64200000.0,-32200000.0,,-19800000.0,-195600000.0,-8900000.0,-900000.0,,68500000.0
Janus Capital Group Inc,JNS,8T2ZO87FU1KVPZIG9I59,1065865,2010.0,Q3,2010-07-01,2010-09-30,,1300000.0,-20300000.0,-5500000.0,9800000.0,,-4900000.0,,,-2200000.0,-30800000.0,61500000.0,-2200000.0,-30800000.0,61500000.0,28500000.0,35400000.0,35400000.0,19900000.0,700000.0,,-2600000.0,-35800000.0,-2200000.0,-300000.0,,7200000.0
