company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accruedinterestpayable,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,customerandotherreceivables,goodwill,intangibleassets,longtermdebt,netpremisesandequipment,noncontrollinginterests,otherassets,otherlongtermliabilities,othershorttermpayables,redeemablenoncontrollinginterest,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities
Janus Capital Group Inc,JNS,8T2ZO87FU1KVPZIG9I59,1065865,2009.0,FY,,2009-12-31,2011-02-24 17:07:18+00:00,,1000000.0,324700000.0,,1800000.0,,488200000.0,1285400000.0,792000000.0,48400000.0,10500000.0,214700000.0,438500000.0,98200000.0,101100000.0,998300000.0,88900000.0,2530300000.0,1001100000.0,1001100000.0,1011600000.0,1417600000.0,2530300000.0,0.0,168900000.0
Janus Capital Group Inc,JNS,8T2ZO87FU1KVPZIG9I59,1065865,2010.0,FY,,2010-12-31,2012-02-27 17:23:22+00:00,,1600000.0,373200000.0,0.0,1800000.0,,488200000.0,1273600000.0,586700000.0,44100000.0,11700000.0,251600000.0,453300000.0,116000000.0,82800000.0,1168100000.0,304800000.0,2726800000.0,1171500000.0,1171500000.0,1183200000.0,1460800000.0,2726800000.0,0.0,296100000.0
Janus Capital Group Inc,JNS,8T2ZO87FU1KVPZIG9I59,1065865,2011.0,FY,,2011-12-31,2013-02-25 16:58:06+00:00,,-500000.0,360000000.0,0.0,1900000.0,,488200000.0,1261800000.0,595200000.0,36900000.0,35900000.0,174300000.0,465500000.0,82800000.0,85400000.0,1311800000.0,66000000.0,2644000000.0,1313200000.0,1313200000.0,1349100000.0,1209500000.0,2644000000.0,0.0,322800000.0
Janus Capital Group Inc,JNS,8T2ZO87FU1KVPZIG9I59,1065865,2011.0,Q3,,2011-09-30,2011-10-26 16:36:40+00:00,,-400000.0,329400000.0,0.0,1900000.0,,488200000.0,1264700000.0,593000000.0,38400000.0,31600000.0,189300000.0,464200000.0,67400000.0,102300000.0,1261100000.0,64200000.0,2585300000.0,1262600000.0,1262600000.0,1294200000.0,1188800000.0,2585300000.0,0.0,275300000.0
Janus Capital Group Inc,JNS,8T2ZO87FU1KVPZIG9I59,1065865,2011.0,Q2,,2011-06-30,2011-07-28 17:01:26+00:00,,2600000.0,269500000.0,0.0,1900000.0,,488200000.0,1267700000.0,590800000.0,39200000.0,29200000.0,200800000.0,462100000.0,74400000.0,97500000.0,1239500000.0,171400000.0,2669400000.0,1244000000.0,1244000000.0,1273200000.0,1298700000.0,2669400000.0,0.0,404000000.0
Janus Capital Group Inc,JNS,8T2ZO87FU1KVPZIG9I59,1065865,2012.0,FY,,2012-12-31,2014-02-25 17:21:22+00:00,,600000.0,387000000.0,0.0,1900000.0,,488200000.0,1242300000.0,545100000.0,33300000.0,17200000.0,159100000.0,477800000.0,91200000.0,42900000.0,1415400000.0,68300000.0,2660400000.0,1417900000.0,1417900000.0,1435100000.0,1182400000.0,2660400000.0,0.0,350500000.0
Janus Capital Group Inc,JNS,8T2ZO87FU1KVPZIG9I59,1065865,2012.0,Q3,,2012-09-30,2012-10-25 16:35:53+00:00,,100000.0,352700000.0,0.0,1900000.0,,488200000.0,1250200000.0,542800000.0,33400000.0,20700000.0,169000000.0,477000000.0,71000000.0,56200000.0,1388900000.0,65800000.0,2624400000.0,1390900000.0,1390900000.0,1411600000.0,1156600000.0,2624400000.0,0.0,330900000.0
Janus Capital Group Inc,JNS,8T2ZO87FU1KVPZIG9I59,1065865,2012.0,Q2,,2012-06-30,2012-07-26 17:11:25+00:00,,-500000.0,304100000.0,0.0,1900000.0,,488200000.0,1255700000.0,540400000.0,34900000.0,42100000.0,170800000.0,475200000.0,55200000.0,65600000.0,1359500000.0,48800000.0,2588200000.0,1360900000.0,1360900000.0,1403000000.0,1119600000.0,2588200000.0,0.0,334500000.0
Janus Capital Group Inc,JNS,8T2ZO87FU1KVPZIG9I59,1065865,2012.0,Q1,,2012-03-31,2012-04-26 17:01:11+00:00,,1000000.0,252100000.0,0.0,1900000.0,,488200000.0,1258800000.0,538100000.0,35100000.0,48600000.0,182200000.0,474000000.0,36700000.0,84500000.0,1333600000.0,54600000.0,2573000000.0,1336500000.0,1336500000.0,1385100000.0,1103400000.0,2573000000.0,0.0,356600000.0
Janus Capital Group Inc,JNS,8T2ZO87FU1KVPZIG9I59,1065865,2013.0,FY,,2013-12-31,2015-02-24 17:23:58+00:00,,-1100000.0,344500000.0,0.0,1900000.0,,488200000.0,1230100000.0,447700000.0,29900000.0,13700000.0,169100000.0,480100000.0,122700000.0,7300000.0,1496000000.0,179000000.0,2747300000.0,1496800000.0,1496800000.0,1510500000.0,1229500000.0,2747300000.0,0.0,485500000.0
