company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,depositsinterestincome,depreciationexpense,dilutedeps,extraordinaryincome,impairmentexpense,incometaxexpense,longtermdebtinterestexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,netinterestincome,netoccupancyequipmentexpense,netrealizedcapitalgains,nonoperatingincome,othergains,otherinterestexpense,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,otherspecialcharges,preferreddividends,premiumsearned,restructuringcharge,salariesandemployeebenefitsexpense,totalinterestexpense,totalinterestincome,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Mid-America Apartment Communities Inc,MAA,549300FQZKFR5YNSHZ21,912595,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 17:05:01+00:00,,0.64,0.64,2.46,,90168000.0,0.64,,,,62010000.0,32071000.0,30879000.0,1192000.0,17384000.0,1822000.0,-64317000.0,39633000.0,-116000.0,-3000.0,-844000.0,2307000.0,352414000.0,98174000.0,17597000.0,-262000.0,12865000.0,,,46139000.0,64317000.0,,273852000.0,369895000.0,31723000.0,305578000.0,27200000.0,26943000.0,27084000.0
Mid-America Apartment Communities Inc,MAA,549300FQZKFR5YNSHZ21,912595,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 16:25:42+00:00,,0.85,0.85,2.46,,95078000.0,0.85,,,,56994000.0,39221000.0,32343000.0,6878000.0,24346000.0,2010000.0,-59368000.0,40603000.0,-140000.0,47000.0,-816000.0,2374000.0,353129000.0,98496000.0,21236000.0,-385000.0,12865000.0,,950000.0,47003000.0,59368000.0,,281745000.0,374225000.0,33159000.0,314857000.0,28600000.0,28600000.0,28600000.0
Mid-America Apartment Communities Inc,MAA,549300FQZKFR5YNSHZ21,912595,2009.0,Q3,2009-07-01,2009-09-30,2010-11-04 17:14:52+00:00,,0.12,0.12,0.615,,23913000.0,0.12,,0.0,,14371000.0,6878000.0,6554000.0,324000.0,3402000.0,260000.0,-14958000.0,10768000.0,-2000.0,1000.0,-288000.0,587000.0,89220000.0,26295000.0,5779000.0,-52000.0,3216000.0,,30000.0,12244000.0,14958000.0,,73198000.0,94997000.0,6842000.0,80039000.0,28400000.0,28364000.0,28441000.0
Mid-America Apartment Communities Inc,MAA,549300FQZKFR5YNSHZ21,912595,2009.0,Q2,2009-04-01,2009-06-30,2010-08-05 17:06:33+00:00,,0.25,0.25,0.615,,23818000.0,0.25,,,,14472000.0,10718000.0,9237000.0,1481000.0,6931000.0,570000.0,-15060000.0,10280000.0,-141000.0,,-156000.0,588000.0,89593000.0,23869000.0,4969000.0,-68000.0,3217000.0,,107000.0,11962000.0,15060000.0,,69968000.0,94421000.0,9393000.0,79361000.0,27700000.0,28105000.0,28184000.0
Mid-America Apartment Communities Inc,MAA,549300FQZKFR5YNSHZ21,912595,2010.0,Q4,2010-10-01,2010-12-31,,,0.21,0.21,0.63,,22160000.0,0.2,,-1914000.0,,13172000.0,7165000.0,5299000.0,1866000.0,6940000.0,225000.0,-13881000.0,9171000.0,,243000.0,-293000.0,709000.0,75234000.0,23943000.0,8164000.0,-129000.0,,,1061000.0,9876000.0,13881000.0,,64168000.0,83398000.0,5592000.0,69517000.0,31700000.0,31700000.0,32300000.0
Mid-America Apartment Communities Inc,MAA,549300FQZKFR5YNSHZ21,912595,2010.0,FY,2010-01-01,2010-12-31,2013-02-22 16:36:58+00:00,,0.57,0.57,2.4725,,98384000.0,0.56,,,,54632000.0,30875000.0,28826000.0,2049000.0,18063000.0,1114000.0,-57259000.0,41353000.0,0.0,1066000.0,-1149000.0,2627000.0,348522000.0,104808000.0,31616000.0,-903000.0,11698000.0,,2512000.0,47816000.0,57259000.0,,293970000.0,380138000.0,29975000.0,322879000.0,31700000.0,31700000.0,32300000.0
Mid-America Apartment Communities Inc,MAA,549300FQZKFR5YNSHZ21,912595,2010.0,Q3YTD,2010-01-01,2010-09-30,,,0.36,0.36,1.85,,76224000.0,0.36,,1914000.0,,41460000.0,23710000.0,23527000.0,183000.0,11123000.0,889000.0,-43378000.0,32182000.0,,823000.0,-856000.0,1918000.0,273288000.0,80865000.0,23452000.0,-774000.0,11698000.0,,1451000.0,37940000.0,43378000.0,,229802000.0,296740000.0,24383000.0,253362000.0,32200000.0,32200000.0,32200000.0
Mid-America Apartment Communities Inc,MAA,549300FQZKFR5YNSHZ21,912595,2010.0,Q3,2010-07-01,2010-09-30,2011-11-04 12:38:13+00:00,,0.11,0.11,0.615,,26333000.0,0.11,,324000.0,,13587000.0,6973000.0,6873000.0,100000.0,3544000.0,224000.0,-14262000.0,11447000.0,,350000.0,-282000.0,675000.0,92388000.0,27979000.0,8493000.0,-217000.0,3205000.0,,989000.0,12959000.0,14262000.0,,79814000.0,100881000.0,7155000.0,86619000.0,32200000.0,32200000.0,32200000.0
Mid-America Apartment Communities Inc,MAA,549300FQZKFR5YNSHZ21,912595,2010.0,Q2YTD,2010-01-01,2010-06-30,,,0.25,0.25,1.23,,49891000.0,0.25,,1590000.0,,27873000.0,16737000.0,16654000.0,83000.0,7579000.0,665000.0,-29116000.0,20735000.0,,473000.0,-574000.0,1243000.0,180900000.0,52886000.0,14959000.0,-557000.0,8493000.0,,462000.0,24981000.0,29116000.0,,149988000.0,195859000.0,17228000.0,166743000.0,34600000.0,34600000.0,34600000.0
Mid-America Apartment Communities Inc,MAA,549300FQZKFR5YNSHZ21,912595,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 13:46:21+00:00,,0.04,0.04,0.615,,24811000.0,0.04,,1590000.0,,13982000.0,6888000.0,6805000.0,83000.0,1383000.0,228000.0,-14630000.0,10616000.0,,102000.0,-298000.0,648000.0,90592000.0,26724000.0,7803000.0,-86000.0,5277000.0,,486000.0,12623000.0,14630000.0,,76764000.0,98395000.0,7103000.0,83765000.0,34600000.0,34600000.0,34600000.0
