company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,aoci,cashandequivalents,commonequity,deferredacquisitioncost,goodwill,interestbearingdeposits,longtermdebt,netpremisesandequipment,noncontrollinginterests,noninterestbearingdeposits,otherassets,otherequity,otherlongtermliabilities,othershorttermpayables,redeemablenoncontrollinginterest,restrictedcash,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities
Mid-America Apartment Communities Inc,MAA,549300FQZKFR5YNSHZ21,912595,2009.0,FY,,2009-12-31,2011-02-24 17:05:01+00:00,-47435000.0,13819000.0,988932000.0,13369000.0,4106000.0,23000.0,1399596000.0,1833389000.0,22660000.0,8789000.0,121582000.0,-510993000.0,51160000.0,71230000.0,2802000.0,561000.0,,1986826000.0,430504000.0,430566000.0,453226000.0,1530798000.0,1986826000.0,62000.0,
Mid-America Apartment Communities Inc,MAA,549300FQZKFR5YNSHZ21,912595,2010.0,FY,,2010-12-31,2012-02-24 16:25:42+00:00,-48847000.0,45942000.0,1142371000.0,13713000.0,4106000.0,20000.0,1500193000.0,1964465000.0,22125000.0,6693000.0,146308000.0,-575021000.0,48936000.0,75814000.0,3764000.0,1514000.0,,2176048000.0,518503000.0,518503000.0,540628000.0,1631656000.0,2176048000.0,,
Mid-America Apartment Communities Inc,MAA,549300FQZKFR5YNSHZ21,912595,2010.0,Q3,,2010-09-30,2010-11-04 17:14:52+00:00,-60975000.0,100091000.0,1086035000.0,14329000.0,4106000.0,417000.0,1551203000.0,1918817000.0,20033000.0,7181000.0,150082000.0,-559610000.0,60070000.0,82129000.0,3368000.0,2426000.0,,2189851000.0,465450000.0,465450000.0,485483000.0,1701000000.0,2189851000.0,,
Mid-America Apartment Communities Inc,MAA,549300FQZKFR5YNSHZ21,912595,2010.0,Q2,,2010-06-30,2010-08-05 17:06:33+00:00,-56836000.0,25245000.0,1074469000.0,13658000.0,4106000.0,,1363195000.0,1832969000.0,21965000.0,8092000.0,121336000.0,-541725000.0,56862000.0,69091000.0,2900000.0,730000.0,,1998044000.0,475908000.0,475939000.0,497904000.0,1497240000.0,1998044000.0,31000.0,
Mid-America Apartment Communities Inc,MAA,549300FQZKFR5YNSHZ21,912595,2011.0,FY,,2011-12-31,2013-02-22 16:36:58+00:00,-35848000.0,57317000.0,1376012000.0,14680000.0,4106000.0,,1649755000.0,2252717000.0,25131000.0,6310000.0,200286000.0,-621833000.0,33095000.0,93809000.0,4037000.0,1362000.0,,2530468000.0,718331000.0,718331000.0,743462000.0,1782969000.0,2530468000.0,,
Mid-America Apartment Communities Inc,MAA,549300FQZKFR5YNSHZ21,912595,2011.0,Q3,,2011-09-30,2011-11-04 12:38:13+00:00,-41584000.0,24254000.0,1310847000.0,14134000.0,4106000.0,,1587889000.0,2178274000.0,23798000.0,6428000.0,178313000.0,-614762000.0,39156000.0,96467000.0,3788000.0,12946000.0,,2412027000.0,654501000.0,654501000.0,678299000.0,1729940000.0,2412027000.0,,
Mid-America Apartment Communities Inc,MAA,549300FQZKFR5YNSHZ21,912595,2011.0,Q2,,2011-06-30,2011-08-09 13:46:21+00:00,-42268000.0,12838000.0,1265224000.0,13908000.0,4106000.0,178000.0,1535934000.0,2109635000.0,22660000.0,6604000.0,165552000.0,-605316000.0,41086000.0,85277000.0,4142000.0,1627000.0,,2313521000.0,617640000.0,617640000.0,640300000.0,1669079000.0,2313521000.0,,5855000.0
Mid-America Apartment Communities Inc,MAA,549300FQZKFR5YNSHZ21,912595,2011.0,Q1,,2011-03-31,2011-05-05 16:17:21+00:00,-41639000.0,47222000.0,1230835000.0,13350000.0,4106000.0,,1451782000.0,1976908000.0,23263000.0,6553000.0,158784000.0,-589191000.0,41443000.0,74947000.0,3754000.0,1377000.0,,2201747000.0,600005000.0,600005000.0,623268000.0,1574725000.0,2201747000.0,,
Mid-America Apartment Communities Inc,MAA,549300FQZKFR5YNSHZ21,912595,2012.0,FY,,2012-12-31,2014-02-21 16:12:53+00:00,-26054000.0,9075000.0,1543421000.0,13842000.0,4106000.0,0.0,1673848000.0,2694071000.0,31058000.0,6669000.0,29166000.0,-603315000.0,21423000.0,99305000.0,4713000.0,808000.0,,2751068000.0,914052000.0,914052000.0,945110000.0,1801245000.0,2751068000.0,,
Mid-America Apartment Communities Inc,MAA,549300FQZKFR5YNSHZ21,912595,2012.0,Q3,,2012-09-30,2012-11-02 15:14:22+00:00,-30467000.0,13422000.0,1520669000.0,15252000.0,4106000.0,299000.0,1706258000.0,2526944000.0,31197000.0,6745000.0,214812000.0,-596027000.0,25816000.0,106712000.0,4633000.0,1299000.0,,2775835000.0,894175000.0,894175000.0,925372000.0,1845830000.0,2775835000.0,,
