company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Advance Auto Parts Inc,AAP,,1158449,2008.0,FY,2007-12-30,2009-01-03,2011-03-01 17:04:56+00:00,2.51,2.51,,2.49,142654000.0,238038000.0,238038000.0,238038000.0,2743131000.0,5142255000.0,-506000.0,1984197000.0,2743131000.0,2399124000.0,33729000.0,,1984197000.0,414927000.0,-34235000.0,380692000.0,5142255000.0,94800000.0,94655000.0,95205000.0
Advance Auto Parts Inc,AAP,,1158449,2009.0,Q4,2009-10-11,2010-01-02,,1.21,0.37,,0.37,17761000.0,34479000.0,34479000.0,34479000.0,595438000.0,1143567000.0,-26000.0,490956000.0,595438000.0,548129000.0,4907000.0,,490956000.0,57173000.0,-4933000.0,52240000.0,1143567000.0,94900000.0,94459000.0,95113000.0
Advance Auto Parts Inc,AAP,,1158449,2009.0,FY,2009-01-04,2010-01-02,2012-02-28 17:19:13+00:00,2.85,2.85,,2.83,161282000.0,270373000.0,270373000.0,270373000.0,2768397000.0,5412623000.0,607000.0,2189841000.0,2768397000.0,2644226000.0,23337000.0,,2189841000.0,454385000.0,-22730000.0,431655000.0,5412623000.0,94900000.0,94459000.0,95113000.0
Advance Auto Parts Inc,AAP,,1158449,2009.0,Q3YTD,2009-01-04,2009-10-10,,1.64,2.48,,2.46,143521000.0,235894000.0,235894000.0,235894000.0,2172959000.0,4269056000.0,633000.0,1698885000.0,2172959000.0,2096097000.0,18430000.0,,1698885000.0,397212000.0,-17797000.0,379415000.0,4269056000.0,95400000.0,94656000.0,95474000.0
Advance Auto Parts Inc,AAP,,1158449,2009.0,Q3,2009-07-19,2009-10-10,2010-11-17 15:14:56+00:00,0.65,0.65,,0.65,38024000.0,61979000.0,61979000.0,61979000.0,641117000.0,1262576000.0,487000.0,516604000.0,641117000.0,621459000.0,5339000.0,,516604000.0,104855000.0,-4852000.0,100003000.0,1262576000.0,95400000.0,94656000.0,95474000.0
Advance Auto Parts Inc,AAP,,1158449,2009.0,Q2YTD,2009-01-04,2009-07-18,,0.99,1.83,,1.81,105497000.0,173915000.0,173915000.0,173915000.0,1531842000.0,3006480000.0,146000.0,1182281000.0,1531842000.0,1474638000.0,13091000.0,,1182281000.0,292357000.0,-12945000.0,279412000.0,3006480000.0,,94868000.0,95745000.0
Advance Auto Parts Inc,AAP,,1158449,2009.0,Q2,2009-04-26,2009-07-18,2010-08-25 17:27:09+00:00,,0.84,,0.83,49215000.0,80330000.0,80330000.0,80330000.0,670194000.0,1322844000.0,250000.0,517875000.0,670194000.0,652650000.0,5480000.0,,517875000.0,134775000.0,-5230000.0,129545000.0,1322844000.0,,94868000.0,95745000.0
Advance Auto Parts Inc,AAP,,1158449,2009.0,Q1,2009-01-04,2009-04-25,2010-06-02 16:53:15+00:00,0.99,0.99,,0.98,56282000.0,93585000.0,93585000.0,93585000.0,861648000.0,1683636000.0,-104000.0,664406000.0,861648000.0,821988000.0,7611000.0,,664406000.0,157582000.0,-7715000.0,149867000.0,1683636000.0,94500000.0,94473000.0,94889000.0
Advance Auto Parts Inc,AAP,,1158449,2010.0,Q4,2010-10-10,2011-01-01,,0.58,0.58,,0.57,29551000.0,48113000.0,48113000.0,48113000.0,642645000.0,1270130000.0,454000.0,543548000.0,642645000.0,627485000.0,6727000.0,,543548000.0,83937000.0,-6273000.0,77664000.0,1270130000.0,86500000.0,86082000.0,87155000.0
Advance Auto Parts Inc,AAP,,1158449,2010.0,FY,2010-01-03,2011-01-01,2013-02-25 17:17:15+00:00,4.0,4.0,,3.95,211002000.0,346053000.0,346053000.0,346053000.0,2963888000.0,5925203000.0,-1017000.0,2376382000.0,2963888000.0,2961315000.0,26861000.0,,2376382000.0,584933000.0,-27878000.0,557055000.0,5925203000.0,86500000.0,86082000.0,87155000.0
