company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,provisionforloanlosses,purchaseofinvestments,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Nationstar Mortgage Holdings Inc,NSM,,1520566,2010.0,FY,2010-01-01,2010-12-31,2013-03-15 16:33:50+00:00,14205000.0,,,2117000.0,52408000.0,0.0,243013000.0,-19966000.0,101197000.0,-101653000.0,-19966000.0,101197000.0,-101653000.0,-20422000.0,-9914000.0,-9914000.0,-163767000.0,-18319000.0,0.0,0.0,3298000.0,-21748000.0,-244660000.0,,122945000.0
Nationstar Mortgage Holdings Inc,NSM,,1520566,2011.0,Q4,2011-10-01,2011-12-31,,1966000.0,,,1512000.0,-23327000.0,,168062000.0,189404000.0,-72119000.0,-78845000.0,189404000.0,-72119000.0,-78845000.0,38440000.0,14892000.0,14892000.0,-71883000.0,39227000.0,,-448000.0,-2005000.0,-87650000.0,-17437000.0,,15531000.0
Nationstar Mortgage Holdings Inc,NSM,,1520566,2011.0,FY,2011-01-01,2011-12-31,2014-02-27 21:53:50+00:00,8289000.0,,,4063000.0,-21668000.0,0.0,215399000.0,152004000.0,-81879000.0,-28903000.0,152004000.0,-81879000.0,-28903000.0,41222000.0,20887000.0,20887000.0,-40474000.0,31684000.0,0.0,-4348000.0,,-149702000.0,-90731000.0,,67823000.0
Nationstar Mortgage Holdings Inc,NSM,,1520566,2011.0,Q3,2011-07-01,2011-09-30,,2301000.0,,,991000.0,27576000.0,,40543000.0,116010000.0,-28382000.0,-66155000.0,116010000.0,-28382000.0,-66155000.0,21473000.0,-3100000.0,-3100000.0,-94800000.0,-5000.0,,,877000.0,-46387000.0,75472000.0,,18005000.0
Nationstar Mortgage Holdings Inc,NSM,,1520566,2011.0,Q3YTD,2011-01-01,2011-09-30,2012-11-06 16:17:25+00:00,6323000.0,,,2551000.0,1659000.0,0.0,47337000.0,-37400000.0,-9760000.0,49942000.0,-37400000.0,-9760000.0,49942000.0,2782000.0,5995000.0,5995000.0,31409000.0,-7543000.0,0.0,-3900000.0,2005000.0,-62052000.0,-73294000.0,,52292000.0
Nationstar Mortgage Holdings Inc,NSM,,1520566,2011.0,Q2,2011-04-01,2011-06-30,,2216000.0,,,809000.0,-39432000.0,,-11231000.0,-43743000.0,13344000.0,-15489000.0,-43743000.0,13344000.0,-15489000.0,-45888000.0,1726000.0,1726000.0,19192000.0,-5236000.0,,,,-5453000.0,-27276000.0,,18797000.0
Nationstar Mortgage Holdings Inc,NSM,,1520566,2011.0,Q2YTD,2011-01-01,2011-06-30,2012-09-11 17:28:25+00:00,4022000.0,,,1560000.0,-25917000.0,0.0,6794000.0,-153410000.0,18622000.0,116097000.0,-153410000.0,18622000.0,116097000.0,-18691000.0,9095000.0,9095000.0,126209000.0,-7538000.0,0.0,-3900000.0,1128000.0,-15665000.0,-148766000.0,,34287000.0
Nationstar Mortgage Holdings Inc,NSM,,1520566,2011.0,Q1,2011-01-01,2011-03-31,2012-05-15 15:48:33+00:00,1806000.0,,,751000.0,13515000.0,,18025000.0,-109667000.0,5278000.0,131586000.0,-109667000.0,5278000.0,131586000.0,27197000.0,7369000.0,7369000.0,107017000.0,-2302000.0,,-3900000.0,1128000.0,-10212000.0,-121490000.0,,15490000.0
Nationstar Mortgage Holdings Inc,NSM,,1520566,2012.0,Q4,2012-10-01,2012-12-31,,-4464000.0,42645000.0,154913000.0,3262000.0,-606052000.0,,1225367000.0,1147608000.0,-82983000.0,-1338225000.0,1143042000.0,-82983000.0,-1338225000.0,-278166000.0,63759000.0,63759000.0,-794730000.0,84936000.0,-55384000.0,,,-19844000.0,-162695000.0,,-7755000.0
Nationstar Mortgage Holdings Inc,NSM,,1520566,2012.0,FY,2012-01-01,2012-12-31,2015-02-27 17:31:32+00:00,9635000.0,42645000.0,154913000.0,9620000.0,-1094247000.0,246700000.0,4082003000.0,4210178000.0,-2157292000.0,-1958116000.0,4205612000.0,-2157292000.0,-1958116000.0,90204000.0,205287000.0,205287000.0,-1088411000.0,256816000.0,-62240000.0,,,-2095731000.0,-375341000.0,0.0,679000.0
