company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,investmentsecuritiesinterestincome,longtermdebtinterestexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,netinterestincome,netoccupancyequipmentexpense,netrealizedcapitalgains,nonoperatingincome,othergains,otherinterestincome,otheroperatingexpenses,otherservicechargeincome,provisionforcreditlosses,salariesandemployeebenefitsexpense,totalinterestexpense,totalinterestincome,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Nationstar Mortgage Holdings Inc,NSM,,1520566,2010.0,FY,2010-01-01,2010-12-31,2013-03-15 16:33:50+00:00,-0.14,-0.14,0.0,-0.14,0.0,98895000.0,116163000.0,-9914000.0,-9914000.0,-9914000.0,,-17268000.0,9445000.0,44041000.0,,0.0,,58913000.0,184084000.0,3298000.0,149115000.0,116163000.0,98895000.0,217473000.0,228125000.0,-9914000.0,210857000.0,70800000.0,70000000.0,70000000.0
Nationstar Mortgage Holdings Inc,NSM,,1520566,2011.0,Q4,2011-10-01,2011-12-31,,0.21,0.21,,0.21,,33874000.0,28446000.0,14892000.0,14892000.0,14892000.0,,5428000.0,3438000.0,24286000.0,-15666000.0,,,25583000.0,83951000.0,-2005000.0,56091000.0,28446000.0,33874000.0,85112000.0,108237000.0,14892000.0,113665000.0,69600000.0,70000000.0,70000000.0
Nationstar Mortgage Holdings Inc,NSM,,1520566,2011.0,FY,2011-01-01,2011-12-31,2014-02-27 21:53:50+00:00,0.3,0.3,0.0,0.3,0.0,66802000.0,105375000.0,20887000.0,20887000.0,20887000.0,,-38573000.0,11340000.0,86675000.0,,,,82290000.0,268705000.0,,202290000.0,105375000.0,66802000.0,295920000.0,355380000.0,20887000.0,316807000.0,69600000.0,70000000.0,70000000.0
Nationstar Mortgage Holdings Inc,NSM,,1520566,2011.0,Q3YTD,2011-01-01,2011-09-30,,0.09,0.09,,0.09,,32928000.0,76929000.0,5995000.0,5995000.0,5995000.0,,-44001000.0,7902000.0,62389000.0,15666000.0,,,56707000.0,184754000.0,2005000.0,146199000.0,76929000.0,32928000.0,210808000.0,247143000.0,5995000.0,203142000.0,77500000.0,70000000.0,70000000.0
Nationstar Mortgage Holdings Inc,NSM,,1520566,2011.0,Q3,2011-07-01,2011-09-30,2012-11-06 16:17:25+00:00,-0.04,-0.04,0.0,-0.04,0.0,16201000.0,26376000.0,-3100000.0,-3100000.0,-3100000.0,,-10175000.0,3458000.0,27020000.0,,,,25397000.0,60691000.0,877000.0,50904000.0,26376000.0,16201000.0,79759000.0,87711000.0,-3100000.0,77536000.0,77500000.0,70000000.0,70000000.0
Nationstar Mortgage Holdings Inc,NSM,,1520566,2011.0,Q2YTD,2011-01-01,2011-06-30,,0.13,0.13,,0.13,,16727000.0,50553000.0,9095000.0,9095000.0,9095000.0,,-33826000.0,4444000.0,35369000.0,15666000.0,,,31310000.0,124063000.0,1128000.0,95295000.0,50553000.0,16727000.0,131049000.0,159432000.0,9095000.0,125606000.0,86300000.0,70000000.0,70000000.0
Nationstar Mortgage Holdings Inc,NSM,,1520566,2011.0,Q2,2011-04-01,2011-06-30,2012-09-11 17:28:25+00:00,0.02,0.02,0.0,0.02,0.0,16727000.0,25185000.0,1726000.0,1726000.0,1726000.0,,-8458000.0,2185000.0,17110000.0,,,,15746000.0,59377000.0,0.0,48372000.0,25185000.0,16727000.0,66303000.0,76487000.0,1726000.0,68029000.0,86300000.0,70000000.0,70000000.0
Nationstar Mortgage Holdings Inc,NSM,,1520566,2011.0,Q1,2011-01-01,2011-03-31,2012-05-15 15:48:33+00:00,0.11,0.11,0.0,0.11,,,25368000.0,7369000.0,7369000.0,7369000.0,,-25368000.0,2259000.0,18259000.0,15666000.0,,,15564000.0,64686000.0,1128000.0,46923000.0,25368000.0,,64746000.0,82945000.0,7369000.0,57577000.0,67000000.0,70000000.0,70000000.0
Nationstar Mortgage Holdings Inc,NSM,,1520566,2012.0,FY,2012-01-01,2012-12-31,2015-02-27 17:31:32+00:00,2.41,2.41,0.0,2.4,71296000.0,,197308000.0,205287000.0,205287000.0,205287000.0,0.0,-125722000.0,16786000.0,501770000.0,,,71586000.0,221375000.0,497151000.0,,358455000.0,197308000.0,71586000.0,596616000.0,998921000.0,276583000.0,873199000.0,85200000.0,85328000.0,85524000.0
Nationstar Mortgage Holdings Inc,NSM,,1520566,2012.0,Q3,2012-07-01,2012-09-30,2013-11-14 17:22:42+00:00,0.62,0.62,0.0,0.61,24714000.0,,65015000.0,55067000.0,55067000.0,55067000.0,0.0,-65015000.0,5641000.0,138687000.0,15831000.0,,,51585000.0,145611000.0,,98107000.0,65015000.0,,155333000.0,284298000.0,79781000.0,219283000.0,88800000.0,89168000.0,89765000.0
Nationstar Mortgage Holdings Inc,NSM,,1520566,2012.0,Q2,2012-04-01,2012-06-30,2013-08-09 18:24:59+00:00,0.41,0.41,0.0,0.41,12780000.0,,35913000.0,36275000.0,36275000.0,36275000.0,0.0,-35913000.0,2870000.0,100498000.0,12938000.0,,,46410000.0,100414000.0,855000.0,78747000.0,35913000.0,,128027000.0,200912000.0,49055000.0,164999000.0,88500000.0,88500000.0,89528000.0
Nationstar Mortgage Holdings Inc,NSM,,1520566,2013.0,FY,2013-01-01,2013-12-31,2016-03-01 17:30:01+00:00,2.43,2.43,0.0,2.4,129200000.0,,538805000.0,217054000.0,217054000.0,217054000.0,0.0,-341585000.0,,705895000.0,,,197220000.0,722641000.0,1384222000.0,,679637000.0,538805000.0,197220000.0,1402278000.0,2090117000.0,346254000.0,1748532000.0,89300000.0,89415000.0,90268000.0
Nationstar Mortgage Holdings Inc,NSM,,1520566,2013.0,Q4,2013-10-01,2013-12-31,,-0.57,-0.57,,-0.58,-35033000.0,,160305000.0,-50907000.0,-50907000.0,-50907000.0,,-79425000.0,-18797000.0,39697000.0,-29608000.0,,80880000.0,250400000.0,394761000.0,,179762000.0,160305000.0,80880000.0,411365000.0,434458000.0,-85940000.0,355033000.0,89300000.0,89415000.0,90268000.0
Nationstar Mortgage Holdings Inc,NSM,,1520566,2013.0,Q3YTD,2013-01-01,2013-09-30,,3.0,3.0,,2.98,164233000.0,,378500000.0,267961000.0,267961000.0,267961000.0,,-262160000.0,18797000.0,666198000.0,29608000.0,,116340000.0,472241000.0,989461000.0,,499875000.0,378500000.0,116340000.0,990913000.0,1655659000.0,432194000.0,1393499000.0,89000000.0,89477000.0,90398000.0
Nationstar Mortgage Holdings Inc,NSM,,1520566,2013.0,Q3,2013-07-01,2013-09-30,2014-11-06 18:29:26+00:00,0.92,0.92,0.0,0.91,50187000.0,,168215000.0,81885000.0,81885000.0,81885000.0,0.0,-104312000.0,5581000.0,196858000.0,,,63903000.0,187517000.0,425882000.0,,193258000.0,168215000.0,63903000.0,386356000.0,622740000.0,132072000.0,518428000.0,89000000.0,89477000.0,90398000.0
Nationstar Mortgage Holdings Inc,NSM,,1520566,2013.0,Q2YTD,2013-01-01,2013-06-30,,2.08,2.08,,2.07,114046000.0,,210285000.0,186076000.0,186076000.0,186076000.0,,-157848000.0,13216000.0,469340000.0,29608000.0,,52437000.0,284724000.0,563579000.0,,306617000.0,210285000.0,52437000.0,604557000.0,1032919000.0,300122000.0,875071000.0,89500000.0,89462000.0,90352000.0
Nationstar Mortgage Holdings Inc,NSM,,1520566,2013.0,Q2,2013-04-01,2013-06-30,2014-08-06 16:32:41+00:00,1.38,1.38,0.0,1.37,75669000.0,,117911000.0,123460000.0,123460000.0,123460000.0,0.0,-65474000.0,7281000.0,281492000.0,,,52437000.0,159082000.0,321104000.0,,171630000.0,117911000.0,52437000.0,337993000.0,602596000.0,199129000.0,537122000.0,89500000.0,89462000.0,90352000.0
