company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,investmentsecuritiesinterestincome,longtermdebtinterestexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,netinterestincome,netoccupancyequipmentexpense,otheradjustmentstonetincometocommon,othergains,otherinterestexpense,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,preferreddividends,restructuringcharge,totalinterestexpense,totalinterestincome,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Equity Residential,EQR,,906107,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 12:18:37+00:00,3.4,3.4,1.87,531178000.0,3.4,0.0,2518000.0,20037000.0,489310000.0,1047356000.0,21053000.0,1026303000.0,951242000.0,2200000.0,-479350000.0,560375000.0,64527000.0,9321000.0,10077000.0,1814863000.0,238893000.0,9183000.0,28946000.0,,499387000.0,20037000.0,1330446000.0,1824046000.0,14250000.0,1344696000.0,279800000.0,279406000.0,279406000.0
Equity Residential,EQR,,906107,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 13:32:27+00:00,1.46,1.46,,536283000.0,1.46,116418000.0,5279000.0,33337000.0,482317000.0,436413000.0,-40054000.0,476467000.0,393115000.0,2650000.0,-458627000.0,562817000.0,26126000.0,5745000.0,9647000.0,1876273000.0,253363000.0,10715000.0,14507000.0,,491964000.0,33337000.0,1468881000.0,1886988000.0,-40520000.0,1428361000.0,269300000.0,270012000.0,270012000.0
Equity Residential,EQR,,906107,2008.0,Q3,2008-07-01,2008-09-30,2009-11-05 10:24:07+00:00,0.64,0.64,0.4825,145382000.0,0.63,0.0,1317000.0,2871000.0,122345000.0,187125000.0,26094000.0,161031000.0,172246000.0,106000.0,-121884000.0,153578000.0,11141000.0,3226000.0,2410000.0,508619000.0,65977000.0,2387000.0,3628000.0,,124755000.0,2871000.0,364937000.0,511006000.0,24185000.0,389122000.0,269100000.0,270345000.0,290795000.0
Equity Residential,EQR,,906107,2008.0,Q2,2008-04-01,2008-06-30,2009-08-06 16:41:43+00:00,0.47,0.47,0.4825,139812000.0,0.46,0.0,1628000.0,4808000.0,119511000.0,139993000.0,39148000.0,100845000.0,126625000.0,1391000.0,-116881000.0,149893000.0,8348000.0,-95000.0,2178000.0,510567000.0,65826000.0,2716000.0,3626000.0,,121689000.0,4808000.0,355531000.0,513283000.0,40871000.0,396402000.0,269400000.0,269608000.0,290445000.0
Equity Residential,EQR,,906107,2009.0,Q4,2009-10-01,2009-12-31,,0.16,0.16,-1.3,79531000.0,0.16,,-130000.0,724000.0,132390000.0,47311000.0,-103779000.0,151090000.0,41672000.0,-167000.0,-134382000.0,10308000.0,2186000.0,3528000.0,2716000.0,156821000.0,42455000.0,2418000.0,3620000.0,,135106000.0,724000.0,132294000.0,159239000.0,-107437000.0,24857000.0,273600000.0,273609000.0,273609000.0
Equity Residential,EQR,,906107,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 15:14:15+00:00,1.271,1.271,,518726000.0,1.271,11124000.0,2716000.0,16578000.0,493278000.0,382029000.0,-57707000.0,439736000.0,347794000.0,-558000.0,-489027000.0,441031000.0,20305000.0,7874000.0,12327000.0,1629878000.0,243181000.0,10346000.0,14479000.0,,505605000.0,16578000.0,1214062000.0,1640224000.0,-62865000.0,1151197000.0,273600000.0,273609000.0,273609000.0
Equity Residential,EQR,,906107,2009.0,Q3,2009-07-01,2009-09-30,2009-11-05 10:24:07+00:00,0.48,0.48,0.3375,147477000.0,0.48,0.0,459000.0,3215000.0,121520000.0,143365000.0,12824000.0,130541000.0,132362000.0,-317000.0,-121699000.0,144629000.0,7699000.0,3808000.0,3394000.0,490104000.0,69477000.0,2653000.0,3619000.0,,124914000.0,3215000.0,361583000.0,492757000.0,9475000.0,371058000.0,275800000.0,273658000.0,290215000.0
Equity Residential,EQR,,906107,2009.0,Q3YTD,2009-01-01,2009-09-30,,1.11,1.11,1.3,439195000.0,1.11,11124000.0,2846000.0,15854000.0,360888000.0,334718000.0,46072000.0,288646000.0,306122000.0,-391000.0,-354645000.0,430723000.0,18119000.0,4346000.0,9611000.0,1473057000.0,200726000.0,7928000.0,10859000.0,,370499000.0,15854000.0,1081768000.0,1480985000.0,44572000.0,1126340000.0,275800000.0,273658000.0,290215000.0
Equity Residential,EQR,,906107,2009.0,Q2,2009-04-01,2009-06-30,2009-08-06 16:41:43+00:00,0.35,0.35,0.4825,149909000.0,0.35,11124000.0,259000.0,6622000.0,115866000.0,105932000.0,21158000.0,84774000.0,96585000.0,-5000.0,-112499000.0,142148000.0,5729000.0,-2032000.0,3255000.0,502738000.0,66021000.0,2412000.0,3620000.0,,119121000.0,6622000.0,369202000.0,505150000.0,23449000.0,392651000.0,276000000.0,272901000.0,289338000.0
Equity Residential,EQR,,906107,2009.0,Q2YTD,2009-01-01,2009-06-30,,0.63,0.63,0.97,291718000.0,0.63,11124000.0,2387000.0,12639000.0,239368000.0,191353000.0,33248000.0,158105000.0,173760000.0,-74000.0,-232946000.0,286094000.0,10420000.0,538000.0,6217000.0,982953000.0,131249000.0,5275000.0,7240000.0,,245585000.0,12639000.0,720185000.0,988228000.0,35097000.0,755282000.0,276000000.0,272901000.0,289338000.0
Equity Residential,EQR,,906107,2009.0,Q1,2009-01-01,2009-03-31,2010-05-06 10:38:52+00:00,0.28,0.28,0.4825,141809000.0,0.28,,2128000.0,6017000.0,123502000.0,85421000.0,12090000.0,73331000.0,77175000.0,-69000.0,-120447000.0,143946000.0,4691000.0,2570000.0,2962000.0,480215000.0,65228000.0,2863000.0,3620000.0,,126464000.0,6017000.0,350983000.0,483078000.0,11648000.0,362631000.0,275600000.0,272324000.0,288853000.0
Equity Residential,EQR,,906107,2010.0,Q4,2010-10-01,2010-12-31,,0.66,0.66,-1.01,80714000.0,0.66,45380000.0,-22000.0,-207000.0,106778000.0,198212000.0,-130190000.0,328402000.0,185870000.0,-103000.0,-108588000.0,6237000.0,8932000.0,-234000.0,1603000.0,145846000.0,36785000.0,1880000.0,3513000.0,,108381000.0,-207000.0,169116000.0,147726000.0,-129978000.0,39138000.0,282800000.0,282888000.0,282888000.0
Equity Residential,EQR,,906107,2010.0,FY,2010-01-01,2010-12-31,2013-02-21 13:08:46+00:00,0.9520000000000001,0.9520000000000001,,581469000.0,0.9520000000000001,45380000.0,291000.0,5118000.0,460748000.0,295983000.0,-103108000.0,399091000.0,269242000.0,-726000.0,-465206000.0,453992000.0,13099000.0,25971000.0,9576000.0,1665233000.0,257450000.0,9476000.0,14368000.0,,470324000.0,5118000.0,1338291000.0,1674709000.0,-128788000.0,1209503000.0,282800000.0,282888000.0,282888000.0
Equity Residential,EQR,,906107,2010.0,Q3,2010-07-01,2010-09-30,2010-11-04 06:23:58+00:00,0.08900000000000001,0.08900000000000001,0.3375,173642000.0,0.08800000000000001,0.0,293000.0,208000.0,122854000.0,29826000.0,19884000.0,9942000.0,25166000.0,-188000.0,-125103000.0,154401000.0,1231000.0,21571000.0,2457000.0,525228000.0,75604000.0,2128000.0,3617000.0,,125311000.0,208000.0,403647000.0,527356000.0,-1394000.0,402253000.0,282800000.0,282717000.0,300379000.0
Equity Residential,EQR,,906107,2010.0,Q3YTD,2010-01-01,2010-09-30,,0.29,0.29,1.01,500755000.0,0.29,,313000.0,5325000.0,353970000.0,97771000.0,27082000.0,70689000.0,83372000.0,-623000.0,-356618000.0,447755000.0,4167000.0,26205000.0,7973000.0,1519387000.0,220665000.0,7596000.0,10855000.0,,361943000.0,5325000.0,1169175000.0,1526983000.0,1190000.0,1170365000.0,282800000.0,282717000.0,300379000.0
Equity Residential,EQR,,906107,2010.0,Q3TTM,2009-10-01,2010-09-30,,0.45,0.45,-0.29,580286000.0,0.45,,183000.0,6049000.0,486360000.0,145082000.0,-76697000.0,221779000.0,125044000.0,-790000.0,-491000000.0,458063000.0,6353000.0,29733000.0,10689000.0,1676208000.0,263120000.0,10014000.0,14475000.0,,497049000.0,6049000.0,1301469000.0,1686222000.0,-106247000.0,1195222000.0,282800000.0,282717000.0,300379000.0
Equity Residential,EQR,,906107,2010.0,Q2,2010-04-01,2010-06-30,2010-08-05 11:19:07+00:00,0.022000000000000002,0.022000000000000002,0.3375,174794000.0,0.022000000000000002,0.0,-146000.0,2892000.0,115819000.0,10089000.0,9406000.0,683000.0,6343000.0,-185000.0,-115246000.0,145921000.0,313000.0,4620000.0,2319000.0,507891000.0,70336000.0,3046000.0,3618000.0,,118138000.0,2892000.0,391051000.0,510937000.0,4640000.0,395691000.0,288300000.0,282217000.0,299642000.0
