company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accruedinterestpayable,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,customerandotherreceivables,deferredacquisitioncost,longtermdebt,netpremisesandequipment,noncontrollinginterests,noninterestbearingdeposits,otherassets,otherlongtermliabilities,othershorttermpayables,redeemablenoncontrollinginterest,restrictedcash,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity
Equity Residential,EQR,,906107,2008.0,FY,,2008-12-31,2010-02-25 12:18:37+00:00,113846000.0,-35799000.0,890794000.0,,4276217000.0,19729000.0,53817000.0,10483942000.0,15128939000.0,163533000.0,64355000.0,289099000.0,289562000.0,250306000.0,264394000.0,152732000.0,456152000.0,0.0,16535110000.0,4696570000.0,4905356000.0,5068705000.0,11202011000.0,16535110000.0,208786000.0
Equity Residential,EQR,,906107,2009.0,FY,,2009-12-31,2010-11-04 06:23:58+00:00,101849000.0,4681000.0,193288000.0,0.0,4480226000.0,17292000.0,46396000.0,9392570000.0,14587580000.0,127174000.0,59264000.0,220951000.0,330773000.0,100266000.0,258280000.0,352008000.0,353659000.0,0.0,15417515000.0,4838566000.0,5047339000.0,5174513000.0,9984722000.0,15417515000.0,208773000.0
Equity Residential,EQR,,906107,2009.0,Q3,,2009-09-30,2009-11-05 10:24:07+00:00,72970000.0,-21636000.0,637588000.0,0.0,4367264000.0,18954000.0,50438000.0,9835120000.0,14593102000.0,130624000.0,60517000.0,131292000.0,264221000.0,231960000.0,236333000.0,360022000.0,405250000.0,0.0,15791396000.0,4750878000.0,4959651000.0,5090275000.0,10464788000.0,15791396000.0,208773000.0
Equity Residential,EQR,,906107,2009.0,Q2,,2009-06-30,2009-08-06 16:41:43+00:00,107566000.0,-22222000.0,667495000.0,0.0,4376723000.0,17541000.0,54283000.0,9973980000.0,14867662000.0,149984000.0,62035000.0,157900000.0,514779000.0,,185923000.0,158181000.0,365705000.0,0.0,15923062000.0,4720206000.0,4928979000.0,5078779000.0,10658360000.0,15923062000.0,208773000.0
Equity Residential,EQR,,906107,2010.0,FY,,2010-12-31,2011-11-04 10:15:03+00:00,98631000.0,-57818000.0,431408000.0,0.0,4744423000.0,12593000.0,42033000.0,9948076000.0,15365014000.0,118390000.0,60812000.0,152159000.0,343654000.0,140905000.0,383540000.0,180987000.0,203581000.0,0.0,16184194000.0,4890186000.0,5090186000.0,5208576000.0,10592078000.0,16184194000.0,200000000.0
Equity Residential,EQR,,906107,2010.0,Q3,,2010-09-30,2010-11-04 06:23:58+00:00,71374000.0,-116464000.0,43660000.0,,4506090000.0,19632000.0,44488000.0,10030527000.0,15730869000.0,115071000.0,62549000.0,138572000.0,452330000.0,102653000.0,357702000.0,109608000.0,150344000.0,146000000.0,16086829000.0,4539970000.0,4748623000.0,4863694000.0,10865433000.0,16086829000.0,208653000.0
Equity Residential,EQR,,906107,2010.0,Q2,,2010-06-30,2010-08-05 11:19:07+00:00,97273000.0,-79666000.0,47982000.0,,4527193000.0,17995000.0,41862000.0,9339401000.0,15267159000.0,118687000.0,62568000.0,141620000.0,312119000.0,184311000.0,313735000.0,108654000.0,220965000.0,320000000.0,15625272000.0,4668492000.0,4877178000.0,4995865000.0,10315672000.0,15625272000.0,208686000.0
Equity Residential,EQR,,906107,2010.0,Q1,,2010-03-31,2010-05-06 10:38:52+00:00,68895000.0,-8255000.0,60186000.0,,4511146000.0,20675000.0,44034000.0,9403733000.0,15059938000.0,125113000.0,62637000.0,170202000.0,251970000.0,197152000.0,295985000.0,163378000.0,310276000.0,91000000.0,15518413000.0,4813167000.0,5021928000.0,5147041000.0,10075387000.0,15518413000.0,208761000.0
Equity Residential,EQR,,906107,2011.0,FY,,2011-12-31,2013-02-21 13:08:46+00:00,88121000.0,-196718000.0,383921000.0,,5050161000.0,10692000.0,44608000.0,9721061000.0,15868363000.0,193842000.0,65286000.0,199482000.0,326495000.0,179079000.0,416404000.0,152237000.0,615572000.0,0.0,16659303000.0,5469015000.0,5669015000.0,5862857000.0,10380042000.0,16659303000.0,200000000.0
Equity Residential,EQR,,906107,2011.0,Q3,,2011-09-30,2011-11-04 10:15:03+00:00,69895000.0,-185032000.0,45986000.0,0.0,5035829000.0,10677000.0,37334000.0,8751171000.0,15133288000.0,119072000.0,62073000.0,160071000.0,507436000.0,106673000.0,378798000.0,369461000.0,684902000.0,26000000.0,15756817000.0,5535699000.0,5735699000.0,5854771000.0,9523248000.0,15756817000.0,200000000.0
Equity Residential,EQR,,906107,2011.0,Q2,,2011-06-30,2011-08-05 10:24:40+00:00,92584000.0,-80553000.0,604764000.0,0.0,4950430000.0,10905000.0,35451000.0,9448622000.0,15229782000.0,125313000.0,60779000.0,155389000.0,375621000.0,106566000.0,438141000.0,361831000.0,680619000.0,0.0,16398122000.0,5550496000.0,5750496000.0,5875809000.0,10084172000.0,16398122000.0,200000000.0
Equity Residential,EQR,,906107,2011.0,Q1,,2011-03-31,2011-05-05 09:53:27+00:00,71972000.0,-50634000.0,306072000.0,,4901380000.0,12087000.0,39182000.0,9676512000.0,15271843000.0,123611000.0,60784000.0,136540000.0,341258000.0,106020000.0,416334000.0,309605000.0,228092000.0,0.0,16075329000.0,5078838000.0,5278838000.0,5402449000.0,10256546000.0,16075329000.0,200000000.0
Equity Residential,EQR,,906107,2012.0,Q3,,2012-09-30,2012-11-01 14:29:34+00:00,78869000.0,-197754000.0,45623000.0,0.0,5367829000.0,10462000.0,38823000.0,9302153000.0,16270768000.0,223078000.0,68758000.0,182429000.0,475648000.0,108048000.0,414219000.0,120440000.0,770697000.0,7000000.0,16668545000.0,5940772000.0,5990772000.0,6213850000.0,10040476000.0,16668545000.0,50000000.0
Equity Residential,EQR,,906107,2012.0,Q2,,2012-06-30,2012-08-02 16:04:33+00:00,82695000.0,-198075000.0,44585000.0,0.0,5229098000.0,9139000.0,41854000.0,9359264000.0,16245611000.0,218967000.0,68265000.0,179331000.0,503297000.0,109463000.0,452203000.0,193892000.0,654235000.0,35000000.0,16714412000.0,5685258000.0,5885258000.0,6104225000.0,10157984000.0,16714412000.0,200000000.0
Equity Residential,EQR,,906107,2012.0,Q1,,2012-03-31,2012-05-03 11:13:27+00:00,79489000.0,-189973000.0,219628000.0,0.0,5155980000.0,11428000.0,45861000.0,9412566000.0,15878097000.0,196946000.0,65468000.0,144051000.0,338503000.0,109043000.0,457224000.0,182182000.0,656001000.0,0.0,16481247000.0,5622008000.0,5822008000.0,6018954000.0,10005069000.0,16481247000.0,200000000.0
Equity Residential,EQR,,906107,2013.0,FY,,2013-12-31,2015-02-26 16:08:36+00:00,78309000.0,-155162000.0,53534000.0,,8565105000.0,42636000.0,58486000.0,10651254000.0,21993239000.0,337995000.0,71592000.0,583083000.0,466539000.0,243511000.0,363144000.0,103567000.0,2047258000.0,115000000.0,22834545000.0,10457201000.0,10507201000.0,10845196000.0,11626205000.0,22834545000.0,50000000.0
Equity Residential,EQR,,906107,2013.0,Q3,,2013-09-30,2013-11-07 16:32:23+00:00,85353000.0,-169392000.0,972761000.0,0.0,8546426000.0,40901000.0,66775000.0,11707197000.0,22086243000.0,324153000.0,71462000.0,545877000.0,498736000.0,149836000.0,376057000.0,98874000.0,2171603000.0,0.0,23811431000.0,10548637000.0,10598637000.0,10922790000.0,12512584000.0,23811431000.0,50000000.0
Equity Residential,EQR,,906107,2013.0,Q2,,2013-06-30,2013-08-08 16:06:25+00:00,86083000.0,-166844000.0,152564000.0,0.0,8499630000.0,41357000.0,71013000.0,11723566000.0,22441580000.0,316532000.0,71857000.0,578602000.0,403225000.0,150846000.0,407890000.0,197267000.0,1939598000.0,0.0,23482383000.0,10272384000.0,10322384000.0,10638916000.0,12435577000.0,23482383000.0,50000000.0
Equity Residential,EQR,,906107,2014.0,Q3,,2014-09-30,2014-11-06 16:10:09+00:00,86472000.0,-164806000.0,31478000.0,0.0,8577798000.0,45995000.0,60530000.0,10511606000.0,22260605000.0,339086000.0,75738000.0,524541000.0,552441000.0,188266000.0,430149000.0,84945000.0,1915344000.0,446000000.0,23008094000.0,10328336000.0,10378336000.0,10717422000.0,11860523000.0,23008094000.0,50000000.0
Equity Residential,EQR,,906107,2014.0,Q2,,2014-06-30,2014-08-07 16:14:27+00:00,78389000.0,-166990000.0,76132000.0,0.0,8530996000.0,45269000.0,63441000.0,11082043000.0,22170651000.0,338881000.0,74508000.0,551501000.0,499887000.0,187906000.0,440050000.0,84408000.0,1875732000.0,0.0,22991402000.0,10239738000.0,10289738000.0,10628619000.0,11922733000.0,22991402000.0,50000000.0
Equity Residential,EQR,,906107,2014.0,Q1,,2014-03-31,2014-05-08 16:06:37+00:00,78140000.0,-162894000.0,37209000.0,0.0,8544657000.0,43995000.0,55754000.0,10645282000.0,22072253000.0,342997000.0,72735000.0,589339000.0,482881000.0,187759000.0,405276000.0,91081000.0,1944798000.0,298000000.0,22889631000.0,10326561000.0,10376561000.0,10719558000.0,11764797000.0,22889631000.0,50000000.0
