company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,dilutedeps,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,rdexpense,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Facebook Inc,FB,BQ4BKCS1HXDV9HN80Z93,1326801,2010.0,FY,2010-01-01,2010-12-31,2013-02-01 16:43:01+00:00,0.34,0.34,0.28,402000000.0,167000000.0,606000000.0,606000000.0,372000000.0,234000000.0,493000000.0,1974000000.0,-2000000.0,144000000.0,138000000.0,493000000.0,1481000000.0,22000000.0,449000000.0,1032000000.0,-24000000.0,1008000000.0,1974000000.0,1094100000.0,1107000000.0,1414000000.0
Facebook Inc,FB,BQ4BKCS1HXDV9HN80Z93,1326801,2011.0,FY,2011-01-01,2011-12-31,2014-01-31 16:10:34+00:00,0.52,0.52,0.46,695000000.0,393000000.0,1000000000.0,1000000000.0,668000000.0,332000000.0,860000000.0,3711000000.0,-19000000.0,388000000.0,314000000.0,860000000.0,2851000000.0,42000000.0,1095000000.0,1756000000.0,-61000000.0,1695000000.0,3711000000.0,1284600000.0,1294000000.0,1508000000.0
Facebook Inc,FB,BQ4BKCS1HXDV9HN80Z93,1326801,2011.0,Q3,2011-07-01,2011-09-30,2012-10-24 16:20:35+00:00,0.11,-0.11,-0.1,152000000.0,114000000.0,227000000.0,227000000.0,150000000.0,77000000.0,236000000.0,954000000.0,-25000000.0,108000000.0,82000000.0,236000000.0,718000000.0,10000000.0,304000000.0,414000000.0,-35000000.0,379000000.0,954000000.0,1363600000.0,1316000000.0,1520000000.0
Facebook Inc,FB,BQ4BKCS1HXDV9HN80Z93,1326801,2011.0,Q2,2011-04-01,2011-06-30,2012-07-31 16:39:19+00:00,0.12,0.12,0.11,159000000.0,96000000.0,240000000.0,240000000.0,159000000.0,81000000.0,210000000.0,895000000.0,1000000.0,99000000.0,83000000.0,210000000.0,685000000.0,9000000.0,278000000.0,407000000.0,-8000000.0,399000000.0,895000000.0,1325000000.0,1292000000.0,1510000000.0
Facebook Inc,FB,BQ4BKCS1HXDV9HN80Z93,1326801,2012.0,Q4,2012-10-01,2012-12-31,,0.02,0.02,0.02,441000000.0,193000000.0,64000000.0,64000000.0,111000000.0,-47000000.0,398000000.0,1585000000.0,-52000000.0,297000000.0,174000000.0,398000000.0,1187000000.0,-34000000.0,664000000.0,523000000.0,-18000000.0,505000000.0,1585000000.0,1600000000.0,2006000000.0,2166000000.0
Facebook Inc,FB,BQ4BKCS1HXDV9HN80Z93,1326801,2012.0,FY,2012-01-01,2012-12-31,2015-01-29 16:35:58+00:00,0.02,0.02,0.01,441000000.0,896000000.0,53000000.0,53000000.0,32000000.0,21000000.0,1364000000.0,5089000000.0,-44000000.0,1399000000.0,892000000.0,1364000000.0,3725000000.0,,3187000000.0,538000000.0,-44000000.0,494000000.0,5089000000.0,1600000000.0,2006000000.0,2166000000.0
Facebook Inc,FB,BQ4BKCS1HXDV9HN80Z93,1326801,2012.0,Q3YTD,2012-01-01,2012-09-30,,,,-0.01,,703000000.0,-11000000.0,-11000000.0,-79000000.0,68000000.0,966000000.0,3504000000.0,8000000.0,1102000000.0,718000000.0,966000000.0,2538000000.0,34000000.0,2523000000.0,15000000.0,-26000000.0,-11000000.0,3504000000.0,2950000000.0,2420000000.0,2420000000.0
Facebook Inc,FB,BQ4BKCS1HXDV9HN80Z93,1326801,2012.0,Q3,2012-07-01,2012-09-30,2013-10-31 18:07:03+00:00,-0.02,-0.02,-0.02,431000000.0,168000000.0,-59000000.0,-59000000.0,-59000000.0,0.0,322000000.0,1262000000.0,6000000.0,244000000.0,151000000.0,322000000.0,940000000.0,11000000.0,563000000.0,377000000.0,-5000000.0,372000000.0,1262000000.0,2950000000.0,2420000000.0,2420000000.0
Facebook Inc,FB,BQ4BKCS1HXDV9HN80Z93,1326801,2012.0,Q2YTD,2012-01-01,2012-06-30,,0.02,0.02,0.01,-431000000.0,535000000.0,48000000.0,48000000.0,-20000000.0,68000000.0,644000000.0,2242000000.0,2000000.0,858000000.0,567000000.0,644000000.0,1598000000.0,23000000.0,1960000000.0,-362000000.0,-21000000.0,-383000000.0,2242000000.0,1962500000.0,1879000000.0,1879000000.0
Facebook Inc,FB,BQ4BKCS1HXDV9HN80Z93,1326801,2012.0,Q2,2012-04-01,2012-06-30,2013-07-25 16:42:31+00:00,-0.08,-0.08,-0.08,-608000000.0,392000000.0,-157000000.0,-157000000.0,-157000000.0,0.0,367000000.0,1184000000.0,-12000000.0,705000000.0,463000000.0,367000000.0,817000000.0,10000000.0,1560000000.0,-743000000.0,-22000000.0,-765000000.0,1184000000.0,1962500000.0,1879000000.0,1879000000.0
Facebook Inc,FB,BQ4BKCS1HXDV9HN80Z93,1326801,2012.0,Q1,2012-01-01,2012-03-31,2013-05-02 16:36:18+00:00,0.1,0.1,0.09,177000000.0,143000000.0,205000000.0,205000000.0,137000000.0,68000000.0,277000000.0,1058000000.0,14000000.0,153000000.0,104000000.0,277000000.0,781000000.0,13000000.0,400000000.0,381000000.0,1000000.0,382000000.0,1058000000.0,1370000000.0,1347000000.0,1527000000.0
Facebook Inc,FB,BQ4BKCS1HXDV9HN80Z93,1326801,2013.0,FY,2013-01-01,2013-12-31,2016-01-28 16:17:07+00:00,0.62,0.62,0.6,1254000000.0,997000000.0,1500000000.0,1500000000.0,1491000000.0,9000000.0,1875000000.0,7872000000.0,-50000000.0,1415000000.0,781000000.0,1875000000.0,5997000000.0,,3193000000.0,2804000000.0,-50000000.0,2754000000.0,7872000000.0,2404800000.0,2420000000.0,2517000000.0
