company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Darden Restaurants Inc,DRI,CY1NFSCCB5GUXC7WZC70,940944,2009.0,Q4,2009-02-23,2009-05-31,,,600000.0,72600000.0,20200000.0,38700000.0,-144600000.0,-156800000.0,-127700000.0,239600000.0,-156800000.0,-127700000.0,239600000.0,-44400000.0,123000000.0,122500000.0,500000.0,23500000.0,17700000.0,,500000.0,-27600000.0,-16900000.0,-114000000.0,-28800000.0,-12200000.0,2600000.0,600000.0
Darden Restaurants Inc,DRI,CY1NFSCCB5GUXC7WZC70,940944,2009.0,FY,2008-05-26,2009-05-31,2011-07-22 16:29:23+00:00,,3300000.0,283100000.0,64600000.0,57500000.0,3900000.0,-204800000.0,-562400000.0,783500000.0,-204800000.0,-562400000.0,783500000.0,19700000.0,372200000.0,371800000.0,400000.0,60700000.0,22200000.0,,3400000.0,-110200000.0,-42000000.0,-538900000.0,-33300000.0,-144900000.0,13900000.0,4600000.0
Darden Restaurants Inc,DRI,CY1NFSCCB5GUXC7WZC70,940944,2009.0,Q3YTD,2008-05-26,2009-02-22,2010-04-02 15:02:13+00:00,,2700000.0,210500000.0,44400000.0,18800000.0,148500000.0,-48000000.0,-434700000.0,543900000.0,-48000000.0,-434700000.0,543900000.0,64100000.0,249200000.0,249300000.0,-100000.0,37200000.0,4500000.0,,2900000.0,-82600000.0,-25100000.0,-424900000.0,-4500000.0,-132700000.0,11300000.0,4000000.0
Darden Restaurants Inc,DRI,CY1NFSCCB5GUXC7WZC70,940944,2010.0,Q4,2010-03-01,2010-05-30,,,,,,37700000.0,401800000.0,-55000000.0,-108000000.0,150800000.0,-55000000.0,-108000000.0,150800000.0,-11500000.0,0.0,,0.0,,11600000.0,,700000.0,-35300000.0,,-109200000.0,-402200000.0,-68600000.0,,1200000.0
Darden Restaurants Inc,DRI,CY1NFSCCB5GUXC7WZC70,940944,2010.0,FY,2009-06-01,2010-05-30,2012-07-20 17:00:04+00:00,0.0,3300000.0,300900000.0,127400000.0,66300000.0,403000000.0,-290000000.0,-428700000.0,903400000.0,-290000000.0,-428700000.0,903400000.0,185900000.0,404500000.0,407000000.0,-2500000.0,64800000.0,20100000.0,,1200000.0,-140000000.0,-15500000.0,-438500000.0,-554300000.0,-85100000.0,12800000.0,12500000.0
Darden Restaurants Inc,DRI,CY1NFSCCB5GUXC7WZC70,940944,2010.0,Q3YTD,2009-06-01,2010-02-28,2011-04-04 16:49:43+00:00,,2500000.0,224800000.0,191500000.0,28600000.0,1200000.0,-235000000.0,-320700000.0,752600000.0,-235000000.0,-320700000.0,752600000.0,197400000.0,288900000.0,291000000.0,-2100000.0,45000000.0,8500000.0,,500000.0,-104700000.0,-15500000.0,-329300000.0,-152100000.0,-16500000.0,12800000.0,11300000.0
Darden Restaurants Inc,DRI,CY1NFSCCB5GUXC7WZC70,940944,2010.0,Q3TTM,2009-02-23,2010-02-28,,,3100000.0,297400000.0,211700000.0,67300000.0,-143400000.0,-391800000.0,-448400000.0,992200000.0,-391800000.0,-448400000.0,992200000.0,153000000.0,411900000.0,413500000.0,-1600000.0,68500000.0,26200000.0,,1000000.0,-132300000.0,-32400000.0,-443300000.0,-180900000.0,-28700000.0,15400000.0,11900000.0
Darden Restaurants Inc,DRI,CY1NFSCCB5GUXC7WZC70,940944,2010.0,Q3,2009-11-30,2010-02-28,,,900000.0,78100000.0,180200000.0,20000000.0,300000.0,-125100000.0,-114100000.0,442100000.0,-125100000.0,-114100000.0,442100000.0,203400000.0,134300000.0,134900000.0,-600000.0,50200000.0,6600000.0,,500000.0,-34800000.0,-15500000.0,-112200000.0,-102900000.0,-14300000.0,11100000.0,2500000.0
Darden Restaurants Inc,DRI,CY1NFSCCB5GUXC7WZC70,940944,2010.0,Q2,2009-08-31,2009-11-29,,,900000.0,73800000.0,13000000.0,4600000.0,600000.0,-41100000.0,-114400000.0,132600000.0,-41100000.0,-114400000.0,132600000.0,-22500000.0,60300000.0,61100000.0,-800000.0,-16200000.0,900000.0,,400000.0,-35200000.0,,-119500000.0,-11800000.0,-200000.0,1700000.0,3400000.0
Darden Restaurants Inc,DRI,CY1NFSCCB5GUXC7WZC70,940944,2010.0,Q1,2009-06-01,2009-08-30,2010-10-05 16:17:51+00:00,,700000.0,72900000.0,-1700000.0,4000000.0,300000.0,-68800000.0,-92200000.0,177900000.0,-68800000.0,-92200000.0,177900000.0,16500000.0,94300000.0,95000000.0,-700000.0,11000000.0,1000000.0,,-400000.0,-34700000.0,0.0,-97600000.0,-37400000.0,-2000000.0,0.0,5400000.0
