company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,incometaxexpense,investmentbankingincome,investmentsecuritiesinterestincome,longtermdebtinterestexpense,marketingexpense,netincome,netincomecontinuing,netincometocommon,netinterestincome,netoccupancyequipmentexpense,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,preferreddividends,provisionforcreditlosses,salariesandemployeebenefitsexpense,totalinterestexpense,totalinterestincome,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,trustfeeincome,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Goldman Sachs Group Inc,GS,,886982,2007.0,FY,2006-11-25,2007-11-30,2010-02-26 18:20:23+00:00,26.34,26.34,,819000000.0,24.73,6005000000.0,7555000000.0,45968000000.0,41981000000.0,601000000.0,11599000000.0,11599000000.0,11407000000.0,3987000000.0,1640000000.0,34445000000.0,5133000000.0,,192000000.0,,20190000000.0,41981000000.0,45968000000.0,28383000000.0,42000000000.0,17604000000.0,45987000000.0,,433100000.0,433000000.0,461200000.0
Goldman Sachs Group Inc,GS,,886982,2008.0,FY,2007-12-01,2008-11-28,2011-02-28 21:34:23+00:00,4.67,4.67,1.4,1262000000.0,4.47,14000000.0,5447000000.0,35633000000.0,31357000000.0,485000000.0,2322000000.0,2322000000.0,2041000000.0,4276000000.0,1719000000.0,2646000000.0,5486000001.4,,281000000.0,,10934000000.0,31357000000.0,35633000000.0,19886000000.0,17946000000.0,2336000000.0,22222000000.0,9853000000.0,437000000.0,437000000.0,456200000.0
Goldman Sachs Group Inc,GS,,886982,2008.0,Q3,2008-05-31,2008-08-29,2009-11-03 20:22:28+00:00,1.89,1.89,0.35,300000000.0,1.81,115000000.0,1294000000.0,8717000000.0,7582000000.0,119000000.0,845000000.0,845000000.0,810000000.0,1135000000.0,429000000.0,3614000000.0,1334000000.35,,35000000.0,,2901000000.0,7582000000.0,8717000000.0,5083000000.0,4908000000.0,960000000.0,6043000000.0,,428600000.0,427600000.0,448300000.0
Goldman Sachs Group Inc,GS,,886982,2008.0,Q2,2008-03-01,2008-05-30,2009-08-05 06:10:19+00:00,4.8,4.8,0.35,220000000.0,4.58,745000000.0,1685000000.0,9498000000.0,8221000000.0,126000000.0,2087000000.0,2087000000.0,2051000000.0,1277000000.0,426000000.0,6460000000.0,1296000000.35,,36000000.0,,4522000000.0,8221000000.0,9498000000.0,6590000000.0,8145000000.0,2832000000.0,9422000000.0,,427300000.0,427500000.0,447400000.0
Goldman Sachs Group Inc,GS,,886982,2009.0,Q4,2009-09-26,2009-12-31,,9.25,9.25,-0.7,392000000.0,8.56,2429000000.0,1822000000.0,3075000000.0,1307000000.0,108000000.0,4948000000.0,4948000000.0,4787000000.0,1768000000.0,406000000.0,-2048000000.0,1850999999.65,,161000000.0,,-519000000.0,1307000000.0,3075000000.0,2238000000.0,7847000000.0,7377000000.0,9615000000.0,8073000000.0,513600000.0,512300000.0,550900000.0
Goldman Sachs Group Inc,GS,,886982,2009.0,FY,2008-12-27,2009-12-31,2012-02-28 17:22:17+00:00,23.74,23.74,,1734000000.0,22.13,6444000000.0,4984000000.0,13907000000.0,6500000000.0,342000000.0,13385000000.0,13385000000.0,12192000000.0,7407000000.0,1659000000.0,24709000000.0,5416000000.0,,1193000000.0,,16193000000.0,6500000000.0,13907000000.0,25344000000.0,37766000000.0,19829000000.0,45173000000.0,8073000000.0,513600000.0,512300000.0,550900000.0
Goldman Sachs Group Inc,GS,,886982,2009.0,Q3YTD,2008-11-29,2009-09-25,,14.49,14.49,0.7,1342000000.0,13.57,4015000000.0,3162000000.0,10832000000.0,5193000000.0,234000000.0,8437000000.0,8437000000.0,7405000000.0,5639000000.0,1253000000.0,26757000000.0,3565000000.35,,1032000000.0,,16712000000.0,5193000000.0,10832000000.0,23106000000.0,29919000000.0,12452000000.0,35558000000.0,,527500000.0,525900000.0,576900000.0
Goldman Sachs Group Inc,GS,,886982,2009.0,Q3,2009-06-27,2009-09-25,2010-11-08 18:54:48+00:00,5.74,5.74,0.35,367000000.0,5.25,1606000000.0,899000000.0,3000000000.0,1310000000.0,84000000.0,3188000000.0,3188000000.0,3028000000.0,1690000000.0,424000000.0,9783000000.0,1352000000.0,,160000000.0,,5351000000.0,1310000000.0,3000000000.0,7578000000.0,10682000000.0,4794000000.0,12372000000.0,,527500000.0,525900000.0,576900000.0
Goldman Sachs Group Inc,GS,,886982,2009.0,Q2YTD,2008-11-29,2009-06-26,,8.75,8.75,0.35,975000000.0,8.32,2409000000.0,2263000000.0,7832000000.0,3883000000.0,150000000.0,5249000000.0,5249000000.0,4377000000.0,3949000000.0,829000000.0,16974000000.0,2213000000.35,,872000000.0,,11361000000.0,3883000000.0,7832000000.0,15528000000.0,19237000000.0,7658000000.0,23186000000.0,,515700000.0,514100000.0,551000000.0
Goldman Sachs Group Inc,GS,,886982,2009.0,Q2,2009-03-28,2009-06-26,2010-08-06 18:20:06+00:00,5.27,5.27,0.35,426000000.0,4.93,1594000000.0,1440000000.0,3470000000.0,1428000000.0,82000000.0,3435000000.0,3435000000.0,2718000000.0,2042000000.0,415000000.0,10279000000.0,1160000000.35,,717000000.0,,6649000000.0,1428000000.0,3470000000.0,8732000000.0,11719000000.0,5029000000.0,13761000000.0,,515700000.0,514100000.0,551000000.0
