company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,cashincometaxespaid,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netchangeindeposits,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,paymentofdividends,provisionforloanlosses,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
Goldman Sachs Group Inc,GS,,886982,2007.0,FY,2006-11-25,2007-11-30,2010-02-26 18:20:23+00:00,5780000000.0,40740000000.0,1167000000.0,119757000000.0,791000000.0,91481000000.0,0.0,73390000000.0,396000000.0,-69447000000.0,73390000000.0,396000000.0,-69447000000.0,4339000000.0,4673000000.0,11599000000.0,11599000000.0,-201970000000.0,8410000000.0,-831000000.0,,-2772000000.0,-2130000000.0,-22178000000.0,-8956000000.0,0.0,5205000000.0,93000000.0
Goldman Sachs Group Inc,GS,,886982,2008.0,Q4,2008-08-30,2008-11-28,,-5930000000.0,-58500000000.0,579000000.0,-66402000000.0,7477000000.0,3254000000.0,13366000000.0,-6988000000.0,-330000000.0,10898000000.0,-6988000000.0,-330000000.0,10898000000.0,3580000000.0,-1408000000.0,-2121000000.0,-2121000000.0,78842000000.0,-2479000000.0,-263000000.0,,-707000000.0,-498000000.0,-26933000000.0,-2000000.0,,824000000.0,51000000.0
Goldman Sachs Group Inc,GS,,886982,2008.0,FY,2007-12-01,2008-11-28,2011-02-28 21:34:23+00:00,-3470000000.0,-32370000000.0,1625000000.0,-21036000000.0,7738000000.0,50267000000.0,13366000000.0,7901000000.0,-4337000000.0,1894000000.0,7901000000.0,-4337000000.0,1894000000.0,5458000000.0,12273000000.0,2322000000.0,2322000000.0,18983000000.0,-7332000000.0,-850000000.0,,-6464000000.0,-2027000000.0,-65527000000.0,-2034000000.0,,4033000000.0,121000000.0
Goldman Sachs Group Inc,GS,,886982,2008.0,Q3,2008-05-31,2008-08-29,,1070000000.0,7450000000.0,392000000.0,22569000000.0,91000000.0,10209000000.0,,-3790000000.0,-444000000.0,5088000000.0,-3790000000.0,-444000000.0,5088000000.0,854000000.0,-467000000.0,845000000.0,845000000.0,-18718000000.0,2751000000.0,-194000000.0,,-1002000000.0,-496000000.0,-15909000000.0,-271000000.0,,1039000000.0,15000000.0
Goldman Sachs Group Inc,GS,,886982,2008.0,Q3YTD,2007-12-01,2008-08-29,2009-11-03 20:22:28+00:00,2460000000.0,26130000000.0,1046000000.0,45366000000.0,261000000.0,47013000000.0,,14889000000.0,-4007000000.0,-9004000000.0,14889000000.0,-4007000000.0,-9004000000.0,1878000000.0,13681000000.0,4443000000.0,4443000000.0,-59859000000.0,-4853000000.0,-587000000.0,,-5757000000.0,-1529000000.0,-38594000000.0,-2032000000.0,0.0,3209000000.0,70000000.0
Goldman Sachs Group Inc,GS,,886982,2008.0,Q2YTD,2007-12-01,2008-05-30,2009-08-05 06:10:19+00:00,1390000000.0,18680000000.0,654000000.0,22797000000.0,170000000.0,36804000000.0,,18679000000.0,-3563000000.0,-14092000000.0,18679000000.0,-3563000000.0,-14092000000.0,1024000000.0,14148000000.0,3598000000.0,3598000000.0,-41141000000.0,-7604000000.0,-393000000.0,,-4755000000.0,-1033000000.0,-22685000000.0,-1761000000.0,0.0,2170000000.0,55000000.0
Goldman Sachs Group Inc,GS,,886982,2009.0,Q4,2009-09-26,2009-12-31,,1180000000.0,1270000000.0,394000000.0,29754000000.0,171000000.0,2438000000.0,,-9986000000.0,-261000000.0,25523000000.0,-9986000000.0,-261000000.0,25523000000.0,15276000000.0,-3013000000.0,4948000000.0,4948000000.0,-9573000000.0,-1543000000.0,-355000000.0,,-328000000.0,-479000000.0,-7684000000.0,,,516000000.0,30000000.0
Goldman Sachs Group Inc,GS,,886982,2009.0,FY,2008-12-27,2009-12-31,2012-02-28 17:22:17+00:00,4780000000.0,7320000000.0,1943000000.0,-40338000000.0,6260000000.0,30130000000.0,,-22828000000.0,-1561000000.0,48875000000.0,-22828000000.0,-1561000000.0,48875000000.0,24486000000.0,7288000000.0,13385000000.0,13385000000.0,73885000000.0,-8150000000.0,-2205000000.0,,-2943000000.0,-1556000000.0,-45475000000.0,-1102000000.0,-9574000000.0,2856000000.0,82000000.0
Goldman Sachs Group Inc,GS,,886982,2009.0,Q3TTM,2008-08-30,2009-09-25,,-2330000000.0,-52450000000.0,2128000000.0,-136494000000.0,13566000000.0,30946000000.0,13366000000.0,-19830000000.0,-1630000000.0,34250000000.0,-19830000000.0,-1630000000.0,34250000000.0,12790000000.0,8893000000.0,6316000000.0,6316000000.0,162300000000.0,-9086000000.0,-2113000000.0,,-3322000000.0,-1575000000.0,-64724000000.0,-1104000000.0,-9574000000.0,3164000000.0,103000000.0
Goldman Sachs Group Inc,GS,,886982,2009.0,Q3,2009-06-27,2009-09-25,,1790000000.0,1470000000.0,373000000.0,2483000000.0,196000000.0,3417000000.0,,-5966000000.0,-528000000.0,7332000000.0,-5966000000.0,-528000000.0,7332000000.0,838000000.0,974000000.0,3188000000.0,3188000000.0,1288000000.0,-1927000000.0,-355000000.0,,-503000000.0,-424000000.0,-7171000000.0,-1100000000.0,,397000000.0,2000000.0
